"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-1.849125001E-3,-4.156855774E-1,-2.257754974E0,-5.131479034E0,5.621594890E0
8.158874996E-3,-1.218765564E0,-2.329306183E0,-4.683760071E0,5.371095344E0
1.816787500E-2,-1.888023834E0,-1.986668701E0,-3.415597229E0,4.379245478E0
2.817587500E-2,-2.339485016E0,-1.563648376E0,-1.163380737E0,3.044936966E0
3.818487500E-2,-2.654729462E0,-1.548380127E0,1.179547119E-1,3.075545943E0
4.819287500E-2,-2.711611176E0,-2.085463257E0,2.606080627E-1,3.430730057E0
5.820187500E-2,-2.544109497E0,-2.863844604E0,4.754113770E-1,3.860066713E0
6.820987500E-2,-1.742526398E0,-3.246598663E0,4.240681458E-1,3.708993788E0
7.821887500E-2,-1.370849304E0,-3.396287384E0,2.311193848E-1,3.669797267E0
8.822787500E-2,-1.142873383E0,-3.504512329E0,8.187973022E-2,3.687068012E0
9.823587500E-2,-9.455836487E-1,-3.415896606E0,-1.739382935E-1,3.548624042E0
1.082448750E-1,-8.506809998E-1,-2.989283752E0,7.529342651E-2,3.108881570E0
1.182528750E-1,-5.884263611E-1,-2.614163818E0,5.358856201E-1,2.732630866E0
1.282618750E-1,-1.008901978E-1,-2.048190765E0,1.206042023E0,2.379033754E0
1.382698750E-1,4.501139832E-1,-1.516047363E0,1.629810791E0,2.270965746E0
1.482788750E-1,8.881031799E-1,-1.149459686E0,2.495610352E0,2.887569195E0
1.582868750E-1,1.244212646E0,-6.635700989E-1,5.390590210E0,5.571970316E0
1.682958750E-1,2.289938049E0,2.559677124E-1,9.417815552E0,9.695596191E0
1.783048750E-1,6.623875580E0,8.170459442E0,1.312201263E1,1.681723374E1
1.883128750E-1,1.527678177E1,2.277229477E1,1.620515121E1,3.185222749E1
1.983218750E-1,2.758912811E1,3.720962219E1,1.340088272E1,4.822136074E1
2.083298750E-1,4.081861725E1,4.331841888E1,3.426225128E0,5.961865436E1
2.183388750E-1,4.888504303E1,2.538765610E1,-1.169218597E1,5.631152393E1
2.283468750E-1,5.427593262E1,1.924098816E0,-3.274515610E1,6.341785447E1
2.383558750E-1,4.304493759E1,-6.085295563E0,-2.142135406E1,4.846412987E1
2.483648750E-1,2.153556656E1,2.278262329E-1,1.202449493E0,2.157031332E1
2.583728750E-1,9.717342682E0,3.092269592E0,1.176388687E1,1.556849107E1
2.683818750E-1,8.019273834E0,2.880310364E0,1.135808075E1,1.419897669E1
2.783898750E-1,6.863976288E0,2.530936890E0,6.696773987E0,9.917993439E0
2.883988750E-1,5.022206268E0,1.445094910E0,3.110980682E0,6.081862865E0
2.984068750E-1,2.817740479E0,5.725593567E-1,9.285191345E-1,3.021528323E0
3.084158750E-1,9.687854004E-1,-3.427871704E-1,-2.063459015E0,2.305192248E0
3.184238750E-1,-4.763095093E-1,-1.011895752E0,-4.153113556E0,4.301064516E0
3.284328750E-1,-1.217717743E0,-1.169817352E0,-4.126019897E0,4.458177804E0
3.384418750E-1,-1.620829468E0,-8.475375366E-1,-2.885549469E0,3.416402169E0
3.484498750E-1,-2.002984772E0,-2.954855347E-1,-1.102756805E0,2.305500438E0
3.584588750E-1,-2.150428162E0,1.425036621E-1,4.523593140E-1,2.202107518E0
3.684668750E-1,-2.319277039E0,4.161346436E-1,1.101110229E0,2.600895569E0
3.784758750E-1,-2.615361328E0,5.700146484E-1,1.275946655E0,2.965311357E0
3.884838750E-1,-2.959495697E0,4.769082642E-1,1.501228180E0,3.352572493E0
3.984928750E-1,-3.077001343E0,2.083666992E-1,1.655706940E0,3.500388466E0
4.085008750E-1,-3.104244690E0,-1.297801208E-1,1.997895355E0,3.693881945E0
4.185098750E-1,-3.132535858E0,-4.519102478E-1,2.320773926E0,3.924665003E0
4.285188750E-1,-3.072211304E0,-6.078858948E-1,2.439477081E0,3.969767750E0
4.385268750E-1,-2.843337250E0,-5.688171387E-1,2.337539063E0,3.724541384E0
4.485358750E-1,-2.366428986E0,-4.758604431E-1,2.114203491E0,3.208782590E0
4.585438750E-1,-1.786235504E0,-3.682342529E-1,1.875899048E0,2.616339232E0
4.685528750E-1,-1.077160034E0,-2.776725769E-1,1.867366791E0,2.173576438E0
4.785608750E-1,-3.761677551E-1,-9.774673462E-2,1.897304535E0,1.936703669E0
4.885698750E-1,1.537303162E-1,-7.110214233E-2,2.425855408E0,2.431761293E0
4.985778750E-1,9.830058289E-1,-3.219804382E-1,5.120551758E0,5.223985276E0
5.085868750E-1,2.558928680E0,7.589218140E-2,1.009216324E1,1.041180265E1
5.185958750E-1,7.725135498E0,3.958667908E0,1.355655899E1,1.609748619E1
5.286038750E-1,2.136192764E1,1.045890060E1,1.637235352E1,2.887515392E1
5.386128750E-1,3.932098160E1,1.280167877E1,1.511631546E1,4.402869026E1
5.486208750E-1,5.740472626E1,2.798131256E0,4.260290680E0,5.763056665E1
