"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.757458333E-3,5.572911072E-1,8.406518555E-1,-3.746708679E-1,1.075940138E0
1.176545834E-2,6.658154297E-1,5.688171387E-1,-6.502478027E-1,1.090726973E0
2.177345833E-2,3.598516846E-1,2.245330811E-1,-6.113287354E-1,7.440639502E-1
3.178245833E-2,-3.442840576E-2,-2.082170105E-1,-1.574725342E-1,2.633196491E-1
4.179045834E-2,-1.865121460E-1,-6.866221619E-1,-1.074016571E0,1.288312217E0
5.179845833E-2,-6.370751953E-1,-2.103725281E0,-6.076314240E0,6.461665389E0
6.180645833E-2,-1.765877838E0,-5.430706787E0,-8.055498505E0,9.874307920E0
7.181445834E-2,-1.962868195E0,-6.664740601E0,-4.969366150E0,8.542026619E0
8.182345833E-2,-2.978655853E0,-8.560997314E0,-4.893473969E0,1.030092972E1
9.183145833E-2,-3.293600922E0,-1.343770615E1,-3.284619598E0,1.422000279E1
1.018394583E-1,-5.450465698E0,-2.098486176E1,1.738933868E0,2.175076758E1
1.118474583E-1,-9.439670105E0,-3.112013535E1,4.958438873E0,3.289614433E1
1.218554583E-1,-1.328382614E1,-4.410368591E1,6.693780212E0,4.654462205E1
1.318644583E-1,-1.671379349E1,-5.381638824E1,7.497608643E0,5.684864705E1
1.418724583E-1,-1.654599243E1,-5.664206223E1,4.938380585E0,5.921554426E1
1.518804583E-1,-1.296603699E1,-4.964261765E1,-5.402864685E0,5.159165193E1
1.618884583E-1,-8.447982330E0,-3.295876190E1,-1.286559586E1,3.637543056E1
1.718964583E-1,-5.679040375E0,-1.935969131E1,-9.593400421E0,2.234015396E1
1.819054583E-1,-3.905229034E0,-1.345237564E1,-4.026626587E0,1.457501101E1
1.919134583E-1,-2.813249817E0,-1.057086777E1,-1.881736908E0,1.109948439E1
2.019214583E-1,-2.376158752E0,-8.383765869E0,-1.257534943E0,8.804263439E0
2.119294583E-1,-1.986369324E0,-6.671177216E0,-1.334025879E0,7.087305100E0
2.219374583E-1,-1.539249115E0,-4.611011353E0,-1.814376984E0,5.188706715E0
2.319464583E-1,-1.233435059E0,-2.877017212E0,-2.605481873E0,4.072729536E0
2.419544583E-1,-9.566606140E-1,-1.559606781E0,-2.834804993E0,3.373972760E0
2.519624583E-1,-6.691085815E-1,-5.017565918E-1,-2.565065918E0,2.697967593E0
2.619704583E-1,-2.176473999E-1,-1.571731567E-2,-2.146536255E0,2.157599434E0
2.719784583E-1,2.177970886E-1,1.157093811E-1,-1.561403046E0,1.580760483E0
2.819874583E-1,6.135740662E-1,-1.655557251E-1,-9.249266052E-1,1.122217028E0
2.919954583E-1,9.340576172E-1,-5.605842590E-1,2.933898926E-1,1.128182597E0
3.020034583E-1,7.349716187E-1,-3.038681030E-2,1.424587555E0,1.603295463E0
3.120114583E-1,4.264631653E-1,5.694158936E-1,1.349892883E0,1.525882069E0
3.220194583E-1,4.686753845E-1,4.766088867E-1,1.493743744E0,1.636484958E0
3.320284583E-1,4.625381470E-1,5.384303284E-1,1.514400787E0,1.672500673E0
3.420364583E-1,3.855981445E-1,5.749543762E-1,1.269659729E0,1.446130800E0
3.520444583E-1,3.683839417E-1,4.813989258E-1,6.791377258E-1,9.103184634E-1
3.620524583E-1,4.367916870E-1,4.147874451E-1,3.522175598E-1,6.977770503E-1
3.720604583E-1,4.893324280E-1,4.424798584E-1,3.963757324E-1,7.696417163E-1
3.820694583E-1,5.956114197E-1,4.611909485E-1,3.327580261E-1,8.235156089E-1
3.920774583E-1,6.759942627E-1,4.700225830E-1,2.631527710E-1,8.643719411E-1
4.020854583E-1,7.523355103E-1,4.974156189E-1,4.490661621E-2,9.030213852E-1
4.120934583E-1,8.713380432E-1,6.593788147E-1,-1.134490814E0,1.575144379E0
4.221014583E-1,9.373507690E-1,1.055006104E0,-3.671115875E0,3.933033958E0
4.321104583E-1,2.288740540E-1,1.062191162E0,-3.016227722E0,3.205973030E0
4.421184583E-1,-4.575984192E-1,4.564009094E-1,-1.172062683E0,1.338442765E0
4.521264583E-1,-2.349663849E0,-1.180145874E0,-1.983974304E0,3.293906272E0
4.621344583E-1,-5.522316284E0,-4.163292389E0,-5.680387573E0,8.949624777E0
4.721424583E-1,-4.170477448E0,-4.820276184E0,-8.460406494E0,1.059275331E1
4.821514583E-1,-1.632954254E0,-4.138893127E0,-4.240082703E0,6.146159552E0
4.921594583E-1,-2.217039642E0,-5.182971954E0,4.998106384E-1,5.659352766E0
5.021674583E-1,-3.387605438E0,-8.998687134E0,4.655917969E0,1.068315557E1
5.121754583E-1,-6.852001190E0,-1.542242889E1,5.000651093E0,1.760135633E1
5.221834583E-1,-1.203227875E1,-2.767639664E1,4.784949646E0,3.055575896E1
5.321924583E-1,-1.958212875E1,-4.854509995E1,6.121071167E0,5.270250475E1
5.422004583E-1,-2.734004608E1,-5.954677185E1,6.378236389E0,6.583295571E1
5.522084583E-1,-2.489188705E1,-5.546640701E1,4.801415405E0,6.098509603E1
5.622164583E-1,-2.106734024E1,-4.866440186E1,-4.146227875E0,5.319067624E1
