"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-1.649499995E-3,1.634600830E0,5.957611084E-2,-4.433779907E-1,1.694713318E0
8.358500003E-3,1.118324432E0,4.035607910E-1,-3.695814514E-1,1.245030641E0
1.836650000E-2,4.260140991E-1,8.270301819E-1,-1.520837402E-1,9.426539123E-1
2.837450001E-2,-2.917433167E-1,1.236578522E0,2.155517578E-2,1.270710521E0
3.838250000E-2,-9.988728333E-1,1.536704407E0,6.795867920E-2,1.834073541E0
4.839050000E-2,-1.506766663E0,1.610500946E0,1.960922241E-2,2.205548366E0
5.839850000E-2,-1.768422546E0,1.457369385E0,-1.621128845E-1,2.297286315E0
6.840650000E-2,-2.001188507E0,1.062640228E0,-4.834945679E-1,2.316835491E0
7.841450000E-2,-2.303260345E0,6.209088135E-1,-6.313870239E-1,2.467627514E0
8.842250000E-2,-2.739602966E0,2.224374390E-1,-6.438111877E-1,2.823011809E0
9.843050000E-2,-3.275039520E0,-3.537144470E-1,-4.436773682E-1,3.323830227E0
1.084385000E-1,-3.842210083E0,-9.481283569E-1,-1.332229614E-2,3.957486979E0
1.184465000E-1,-4.561464386E0,-1.505868530E0,5.150788879E-1,4.831138958E0
1.284555000E-1,-5.531746674E0,-1.935325470E0,1.037492523E0,5.951646551E0
1.384635000E-1,-6.560257874E0,-2.149679718E0,1.434317322E0,7.050912880E0
1.484715000E-1,-7.765252075E0,-2.111060028E0,1.799857178E0,8.245920209E0
1.584795000E-1,-9.116641846E0,-1.751507721E0,1.679507446E0,9.434070336E0
1.684875000E-1,-1.031295410E1,-1.246757355E0,1.331331482E0,1.047300672E1
1.784955000E-1,-1.120674545E1,-9.277706909E-1,9.592053223E-1,1.128591941E1
1.885035000E-1,-1.219588852E1,-1.068328400E0,5.810916138E-1,1.225637344E1
1.985115000E-1,-1.314626221E1,-1.430275726E0,3.930825806E-1,1.322967923E1
2.085195000E-1,-1.446277451E1,-1.966760101E0,6.985972595E-1,1.461259833E1
2.185275000E-1,-1.648192566E1,-2.519710236E0,1.375489655E0,1.673005633E1
2.285355000E-1,-1.905717041E1,-3.059787140E0,2.385888519E0,1.944814915E1
2.385435000E-1,-2.178824112E1,-2.568209381E0,3.474275208E0,2.221246809E1
2.485515000E-1,-2.505444901E1,-1.287921753E0,3.847898254E0,2.538090775E1
2.585595000E-1,-2.953223740E1,1.154100037E0,3.627406769E0,2.977655239E1
2.685675000E-1,-3.413606369E1,5.417234802E0,3.236419830E0,3.471443058E1
2.785755000E-1,-3.661730392E1,1.155821457E1,4.795427856E0,3.869645202E1
2.885835000E-1,-3.616718994E1,1.807835587E1,7.633076935E0,4.114798224E1
2.985915000E-1,-3.514736069E1,2.348945343E1,1.098610428E1,4.367820822E1
3.085995000E-1,-3.414384750E1,2.588297607E1,1.363110397E1,4.496151430E1
3.186075000E-1,-3.360811157E1,2.521790909E1,1.546973053E1,4.477455377E1
3.286155000E-1,-3.324811020E1,2.298679871E1,1.640378815E1,4.362240264E1
3.386235000E-1,-3.184537720E1,2.061393311E1,1.501288055E1,4.079765765E1
3.486315000E-1,-2.940545105E1,1.835797440E1,1.176164154E1,3.660644734E1
3.586395000E-1,-2.680356171E1,1.602911728E1,8.659492493E0,3.240910877E1
3.686475000E-1,-2.463756592E1,1.366059265E1,6.494694214E0,2.891024903E1
3.786555000E-1,-2.283276901E1,1.163695084E1,5.434149628E0,2.619702173E1
3.886635000E-1,-2.150892197E1,1.010159363E1,5.501659241E0,2.439147745E1
3.986715000E-1,-2.068398743E1,8.966054993E0,6.521787872E0,2.346808887E1
4.086795000E-1,-2.034494247E1,7.864944763E0,7.932903442E0,2.321001933E1
4.186875000E-1,-2.039957886E1,6.811734924E0,9.238787842E0,2.340721579E1
4.286955000E-1,-2.042188248E1,5.594765625E0,1.020113663E1,2.350357153E1
4.387035000E-1,-2.034584061E1,4.207899628E0,1.061607376E1,2.333153813E1
4.487115000E-1,-2.008074188E1,3.041824493E0,1.060155396E1,2.291029980E1
4.587205000E-1,-1.950429062E1,2.031725006E0,1.016161880E1,2.208627981E1
4.687285000E-1,-1.848251541E1,9.993218994E-1,9.546847229E0,2.082652905E1
4.787365000E-1,-1.708502151E1,-1.100212097E-1,8.820108490E0,1.922769821E1
4.887445000E-1,-1.558094925E1,-1.090033264E0,8.186476135E0,1.763441361E1
4.987525000E-1,-1.419079010E1,-1.955533447E0,7.650291138E0,1.623975336E1
5.087605000E-1,-1.265184036E1,-2.682870941E0,6.838828583E0,1.462998419E1
5.187685000E-1,-1.090766739E1,-3.253933411E0,5.848787384E0,1.279740616E1
5.287765000E-1,-9.183852081E0,-3.588637390E0,4.818030853E0,1.097428260E1
5.387845000E-1,-7.602989502E0,-3.773053894E0,3.724405060E0,9.268903824E0
5.487925000E-1,-6.273753662E0,-3.860023041E0,2.877765656E0,7.908305638E0
5.588005000E-1,-5.133574677E0,-3.867357788E0,2.237397308E0,6.805585349E0
5.688085000E-1,-4.105961609E0,-3.959566040E0,1.637893982E0,5.934625570E0
5.788165000E-1,-3.033591614E0,-3.924987946E0,1.112037506E0,5.083781650E0
5.888245000E-1,-2.013762360E0,-3.850592651E0,5.451663208E-1,4.379441623E0
5.988325000E-1,-1.135089569E0,-3.824696503E0,1.960922241E-2,3.989626071E0
6.088405000E-1,-2.652484131E-1,-3.810176697E0,-3.779640198E-1,3.838054192E0
6.188485000E-1,5.087919617E-1,-3.752995605E0,-6.767427063E-1,3.847314124E0
6.288565000E-1,1.054257660E0,-3.593577118E0,-8.897497559E-1,3.849274002E0
6.388645000E-1,1.515598297E0,-3.269051971E0,-1.007255402E0,3.741430533E0
6.488721667E-1,1.767225037E0,-3.033591614E0,-1.478475494E0,3.809416254E0
6.588801667E-1,2.064806213E0,-2.818339233E0,-1.807491302E0,3.933635156E0
6.688881667E-1,2.444716187E0,-2.588716736E0,-1.959575043E0,4.064237434E0
6.788961667E-1,2.746788025E0,-2.459685059E0,-2.081721039E0,4.234200931E0
6.889041667E-1,2.924767914E0,-2.306553497E0,-2.144889679E0,4.298256405E0
6.989121667E-1,3.079845428E0,-2.158810730E0,-2.224673767E0,4.369792329E0
7.089201667E-1,3.211272125E0,-2.014211426E0,-2.238894196E0,4.402495150E0
7.189281667E-1,3.187770996E0,-1.937121735E0,-2.133812714E0,4.297380741E0
7.289361667E-1,3.085234222E0,-1.906285858E0,-1.877845001E0,4.083980635E0
7.389441667E-1,2.973865814E0,-1.880838776E0,-1.611249390E0,3.870084880E0
7.489521667E-1,2.832409973E0,-1.854942627E0,-1.441053314E0,3.679672956E0
7.589611667E-1,2.696642303E0,-1.755848694E0,-1.458566895E0,3.533030107E0
7.689691667E-1,2.544708252E0,-1.624421997E0,-1.546883240E0,3.392216778E0
7.789771667E-1,2.280058594E0,-1.570234680E0,-1.562001801E0,3.178703158E0
7.889851667E-1,1.800156555E0,-1.621128845E0,-1.490749969E0,2.844460903E0
7.989931667E-1,1.311722260E0,-1.594484253E0,-1.355880432E0,2.470102643E0
8.090011667E-1,8.520281982E-1,-1.621278534E0,-1.293909302E0,2.242475734E0
8.190091667E-1,2.887495422E-1,-1.780247955E0,-1.077908478E0,2.101082047E0
8.290171667E-1,-2.176473999E-1,-1.893412628E0,-7.521858215E-1,2.048942479E0
