"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.625416670E-4,1.222133560E1,1.150806885E1,2.536924438E0,1.697741671E1
1.057054167E-2,1.177960419E1,1.055649765E1,2.621348877E0,1.603340848E1
2.057854167E-2,1.119312378E1,9.325008545E0,2.592908020E0,1.479746520E1
3.058654167E-2,1.047087570E1,8.227341156E0,2.711910553E0,1.358980645E1
4.059454167E-2,9.656269684E0,7.060218201E0,2.880759430E0,1.230402374E1
5.060154167E-2,8.692723389E0,5.816753998E0,2.710114288E0,1.080475758E1
6.060954167E-2,7.773035889E0,4.837340698E0,2.560874634E0,9.506736078E0
7.061754167E-2,6.870263214E0,3.964206390E0,2.564167786E0,8.336090533E0
8.062554167E-2,6.024671631E0,3.073259125E0,2.414628754E0,7.181366299E0
9.063354167E-2,5.245392151E0,2.199226685E0,2.111658783E0,6.067111310E0
1.006415417E-1,4.428241425E0,1.493893433E0,1.869612122E0,5.033536449E0
1.106485417E-1,3.644920349E0,8.882528687E-1,1.706301727E0,4.121395770E0
1.206565417E-1,3.007695465E0,3.155438232E-1,1.502725067E0,3.376978315E0
1.306645417E-1,2.478396149E0,-1.877096558E-1,1.276395721E0,2.794077383E0
1.406725417E-1,1.963466949E0,-5.553451538E-1,1.103804626E0,2.319912790E0
1.506805417E-1,1.493144989E0,-8.725355530E-1,9.948312378E-1,1.995116398E0
1.606885417E-1,1.166374512E0,-1.300495605E0,8.631051636E-1,1.948504258E0
1.706955417E-1,8.508306885E-1,-1.694176941E0,8.443940735E-1,2.075367370E0
1.807035417E-1,4.204756165E-1,-1.664538574E0,9.313632202E-1,1.953183519E0
1.907115417E-1,-4.266128540E-2,-1.696122894E0,8.972341919E-1,1.919292071E0
2.007195417E-1,-3.817062378E-1,-1.916165314E0,9.026229858E-1,2.152235446E0
2.107275417E-1,-6.551875305E-1,-2.092947693E0,8.909472656E-1,2.367168726E0
2.207345417E-1,-8.623567200E-1,-2.118694153E0,8.982820129E-1,2.457526114E0
2.307425417E-1,-1.065634003E0,-2.143542480E0,8.312214661E-1,2.534024333E0
2.407505417E-1,-1.212628326E0,-2.166145477E0,8.406518555E-1,2.620944339E0
2.507585417E-1,-1.265767822E0,-2.201921082E0,7.708969116E-1,2.654224308E0
2.607665417E-1,-1.269360352E0,-2.274520111E0,6.917115784E-1,2.695029192E0
2.707745417E-1,-1.209933929E0,-2.191442871E0,7.533833313E-1,2.614182169E0
2.807815417E-1,-9.825567627E-1,-2.007475433E0,7.809260559E-1,2.367534775E0
2.907895417E-1,-6.069877625E-1,-1.912572784E0,7.167095947E-1,2.130737300E0
3.007975417E-1,-2.344125366E-1,-1.729204102E0,6.716532898E-1,1.869816623E0
3.108055417E-1,1.933978271E-1,-1.380279694E0,6.045927429E-1,1.519245582E0
3.208135417E-1,6.876699829E-1,-1.045725403E0,5.733078003E-1,1.376631199E0
3.308215417E-1,1.269210663E0,-6.120771790E-1,5.548960876E-1,1.514412047E0
3.408321667E-1,2.130669250E0,-7.783813477E-3,8.669970703E-1,2.300325186E0
3.508401667E-1,3.356919250E0,7.372169495E-1,1.395697632E0,3.709496942E0
3.608481667E-1,4.957989807E0,1.704355774E0,1.776954803E0,5.535707715E0
3.708561667E-1,6.891069946E0,2.606230316E0,2.120789795E0,7.666617952E0
3.808641667E-1,8.974138184E0,3.449726257E0,2.603386230E0,9.960591712E0
3.908721667E-1,1.119911133E1,4.711302795E0,2.941832428E0,1.250083384E1
4.008791667E-1,1.335193451E1,6.507268066E0,3.114722900E0,1.517630362E1
4.108871667E-1,1.539593399E1,8.351732483E0,3.303929443E0,1.782420177E1
4.208951667E-1,1.737167542E1,9.834399261E0,3.597019958E0,2.028371436E1
4.309031667E-1,1.855930573E1,1.108909012E1,3.757785645E0,2.194394453E1
4.409111667E-1,1.905612259E1,1.283236496E1,3.763473816E0,2.328023053E1
4.509181667E-1,1.982447479E1,1.508997025E1,3.981121216E0,2.523026613E1
4.609261667E-1,2.054357941E1,1.658042084E1,3.992198181E0,2.669993738E1
4.709341667E-1,2.099908218E1,1.775068726E1,3.824397125E0,2.776102239E1
4.809421667E-1,2.114622620E1,1.885449188E1,4.256997528E0,2.864920199E1
4.909501667E-1,2.067126389E1,1.940639420E1,4.692442017E0,2.873896829E1
5.009581667E-1,1.971565109E1,1.958676910E1,4.880151672E0,2.821638358E1
5.109651667E-1,1.857053238E1,1.922452240E1,5.128784637E0,2.721674790E1
5.209731667E-1,1.731614090E1,1.833686829E1,5.285658417E0,2.576873414E1
5.309811667E-1,1.580727859E1,1.745714767E1,5.142705688E0,2.410538287E1
5.409891667E-1,1.422821228E1,1.664733170E1,4.928950195E0,2.244705387E1
5.509971667E-1,1.318862411E1,1.576746140E1,4.800068207E0,2.110908098E1
5.610051667E-1,1.280197815E1,1.499416946E1,4.581073608E0,2.024109676E1
5.710121667E-1,1.274629395E1,1.424856995E1,4.262236633E0,1.958714926E1
5.810201667E-1,1.266007324E1,1.350656296E1,3.900139618E0,1.891866239E1
5.910281667E-1,1.254346573E1,1.289358765E1,3.581751709E0,1.834153974E1
6.010361667E-1,1.241937378E1,1.235740265E1,3.323388977E0,1.783230663E1
6.110441667E-1,1.231953140E1,1.165371597E1,3.057990875E0,1.723169342E1
6.210521667E-1,1.226130249E1,1.090317673E1,2.912643127E0,1.666440192E1
6.310591667E-1,1.218945190E1,1.026445496E1,2.959645386E0,1.620806201E1
6.410671667E-1,1.203766754E1,9.449250183E0,3.091670837E0,1.561256537E1
6.510751667E-1,1.166928360E1,8.397537231E0,3.136128387E0,1.471482628E1
6.610831667E-1,1.100810852E1,7.485483856E0,3.251688080E0,1.370344472E1
6.710911667E-1,1.023781036E1,6.584657135E0,3.400778046E0,1.263866140E1
6.810991667E-1,9.366622009E0,5.661826172E0,3.462000732E0,1.147934373E1
6.911061667E-1,8.339458008E0,4.774321747E0,3.398083649E0,1.019253062E1
7.011141667E-1,7.261848907E0,4.041595459E0,3.310665436E0,8.945918010E0
7.111221667E-1,6.277795258E0,3.408861237E0,3.126847687E0,7.797962855E0
7.211301667E-1,5.456153870E0,2.882705383E0,2.928061066E0,6.830310899E0
7.311381667E-1,4.636608124E0,2.379451904E0,2.673440552E0,5.857235751E0
7.411461667E-1,3.827690277E0,1.981429596E0,2.355501709E0,4.911788310E0
7.511531667E-1,3.082390137E0,1.595681763E0,2.016007690E0,4.013927783E0
7.611611667E-1,2.367476807E0,1.364712067E0,1.755249939E0,3.247812772E0
