"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.362499956E-5,4.075425110E0,8.272247772E0,4.357139282E0,1.019920760E1
1.004162500E-2,4.616998901E0,7.458988953E0,5.160069580E0,1.017740208E1
2.004962500E-2,5.226082306E0,6.850953369E0,5.793701935E0,1.038337520E1
3.005862500E-2,5.780080261E0,6.260581055E0,5.787864075E0,1.030065889E1
4.006662500E-2,6.121969299E0,5.711223450E0,5.048252106E0,9.776575613E0
5.007462500E-2,6.156547394E0,5.434299316E0,3.596121826E0,8.964751924E0
6.008362500E-2,5.456902313E0,5.956263885E0,1.931134186E0,8.305669243E0
7.009162500E-2,4.352199554E0,7.316335602E0,8.006849670E-1,8.550526534E0
8.009962500E-2,3.122357025E0,8.633296967E0,6.948550415E-1,9.206831889E0
9.010762500E-2,2.074835358E0,9.604776764E0,1.383722534E0,9.923273981E0
1.001166250E-1,1.349743195E0,1.004381378E1,2.345921631E0,1.040208394E1
1.101246250E-1,9.297166443E-1,9.891280975E0,3.054697723E0,1.039389198E1
1.201326250E-1,8.220904541E-1,9.256151733E0,3.613635406E0,9.970483362E0
1.301416250E-1,1.052910461E0,8.373137970E0,3.946543121E0,9.316290169E0
1.401496250E-1,1.521885223E0,7.631280670E0,3.858526154E0,8.685666548E0
1.501576250E-1,1.735940094E0,7.143594818E0,3.742218018E0,8.249159389E0
1.601656250E-1,1.883084106E0,6.645580444E0,3.817810822E0,7.892111547E0
1.701746250E-1,2.228565674E0,6.184090118E0,4.106859741E0,7.750856242E0
1.801826250E-1,2.760260010E0,5.904920654E0,4.558470612E0,7.954041587E0
1.901906250E-1,3.449277191E0,5.861510925E0,4.974305878E0,8.426063282E0
2.001996250E-1,4.222868500E0,6.220763855E0,5.336103516E0,9.219789696E0
2.102076250E-1,4.985981598E0,7.023394775E0,5.651647339E0,1.030190295E1
2.202156250E-1,5.672304382E0,8.274193726E0,5.768254852E0,1.157195242E1
2.302246250E-1,6.188730469E0,9.510023804E0,5.685327301E0,1.269109468E1
2.402326250E-1,6.529571686E0,1.056233551E1,5.637875977E0,1.363759082E1
2.502406250E-1,6.743177490E0,1.114731903E1,5.561834106E0,1.416570375E1
2.602496250E-1,6.844067688E0,1.121333176E1,5.288203125E0,1.416139696E1
2.702576250E-1,6.786886597E0,1.078941330E1,4.741090851E0,1.359967689E1
2.802656250E-1,6.577472076E0,1.013003448E1,3.882775726E0,1.268687057E1
2.902736250E-1,6.259682922E0,9.354646912E0,2.965782623E0,1.163997061E1
3.002826250E-1,5.933361511E0,8.471932526E0,2.149679718E0,1.056406846E1
3.102906250E-1,5.601351929E0,7.837102661E0,1.575473785E0,9.761016299E0
3.202986250E-1,5.344935150E0,7.865543518E0,1.326242065E0,9.601771952E0
3.303076250E-1,5.223687286E0,9.007818146E0,1.250649261E0,1.048769852E1
3.403156250E-1,5.346132660E0,1.087563400E1,1.266516266E0,1.218460557E1
3.503236250E-1,5.345084839E0,1.295076874E1,1.145268402E0,1.405716837E1
3.603316250E-1,5.000351715E0,1.458312424E1,1.073118439E0,1.545388666E1
3.703406250E-1,4.228556671E0,1.538500671E1,8.936416626E-1,1.598054187E1
3.803486250E-1,3.168610840E0,1.502590347E1,6.909631348E-1,1.537189968E1
3.903566250E-1,2.193688202E0,1.349608475E1,6.801855469E-1,1.369011409E1
4.003656250E-1,1.481169891E0,1.141810593E1,8.211923218E-1,1.154302231E1
4.103736250E-1,1.016087036E0,9.780661011E0,1.014739838E0,9.885517670E0
4.203816250E-1,6.221063232E-1,8.501870270E0,1.200204163E0,8.608676112E0
4.303906250E-1,-3.936813354E-2,7.577542419E0,9.255253601E-1,7.633956783E0
4.403986250E-1,-8.068222046E-1,7.115603027E0,6.755451965E-1,7.192991716E0
4.504066250E-1,-7.620652771E-1,7.203470306E0,4.480183411E-1,7.257509792E0
4.604146250E-1,-3.068618774E-1,7.728129272E0,2.698887634E-1,7.738926683E0
4.704236250E-1,2.992277527E-1,8.600814514E0,3.210823059E-1,8.612005655E0
4.804316250E-1,7.583230591E-1,9.527986450E0,6.598278809E-1,9.580863870E0
4.904396250E-1,9.900411987E-1,1.029723679E1,9.846524048E-1,1.039147763E1
5.004486250E-1,1.037642212E0,1.083342178E1,1.318009186E0,1.096252148E1
5.104572500E-1,9.595046997E-1,1.096784225E1,1.559756470E0,1.111966965E1
5.204652500E-1,8.735833740E-1,1.063658112E1,1.603315887E0,1.079215584E1
5.304742500E-1,8.690927124E-1,9.725725250E0,1.354233856E0,9.857941120E0
5.404822500E-1,8.337661743E-1,8.559051361E0,9.924362183E-1,8.656642298E0
5.504902500E-1,8.946894836E-1,7.511230316E0,7.726931763E-1,7.603690215E0
5.604982500E-1,9.669891357E-1,6.885531464E0,5.014572144E-1,6.971159937E0
5.705072500E-1,9.870474243E-1,6.778504028E0,2.242337036E-1,6.853660353E0
5.805152500E-1,9.681866455E-1,7.161407776E0,4.131408691E-2,7.226676523E0
5.905232500E-1,1.004710693E0,7.884553986E0,-9.145980835E-2,7.948836394E0
6.005322500E-1,1.070723419E0,8.709787903E0,-1.477427673E-1,8.776598537E0
6.105402500E-1,1.113085327E0,9.402098236E0,-1.255888367E-1,9.468589269E0
6.205482500E-1,1.166673889E0,9.788594513E0,-1.871109009E-2,9.857893315E0
6.305572500E-1,1.238973541E0,9.742191010E0,1.362167358E-1,9.821603540E0
6.405652500E-1,1.353186035E0,9.367220764E0,4.320016479E-1,9.474310672E0
6.505732500E-1,1.483265533E0,8.955277405E0,8.583151245E-1,9.117772474E0
6.605822500E-1,1.564546509E0,8.640931091E0,1.263522491E0,8.871864798E0
6.705902500E-1,1.709145813E0,8.397986298E0,1.618434448E0,8.721621600E0
6.805982500E-1,1.910626831E0,8.207881622E0,1.944755859E0,8.648808644E0
6.906062500E-1,2.181264038E0,8.128247223E0,2.182162170E0,8.694144435E0
7.006152500E-1,2.543361053E0,8.281528473E0,2.317929840E0,8.968009703E0
7.106232500E-1,2.987786865E0,8.456215210E0,2.428998871E0,9.291635031E0
7.206312500E-1,3.374283142E0,8.510552216E0,2.448009338E0,9.476710160E0
7.306402500E-1,3.762276306E0,8.582552490E0,2.247127075E0,9.636623389E0
7.406482500E-1,4.147874451E0,8.696016541E0,1.994602203E0,9.838902585E0
7.506562500E-1,4.543651428E0,8.737779694E0,1.805994415E0,1.001275078E1
7.606652500E-1,4.884642334E0,8.774603119E0,1.439406738E0,1.014520982E1
7.706732500E-1,5.163213043E0,8.722062378E0,9.816586304E-1,1.018316231E1
7.806812500E-1,5.347779236E0,8.666827240E0,4.748126221E-1,1.019500290E1
7.906892500E-1,5.373825073E0,8.632398834E0,7.499404907E-2,1.016867394E1
8.006982500E-1,5.442382507E0,8.583600311E0,-5.703140259E-2,1.016370869E1
8.107062500E-1,5.466033325E0,8.581205292E0,3.607498169E-2,1.017427668E1
8.207142500E-1,5.408702545E0,8.629854126E0,3.707789612E-1,1.019146322E1
8.307232500E-1,5.397775269E0,8.652457123E0,8.901988220E-1,1.023686700E1
8.407312500E-1,5.420827332E0,8.684191132E0,1.366358643E0,1.032799499E1
8.507392500E-1,5.245242462E0,8.780440979E0,1.507215729E0,1.033829829E1
8.607482500E-1,5.203329620E0,8.893306274E0,1.562001801E0,1.042139075E1
8.707562500E-1,5.060376892E0,9.030271454E0,1.576820984E0,1.047089209E1
8.807642500E-1,4.835245056E0,9.139843597E0,1.631008301E0,1.046788058E1
8.907722500E-1,4.714296570E0,9.352401581E0,1.834734650E0,1.063288572E1
9.007812500E-1,4.616100769E0,9.740544434E0,2.098037109E0,1.098127278E1
9.107892500E-1,4.464316406E0,1.015518219E1,2.321522369E0,1.133345986E1
9.207972500E-1,4.307592316E0,1.057640625E1,2.529290314E0,1.169671023E1
9.308062500E-1,4.081113281E0,1.095242432E1,2.469564514E0,1.194612209E1
9.408142500E-1,3.816164246E0,1.109941864E1,2.199825439E0,1.194150056E1
9.508222500E-1,3.538791046E0,1.104642883E1,1.782493286E0,1.173558326E1
9.608312500E-1,3.275039520E0,1.080722626E1,1.360670471E0,1.137424491E1
9.708392500E-1,3.039279785E0,1.040127045E1,1.030157776E0,1.088507573E1
9.808472500E-1,2.845283203E0,9.992021484E0,7.921527100E-1,1.041938749E1
9.908562500E-1,2.950065308E0,9.625284119E0,6.038442993E-1,1.008531644E1
1.000864250E0,3.330723724E0,9.662257233E0,5.566923523E-1,1.023537209E1
1.010872250E0,3.847299500E0,1.001881577E1,-5.254074097E-2,1.073224782E1
1.020880250E0,4.331243134E0,1.026759842E1,-1.252295837E0,1.121389715E1
1.030889250E0,4.393813019E0,1.056098831E1,-1.948797455E0,1.160335635E1
1.040897250E0,3.785627747E0,1.084569626E1,-1.170865173E0,1.154690565E1
1.050905250E0,3.076252899E0,1.104059097E1,4.155358887E-1,1.146868131E1
1.060914250E0,2.556084595E0,1.064211960E1,1.008752289E0,1.099117187E1
1.070922250E0,2.088606720E0,9.875264282E0,6.773414612E-1,1.011641805E1
1.080930250E0,1.673968964E0,9.027127991E0,-8.761280823E-1,9.222733449E0
1.090939250E0,1.262025604E0,7.380701752E0,-6.842570801E0,1.014338416E1
1.100947250E0,5.281018066E-1,6.998097382E0,-8.894803162E0,1.133003891E1
1.110955250E0,-3.659889221E-1,8.331973572E0,-5.157225494E0,9.805748635E0
1.120964250E0,-5.769003296E-1,9.213340759E0,-1.892364807E0,9.423349007E0
1.130972250E0,-6.424639893E-1,9.902357941E0,8.153544617E-1,9.956618686E0
1.140980250E0,-2.694396973E-1,1.064810715E1,2.561772766E0,1.095524821E1
1.150988250E0,5.210664368E-1,1.092383377E1,2.904559937E0,1.131539318E1
1.160997250E0,1.006656647E0,1.179831528E1,3.249742126E0,1.227902378E1
1.171005250E0,1.547931061E0,1.261516663E1,3.273093567E0,1.312446803E1
1.181013250E0,2.162103882E0,1.305061111E1,2.910846863E0,1.354496855E1
1.191022250E0,3.224594421E0,1.305480240E1,1.179547119E0,1.349878536E1
1.201030250E0,5.129383392E0,1.302561310E1,-3.636388092E0,1.446376469E1
1.211038250E0,6.735094299E0,1.317455338E1,-7.737859039E0,1.669744934E1
1.221047250E0,7.383396149E0,1.223286163E1,-7.051386566E0,1.593359642E1
1.231055250E0,7.073989563E0,9.956096191E0,-2.744692383E0,1.251792778E1
1.241063250E0,6.710545349E0,7.708819427E0,3.628454590E-1,1.022687502E1
1.251072250E0,6.483766937E0,5.987848206E0,3.224444733E0,9.396307980E0
1.261080250E0,6.214177551E0,4.640649719E0,5.842201080E0,9.709940572E0
1.271088250E0,5.839356995E0,3.822151794E0,7.862250366E0,1.051294037E1
1.281096250E0,5.498515778E0,3.165617065E0,8.871601410E0,1.090688401E1
1.291105250E0,4.882247314E0,3.104843445E0,8.951984253E0,1.065900623E1
1.301113250E0,3.642675018E0,4.160897369E0,7.264992371E0,9.130293662E0
1.311121250E0,2.161355438E0,5.665867767E0,4.525688782E0,7.566728080E0
1.321130250E0,1.080004120E0,7.073989563E0,2.700085144E0,7.648411405E0
1.331138250E0,1.794767761E-1,8.333320770E0,1.616189117E0,8.490495524E0
1.341146250E0,-6.346801758E-1,9.295370178E0,1.163680115E0,9.389402382E0
1.351155250E0,-1.176253967E0,1.005384293E1,1.436562653E0,1.022384679E1
1.361163250E0,-1.444945221E0,1.055036041E1,2.018851776E0,1.083853007E1
1.371171250E0,-1.456920319E0,1.050680099E1,2.636617126E0,1.093010676E1
1.381180250E0,-7.455995178E-1,9.703122253E0,3.253035278E0,1.026103010E1
1.391188250E0,3.969744873E-1,8.798403625E0,3.726650391E0,9.563337191E0
1.401196250E0,1.135239258E0,8.094417572E0,4.207300873E0,9.192918179E0
1.411204250E0,1.772164764E0,7.700287170E0,4.681664429E0,9.184387420E0
1.421213250E0,2.341430969E0,7.354057159E0,5.088368683E0,9.244238830E0
1.431221250E0,3.022963715E0,6.904242554E0,5.507646790E0,9.334936958E0
1.441229250E0,3.756887512E0,6.508465576E0,5.888155518E0,9.546973517E0
1.451238250E0,4.616849213E0,6.414461060E0,5.923631744E0,9.876741385E0
1.461246250E0,5.511538696E0,6.655310211E0,5.638774109E0,1.031823562E1
1.471254250E0,6.325845337E0,7.107968903E0,5.152734833E0,1.082082332E1
1.481263250E0,6.892417145E0,7.744295654E0,4.422702942E0,1.127119473E1
1.491271250E0,7.314090271E0,8.287965088E0,3.632496185E0,1.163534745E1
1.501279250E0,7.652087402E0,8.647068329E0,3.098706207E0,1.195525878E1
1.511288000E0,7.827073517E0,9.053323517E0,2.886297913E0,1.231082703E1
1.521296000E0,7.784861298E0,9.567803650E0,2.838996277E0,1.265728375E1
1.531304000E0,7.490573273E0,1.005204666E1,2.818937988E0,1.284907551E1
1.541313000E0,7.106771393E0,1.021386017E1,2.855012970E0,1.276637138E1
1.551321000E0,6.723418579E0,1.030023056E1,2.958896942E0,1.265125204E1
1.561329000E0,6.392456818E0,1.083521805E1,2.955603790E0,1.292288853E1
1.571337000E0,6.180946655E0,1.196521820E1,2.809357910E0,1.375729043E1
1.581346000E0,6.098917236E0,1.347288300E1,2.610421600E0,1.501764524E1
1.591354000E0,5.879323883E0,1.497321304E1,2.371668091E0,1.626002361E1
1.601362000E0,5.202281799E0,1.537318130E1,2.074835358E0,1.636164359E1
