"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-1.445124999E-3,2.882256317E0,3.823349304E0,7.965984650E0,9.294208563E0
8.563875001E-3,3.205883331E0,3.828139343E0,8.027955780E0,9.454121470E0
1.857187500E-2,3.412004700E0,3.542533264E0,8.361911316E0,9.701179251E0
2.857987500E-2,3.637585602E0,3.254981232E0,8.750652924E0,1.002002288E1
3.858887500E-2,3.964805145E0,2.988086243E0,9.256451111E0,1.050381961E1
4.859687500E-2,3.943549347E0,2.724933472E0,9.703721008E0,1.082307929E1
5.860487500E-2,3.634292450E0,2.630180511E0,1.027358597E1,1.121037465E1
6.861387500E-2,3.356021118E0,2.793191528E0,1.026205994E1,1.115233925E1
7.862187500E-2,3.176544342E0,3.185226288E0,9.874815216E0,1.085117855E1
8.862987500E-2,3.152145081E0,3.620371399E0,9.663903809E0,1.079046544E1
9.863887500E-2,3.218157806E0,4.005819855E0,9.868827667E0,1.112640517E1
1.086468750E-1,3.375480652E0,4.320615234E0,1.007090744E1,1.146668053E1
1.186548750E-1,3.467988281E0,4.689897308E0,1.046039749E1,1.197672723E1
1.286638750E-1,3.596870270E0,4.938530273E0,1.078043198E1,1.239129818E1
1.386718750E-1,3.654500427E0,5.190755768E0,1.076830719E1,1.250023034E1
1.486798750E-1,3.717818756E0,5.481301575E0,1.069151688E1,1.257677925E1
1.586878750E-1,3.779191132E0,5.553750916E0,1.035112473E1,1.233986296E1
1.686968750E-1,3.796405334E0,5.320535889E0,1.003962250E1,1.197976692E1
1.787048750E-1,3.770209808E0,4.886288910E0,9.882000275E0,1.165093261E1
1.887128750E-1,3.677402802E0,4.519102478E0,9.884245605E0,1.147361712E1
1.987218750E-1,3.736529846E0,4.335883484E0,1.003782623E1,1.155506367E1
2.087298750E-1,3.821852417E0,4.552333374E0,9.746831360E0,1.141626106E1
2.187378750E-1,3.660038910E0,5.176086273E0,8.784632263E0,1.083316749E1
2.287468750E-1,3.196303253E0,5.775140533E0,8.104746094E0,1.045253615E1
2.387548750E-1,2.572999420E0,6.339766388E0,7.559430084E0,1.019597700E1
2.487628750E-1,2.025288391E0,6.737639008E0,7.505242767E0,1.028718822E1
2.587718750E-1,1.421444092E0,7.062613220E0,7.880961456E0,1.067757286E1
2.687798750E-1,8.819659424E-1,7.426057434E0,8.005352783E0,1.095490147E1
2.787878750E-1,7.852670288E-1,7.698191528E0,7.934100952E0,1.108281350E1
2.887968750E-1,9.395960999E-1,8.075706482E0,8.020171967E0,1.142029047E1
2.988048750E-1,1.140029297E0,8.500523071E0,7.930508423E0,1.168124664E1
3.088128750E-1,1.112037506E0,8.553213501E0,7.838898926E0,1.165514586E1
3.188218750E-1,1.119072876E0,8.312064972E0,7.927814026E0,1.154092645E1
3.288298750E-1,1.225052490E0,7.832013245E0,8.020171967E0,1.127671687E1
3.388378750E-1,1.260678406E0,6.968608704E0,8.190817108E0,1.082775610E1
3.488468750E-1,1.367855530E0,5.818250885E0,8.348139954E0,1.026715700E1
3.588548750E-1,1.483265533E0,4.949158173E0,8.453670502E0,9.907511706E0
3.688628750E-1,1.703607330E0,4.265529785E0,8.216563568E0,9.413232131E0
3.788718750E-1,1.815125427E0,3.935166779E0,8.045619049E0,9.138501178E0
3.888798750E-1,1.855092316E0,3.710633698E0,8.339308319E0,9.314195251E0
3.988878750E-1,1.738185425E0,3.419489136E0,8.602311401E0,9.418808628E0
4.088968750E-1,1.488354950E0,3.272345123E0,8.510402527E0,9.238527709E0
4.189048750E-1,1.260379028E0,3.190315704E0,8.193212128E0,8.882307952E0
4.289128750E-1,1.145567780E0,3.051404572E0,7.723638611E0,8.383196812E0
4.389218750E-1,1.068328400E0,2.730322266E0,7.297474823E0,7.864421405E0
4.489298750E-1,1.068478088E0,2.374661865E0,7.120393066E0,7.581600215E0
4.589378750E-1,1.163829803E0,1.964664459E0,7.433841248E0,7.776657505E0
4.689458750E-1,1.146465912E0,1.681004333E0,7.650590515E0,7.916545641E0
4.789548750E-1,1.083446960E0,1.722917175E0,7.465575256E0,7.738030422E0
4.889628750E-1,8.110134888E-1,1.917063446E0,7.288942566E0,7.580340287E0
4.989708750E-1,4.848417664E-1,2.350711670E0,7.410190430E0,7.789212996E0
5.089798750E-1,3.516188049E-1,2.599943390E0,7.676636353E0,8.112588188E0
5.189878750E-1,3.594026184E-1,2.484383698E0,7.960595856E0,8.347000598E0
5.289958750E-1,4.099974060E-1,2.907254333E0,7.013665009E0,7.603402034E0
