"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.765250000E-3,8.456664276E0,-9.219328308E0,2.552192688E-1,1.251304607E1
1.577325000E-2,8.168663177E0,-9.188193054E0,2.350112915E-1,1.229655155E1
2.578125000E-2,7.974067841E0,-9.184450836E0,2.890489197E-1,1.216648858E1
3.578925000E-2,7.779771881E0,-9.154662781E0,2.727328491E-1,1.201694988E1
4.579725000E-2,7.554340668E0,-9.092841339E0,2.615061951E-1,1.182439056E1
5.580525000E-2,7.370522919E0,-8.963959351E0,2.116598511E-1,1.160697959E1
6.581325000E-2,7.242089996E0,-8.870703278E0,1.437011719E-1,1.145241870E1
7.582125000E-2,7.154222717E0,-8.782237244E0,6.197113037E-2,1.132759613E1
8.582925000E-2,7.112010498E0,-8.654852142E0,-8.158035278E-2,1.120240217E1
9.583725000E-2,7.089706879E0,-8.538394318E0,-2.127076721E-1,1.110015161E1
1.058452500E-1,7.099286957E0,-8.416248322E0,-2.526745605E-1,1.101348971E1
1.158532500E-1,7.081473999E0,-8.288264465E0,-2.854563904E-1,1.090523210E1
1.258612500E-1,7.106621704E0,-8.170309753E0,-3.532653809E-1,1.083433569E1
1.358702500E-1,7.165449371E0,-8.084837494E0,-4.337979126E-1,1.081186583E1
1.458782500E-1,7.215744781E0,-7.984396362E0,-4.361929321E-1,1.077069275E1
1.558862500E-1,7.306755524E0,-7.893684998E0,-3.938310242E-1,1.076355155E1
1.658942500E-1,7.340884552E0,-7.782316589E0,-2.911445618E-1,1.070223354E1
1.759022500E-1,7.322173462E0,-7.627837830E0,-2.417472839E-1,1.057622692E1
1.859102500E-1,7.299121399E0,-7.540120239E0,-1.778302002E-1,1.049581869E1
1.959182500E-1,7.220834198E0,-7.451205139E0,4.191284180E-3,1.037597813E1
2.059262500E-1,7.050338745E0,-7.344177704E0,1.673519897E-1,1.018195606E1
2.159342500E-1,6.907086639E0,-7.262297974E0,2.989283752E-1,1.002687269E1
