"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.342666666E-3,1.198003738E1,-3.363804932E0,-2.108365631E0,1.262068481E1
1.135166667E-2,1.288505539E1,-3.280278625E0,-3.358416138E0,1.371363698E1
2.135966667E-2,1.351808899E1,-3.307671661E0,-4.555027771E0,1.464335002E1
3.136766667E-2,1.387060593E1,-3.605552216E0,-5.592071228E0,1.538391940E1
4.137666667E-2,1.383168686E1,-4.372257843E0,-6.292464752E0,1.581225198E1
5.138466667E-2,1.357781479E1,-5.654341736E0,-6.519991608E0,1.608847182E1
6.139266667E-2,1.257579849E1,-6.964866486E0,-5.337301025E0,1.533449885E1
7.140166667E-2,1.157063873E1,-8.147108002E0,-3.612886963E0,1.460506767E1
8.140966667E-2,1.117246674E1,-9.223519592E0,-2.421514435E0,1.468880726E1
9.141766667E-2,1.070918015E1,-9.935439148E0,-1.664837952E0,1.470276082E1
1.014266667E-1,9.975555725E0,-1.004396347E1,-6.213578796E-1,1.416965066E1
1.114346667E-1,9.207203522E0,-9.706116028E0,5.243595886E-1,1.338866080E1
1.214426667E-1,8.555458832E0,-9.385333099E0,1.141376495E0,1.275080756E1
1.314516667E-1,7.992928619E0,-9.531878357E0,1.115330658E0,1.248949860E1
1.414596667E-1,7.729775848E0,-9.963730316E0,8.006849670E-1,1.263591916E1
1.514676667E-1,7.537874908E0,-9.829010468E0,2.908451843E-1,1.239006036E1
1.614766667E-1,7.079078979E0,-8.777297516E0,1.811233521E-2,1.127628658E1
1.714846667E-1,6.356082458E0,-7.860005035E0,3.330574036E-1,1.011387120E1
1.814926667E-1,5.589227142E0,-7.080875244E0,6.812333679E-1,9.046675255E0
1.915016667E-1,5.129233704E0,-6.360573120E0,8.927435303E-1,8.219666649E0
2.015096667E-1,5.002896423E0,-5.740113373E0,1.006357269E0,7.680535731E0
2.115176667E-1,5.036726074E0,-5.317991180E0,1.024020538E0,7.395827053E0
2.215266667E-1,5.133574677E0,-5.190606079E0,9.925859070E-1,7.367578110E0
2.315346667E-1,5.083728333E0,-5.207071838E0,8.875044250E-1,7.331135996E0
2.415426667E-1,5.090015259E0,-5.060227203E0,8.812174988E-1,7.231230806E0
2.515516667E-1,5.133574677E0,-4.947511597E0,9.897418213E-1,7.197989221E0
2.615596667E-1,5.104984131E0,-5.065466309E0,1.129102020E0,7.279744726E0
2.715676667E-1,5.210814056E0,-5.293741608E0,1.280587006E0,7.537651253E0
2.815766667E-1,5.328020325E0,-5.667214966E0,1.337768097E0,7.892702296E0
2.915846667E-1,5.474864960E0,-5.973927155E0,1.358275452E0,8.216256092E0
