Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),Action,Placement
0.301,0.4315364516129032,-1.5876677419354839,-1.1589387096774195,2.456483870967742,1.0,0.0
0.311,0.5128912903225806,-1.6686774193548386,-1.0364548387096777,2.600838709677419,1.0,0.0
0.321,0.5727622580645161,-1.732,-0.9089387096774194,2.7312903225806453,1.0,0.0
0.331,0.6216332258064516,-1.7903870967741937,-0.7998741935483871,2.848677419354839,1.0,0.0
0.341,0.65903,-1.8346129032258065,-0.6828161290322581,2.970935483870968,1.0,0.0
0.351,0.6513225806451612,-1.8747096774193548,-0.5422161290322581,3.107677419354839,1.0,0.0
0.362,0.6133870967741936,-1.8846129032258065,-0.3753129032258065,3.2501290322580645,1.0,0.0
0.372,0.5396774193548387,-1.8838064516129032,-0.23666774193548396,3.3661290322580646,1.0,0.0
0.382,0.45522580645161287,-1.8773225806451614,-0.14121612903225808,3.4698064516129032,1.0,0.0
0.392,0.3902580645161291,-1.8579516129032259,-0.06572580645161295,3.550935483870968,1.0,0.0
0.402,0.3260322580645162,-1.8305967741935485,0.016483870967741895,3.6352258064516128,1.0,0.0
0.412,0.2589032258064516,-1.7948225806451612,0.12138709677419351,3.730645161290323,1.0,0.0
0.422,0.1836451612903226,-1.7457580645161292,0.2523225806451613,3.8329032258064517,1.0,0.0
0.432,0.10987096774193553,-1.6901129032258064,0.3781290322580645,3.9048387096774198,1.0,0.0
0.442,0.04235483870967747,-1.6389838709677418,0.47232258064516125,3.9406451612903224,1.0,0.0
0.452,-0.011967741935483828,-1.5723709677419353,0.5328064516129032,3.9567741935483873,1.0,0.0
0.462,-0.06758064516129028,-1.4746290322580646,0.5650000000000001,3.975806451612903,1.0,0.0
0.472,-0.16096774193548383,-1.3391451612903227,0.5711290322580644,4.041935483870968,1.0,0.0
0.482,-0.29590322580645156,-1.1688225806451615,0.5414516129032257,4.156451612903226,1.0,0.0
0.492,-0.43912903225806443,-0.9668870967741935,0.4746774193548387,4.285806451612903,1.0,0.0
0.502,-0.5958709677419354,-0.7414032258064516,0.3901612903225806,4.424516129032258,1.0,0.0
0.512,-0.7719999999999999,-0.49172580645161285,0.3098387096774194,4.561290322580645,1.0,0.0
0.522,-0.9407096774193549,-0.2246290322580645,0.25080645161290316,4.668709677419354,1.0,0.0
0.532,-1.0707096774193547,0.025048387096774222,0.22854838709677422,4.726451612903225,1.0,0.0
0.542,-1.1416774193548387,0.239241935483871,0.2630645161290323,4.736451612903226,1.0,0.0
0.552,-1.1698032258064517,0.4366612903225807,0.3520967741935484,4.7135483870967745,1.0,0.0
0.562,-1.1773193548387098,0.6134354838709678,0.4395483870967742,4.700322580645161,1.0,0.0
0.572,-1.2104806451612904,0.7973064516129034,0.48780645161290326,4.723548387096773,1.0,0.0
0.582,-1.2793193548387096,1.0056935483870968,0.4860322580645161,4.740967741935484,1.0,0.0
0.593,-1.3870612903225805,1.2121451612903227,0.43954838709677424,4.715806451612903,1.0,0.0
0.603,-1.4948677419354839,1.4140806451612904,0.3628709677419355,4.668064516129032,1.0,0.0
0.613,-1.5830935483870967,1.6056935483870967,0.2549677419354839,4.604516129032257,1.0,0.0
0.623,-1.6478032258064514,1.7656935483870968,0.08464516129032262,4.545483870967741,1.0,0.0
0.633,-1.667158064516129,1.5979516129032256,-0.6824516129032258,5.094516129032258,1.0,0.0
0.643,-1.4149,1.5340806451612903,-1.2598709677419353,5.546129032258064,1.0,0.0
0.653,-1.3374806451612904,1.7360161290322582,-1.284709677419355,5.626774193548386,1.0,0.0
0.663,-1.3537387096774194,1.7494677419354838,-1.604709677419355,5.668709677419354,1.0,0.0
0.673,-1.3425451612903225,1.8030161290322582,-1.826,5.594516129032258,1.0,0.0
0.683,-1.3189967741935484,1.8308870967741937,-1.992774193548387,5.52741935483871,1.0,0.0
0.693,-1.335125806451613,1.8312419354838712,-2.091548387096774,5.505806451612903,1.0,0.0
0.703,-1.4519,1.814967741935484,-2.178612903225807,5.590645161290323,1.0,0.0
0.713,-1.6764161290322581,1.8766129032258063,-2.247161290322581,5.785806451612903,1.0,0.0
0.723,-1.9748032258064518,2.008741935483871,-2.3234193548387094,6.065161290322581,1.0,0.0
0.733,-2.2786741935483867,2.1486451612903226,-2.386645161290322,6.351612903225806,1.0,0.0
