Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),Action,Placement
0.304,-1.8538064516129034,-9.436451612903225,0.9621935483870968,10.301935483870968,1.0,0.0
0.314,-1.9486451612903226,-9.39806451612903,0.9920322580645162,10.266451612903227,1.0,0.0
0.324,-2.0947741935483872,-9.37516129032258,1.0020322580645162,10.234838709677419,1.0,0.0
0.334,-2.2809032258064517,-9.360645161290323,1.0286451612903227,10.208064516129033,1.0,0.0
0.344,-2.4918709677419355,-9.354193548387096,1.0839870967741936,10.189354838709678,1.0,0.0
0.354,-2.675741935483871,-9.35225806451613,1.1540838709677417,10.184516129032257,1.0,0.0
0.364,-2.8205806451612903,-9.353548387096774,1.2193741935483873,10.188387096774193,1.0,0.0
0.374,-2.9496129032258067,-9.36032258064516,1.2616967741935483,10.198709677419354,1.0,0.0
0.384,-3.0493225806451614,-9.371612903225806,1.281858064516129,10.219032258064514,1.0,0.0
0.394,-3.1180645161290323,-9.385806451612902,1.2847612903225807,10.243225806451612,1.0,0.0
0.404,-3.1561290322580646,-9.404193548387097,1.267341935483871,10.268709677419354,1.0,0.0
0.414,-3.160322580645161,-9.42225806451613,1.2402451612903227,10.282580645161291,1.0,0.0
0.425,-3.121935483870968,-9.429354838709678,1.2166967741935484,10.271290322580644,1.0,0.0
0.435,-3.034838709677419,-9.419677419354839,1.2028258064516129,10.223225806451614,1.0,0.0
0.445,-2.9093548387096773,-9.393225806451612,1.1863741935483871,10.14258064516129,1.0,0.0
0.455,-2.7638709677419353,-9.359354838709677,1.1502451612903226,10.040645161290323,1.0,0.0
0.465,-2.6164516129032256,-9.336774193548386,1.0899225806451613,9.940967741935482,1.0,0.0
0.475,-2.4938709677419353,-9.349354838709678,1.0155032258064516,9.880645161290323,1.0,0.0
0.485,-2.405806451612903,-9.39516129032258,0.9415032258064516,9.86774193548387,1.0,0.0
0.495,-2.343225806451613,-9.461612903225806,0.8799548387096775,9.889354838709679,1.0,0.0
0.505,-2.2977419354838706,-9.519032258064517,0.8369225806451612,9.91709677419355,1.0,0.0
0.515,-2.2703225806451615,-9.546774193548389,0.8229870967741937,9.932258064516128,1.0,0.0
0.525,-2.261290322580645,-9.545806451612902,0.8395677419354839,9.929032258064515,1.0,0.0
0.535,-2.2654838709677416,-9.528387096774193,0.8818580645161291,9.912903225806451,1.0,0.0
0.546,-2.2874193548387094,-9.511290322580644,0.9372129032258065,9.899354838709677,1.0,0.0
0.556,-2.335483870967742,-9.494193548387097,0.9959870967741935,9.890322580645162,1.0,0.0
0.566,-2.408580645161291,-9.476451612903226,1.0398258064516128,9.884516129032258,1.0,0.0
0.576,-2.488354838709678,-9.460322580645162,1.058516129032258,9.880645161290323,1.0,0.0
0.586,-2.5506451612903223,-9.446129032258064,1.0466129032258065,9.875483870967741,1.0,0.0
0.596,-2.587741935483871,-9.431935483870967,1.011516129032258,9.864516129032259,1.0,0.0
0.606,-2.6025806451612903,-9.420645161290324,0.9660645161290323,9.850322580645162,1.0,0.0
0.616,-2.6164516129032256,-9.41,0.9229354838709678,9.838387096774193,1.0,0.0
0.626,-2.64,-9.404516129032258,0.8801612903225806,9.83258064516129,1.0,0.0
0.636,-2.660645161290322,-9.406451612903224,0.8281645161290322,9.834193548387097,1.0,0.0
0.646,-2.6716129032258067,-9.415483870967742,0.7636161290322581,9.840967741935483,1.0,0.0
0.656,-2.6729032258064516,-9.427096774193549,0.6935516129032258,9.847419354838712,1.0,0.0
0.666,-2.674838709677419,-9.433548387096774,0.6289387096774194,9.850322580645162,1.0,0.0
0.677,-2.6848387096774196,-9.43032258064516,0.5774870967741935,9.846451612903227,1.0,0.0
0.687,-2.696451612903226,-9.41741935483871,0.5411696774193548,9.835483870967742,1.0,0.0
0.697,-2.705806451612903,-9.396129032258065,0.5121051612903226,9.815161290322582,1.0,0.0
0.707,-2.7074193548387093,-9.370645161290323,0.49204064516129037,9.790000000000001,1.0,0.0
0.717,-2.701290322580645,-9.348387096774193,0.48146000000000005,9.764838709677418,1.0,0.0
0.727,-2.693548387096774,-9.339677419354837,0.4731051612903226,9.753548387096775,1.0,0.0
0.737,-2.69258064516129,-9.346451612903227,0.46600838709677417,9.759032258064517,1.0,0.0
0.747,-2.702258064516129,-9.366129032258065,0.45729870967741937,9.778064516129032,1.0,0.0
0.757,-2.7216129032258065,-9.395483870967741,0.44729870967741936,9.810322580645161,1.0,0.0
0.767,-2.745483870967742,-9.431612903225806,0.4392341935483871,9.850967741935484,1.0,0.0
0.777,-2.767741935483871,-9.468387096774196,0.43600838709677414,9.89258064516129,1.0,0.0
0.787,-2.785806451612903,-9.497741935483871,0.4365245161290322,9.927096774193549,1.0,0.0
0.797,-2.799032258064516,-9.516129032258064,0.4361696774193548,9.949677419354838,1.0,0.0
0.808,-2.810967741935484,-9.519354838709678,0.4259070967741935,9.959354838709675,1.0,0.0
0.818,-2.8535483870967746,-9.443870967741935,0.3247458064516129,9.926129032258066,1.0,0.0
0.828,-3.0258064516129033,-9.193225806451611,0.16597161290322582,9.919677419354839,1.0,0.0
0.838,-3.2574193548387096,-9.026129032258064,0.09971354838709677,9.958387096774194,1.0,0.0
0.848,-3.4383870967741936,-9.07258064516129,0.1044232258064516,10.084193548387097,1.0,0.0
0.858,-3.5980645161290323,-9.196774193548388,0.10177806451612902,10.26225806451613,1.0,0.0
