"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,1.084219962E-1,-7.871580184E-2,-4.769819391E-1,4.954425062E-1
1.004199998E-2,2.941237181E-1,-3.065674701E-1,-4.734280014E-1,6.361025451E-1
2.008499997E-2,3.551984704E-1,-3.304176781E-1,-2.813428742E-1,5.607990800E-1
3.012699995E-2,-9.932519048E-2,-1.492696307E-1,-8.884493351E-2,2.001008204E-1
4.016999993E-2,6.932166517E-3,1.625496715E-1,-7.857312977E-2,1.806770250E-1
5.021199991E-2,-1.338755107E-1,-1.728086114E-1,-4.539298761E-1,5.038231842E-1
6.025499990E-2,-7.502153099E-2,-3.970990330E-1,-6.478434277E-1,7.635554851E-1
7.029700000E-2,1.083570921E-1,-4.027448121E-1,-2.491516131E-1,4.858200998E-1
8.033999999E-2,-1.557303563E-1,-6.666293621E-1,1.977002084E-2,6.848631279E-1
9.038199997E-2,-1.985220346E-1,-6.988212079E-1,-2.851102352E-2,7.270316068E-1
1.004250000E-1,-1.685059378E-1,-7.052176233E-1,-2.922520244E-1,7.817527697E-1
1.104669999E-1,-1.471574610E-1,-7.378719838E-1,-7.288566005E-1,1.047541086E0
1.205099999E-1,-2.627727020E-1,-9.036579430E-1,-1.233811619E0,1.551753293E0
1.305519999E-1,-5.768529671E-1,-1.101806633E0,-1.504575126E0,1.952045981E0
1.405950000E-1,-8.760473907E-1,-1.355828977E0,-1.484374750E0,2.192965947E0
1.506370000E-1,-9.861545545E-1,-1.739649860E0,-1.406583978E0,2.444864194E0
1.606800000E-1,-9.854224831E-1,-1.950613308E0,-1.403639905E0,2.597336083E0
1.707220000E-1,-8.874716806E-1,-2.229337799E0,-1.563817946E0,2.864101879E0
1.807649999E-1,-4.798985302E-1,-2.622356937E0,-2.058447951E0,3.368125068E0
1.908069999E-1,3.588868940E-1,-2.737923354E0,-2.663821882E0,3.836791773E0
2.008499999E-1,1.078820059E0,-2.870409566E0,-3.180201191E0,4.417780371E0
2.108920000E-1,1.571967795E0,-3.110355323E0,-3.716411916E0,5.094812117E0
2.209350000E-1,1.600103427E0,-3.046575941E0,-3.985442893E0,5.265520961E0
2.309770000E-1,1.187014014E0,-2.460731710E0,-4.190762608E0,5.002668693E0
2.410200000E-1,9.226479453E-1,-2.233240230E0,-4.244186279E0,4.883826197E0
2.510619999E-1,4.472266281E-1,-2.199057992E0,-2.940553642E0,3.699016549E0
2.611049999E-1,7.101104271E-1,-2.259454760E0,-1.367621641E0,2.734918936E0
2.711469999E-1,1.666626030E0,-2.740963321E0,-2.683942151E-1,3.219092684E0
2.811899999E-1,2.718779277E0,-3.120828563E0,7.002192771E-1,4.197813563E0
2.912330000E-1,3.153872348E0,-3.073198314E0,1.739840187E0,4.734818110E0
3.012750000E-1,3.120050883E0,-2.979203737E0,2.607693874E0,5.040876885E0
3.113180000E-1,2.629955978E0,-2.594761295E0,3.322108437E0,4.968486600E0
3.213599999E-1,2.148795619E0,-2.268816152E0,3.477702261E0,4.675389006E0
3.314029999E-1,1.869015706E0,-2.139673378E0,3.098661184E0,4.203941365E0
3.414449999E-1,1.063838323E0,-1.518940273E0,3.535832940E0,3.992623963E0
3.514879999E-1,-2.319678158E-1,-1.080400561E0,4.275953324E0,4.416429697E0
3.615300000E-1,-1.313465315E0,-4.801616549E-1,4.715693762E0,4.918690273E0
3.715730000E-1,-2.355044457E0,-3.717922837E-1,3.651621551E0,4.361055359E0
3.816150000E-1,-2.513244969E0,-2.023148310E-1,2.710407234E0,3.701842641E0
3.916579999E-1,-2.165619228E0,-6.650856972E-2,2.361320858E0,3.204710006E0
4.016999999E-1,-2.192814043E0,1.488572466E-1,2.517268438E0,3.341740908E0
4.117429999E-1,-2.247337575E0,4.035800868E-1,2.958479451E0,3.737111682E0
4.217849999E-1,-2.480033954E0,7.826851907E-1,3.328989148E0,4.224373713E0
4.318280000E-1,-2.550844320E0,8.211443746E-1,2.668597888E0,3.781864555E0
4.418700000E-1,-2.672007984E0,4.849066705E-1,1.420831304E0,3.064885436E0
4.519130000E-1,-2.563280178E0,7.051712841E-1,3.949495965E-1,2.687686179E0
4.619549999E-1,-2.710931144E0,1.285736356E0,-4.124666852E-1,3.028596113E0
4.719979999E-1,-3.884715832E0,2.252715259E0,-1.212741470E0,4.651503522E0
4.820399999E-1,-5.069709048E0,3.048687663E0,-2.475433365E0,6.412816592E0
4.920829999E-1,-4.918770193E0,3.640220942E0,-4.126217533E0,7.380459325E0
5.021250000E-1,-4.502291733E0,4.245400745E0,-5.284036399E0,8.137266065E0
5.121680000E-1,-4.378869874E0,4.868492617E0,-5.672290349E0,8.663232626E0
5.222100000E-1,-3.661291384E0,5.165554853E0,-5.551320813E0,8.420521023E0
5.322530000E-1,-2.433117065E0,4.685941667E0,-4.683232652E0,7.057674973E0
5.422949999E-1,-1.013869772E0,4.176859976E0,-3.122420760E0,5.312589065E0
5.523379999E-1,5.110291064E-2,3.894902559E0,-1.484468744E0,4.168515912E0
5.623799999E-1,2.143858230E-1,3.278853659E0,-2.291808866E-1,3.293837652E0
5.724230000E-1,-3.175669599E-1,3.436962955E0,1.255689561E-1,3.453886317E0
5.824646249E-1,-4.637689859E-1,3.715415550E0,-3.231013495E-1,3.758162964E0
5.925076250E-1,-6.199908006E-1,3.275892629E0,-7.408352065E-1,3.415362047E0
6.025496250E-1,-1.924950171E-1,3.185222487E0,-6.367104021E-1,3.253935580E0
