"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,2.003284149E0,8.653504944E-1,1.006237518E1,1.029627958E1
1.004199998E-2,2.079026642E0,9.698332214E-1,9.986333313E0,1.024645213E1
2.008499997E-2,2.123035126E0,1.043629761E0,9.954150238E0,1.023140011E1
3.012699995E-2,2.061363373E0,1.077309723E0,9.797725525E0,1.007001691E1
4.016999993E-2,1.911075897E0,1.114881592E0,9.624535675E0,9.875568794E0
5.021199991E-2,1.747615814E0,1.145418091E0,9.868977356E0,1.008775781E1
6.025499990E-2,1.655856628E0,9.957293701E-1,1.033914963E1,1.051814400E1
7.029700000E-2,1.537003784E0,8.187973022E-1,1.089644073E1,1.103472838E1
8.033999999E-2,1.734143829E0,6.180647278E-1,1.158036850E1,1.172579180E1
9.038199997E-2,1.909279633E0,3.171903992E-1,1.232686615E1,1.247788394E1
1.004239999E-1,1.914219360E0,-1.166075134E-1,1.242491226E1,1.257204350E1
1.104669999E-1,1.684447174E0,-6.595285034E-1,1.159668457E1,1.173692605E1
1.205089999E-1,1.082848206E0,-6.997947693E-1,1.094119766E1,1.101689971E1
1.305519999E-1,8.244854736E-1,-8.015830994E-1,1.025442581E1,1.031869955E1
1.405940000E-1,7.583230591E-1,-1.017434235E0,1.047910858E1,1.055565929E1
1.506370000E-1,6.312373352E-1,-1.165925446E0,1.063732956E1,1.071963725E1
1.606790000E-1,4.299060059E-1,-1.095871124E0,1.140119110E1,1.146180227E1
1.707220000E-1,9.187893677E-1,-1.382075958E0,1.195339279E1,1.206805316E1
1.807639999E-1,4.825964355E-1,-1.644180908E0,1.195503937E1,1.207721808E1
1.908069999E-1,-5.107379150E-1,-1.429976349E0,1.121243362E1,1.131478472E1
2.008489999E-1,-2.694396973E-1,-1.357976074E0,9.878108368E0,9.974653964E0
2.108920000E-1,5.598358154E-2,-1.125210114E0,9.649833069E0,9.715374940E0
2.209340000E-1,2.463876343E-1,-6.791377258E-1,9.790989532E0,9.817607190E0
2.309770000E-1,-5.718109131E-2,-4.415817261E-1,9.435478821E0,9.445979286E0
2.410190000E-1,-7.090754700E-1,-5.590873718E-1,9.128317566E0,9.172870232E0
2.510609999E-1,-1.194815369E0,-1.234333191E0,1.012913635E1,1.027378048E1
2.611039999E-1,-5.218148804E-1,-1.595831451E0,9.619595947E0,9.765018944E0
2.711459999E-1,7.125183105E-2,-2.469265137E0,8.482710114E0,8.835084494E0
2.811890000E-1,3.365002441E-1,-2.580633545E0,9.017996979E0,9.386009345E0
2.912310000E-1,-1.100062408E0,-8.437953186E-1,1.101499420E1,1.110190187E1
3.012740000E-1,-4.514761505E0,-1.404678955E0,8.356522522E0,9.601440677E0
3.113159999E-1,-1.215173035E0,-2.111808472E0,4.019591217E0,4.700371696E0
3.213589999E-1,1.288221130E0,-1.446142731E0,3.008443909E0,3.577929182E0
3.314009999E-1,1.774859161E0,-1.317709808E0,3.810326385E0,4.405118766E0
3.414439999E-1,1.266366577E0,-9.816586304E-1,4.701423340E0,4.966962794E0
3.514860000E-1,5.140310669E-1,-2.341131592E-1,5.127736816E0,5.158751958E0
3.615290000E-1,-1.079255676E-1,3.990701294E-1,5.223687286E0,5.240020397E0
3.715710000E-1,-8.960366821E-1,6.137237549E-1,5.734724579E0,5.836660396E0
3.816129999E-1,-3.501817932E0,2.287243652E-1,8.644673309E0,9.329813519E0
3.916559999E-1,-4.484225006E0,-4.029620361E-1,1.128727798E1,1.215209022E1
4.016979999E-1,1.236877899E0,-2.768193512E0,1.132020950E1,1.171921096E1
4.117409999E-1,1.481618958E0,-4.169130249E0,1.085692291E1,1.172389086E1
4.217830000E-1,-1.908531189E-1,-3.318898315E0,1.038405624E1,1.090321673E1
