"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,-1.138233032E0,3.729644165E0,8.577163696E0,9.421972039E0
1.004199998E-2,-7.008425903E-1,3.683090973E0,7.899971924E0,8.744478020E0
2.008499997E-2,-4.113446045E-1,3.698059845E0,7.593708801E0,8.456315058E0
3.012699995E-2,-5.698649597E-1,3.882476349E0,7.799231415E0,8.730771978E0
4.016999993E-2,-7.834707642E-1,4.199217682E0,8.374784546E0,9.401290963E0
5.021200003E-2,-8.904981995E-1,4.449646912E0,9.035360870E0,1.011088971E1
6.025500002E-2,-8.593629456E-1,4.649032288E0,9.615105286E0,1.071458144E1
7.029700000E-2,-4.650828552E-1,4.566853180E0,1.010758118E1,1.110115522E1
8.033999999E-2,4.281097412E-1,3.953428802E0,1.055559952E1,1.127978539E1
9.038199997E-2,1.066083069E0,3.200644226E0,1.093251572E1,1.144117811E1
1.004250000E-1,8.095166016E-1,2.787503357E0,1.119926102E1,1.156931024E1
1.104669999E-1,6.855743408E-2,2.421065369E0,1.187630310E1,1.212076041E1
1.205100000E-1,-3.513194275E-1,2.511776733E0,1.317200867E1,1.341395766E1
1.305520000E-1,-3.215313721E-1,1.791175232E0,1.355551117E1,1.367711864E1
1.405950000E-1,-7.200027466E-1,1.901645508E0,1.374651398E1,1.389608960E1
1.506380000E-1,-2.679428101E-1,2.890189819E0,1.322544754E1,1.354021614E1
1.606800000E-1,6.095324707E-1,2.884052582E0,1.185759201E1,1.221850144E1
1.707230000E-1,1.236279144E0,1.495689697E0,1.045396088E1,1.063253365E1
1.807649999E-1,2.645149384E0,-3.782633972E-1,9.297016754E0,9.673387152E0
1.908079999E-1,4.270619202E-1,-6.195616150E-1,1.057191559E1,1.059866207E1
2.008495417E-1,-2.880460052E0,1.502126312E0,1.169562881E1,1.213841699E1
2.108925417E-1,-2.862347717E0,1.718127136E0,9.153614960E0,9.743390690E0
2.209345417E-1,-4.920268250E-1,-2.364932098E0,5.422773285E0,5.936452167E0
2.309775417E-1,-1.409768372E0,-2.944077759E0,3.448678436E0,4.748518050E0
2.410195416E-1,-3.589984589E0,-1.598675537E0,3.298540649E0,5.130703971E0
2.510625416E-1,-5.714965668E0,-1.065184937E0,5.186414795E0,7.790657864E0
2.611045416E-1,-7.223378906E0,3.472778320E-2,8.704399109E0,1.131127635E1
2.711475417E-1,-4.584217072E0,1.124910736E0,9.153914337E0,1.029925327E1
2.811895417E-1,-1.607357483E0,1.862726440E0,9.356143799E0,9.674232510E0
2.912325417E-1,3.378474426E-1,1.490001526E0,8.144114227E0,8.286183801E0
3.012745416E-1,3.263214111E-1,7.725434875E-1,5.661826172E0,5.723598929E0
3.113175416E-1,-5.046006775E-1,9.722282410E-1,7.647596741E-1,1.335929248E0
3.213595416E-1,1.715582428E0,8.852590942E-1,2.466271362E0,3.131996354E0
3.314025416E-1,1.178948364E0,2.814147949E-1,4.036356354E0,4.214414093E0
3.414445417E-1,1.184037781E0,3.995191956E-1,3.635639648E0,3.844403297E0
3.514875417E-1,2.143542480E0,1.430724792E0,2.524649963E0,3.607714683E0
3.615295417E-1,2.424208832E0,2.499651947E0,1.440753937E0,3.768397567E0
3.715725417E-1,-2.513572998E0,3.165167999E0,4.207749939E0,5.834509168E0
3.816145416E-1,-9.403894501E0,2.698737946E0,8.814420319E0,1.316853917E1
