"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,-1.779798889E0,2.621947632E0,8.703950043E0,9.262885070E0
1.004199998E-2,-1.735341339E0,2.480491791E0,8.705596619E0,9.216922565E0
2.008499997E-2,-1.640438690E0,2.392325134E0,8.604257355E0,9.080060753E0
3.012799995E-2,-1.675316162E0,2.353705444E0,8.465495911E0,8.944899920E0
4.017100006E-2,-1.761536865E0,2.335892487E0,8.245303802E0,8.748967975E0
5.021300004E-2,-1.969304810E0,2.270478516E0,7.978857880E0,8.526160167E0
6.025600003E-2,-2.326013031E0,2.225122833E0,7.463180237E0,8.127765221E0
7.029900001E-2,-3.362906799E0,2.239043884E0,6.189029846E0,7.390977614E0
8.034200000E-2,-2.774031372E0,2.671344910E0,6.308631134E0,7.391221852E0
9.038499999E-2,-3.010838928E0,2.263592834E0,6.371650085E0,7.401819262E0
1.004270000E-1,-3.431015167E0,1.799108734E0,5.339696045E0,6.597045639E0
1.104700000E-1,-3.356320496E0,1.803898773E0,4.472399597E0,5.875482636E0
1.205130001E-1,-3.497626648E0,1.810634766E0,4.049379272E0,5.648828455E0
1.305560000E-1,-3.707789612E0,1.660047913E0,3.465593262E0,5.339831414E0
1.405980000E-1,-3.836970978E0,1.314865723E0,2.765648804E0,4.909178287E0
1.506410000E-1,-3.882476349E0,8.870553589E-1,1.641636200E0,4.307604813E0
1.606840000E-1,-3.443289642E0,1.989363098E-1,6.245013428E-1,3.505113571E0
1.707270000E-1,-3.911366272E0,-7.039860535E-1,1.065933380E0,4.114680601E0
1.807700000E-1,-6.146967316E0,-1.200802917E0,2.558329926E0,6.765514528E0
1.908120000E-1,-4.966821442E0,-2.778222656E-1,2.532284088E0,5.582021421E0
2.008550001E-1,-3.027005310E0,5.980064392E-1,4.853656769E0,5.751378694E0
2.108980000E-1,-4.186643829E0,-6.315367126E-1,6.010451202E0,7.352030252E0
2.209410000E-1,-5.543272705E0,-2.406695251E0,6.690786438E0,9.015912459E0
2.309830000E-1,-6.079607391E0,-2.903362427E0,7.563172302E0,1.012880618E1
2.410260000E-1,-5.582640839E0,-2.957849121E0,7.342231750E0,9.686233387E0
2.510690000E-1,-4.979245605E0,-3.030298462E0,6.053860931E0,8.403857908E0
2.611120000E-1,-5.838907928E0,-2.966381378E0,4.689897308E0,8.055271630E0
2.711550000E-1,-7.264842682E0,-2.494412842E0,3.603306885E0,8.484329975E0
2.811970001E-1,-7.686066742E0,-2.237546997E0,3.207080841E0,8.623665465E0
2.912400000E-1,-7.346722412E0,-2.586321716E0,4.011957092E0,8.761232215E0
3.012830000E-1,-7.447313232E0,-3.700005798E0,5.506000214E0,9.973392384E0
3.113260000E-1,-7.937543793E0,-4.464915161E0,6.905290375E0,1.142904651E1
3.213680000E-1,-8.081095276E0,-5.246889038E0,8.192763062E0,1.264734407E1
3.314110000E-1,-8.116870880E0,-5.657934265E0,8.710386658E0,1.318205783E1
3.414540000E-1,-9.645492096E0,-5.040617981E0,8.835227051E0,1.401800929E1
3.514970000E-1,-1.116962265E1,-4.673581238E0,8.294551392E0,1.467659410E1
3.615400001E-1,-1.205637863E1,-4.450095978E0,7.037615204E0,1.465222330E1
3.715820001E-1,-1.244392273E1,-4.135749664E0,6.002817078E0,1.442183938E1
3.816250000E-1,-1.268342468E1,-4.236789551E0,5.951174469E0,1.463680720E1
3.916680000E-1,-1.249900818E1,-4.806055756E0,6.521638184E0,1.489480252E1
4.017110000E-1,-1.213885712E1,-5.347330170E0,7.162156219E0,1.507455717E1
4.117530000E-1,-1.177526321E1,-5.891598358E0,7.481442261E0,1.514396689E1
