"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,-1.962419128E0,4.315376129E0,6.495442657E0,8.041413762E0
1.004400000E-2,-1.944306793E0,4.537364502E0,6.585255890E0,8.230042568E0
2.008699998E-2,-1.973645782E0,4.887336731E0,7.249125366E0,8.962765007E0
3.012999997E-2,-2.160457306E0,5.369783478E0,8.659342804E0,1.041567896E1
4.017300007E-2,-2.471510468E0,5.566324768E0,1.058224411E1,1.220967755E1
5.021600006E-2,-1.780697021E0,4.991969147E0,1.155596924E1,1.271342058E1
6.025900005E-2,-9.726773071E-1,4.650678864E0,1.158785294E1,1.252410678E1
7.030200004E-2,-4.529580688E-1,4.258045349E0,1.212074478E1,1.285490472E1
8.034500002E-2,7.634124756E-3,3.934568024E0,1.344773529E1,1.401151199E1
9.038800001E-2,5.950126648E-1,3.216810608E0,1.460258377E1,1.496453686E1
1.004310000E-1,8.110134888E-1,2.676584015E0,1.443972244E1,1.470807360E1
1.104740000E-1,1.292262726E0,2.294428711E0,1.297606613E1,1.324056790E1
1.205170000E-1,6.201603699E-1,1.858984222E0,1.153171967E1,1.169705004E1
1.305610000E-1,-1.604663086E-1,1.740281067E0,1.066816544E1,1.081036916E1
1.406040001E-1,-4.077520752E-1,1.474433899E0,9.866432648E0,9.984323225E0
1.506470001E-1,-5.072950745E-1,7.198530579E-1,8.156239014E0,8.203643798E0
1.606900000E-1,-1.661395111E0,-1.147214355E0,5.980962524E0,6.312546809E0
1.707330000E-1,-1.806742859E0,-1.299747162E0,4.230352936E0,4.780120124E0
1.807760000E-1,-2.520159302E0,-4.426295471E-1,5.054389343E0,5.665154495E0
1.908190000E-1,-2.606529694E0,-3.526666260E-1,4.966821442E0,5.620292343E0
2.008620000E-1,-2.939437408E0,-6.616241455E-1,5.469775543E0,6.244716429E0
2.109050000E-1,-3.993246002E0,-1.249152374E0,7.763156433E0,8.818899767E0
2.209480000E-1,-4.518354034E0,-5.149291992E-1,6.940467224E0,8.297635841E0
2.309910001E-1,-9.915979614E0,1.870659943E0,9.215885468E0,1.366596375E1
2.410340001E-1,-7.651937714E0,3.794160004E0,8.348439331E0,1.194337641E1
2.510770001E-1,-1.376687164E0,4.240831146E0,2.918930054E0,5.329171513E0
2.611210000E-1,2.410587158E0,4.987777863E0,3.067870331E0,6.332510310E0
2.711640000E-1,2.542163544E0,5.452561340E0,3.299139404E0,6.861292988E0
2.812070000E-1,4.076023865E-1,6.320905609E0,4.420457611E0,7.724016631E0
