"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,-1.096918945E0,4.639152832E0,8.352031860E0,9.616725345E0
1.004299999E-2,-9.919871521E-1,4.570296021E0,8.094267883E0,9.348198585E0
2.008599997E-2,-1.112785950E0,4.732109528E0,7.783364410E0,9.176705002E0
3.012900008E-2,-1.090182953E0,4.855902100E0,7.533533936E0,9.028976555E0
4.017200007E-2,-9.186396790E-1,4.818330231E0,7.508086853E0,8.968365139E0
5.021500005E-2,-7.183561707E-1,4.680017853E0,7.859705658E0,9.175705734E0
6.025800004E-2,-5.427713013E-1,4.588707733E0,8.520731049E0,9.692971523E0
7.030000002E-2,-4.990621948E-1,4.657115479E0,9.375303955E0,1.048017709E1
8.034300001E-2,-1.456471252E-1,4.406985626E0,9.922865295E0,1.085845252E1
9.038600000E-2,1.706451416E-1,3.757186890E0,9.958491211E0,1.064505145E1
1.004290000E-1,-2.395019531E-1,3.648063812E0,9.798324280E0,1.045814943E1
1.104720000E-1,-8.466394043E-1,3.877536621E0,9.478738861E0,1.027611692E1
1.205150001E-1,-1.237626343E0,4.007316742E0,9.066795502E0,9.989849203E0
1.305580001E-1,-1.395997009E0,4.153862000E0,8.991053009E0,1.000212034E1
1.406000000E-1,-1.181942139E0,4.215683441E0,9.166488190E0,1.015841916E1
1.506430000E-1,-7.481442261E-1,4.090094604E0,9.317374420E0,1.020304169E1
1.606860000E-1,-3.411405945E-1,3.840713196E0,9.411528625E0,1.017075837E1
1.707290000E-1,2.170486450E-2,3.704346771E0,9.679621124E0,1.036425208E1
1.807720000E-1,-7.664062500E-2,3.886218567E0,1.018871246E1,1.090497273E1
1.908150000E-1,-3.236270142E-1,4.255201263E0,1.110869934E1,1.190019635E1
2.008580000E-1,-3.806584167E-1,4.567901001E0,1.251442612E1,1.332747093E1
2.109000001E-1,3.083587646E-2,4.614903259E0,1.411908920E1,1.485419008E1
2.209430001E-1,1.249900818E0,3.582051086E0,1.398032776E1,1.448595548E1
2.309860000E-1,1.747915192E0,1.955832825E0,1.257055939E1,1.284131819E1
2.410292500E-1,2.234403534E0,-1.728904724E-1,1.127814697E1,1.149865424E1
2.510722501E-1,9.608518982E-1,7.096742249E-1,1.117995117E1,1.124358404E1
2.611152501E-1,3.230282593E-1,1.180594940E0,9.910740509E0,9.986036707E0
2.711582500E-1,-1.424886932E0,8.256829834E-1,7.774682465E0,7.947184570E0
2.812002500E-1,-4.007466431E0,9.128018188E-1,8.617729340E0,9.547683139E0
2.912432500E-1,-3.819607086E0,1.171014862E0,9.438173218E0,1.024889203E1
3.012862500E-1,-2.721640320E0,8.473878479E-1,9.859996033E0,1.026376705E1
3.113292500E-1,-2.013762360E0,-2.597099304E-1,8.766819305E0,8.998878198E0
3.213722500E-1,-2.193538513E0,-1.559756470E0,5.218448181E0,5.871682286E0
3.314152500E-1,-1.980232086E0,-1.517394562E0,2.635419617E0,3.628945016E0
3.414582501E-1,-1.387315063E0,-9.529183960E-1,1.741179199E0,2.421652650E0
3.515012501E-1,-2.113305359E0,-6.099815369E-1,2.601290588E0,3.406589165E0
3.615432500E-1,-4.737947388E0,6.468049622E-1,7.818541260E0,9.164938054E0
3.715862500E-1,-4.555327148E0,1.720073090E0,3.712280273E0,6.122963473E0
3.816292500E-1,-1.717678070E0,3.451372833E0,3.818259888E0,5.426002300E0
3.916722500E-1,1.552272034E-1,2.258353729E0,4.117337952E0,4.698587964E0
4.017152500E-1,2.035916290E0,1.374142456E0,6.322701874E0,6.783051055E0
4.117582500E-1,2.621199188E0,2.280807037E0,9.042695618E0,9.687265350E0
4.218012501E-1,1.752705231E0,3.062032471E0,1.096874039E1,1.152220830E1
4.318432501E-1,3.222049713E0,1.727258148E0,9.460327148E0,1.014213068E1
4.418862500E-1,4.568350067E0,1.112037506E0,8.805888062E0,9.982490386E0
4.519292500E-1,5.447621613E0,8.330177307E-1,8.158484344E0,9.845372851E0
4.619722500E-1,4.403243408E0,9.050180054E-1,7.018604736E0,8.334771895E0
4.720152500E-1,2.718945923E0,1.226100311E0,5.158872070E0,5.959022566E0
4.820582500E-1,2.458038483E0,1.227597198E0,4.516108704E0,5.286226053E0
4.921012500E-1,3.768862610E0,1.427731018E0,4.905748444E0,6.348945505E0
5.021432501E-1,5.019212494E0,1.395547943E0,4.532873840E0,6.905576976E0
5.121862501E-1,6.128854980E0,2.307002563E0,5.545518036E0,8.581252501E0
5.222292501E-1,6.065985718E0,2.534978485E0,6.074817352E0,8.951296248E0
5.322722500E-1,5.740712128E0,1.267115021E0,6.394402771E0,8.686181152E0
5.423152500E-1,5.315895538E0,-1.128652954E-1,6.782994690E0,8.618613631E0
5.523582500E-1,3.873944092E0,-1.002764740E0,7.292385406E0,8.318164754E0
5.624012500E-1,3.271147614E0,-1.633852386E0,7.396119690E0,8.250604026E0
5.724432500E-1,3.086431732E0,-2.060016174E0,7.128476257E0,8.036473183E0
5.824862500E-1,2.718945923E0,-1.841171265E0,7.204967194E0,7.917962542E0
5.925292501E-1,4.098477173E0,-1.206042023E0,7.120542755E0,8.303865463E0
6.025722501E-1,6.382727051E0,-1.013242950E0,6.359375610E0,9.066836495E0
6.126152501E-1,6.455625458E0,-9.249266052E-1,6.068680115E0,8.908393099E0
6.226582500E-1,5.898783417E0,-4.698728943E-1,5.611680450E0,8.155205933E0
6.327012500E-1,5.505102081E0,-8.114625549E-1,5.176984406E0,7.600380776E0
6.427442500E-1,4.480782166E0,-1.989961853E0,4.894821167E0,6.927960107E0
6.527862500E-1,4.883893890E0,-2.805316315E0,5.326523438E0,7.752036577E0
6.628292500E-1,6.194418640E0,-2.328557739E0,5.969436493E0,8.912192518E0
6.728722500E-1,7.354955292E0,-1.842817841E0,5.982758789E0,9.658402956E0
6.829152501E-1,7.758067017E0,-1.848805389E0,5.800138550E0,9.861404180E0
6.929582501E-1,7.761360168E0,-2.185155945E0,5.802533569E0,9.933932454E0
