"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.189958338E-3,3.394491119E0,-2.545905762E0,1.192719727E0,4.407582836E0
1.619695834E-2,4.961432648E0,-3.074756012E0,1.236877899E0,5.966557248E0
2.620495833E-2,6.842271423E0,-3.494932251E0,1.331930237E0,7.797773261E0
3.621295834E-2,8.964109039E0,-3.616329803E0,1.489103394E0,9.780108437E0
4.621995833E-2,1.167557053E1,-3.389102325E0,1.695224762E0,1.227512724E1
5.622795833E-2,1.516646118E1,-3.012036438E0,1.943109283E0,1.558427355E1
6.623595834E-2,1.909579010E1,-2.495011597E0,1.778002625E0,1.933999937E1
7.624295833E-2,2.274505142E1,-1.649569702E0,1.156495056E0,2.283409567E1
8.625095833E-2,2.573283829E1,-3.040177917E-1,4.974156189E-1,2.573944085E1
9.625895834E-2,2.827754654E1,1.755399628E0,1.739382935E-1,2.833251349E1
1.062659583E-1,3.071088638E1,4.309238892E0,-9.475296021E-2,3.101188579E1
1.162739583E-1,3.236764114E1,6.725065155E0,3.293151855E-3,3.305889752E1
1.262819583E-1,3.118300461E1,8.749904480E0,8.195457458E-1,3.239771998E1
1.362889583E-1,2.777294586E1,1.041998154E1,2.483335876E0,2.976708743E1
1.462969583E-1,2.503274414E1,1.179771652E1,3.250490570E0,2.786377726E1
1.563049583E-1,2.401860306E1,1.295780411E1,2.482737122E0,2.740368522E1
1.663119583E-1,2.388837387E1,1.256906250E1,1.716031494E0,2.704774487E1
1.763199583E-1,2.334919510E1,1.083761307E1,1.307680664E0,2.577496455E1
1.863279583E-1,2.189242447E1,8.982820129E0,1.016386414E0,2.368548813E1
1.963359583E-1,1.985740631E1,7.727680206E0,1.369352417E0,2.135201988E1
2.063429583E-1,1.850077744E1,7.267986145E0,1.380728760E0,1.992507968E1
2.163509583E-1,1.836096817E1,7.110663300E0,1.552571411E0,1.975087752E1
2.263589583E-1,1.814466797E1,6.938072205E0,1.571731567E0,1.948938587E1
2.363659583E-1,1.762644562E1,6.868766327E0,1.748663635E0,1.899814097E1
2.463739583E-1,1.748693573E1,6.563101959E0,1.725461884E0,1.875751709E1
2.563819583E-1,1.766132309E1,6.001619568E0,1.366807709E0,1.870320652E1
2.663889583E-1,1.782358566E1,5.392685852E0,1.237326965E0,1.866258944E1
2.763969583E-1,1.749202515E1,4.763843536E0,1.313817902E0,1.817666819E1
2.864049583E-1,1.683593948E1,4.057911530E0,1.307830353E0,1.736738105E1
2.964119583E-1,1.602687195E1,3.237317963E0,1.397194519E0,1.641014944E1
3.064199583E-1,1.495180756E1,2.347717896E0,1.748513947E0,1.523566965E1
3.164279583E-1,1.386731277E1,1.370699615E0,2.076481934E0,1.408875290E1
3.264349583E-1,1.280362473E1,5.641767883E-1,2.472857666E0,1.305243757E1
3.364429583E-1,1.161404846E1,-1.366658020E-1,2.956651611E0,1.198526545E1
3.464509583E-1,1.053928345E1,-9.012757874E-1,3.182531891E0,1.104614425E1
3.564579583E-1,9.709109802E0,-1.519340515E0,3.257825317E0,1.035319441E1
3.664659583E-1,8.847351837E0,-1.967508545E0,3.268303528E0,9.634756476E0
