"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.449166641E-4,1.049198181E1,3.099005585E0,-2.500101013E0,1.122212204E1
1.025391666E-2,7.690707092E0,2.733316040E-1,-8.746461639E0,1.164999043E1
2.026191667E-2,4.922363892E0,4.423301697E-1,-9.208251343E0,1.045070405E1
3.027091666E-2,3.215014343E0,1.438059540E0,-6.364465027E0,7.273977423E0
4.027991666E-2,2.311193848E0,2.614463196E0,-2.681224365E0,4.400681640E0
5.028891666E-2,1.435814209E0,2.808759155E0,4.903802490E-1,3.192360134E0
6.029791667E-2,6.173162842E-1,2.265538788E0,2.591111755E0,3.496799325E0
7.030691666E-2,-7.484436035E-2,1.430425415E0,2.170785828E0,2.600774818E0
8.031591666E-2,-3.802093506E-1,4.781057739E-1,1.533411255E0,1.650604240E0
9.032491667E-2,-1.010698242E0,-5.710624695E-1,8.801696777E-1,1.456819118E0
1.003339167E-1,-1.707050171E0,-1.444645844E0,6.611750793E-1,2.331989362E0
1.103429167E-1,-2.149679718E0,-1.493893433E0,3.451821899E-1,2.640452844E0
1.203519167E-1,-2.778222656E0,-1.711091766E0,2.098635864E-1,3.269617544E0
1.303599167E-1,-3.523822174E0,-2.094893646E0,4.119433594E-1,4.120145560E0
1.403689167E-1,-4.055815887E0,-2.324965210E0,4.574487305E-1,4.697272089E0
1.503779167E-1,-4.153862000E0,-2.453098755E0,6.487509155E-1,4.867560042E0
1.603869167E-1,-4.259242859E0,-2.574945374E0,6.797364807E-1,5.023299224E0
1.703959167E-1,-4.355343018E0,-2.750230865E0,4.114942932E-1,5.167408458E0
1.804049167E-1,-4.292174377E0,-2.792892151E0,-8.831634521E-3,5.120848118E0
1.904139167E-1,-4.132456512E0,-2.476001129E0,-5.595364380E-1,4.849830868E0
2.004229167E-1,-3.624562683E0,-1.894011383E0,-8.077203369E-1,4.168590398E0
2.104319167E-1,-2.610870667E0,-1.417103119E0,-5.101391602E-1,3.014144796E0
2.204409167E-1,-1.655108185E0,-9.283694458E-1,-6.780899048E-2,1.898907842E0
2.304499167E-1,-6.715036011E-1,-5.063969421E-1,2.567161560E-1,8.793509732E-1
2.404579167E-1,3.367996216E-2,-2.155517578E-1,4.685256958E-1,5.168299796E-1
2.504669167E-1,5.303471375E-1,1.225950623E-1,1.733545074E0,1.816996467E0
2.604759167E-1,1.164578247E0,1.108444977E0,6.320007477E0,6.521302574E0
2.704849167E-1,2.590513000E0,3.240461426E0,1.277129196E1,1.342822573E1
2.804939167E-1,4.724026337E0,1.364607285E1,1.712109650E1,2.239784977E1
2.905029167E-1,8.489895172E0,3.083228394E1,2.056558365E1,3.802172121E1
3.005119167E-1,1.571761505E1,4.989289719E1,2.411739761E1,5.760202670E1
