"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.305208334E-3,-9.249266052E-1,-2.182611237E0,2.429447937E-1,2.382919052E0
1.231320834E-2,-1.061293030E0,-2.522404633E0,6.167175293E-2,2.737274453E0
2.232120834E-2,-9.861492920E-1,-2.957849121E0,3.278182983E-2,3.118082183E0
3.233020833E-2,-8.250842285E-1,-3.431164856E0,3.716770935E-1,3.548492654E0
4.233820834E-2,-5.421725464E-1,-3.884422302E0,1.083297272E0,4.068933604E0
5.234620834E-2,-4.147874451E-1,-4.144132233E0,1.951491852E0,4.599369634E0
6.235420833E-2,-5.962101746E-1,-4.105961609E0,2.798430634E0,5.004558054E0
7.236320834E-2,-8.860075378E-1,-3.860771484E0,3.367547150E0,5.199128736E0
8.237120834E-2,-1.044976959E0,-3.261417847E0,3.369792480E0,4.804614925E0
9.237920833E-2,-9.816586304E-1,-1.867067413E0,2.941832428E0,3.619940942E0
1.023882083E-1,-7.857160950E-1,-6.081852722E-1,2.765948181E0,2.938997865E0
1.123962083E-1,-6.056405640E-1,6.186634827E-1,3.326831818E0,3.437637989E0
1.224042083E-1,3.173400879E-2,1.945803680E0,5.085674286E0,5.445295396E0
1.324122083E-1,5.032534790E-1,4.780908051E0,8.367898865E0,9.650496218E0
1.424212083E-1,4.890330505E-1,1.554786804E1,1.272818161E1,2.009930250E1
1.524292083E-1,1.181642761E0,3.229474274E1,1.486917938E1,3.557301201E1
1.624372083E-1,1.354383545E0,4.858162399E1,1.152558243E1,4.994844937E1
1.724452083E-1,9.210346985E-1,5.785528931E1,4.441264343E0,5.803281515E1
1.824542083E-1,-2.962339783E-1,5.386653397E1,-1.323682388E1,5.546985436E1
1.924622083E-1,6.743476868E-1,4.172049179E1,-3.069052872E1,5.179732361E1
2.024702083E-1,2.332150269E0,2.434911575E1,-1.019200562E1,2.649896868E1
2.124792083E-1,1.517693939E0,2.027922913E1,-3.153941345E-1,2.033838741E1
2.224872083E-1,1.835183716E0,1.708786560E1,7.470514984E0,1.873957428E1
2.324952083E-1,2.609822845E0,1.282443146E1,1.926868057E1,2.329290168E1
2.425032083E-1,-1.131497040E0,8.293952637E0,8.527167664E0,1.194916417E1
2.525122083E-1,-4.122427368E-1,1.868414612E0,-2.217668335E1,2.225907010E1
2.625202083E-1,1.757644958E0,-7.933502197E-3,-1.973196716E1,1.981009608E1
2.725282083E-1,1.612895966E0,-5.180726624E-1,-1.164248932E1,1.176509202E1
2.825372083E-1,1.001267853E0,-6.515950012E-1,-5.712420959E0,5.835997479E0
2.925452083E-1,3.824546814E-1,-5.120851135E-1,-1.521436157E0,1.650233537E0
3.025532083E-1,-1.372645569E-1,-7.009922791E-1,3.008743286E-1,7.750852182E-1
3.125612083E-1,-6.331832886E-1,-1.107696533E0,4.248165894E-1,1.344760879E0
3.225702083E-1,-8.975335693E-1,-1.395547943E0,7.355703735E-1,1.814988800E0
3.325782083E-1,-1.117575989E0,-1.556613007E0,7.851173401E-1,2.070852332E0
3.425862083E-1,-1.224902802E0,-1.575024719E0,7.647596741E-1,2.136807689E0
3.525942083E-1,-1.158291321E0,-1.597178650E0,1.214574280E0,2.316853276E0
3.626032083E-1,-1.042282562E0,-1.644180908E0,1.728156281E0,2.603115043E0
3.726112083E-1,-9.427395630E-1,-1.716630249E0,2.341730347E0,3.052749304E0
3.826192083E-1,-8.593629456E-1,-1.778451691E0,2.883902893E0,3.495467206E0
3.926282083E-1,-7.518864441E-1,-1.869761810E0,3.045267334E0,3.651711323E0
4.026362083E-1,-7.237449646E-1,-1.858684845E0,2.784210205E0,3.424958772E0
