"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.947499986E-4,-1.042896286E1,-9.973909149E0,-4.661306763E-1,1.443812342E1
1.020375000E-2,-9.321715393E0,-7.931855621E0,2.043251038E-1,1.224134226E1
2.021175000E-2,-8.557554474E0,-6.421346741E0,-1.993853760E-1,1.070070965E1
3.021975000E-2,-8.078251190E0,-5.661975861E0,-1.194066925E0,9.936896334E0
4.022775000E-2,-7.817343750E0,-5.740861816E0,-2.348316650E0,9.979125653E0
5.023575000E-2,-7.764204254E0,-6.884932709E0,-2.844834137E0,1.076003008E1
6.024375000E-2,-7.845634918E0,-8.243956604E0,-2.501448212E0,1.165221228E1
7.025175000E-2,-7.921377411E0,-8.941056976E0,-2.011217651E0,1.211345188E1
8.025975000E-2,-7.689659271E0,-8.855135651E0,-1.917961578E0,1.188372264E1
9.026875000E-2,-7.017706604E0,-8.090076599E0,-2.261796570E0,1.094592477E1
1.002767500E-1,-5.966742096E0,-6.839277649E0,-2.883603516E0,9.523281957E0
1.102807500E-1,-4.726421356E0,-5.553750916E0,-3.642076263E0,8.151559825E0
1.202887500E-1,-3.602708130E0,-4.430786133E0,-4.075125732E0,7.015555670E0
1.302967500E-1,-2.542163544E0,-3.278182983E0,-4.063300323E0,5.806848429E0
1.403047500E-1,-1.769470367E0,-2.380050659E0,-3.533252563E0,4.612975200E0
1.503127500E-1,-1.258582764E0,-1.580712891E0,-2.980901184E0,3.601174209E0
1.603207500E-1,-8.827143860E-1,-7.816744995E-1,-2.743494873E0,2.986128569E0
1.703297500E-1,-6.149212646E-1,-6.526428223E-2,-2.421514435E0,2.499223829E0
1.803377500E-1,-5.480104065E-1,4.176315308E-1,-2.008074188E0,2.122991627E0
1.903457500E-1,-4.993615723E-1,8.873547363E-1,-1.740281067E0,2.016268484E0
2.003537500E-1,-5.081932068E-1,1.111588440E0,-1.566193085E0,1.986668058E0
2.103617500E-1,-4.757107544E-1,1.099613342E0,-1.451082458E0,1.881778554E0
2.203697500E-1,-4.260140991E-1,7.985893250E-1,-1.164578247E0,1.474949293E0
2.303777500E-1,-4.781057739E-1,1.727407837E-1,-6.303392029E-1,8.097851691E-1
2.403857500E-1,-6.765930176E-1,-4.650828552E-1,-1.555265808E-1,8.356247310E-1
2.503947500E-1,-8.391549683E-1,-1.029559021E0,5.957611084E-2,1.329557126E0
2.604027500E-1,-9.922865295E-1,-1.550924835E0,9.999206543E-2,1.843908570E0
2.704107500E-1,-1.259480896E0,-1.956281891E0,1.094224548E-1,2.329228249E0
2.804187500E-1,-1.691183167E0,-2.263742523E0,2.653981018E-1,2.838144969E0
2.904267500E-1,-2.283202057E0,-2.557132416E0,5.632786560E-1,3.474078391E0
3.004347500E-1,-3.075504456E0,-2.951262817E0,1.081351318E0,4.397499352E0
3.104427500E-1,-3.482059021E0,-3.429518280E0,9.687854004E-1,4.982456805E0
3.204507500E-1,-3.984564056E0,-4.070784760E0,3.749702454E-1,5.708646246E0
3.304597500E-1,-5.557792511E0,-5.601501617E0,-1.415606232E0,8.016845949E0
3.404677500E-1,-8.159382477E0,-7.782017212E0,-4.012705536E0,1.196817112E1
3.504757500E-1,-9.982591095E0,-9.857601013E0,-7.138804779E0,1.574125015E1
3.604837500E-1,-1.015593063E1,-1.148187332E1,-7.477999420E0,1.705569750E1
3.704917500E-1,-1.120599701E1,-1.369457199E1,-7.276668091E0,1.913284008E1
3.804997500E-1,-1.500045639E1,-1.722932144E1,-6.108946381E0,2.364703861E1
3.905077500E-1,-1.925206512E1,-2.110610962E1,-5.842051392E0,2.915886553E1
4.005157500E-1,-2.227637604E1,-2.509830780E1,-7.141199799E0,3.430974670E1
4.105247500E-1,-2.246782791E1,-2.685206085E1,-5.751639404E0,3.548123192E1
4.205327500E-1,-2.054313034E1,-2.620271118E1,-2.159858551E0,3.336565999E1
4.305407500E-1,-1.788480835E1,-2.282348831E1,7.674540710E-1,2.900632645E1
4.405487500E-1,-1.476499603E1,-1.741224106E1,5.403762817E-1,2.283600782E1
4.505567500E-1,-1.259286301E1,-1.315539322E1,-6.795867920E-1,1.822378686E1
4.605647500E-1,-1.122186401E1,-1.015263748E1,-1.433419189E0,1.520068980E1
4.705727500E-1,-1.053973251E1,-8.033943329E0,-1.859732666E0,1.338240683E1
4.805807500E-1,-1.026041336E1,-7.024592285E0,-1.707648926E0,1.255137618E1
4.905897500E-1,-9.986932068E0,-6.859186249E0,-1.141226807E0,1.216920896E1
5.005977500E-1,-9.485175476E0,-7.074288940E0,-8.614585876E-1,1.186407302E1
5.106057500E-1,-8.594527588E0,-7.045848083E0,-9.653425598E-1,1.115534697E1
5.206137500E-1,-7.423961792E0,-6.304589539E0,-1.543141022E0,9.861254593E0
5.306217500E-1,-6.186036072E0,-5.663173370E0,-2.280208282E0,8.691255647E0
5.406297500E-1,-4.799020386E0,-4.652026062E0,-3.075354767E0,7.357292307E0
5.506377500E-1,-3.415896606E0,-3.457061005E0,-3.760629730E0,6.145075783E0
5.606457500E-1,-2.211800537E0,-2.551593933E0,-3.790866852E0,5.076747453E0
5.706547500E-1,-1.251397705E0,-1.877246246E0,-3.243904266E0,3.951324408E0
5.806627500E-1,-5.863307190E-1,-1.321601715E0,-2.815495148E0,3.165032027E0
5.906707500E-1,-3.562591553E-2,-8.572673035E-1,-2.200723572E0,2.362067034E0
6.006787500E-1,3.926335144E-1,-4.251159668E-1,-1.335073700E0,1.455096714E0
6.106867500E-1,5.894741821E-1,3.832031250E-2,-4.725672913E-1,7.564840398E-1
6.206947500E-1,6.694079590E-1,3.909869385E-1,-3.173400879E-1,8.376649288E-1
6.307027500E-1,7.099736023E-1,5.710624695E-1,-5.340893555E-1,1.056137444E0
6.407107500E-1,7.080276489E-1,5.182223511E-1,-5.680686951E-1,1.045255758E0
6.507197500E-1,7.096742249E-1,3.194357300E-1,-6.951544189E-1,1.043511551E0
6.607277500E-1,7.782316589E-1,7.334747314E-2,-1.010398865E0,1.277470247E0
6.707357500E-1,9.523196411E-1,-2.734812927E-1,-1.742526398E0,2.004520632E0
6.807437500E-1,1.096020813E0,-7.241940308E-1,-2.591111755E0,2.905095307E0
6.907517500E-1,9.857002258E-1,-1.189127197E0,-2.997516632E0,3.372051955E0
7.007597500E-1,5.770500183E-1,-1.516047363E0,-2.778671722E0,3.217515015E0
7.107677500E-1,4.625381470E-2,-1.801054688E0,-2.168390808E0,2.819194229E0
7.207757500E-1,-5.920188904E-1,-2.220931549E0,-1.967209167E0,3.025381831E0
7.307847500E-1,-1.489253082E0,-2.667153625E0,-2.563419342E0,3.987819195E0
7.407927500E-1,-2.744093628E0,-3.225492554E0,-3.438649292E0,5.455104124E0
7.508007500E-1,-4.233496399E0,-4.055965576E0,-2.754571838E0,6.477732206E0
7.608087500E-1,-5.027894440E0,-5.237159271E0,-2.267484741E0,7.605856085E0
7.708167500E-1,-5.055137787E0,-6.239624634E0,-3.369493103E0,8.708663352E0
7.808247500E-1,-5.395829315E0,-6.642586670E0,-4.294569397E0,9.575085272E0
7.908327500E-1,-5.376818848E0,-6.702312469E0,-4.512516174E0,9.705358086E0
8.008407500E-1,-5.797893219E0,-7.354805603E0,-2.549498291E0,9.706115226E0
8.108497500E-1,-8.322094116E0,-8.264164581E0,-1.349294128E0,1.180568767E1
8.208577500E-1,-1.314147217E1,-1.173843979E1,1.878593445E-1,1.762170680E1
8.308657500E-1,-1.821068069E1,-1.669747742E1,-2.403102722E0,2.482356836E1
8.408737500E-1,-2.087454117E1,-2.008583130E1,-1.507095978E1,3.265456961E1
8.508817500E-1,-2.029779053E1,-2.140593613E1,-1.661380142E1,3.385606001E1
8.608897500E-1,-2.030273026E1,-2.076377151E1,-4.090393982E0,2.932688845E1
8.708977500E-1,-2.014435959E1,-1.974154724E1,-7.966433716E-1,2.821628167E1
8.809057500E-1,-1.946342560E1,-1.863310226E1,-3.329526215E0,2.714964421E1
8.909147500E-1,-1.610695541E1,-1.657353516E1,-6.364914093E0,2.397140404E1
9.009227500E-1,-1.217448303E1,-1.415965485E1,-6.234086151E0,1.968699298E1
9.109307500E-1,-1.104388412E1,-1.223375977E1,-4.010011139E0,1.696208843E1
9.209387500E-1,-1.171194489E1,-1.084644470E1,-2.531535645E0,1.616241592E1
9.309467500E-1,-1.278536270E1,-1.037821838E1,-2.123184814E0,1.660363906E1
9.409547500E-1,-1.323338104E1,-1.051668045E1,-2.227368164E0,1.704946071E1
9.509627500E-1,-1.306168808E1,-1.058359131E1,-2.388433228E0,1.698012702E1
9.609707500E-1,-1.243943207E1,-1.021505768E1,-2.516417084E0,1.629169201E1
9.709797500E-1,-1.148292114E1,-9.453740845E0,-2.476899261E0,1.507865126E1
9.809877500E-1,-1.023736130E1,-8.614136810E0,-2.384241943E0,1.359012616E1
9.909957500E-1,-8.705147552E0,-7.859705658E0,-2.300565948E0,1.195186892E1
1.001003750E0,-7.004533997E0,-7.161407776E0,-2.285746765E0,1.027491587E1
1.011011750E0,-5.274132385E0,-5.938001862E0,-2.352358246E0,8.283111000E0
1.021019750E0,-3.696712646E0,-4.616849213E0,-2.882855072E0,6.579653061E0
1.031027750E0,-2.230212250E0,-3.450474701E0,-2.805466003E0,4.974963501E0
1.041035750E0,-1.269659729E0,-2.613115997E0,-2.649490356E0,3.931947379E0
1.051044750E0,-5.248086548E-1,-1.762285309E0,-2.801723785E0,3.351228104E0
1.061052750E0,7.948471069E-2,-8.313711548E-1,-2.740052032E0,2.864503614E0
1.071060750E0,5.291496277E-1,-3.037184143E-1,-2.498604126E0,2.572016093E0
1.081068750E0,8.848100281E-1,-5.239105225E-3,-2.485581207E0,2.638376427E0
1.091076750E0,9.412426758E-1,4.819976807E-2,-2.304308167E0,2.489597782E0
1.101084750E0,7.737409973E-1,1.444496155E-1,-2.155218201E0,2.294451201E0
1.111093500E0,7.050338745E-1,7.694000244E-2,-2.124532013E0,2.239783204E0
1.121101500E0,6.911128235E-1,-2.513273621E-1,-2.047142944E0,2.175223348E0
1.131110500E0,4.965174866E-1,-7.942483521E-1,-1.770218811E0,2.002756775E0
1.141118500E0,8.547225952E-2,-1.276545410E0,-1.398841095E0,1.895687237E0
1.151126500E0,-3.119512939E-1,-1.558558960E0,-1.154698792E0,1.964624376E0
1.161134500E0,-7.032376099E-1,-1.745071106E0,-9.701325989E-1,2.116831018E0
1.171142500E0,-1.180295563E0,-1.896855469E0,-6.884184265E-1,2.337750674E0
1.181150500E0,-1.695224762E0,-1.830094299E0,-2.318678284E-1,2.505353234E0
1.191158500E0,-2.070644073E0,-1.639390869E0,1.678010559E-1,2.646379885E0
1.201167500E0,-2.386636963E0,-1.534159698E0,1.722917175E-1,2.842422630E0
1.211175500E0,-2.754272461E0,-1.607058105E0,-4.064048767E-1,3.214625556E0
1.221183500E0,-3.204985199E0,-1.699266357E0,-1.045426025E0,3.775228715E0
1.231191500E0,-3.728596344E0,-1.667382660E0,-1.354682922E0,4.303226865E0
1.241199500E0,-4.643044739E0,-1.555714874E0,-1.951940918E0,5.271450139E0
1.251207500E0,-6.295907593E0,-1.774260406E0,-1.214873657E0,6.652997100E0
1.261215500E0,-7.847131805E0,-2.864293671E0,-6.435118103E-1,8.378291189E0
1.271223500E0,-8.382119293E0,-4.699028320E0,-4.420008545E0,1.057720504E1
1.281232500E0,-8.339607697E0,-6.832691345E0,-8.749605103E0,1.388489528E1
1.291240500E0,-9.477241974E0,-8.107889557E0,-6.980284424E0,1.429266802E1
1.301248500E0,-1.256008118E1,-1.014021332E1,-3.226091309E0,1.646168978E1
1.311256500E0,-1.754247025E1,-1.452863754E1,-3.067421265E0,2.298322528E1
1.321264500E0,-2.213731522E1,-2.109338608E1,-1.063762894E1,3.237515731E1
1.331272500E0,-2.192700256E1,-2.553045914E1,-1.612357086E1,3.731711836E1
1.341280500E0,-1.867202133E1,-2.391202469E1,-9.021439819E0,3.165147203E1
1.351288500E0,-1.604333771E1,-1.949755463E1,-1.009051666E0,2.526977456E1
1.361297500E0,-1.475002716E1,-1.552496567E1,1.677860870E0,2.148029509E1
1.371305500E0,-1.404424484E1,-1.336390961E1,3.968247986E-1,1.939052251E1
1.381313500E0,-1.307545944E1,-1.095960938E1,-3.060236206E0,1.733337021E1
1.391321500E0,-1.205907303E1,-8.697064362E0,-3.983067169E0,1.539236807E1
1.401329500E0,-1.138502472E1,-7.738158417E0,-1.984722748E0,1.390816336E1
1.411337500E0,-1.098775085E1,-7.596552887E0,-6.426136780E-1,1.337352747E1
1.421345500E0,-1.080557968E1,-8.084538116E0,-3.028202820E-1,1.349859285E1
1.431353500E0,-1.050904633E1,-8.917555847E0,-8.532257080E-1,1.380908582E1
1.441362500E0,-9.941127319E0,-9.869426422E0,-1.922152863E0,1.413952835E1
1.451370500E0,-9.216783600E0,-1.048464706E1,-2.743195496E0,1.422680728E1
1.461378500E0,-8.455466766E0,-1.037417679E1,-3.175346832E0,1.375504598E1
1.471386500E0,-7.641160126E0,-9.579778748E0,-3.325933685E0,1.269729592E1
1.481394500E0,-6.813531189E0,-8.358618164E0,-3.172652435E0,1.124083753E1
1.491402500E0,-5.984704742E0,-6.845714264E0,-2.953059082E0,9.560389771E0
1.501410500E0,-5.130281525E0,-5.384153595E0,-2.838846588E0,7.960398759E0
1.511418500E0,-4.045936432E0,-3.912863159E0,-3.240910492E0,6.494890340E0
1.521427500E0,-2.759960632E0,-2.465971985E0,-3.083437958E0,4.817259611E0
1.531435500E0,-1.769919434E0,-1.351389771E0,-3.110980682E0,3.825842380E0
1.541443500E0,-9.307644653E-1,-3.414399719E-1,-3.664978638E0,3.796705435E0
1.551451500E0,-3.074606323E-1,2.808160400E-1,-3.999083862E0,4.020704096E0
1.561459500E0,1.450483704E-1,6.671626282E-1,-3.778143311E0,3.839337427E0
1.571467500E0,4.200265503E-1,7.551795959E-1,-3.055296478E0,3.175146468E0
1.581475500E0,5.125341797E-1,6.065386963E-1,-2.262844391E0,2.398133694E0
1.591484500E0,6.797364807E-1,2.405497742E-1,-1.593286743E0,1.748847770E0
1.601492500E0,8.015830994E-1,-3.638932800E-1,-9.400451660E-1,1.287881477E0
1.611500500E0,8.482859802E-1,-1.059945831E0,-3.266207886E-1,1.396336424E0
1.621508500E0,9.366023254E-1,-1.580712891E0,5.763015747E-2,1.838259610E0
1.631516500E0,8.093669128E-1,-1.867965546E0,3.251239014E-1,2.061571156E0
1.641524500E0,5.165757751E-1,-1.811233521E0,5.623805237E-1,1.965626936E0
1.651532500E0,2.314187622E-1,-1.580413513E0,5.879772949E-1,1.702051355E0
1.661540500E0,9.535171509E-2,-1.428329773E0,5.010081482E-1,1.516649945E0
1.671549500E0,5.433700562E-2,-1.411265259E0,4.248165894E-1,1.474819065E0
1.681557500E0,-8.801696777E-2,-1.438658295E0,1.489402771E-1,1.449023078E0
1.691565500E0,-4.602928162E-1,-1.602268066E0,-3.086581421E-1,1.695406229E0
1.701573500E0,-1.125659180E0,-2.093247070E0,-1.914069672E0,3.051631464E0
1.711581500E0,-2.612966309E0,-2.625540161E0,-7.292984161E0,8.179772127E0
1.721589500E0,-4.952002258E0,-2.946772156E0,-8.384664001E0,1.017390696E1
1.731597500E0,-7.777526550E0,-3.972439270E0,-3.794010315E0,9.521801682E0
1.741606500E0,-1.002195923E1,-5.585784302E0,-1.206940155E0,1.153678281E1
1.751614500E0,-1.179113022E1,-7.144642639E0,-3.599714355E0,1.424902150E1
1.761622500E0,-1.373947861E1,-9.986483002E0,-1.070768326E1,2.007878472E1
1.771630500E0,-1.764515671E1,-1.488923767E1,-1.744053223E1,2.893463527E1
1.781638500E0,-2.072245743E1,-1.948093918E1,-1.019200562E1,3.021264986E1
1.791646500E0,-2.128049698E1,-2.139291321E1,-1.577419739E0,3.021596499E1
1.801654500E0,-2.075673615E1,-2.206770996E1,-5.053491211E-1,3.029985637E1
1.811662500E0,-2.018103333E1,-2.196053284E1,-7.397616577E-1,2.983431507E1
1.821671500E0,-1.873728561E1,-1.965832031E1,-2.539618835E0,2.727609014E1
1.831679500E0,-1.651695282E1,-1.507051071E1,-4.177063751E0,2.274594217E1
1.841687500E0,-1.543455368E1,-1.214709000E1,-2.321073303E0,1.977788219E1
1.851695500E0,-1.484238510E1,-1.054781570E1,-3.412902832E-1,1.821178988E1
1.861703500E0,-1.439301956E1,-9.301657104E0,-7.694000244E-2,1.713726223E1
1.871711500E0,-1.422132660E1,-8.628506927E0,-9.940827942E-1,1.666389698E1
1.881719500E0,-1.383962036E1,-9.245374146E0,-2.434986420E0,1.682085591E1
1.891727500E0,-1.259750336E1,-1.098490677E1,-2.976709900E0,1.697722207E1
1.901736500E0,-1.132125732E1,-1.235351074E1,-2.055076447E0,1.688204473E1
1.911744500E0,-1.040695862E1,-1.279194901E1,-9.529183960E-1,1.651807496E1
1.921752500E0,-9.601034546E0,-1.247865051E1,-6.111790466E-1,1.575658982E1
1.931760500E0,-8.903934174E0,-1.139984390E1,-9.599537659E-1,1.449682710E1
