"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.998750007E-4,1.247371078E1,6.272406464E0,2.301314392E0,1.415035659E1
1.080787500E-2,1.144939087E1,4.785398712E0,2.386337585E0,1.263658178E1
2.081487500E-2,1.022778122E1,3.505560150E0,2.455793152E0,1.108726209E1
3.082287500E-2,8.974138184E0,2.518961792E0,2.580034790E0,9.671447884E0
4.083087500E-2,7.894283752E0,1.737287292E0,2.675536194E0,8.514480432E0
5.083887499E-2,7.013814697E0,1.117725677E0,2.791844330E0,7.631336846E0
6.084587500E-2,6.214776306E0,5.581892395E-1,2.766397247E0,6.825538330E0
7.085387500E-2,5.430706787E0,2.242337036E-1,2.679278412E0,6.059817635E0
8.086187499E-2,4.812342682E0,1.125659180E-1,2.709964600E0,5.524058409E0
9.086887500E-2,4.339925079E0,-1.646575928E-3,2.767594757E0,5.147284055E0
1.008768750E-1,3.945944366E0,-1.116677856E-1,2.782264252E0,4.829486619E0
1.108848750E-1,3.505111084E0,-3.257226562E-1,2.719844055E0,4.448533539E0
1.208928750E-1,3.058889008E0,-5.757028198E-1,2.609373779E0,4.061658186E0
1.308998750E-1,2.566413116E0,-7.867639160E-1,2.453398132E0,3.636569282E0
1.409078750E-1,1.985022125E0,-8.681945801E-1,2.244432678E0,3.119543671E0
1.509158750E-1,1.398990784E0,-8.839118958E-1,2.014361115E0,2.606938080E0
1.609238750E-1,9.009764099E-1,-8.909472656E-1,1.778002625E0,2.183309152E0
1.709308750E-1,3.423381042E-1,-7.701484680E-1,1.488804016E0,1.710807248E0
1.809388750E-1,-1.740879822E-1,-6.948550415E-1,1.238075409E0,1.430370886E0
1.909468750E-1,-6.315367126E-1,-7.900570679E-1,1.028810577E0,1.442733515E0
2.009540000E-1,-9.915380859E-1,-8.985813904E-1,8.704399109E-1,1.596327639E0
2.109620000E-1,-1.272952881E0,-8.726852417E-1,7.750881958E-1,1.727064063E0
2.209700000E-1,-1.447789307E0,-8.403524780E-1,7.370672607E-1,1.829085649E0
2.309780000E-1,-1.576970673E0,-8.969348145E-1,6.340814209E-1,1.921818881E0
2.409850000E-1,-1.664388885E0,-9.422904968E-1,5.227130127E-1,1.982758340E0
2.509930000E-1,-1.754800873E0,-9.246272278E-1,3.363505554E-1,2.011813438E0
2.610010000E-1,-1.698368225E0,-9.286688232E-1,2.433938599E-1,1.950928236E0
2.710080000E-1,-1.577120361E0,-9.557624817E-1,2.011816406E-1,1.855064583E0
2.810160000E-1,-1.468146973E0,-9.804611206E-1,2.294728088E-1,1.780285739E0
2.910240000E-1,-1.338815918E0,-1.145268402E0,1.630110168E-1,1.769361570E0
3.010320000E-1,-1.184935913E0,-1.352886658E0,1.960922241E-1,1.809095793E0
3.110390000E-1,-9.529183960E-1,-1.509011993E0,2.567161560E-1,1.803073446E0
3.210470000E-1,-6.261479187E-1,-1.525028687E0,2.992277527E-1,1.675503196E0
3.310550000E-1,-2.022294617E-1,-1.448388062E0,2.775228882E-1,1.488537432E0
3.410630000E-1,4.614903259E-1,-1.359772339E0,2.972817993E-1,1.466400560E0
3.510700000E-1,1.375789032E0,-1.224304047E0,3.709286499E-1,1.878644171E0
3.610780000E-1,2.380050659E0,-9.437873840E-1,3.875440979E-1,2.589510802E0
3.710860000E-1,3.541784821E0,-6.071374512E-1,4.501139832E-1,3.621527053E0
3.810930000E-1,4.662504272E0,-3.412902832E-2,7.602690125E-1,4.724205738E0
3.911010000E-1,6.082002411E0,8.490344238E-1,1.193767548E0,6.255932683E0
4.011090000E-1,7.797734528E0,1.655108185E0,1.341210938E0,8.083495138E0
4.111170000E-1,9.803413696E0,2.570155334E0,1.473386078E0,1.024126384E1
4.211240000E-1,1.232327362E1,3.993844757E0,1.702409821E0,1.306568283E1
4.311320000E-1,1.496273483E1,5.776188354E0,2.087558899E0,1.617422912E1
4.411400000E-1,1.753827896E1,7.306905212E0,2.284698944E0,1.913640358E1
4.511480000E-1,1.959874420E1,8.435258789E0,2.311044159E0,2.146171685E1
4.611550000E-1,2.104458755E1,1.000190094E1,2.640509033E0,2.344962635E1
4.711630000E-1,2.235975266E1,1.251068390E1,3.514691162E0,2.586172470E1
4.811710000E-1,2.387280624E1,1.506706787E1,4.280648346E0,2.855260693E1
4.911780000E-1,2.529948944E1,1.678190186E1,4.167783051E0,3.064419703E1
5.011860000E-1,2.630524796E1,1.812745377E1,4.015549622E0,3.219775285E1
5.111940000E-1,2.643742310E1,1.926718369E1,4.129013672E0,3.297287462E1
5.212020000E-1,2.537328598E1,1.992282028E1,4.313280487E0,3.254730093E1
5.312090000E-1,2.357357849E1,2.009885422E1,4.149670715E0,3.125535651E1
5.412170000E-1,2.147599045E1,1.979962646E1,3.785777435E0,2.945463435E1
5.512250000E-1,1.917422699E1,1.911839310E1,3.423979797E0,2.729262855E1
5.612330000E-1,1.703023544E1,1.830618210E1,3.135080566E0,2.519868950E1
5.712400000E-1,1.552541473E1,1.753079453E1,3.056194611E0,2.361583335E1
5.812480000E-1,1.485510864E1,1.673579773E1,3.016227722E0,2.258005332E1
5.912560000E-1,1.485480927E1,1.589334961E1,2.824177094E0,2.193718068E1
6.012630000E-1,1.492800705E1,1.503548355E1,2.518961792E0,2.133673660E1
6.112710000E-1,1.493294678E1,1.430290695E1,2.341580658E0,2.080983053E1
6.212790000E-1,1.490360779E1,1.347183517E1,2.183958435E0,2.020835329E1
6.312870000E-1,1.489881775E1,1.245604752E1,2.033221893E0,1.952592844E1
6.412940000E-1,1.481529144E1,1.132724487E1,1.927242279E0,1.874869595E1
6.513020000E-1,1.441038345E1,1.020143600E1,2.021695862E0,1.777120429E1
6.613100000E-1,1.375130402E1,9.104067993E0,2.318528595E0,1.665406830E1
6.713180000E-1,1.321032898E1,7.960446167E0,2.545007629E0,1.563197232E1
6.813250000E-1,1.262369888E1,6.843319244E0,2.765050049E0,1.462307401E1
6.913330000E-1,1.186507645E1,5.884712677E0,3.113525391E0,1.360529025E1
7.013410000E-1,1.106154739E1,5.019661560E0,3.466491394E0,1.263215720E1
7.113480000E-1,1.033570679E1,4.116439819E0,3.695515137E0,1.172300063E1
7.213560000E-1,9.488468628E0,3.080444183E0,3.773502960E0,1.066580976E1
7.313640000E-1,8.500523071E0,2.225122833E0,3.852239227E0,9.594259282E0
7.413720000E-1,7.540718994E0,1.571581879E0,3.721710663E0,8.554732188E0
7.513790000E-1,6.640790405E0,9.927355957E-1,3.450474701E0,7.549264655E0
7.613870000E-1,5.792055359E0,4.520599365E-1,3.115471344E0,6.592300445E0
7.713950000E-1,4.886288910E0,8.143066406E-2,2.711311798E0,5.588708431E0
7.814030000E-1,4.008065186E0,-2.960842896E-1,2.330503693E0,4.645804548E0
7.914100000E-1,3.101400604E0,-7.176077271E-1,1.974244537E0,3.745836095E0
8.014180000E-1,2.192790070E0,-9.488768005E-1,1.607058105E0,2.879467177E0
8.114260000E-1,1.512305145E0,-1.076860657E0,1.309476929E0,2.271877099E0
8.214330000E-1,1.003962250E0,-1.234482880E0,9.779164124E-1,1.867674674E0
8.314410000E-1,4.144880676E-1,-1.317260742E0,6.969506836E-1,1.546840805E0
8.414490000E-1,-1.660047913E-1,-1.306782532E0,5.246589661E-1,1.417922849E0
8.514570000E-1,-6.388714600E-1,-1.225800934E0,3.600013733E-1,1.428406686E0
8.614640000E-1,-1.009650421E0,-1.191222839E0,2.794688416E-1,1.586350737E0
8.714720000E-1,-1.339714050E0,-1.173858948E0,2.642005920E-1,1.800716668E0
8.814800000E-1,-1.564396820E0,-1.076860657E0,2.594105530E-1,1.916835966E0
8.914880000E-1,-1.711840210E0,-9.925859070E-1,1.989363098E-1,1.988768298E0
9.014950000E-1,-1.910926208E0,-8.885522461E-1,1.454974365E-1,2.112423625E0
9.115030000E-1,-2.131118317E0,-7.146139526E-1,1.514849854E-1,2.252839560E0
9.215110000E-1,-2.232607269E0,-4.813989258E-1,1.725910950E-1,2.290429617E0
