"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-1.584916667E-3,-2.198777618E0,1.572659637E1,4.849764862E0,1.660363441E1
8.423083334E-3,-1.510059814E0,1.564112411E1,3.923491058E0,1.619625964E1
1.843108333E-2,-6.316864014E-1,1.525193344E1,2.826721802E0,1.552452439E1
2.844008333E-2,4.071533203E-1,1.457534042E1,1.978884888E0,1.471469700E1
3.844808333E-2,1.735640717E0,1.413630341E1,-4.905299377E-1,1.425089970E1
4.845608333E-2,3.081641693E0,1.357856323E1,-3.241958313E0,1.429629982E1
5.846408333E-2,3.849395142E0,1.200234100E1,-3.986210632E0,1.321983009E1
6.847308333E-2,4.270619202E0,9.547745361E0,-2.532733154E0,1.076161545E1
7.848108333E-2,4.163292389E0,7.038962402E0,-2.188449097E-1,8.180946664E0
8.848908333E-2,3.449127502E0,5.184917908E0,1.816472626E0,6.486865733E0
9.849708333E-2,2.397564240E0,4.650978241E0,2.999312897E0,6.031234594E0
1.085050833E-1,1.792971497E0,4.419409790E0,4.036056976E0,6.247854479E0
1.185140833E-1,1.747017059E0,3.897894287E0,4.963079224E0,6.548114527E0
1.285220833E-1,1.685045929E0,3.591331787E0,5.580096130E0,6.846496667E0
1.385300833E-1,1.531914368E0,3.899241486E0,6.012995911E0,7.328503641E0
1.485380833E-1,1.177451477E0,4.678820343E0,5.978118439E0,7.682164529E0
1.585460833E-1,4.170327759E-1,5.779331818E0,4.961432648E0,7.628263663E0
1.685550833E-1,-5.866300964E-1,6.957980804E0,3.442241821E0,7.785027970E0
1.785630833E-1,-1.541344757E0,8.270750885E0,2.500101013E0,8.776763010E0
1.885710833E-1,-2.476899261E0,9.458081818E0,2.241139526E0,1.003060556E1
1.985790833E-1,-3.342399445E0,1.034049683E1,2.438728638E0,1.113754488E1
2.085880833E-1,-4.117787018E0,1.089733887E1,3.060385895E0,1.204467211E1
2.185960833E-1,-4.468657379E0,1.092907288E1,3.416495361E0,1.229170343E1
2.286040833E-1,-3.834575958E0,1.025861710E1,3.128793640E0,1.139001963E1
2.386120833E-1,-2.836900635E0,9.386231232E0,2.496059418E0,1.011828318E1
2.486200833E-1,-2.240840149E0,8.737929382E0,1.833537140E0,9.205141656E0
2.586290833E-1,-1.745669861E0,8.176446991E0,1.557660828E0,8.504584406E0
2.686370833E-1,-1.275497589E0,7.745343475E0,1.901046753E0,8.076584576E0
2.786450833E-1,-7.662565613E-1,7.673642578E0,2.774031372E0,8.195559138E0
2.886530833E-1,-3.388952637E-1,7.707322540E0,3.707639923E0,8.559454687E0
2.986610833E-1,1.139131165E-1,7.836653595E0,4.608466644E0,9.091978914E0
3.086700833E-1,6.442602539E-1,8.161627808E0,5.314997406E0,9.760964971E0
3.186780833E-1,1.201850739E0,8.744515686E0,5.763764191E0,1.054191526E1
3.286860833E-1,1.738484802E0,9.591454468E0,5.962850189E0,1.142689418E1
3.386940833E-1,2.122286682E0,1.054841446E1,5.632786560E0,1.214501679E1
3.487020833E-1,2.456242218E0,1.129820526E1,4.995411987E0,1.259510655E1
3.587110833E-1,2.692001953E0,1.168544998E1,4.335883484E0,1.275133332E1
3.687190833E-1,2.836301880E0,1.165641037E1,3.850742340E0,1.259939394E1
3.787270833E-1,2.901266785E0,1.134131561E1,3.618575134E0,1.225303533E1
3.887350833E-1,2.835852814E0,1.084165466E1,3.519630890E0,1.174612015E1
3.987440833E-1,2.636168060E0,1.027942383E1,3.396287384E0,1.114229349E1
4.087520833E-1,2.411485291E0,9.892179108E0,3.420686646E0,1.074111567E1
4.187600833E-1,2.252964935E0,9.837093658E0,3.572920074E0,1.070560697E1
4.287680833E-1,2.054328003E0,1.032837204E1,3.570075989E0,1.111939635E1
4.387760833E-1,1.779948578E0,1.157857224E1,3.230731659E0,1.215192079E1
4.487850833E-1,1.538800049E0,1.327978455E1,2.676284637E0,1.363389462E1
4.587930833E-1,1.156944122E0,1.524609558E1,2.147434387E0,1.543999432E1
4.688010833E-1,5.295986938E-1,1.658281586E1,1.584455109E0,1.666675597E1
4.788090833E-1,-3.031196594E-1,1.639091492E1,7.226971436E-1,1.640963938E1
4.888170833E-1,-1.328038330E0,1.485151611E1,-4.327500916E-1,1.491705364E1
4.988260833E-1,-2.882406006E0,1.293639862E1,-2.479743347E0,1.348361230E1
5.088340833E-1,-3.931274872E0,1.088326813E1,-2.733765106E0,1.189007649E1
5.188420833E-1,-3.664828949E0,8.759484558E0,-2.753074951E0,9.886301767E0
5.288500833E-1,-3.754791870E0,7.194638672E0,-2.142943726E0,8.393658047E0
5.388580833E-1,-3.649261322E0,6.398743744E0,-1.280137939E0,7.476615734E0
5.488670833E-1,-3.527714081E0,6.490203552E0,-5.477110291E-1,7.407259693E0
5.588750833E-1,-3.225342865E0,7.636220398E0,1.164578247E-1,8.290250960E0
5.688830833E-1,-2.721640320E0,9.303603058E0,6.635700989E-1,9.716207139E0
5.788910833E-1,-2.393223267E0,1.041189835E1,1.121168518E0,1.074207446E1
5.888990833E-1,-2.274071045E0,1.115091156E1,1.584904175E0,1.149026323E1
5.989080833E-1,-2.180515594E0,1.177810730E1,1.879192200E0,1.212476075E1
6.089160833E-1,-2.026635590E0,1.192989166E1,1.822460175E0,1.223727617E1
6.189240833E-1,-1.912123718E0,1.134191437E1,1.595083008E0,1.161204239E1
6.289320833E-1,-1.785487061E0,9.954898682E0,1.257684631E0,1.019165062E1
6.389410833E-1,-1.625170441E0,8.368647308E0,4.875361633E-1,8.538918447E0
6.489490833E-1,-1.515747986E0,7.236252136E0,-4.340972900E-3,7.393298031E0
6.589570833E-1,-1.433568878E0,6.503076782E0,-1.686991882E-1,6.661350222E0
6.689650833E-1,-1.421444092E0,6.112239532E0,-2.863545227E-1,6.281876656E0
6.789730833E-1,-1.512903900E0,6.069578247E0,-3.519181824E-1,6.265181938E0
6.889820833E-1,-1.711540833E0,6.317462769E0,-3.848497009E-1,6.556509525E0
6.989899583E-1,-2.014810181E0,6.878945160E0,-2.808160400E-1,7.173437407E0
7.089979583E-1,-2.369572449E0,7.523355103E0,-1.366658020E-1,7.888879713E0
7.190059583E-1,-2.686762848E0,8.131390686E0,3.847000122E-2,8.563859471E0
7.290139583E-1,-2.982547760E0,8.691226501E0,3.201841736E-1,9.194320374E0
7.390229583E-1,-3.144960022E0,9.111103363E0,7.361691284E-1,9.666691420E0
7.490309583E-1,-3.112627258E0,9.363179169E0,1.315314789E0,9.954276749E0
7.590389583E-1,-2.840642853E0,9.382339325E0,1.916764069E0,9.988569844E0
7.690469583E-1,-2.294129333E0,9.174122314E0,2.280807037E0,9.727776230E0
7.790549583E-1,-1.720522156E0,9.002728729E0,2.701582031E0,9.555514980E0
7.890639583E-1,-1.340013428E0,8.988208923E0,3.108286285E0,9.604424984E0
7.990719583E-1,-1.002016296E0,9.080716553E0,3.439248047E0,9.761755831E0
8.090799583E-1,-6.234535217E-1,9.199719086E0,3.699856110E0,9.935414475E0
8.190879583E-1,-3.203338623E-1,9.302854614E0,3.818259888E0,1.006105493E1
8.290969583E-1,-2.290237427E-2,9.352551270E0,3.801494751E0,1.009564768E1
8.391049583E-1,2.703378296E-1,9.306447144E0,3.556454315E0,9.966514349E0
8.491129583E-1,6.243516541E-1,9.242080994E0,3.079845428E0,9.761727508E0
8.591209583E-1,1.008452911E0,9.304800568E0,2.567760315E0,9.705136986E0
8.691289583E-1,1.394350433E0,9.394763489E0,1.991309052E0,9.704179815E0
8.791379583E-1,1.841919708E0,9.474098511E0,1.367406464E0,9.747872139E0
8.891459583E-1,2.347119141E0,9.551188202E0,6.502478027E-1,9.856824364E0
8.991539583E-1,2.809507599E0,9.550439758E0,9.969268799E-2,9.955610034E0
