"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-1.260416666E-3,8.573271790E0,4.680766296E0,2.279609528E0,1.003031315E1
8.747583333E-3,8.524772644E0,4.488865356E0,2.212548981E0,9.885192654E0
1.875558333E-2,8.577313385E0,4.452341309E0,2.190395050E0,9.909161342E0
2.876458333E-2,8.443940735E0,4.523892517E0,2.396965485E0,9.874775044E0
3.877258333E-2,8.367599487E0,4.551285553E0,2.485281830E0,9.844163100E0
4.878058333E-2,8.272696838E0,4.564308472E0,2.445015564E0,9.759535128E0
5.878958333E-2,8.277636566E0,4.583318939E0,2.495760040E0,9.785443158E0
6.879758333E-2,8.234825592E0,4.635560303E0,2.532134399E0,9.783275345E0
7.880558333E-2,8.320297852E0,4.654870148E0,2.555785217E0,9.870522302E0
8.881458333E-2,8.314459991E0,4.664450226E0,2.487976227E0,9.852784711E0
9.882258333E-2,8.225993958E0,4.702620850E0,2.438129883E0,9.783971421E0
1.088305833E-1,8.162076874E0,4.724475403E0,2.415077820E0,9.735130590E0
1.188385833E-1,8.268056488E0,4.687202911E0,2.502046967E0,9.828065336E0
1.288475833E-1,8.409512329E0,4.572391663E0,2.674188995E0,9.938709670E0
1.388555833E-1,8.424780579E0,4.492757263E0,2.706521759E0,9.924064473E0
1.488635833E-1,8.362659760E0,4.518952789E0,2.623294830E0,9.860866510E0
1.588725833E-1,8.303981781E0,4.512815552E0,2.595003662E0,9.800799030E0
1.688805833E-1,8.347840576E0,4.539310455E0,2.634671173E0,9.860693378E0
1.788885833E-1,8.284372559E0,4.515509949E0,2.475552063E0,9.754435750E0
1.888975833E-1,8.184530182E0,4.625231781E0,2.164049835E0,9.646886286E0
1.989055833E-1,8.259374542E0,4.701123962E0,2.330803070E0,9.785217284E0
2.089135833E-1,8.315657501E0,4.636608124E0,2.578088837E0,9.863814507E0
2.189215833E-1,8.273445282E0,4.745132446E0,2.620750122E0,9.891132896E0
2.289305833E-1,8.230933685E0,4.802912292E0,2.593656464E0,9.876400644E0
2.389385833E-1,8.240364075E0,4.799768829E0,2.463726654E0,9.849432975E0
2.489465833E-1,8.365204468E0,4.783303070E0,2.287093964E0,9.903909978E0
2.589555833E-1,8.495134277E0,4.661905518E0,2.496807861E0,1.000673368E1
2.689635833E-1,8.419541473E0,4.547992401E0,2.653831329E0,9.930545515E0
2.789715833E-1,8.233328705E0,4.519551544E0,2.616259460E0,9.749813398E0
2.889805833E-1,8.088879089E0,4.513713684E0,2.497855682E0,9.593896974E0
2.989885833E-1,8.008496246E0,4.483925629E0,2.338137817E0,9.471456574E0
3.089965833E-1,8.024962006E0,4.509522400E0,2.305056610E0,9.489420079E0
3.190045833E-1,8.250542908E0,4.566404114E0,2.258653107E0,9.696649868E0
3.290135833E-1,8.287665710E0,4.597239990E0,2.254461823E0,9.741797399E0
3.390215833E-1,8.156837769E0,4.634213104E0,2.349364471E0,9.671062346E0
3.490289167E-1,8.036488037E0,4.668192444E0,2.321073303E0,9.579381083E0
3.590379167E-1,7.973319397E0,4.727319489E0,2.310445404E0,9.552985382E0
3.690459167E-1,7.949518890E0,4.804259491E0,2.258503418E0,9.559110708E0
3.790539167E-1,7.968679047E0,4.841681671E0,2.225571899E0,9.586182631E0
3.890629167E-1,8.096363525E0,4.737947388E0,2.424358521E0,9.689002117E0
3.990709167E-1,8.317603455E0,4.587959290E0,2.570454712E0,9.840687735E0
4.090789167E-1,8.465795288E0,4.525389404E0,2.787353668E0,9.995908142E0
4.190879167E-1,8.543034668E0,4.563260651E0,3.096011810E0,1.016818953E1
4.290959167E-1,8.541537781E0,4.536017303E0,3.145259399E0,1.016985631E1
4.391039167E-1,8.528514862E0,4.466262360E0,3.040177917E0,1.009582820E1
4.491119167E-1,8.403824158E0,4.475692749E0,2.865790558E0,9.943281228E0
4.591209167E-1,8.262218628E0,4.502037964E0,2.886597290E0,9.842004186E0
4.691289167E-1,8.240064697E0,4.427043915E0,3.025059357E0,9.830990192E0
4.791369167E-1,8.292306061E0,4.516258392E0,3.032094727E0,9.917284311E0
4.891459167E-1,8.316705322E0,4.548890533E0,3.147504730E0,9.988332120E0
4.991539167E-1,8.404572601E0,4.411625977E0,3.444936218E0,1.009786462E1
