"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-2.178625000E-3,6.235433350E0,-8.080795898E0,-1.232387238E0,1.028098583E1
7.830375000E-3,5.921685791E0,-7.909552002E0,-1.188378754E0,9.951865129E0
1.783837500E-2,5.668412476E0,-7.692353668E0,-9.482780457E-1,9.602209964E0
2.784637500E-2,5.707181854E0,-7.475005646E0,-6.894662476E-1,9.429899142E0
3.785437500E-2,5.755381622E0,-7.199428711E0,-5.357359314E-1,9.232724645E0
4.786237500E-2,5.815107422E0,-6.920558624E0,-3.897894287E-1,9.047736833E0
5.787137500E-2,6.078858948E0,-6.790628815E0,-2.769241333E-1,9.118215438E0
6.787937500E-2,6.494095459E0,-6.796017609E0,-4.586462402E-1,9.411136358E0
7.788737500E-2,6.994504852E0,-6.975494385E0,-8.637039185E-1,9.915977234E0
8.789537500E-2,7.776478729E0,-7.188651123E0,-1.138682098E0,1.065114657E1
9.790337500E-2,8.649463348E0,-7.560178528E0,-1.530716858E0,1.158933172E1
1.079123750E-1,9.535021820E0,-7.997419281E0,-1.857038269E0,1.258268443E1
1.179203750E-1,1.027433441E1,-8.159981232E0,-2.160756683E0,1.329722192E1
1.279283750E-1,1.088581284E1,-8.150550842E0,-2.498903503E0,1.382667418E1
1.379363750E-1,1.120494919E1,-7.918832703E0,-2.606529694E0,1.396613027E1
1.479443750E-1,1.117411331E1,-7.554041290E0,-2.348316650E0,1.369083413E1
1.579533750E-1,1.102487366E1,-7.229965210E0,-2.082768860E0,1.334759013E1
1.679613750E-1,1.084315155E1,-6.879693604E0,-1.737886047E0,1.295856348E1
1.779693750E-1,1.060290115E1,-6.481671295E0,-1.258133698E0,1.249065555E1
1.879773750E-1,1.039213943E1,-6.149811401E0,-7.780819702E-1,1.210050222E1
1.979853750E-1,1.023766068E1,-5.948779449E0,-5.385800171E-1,1.185275248E1
2.079943750E-1,1.012689102E1,-5.849236450E0,-2.829116821E-1,1.169818481E1
2.180023750E-1,1.011910721E1,-5.701493683E0,-2.492317200E-1,1.161746433E1
2.280103750E-1,9.739047546E0,-5.896388397E0,-9.894424438E-2,1.138535169E1
2.380183750E-1,9.330097961E0,-5.976920929E0,2.547702026E-1,1.108328560E1
2.480263750E-1,9.036708069E0,-5.799090729E0,3.939807129E-1,1.074461571E1
2.580353750E-1,8.733738098E0,-5.886808319E0,5.535488892E-1,1.054699529E1
2.680433750E-1,8.431217194E0,-6.240223389E0,7.641609192E-1,1.051711715E1
2.780513750E-1,8.139773254E0,-6.360273743E0,8.280780029E-1,1.036314160E1
2.880593750E-1,7.809260559E0,-6.265071716E0,9.000782776E-1,1.005215474E1
2.980673750E-1,7.575596466E0,-6.257736969E0,8.779243469E-1,9.865073996E0
3.080763750E-1,7.386539612E0,-6.239325256E0,7.569758606E-1,9.698616373E0
3.180843750E-1,7.240892487E0,-6.140530701E0,7.186555481E-1,9.521192524E0
3.280923750E-1,7.084916840E0,-6.048472137E0,7.435038757E-1,9.345205179E0
3.381003750E-1,6.994355164E0,-5.886658630E0,7.484436035E-1,9.172454514E0
3.481083750E-1,7.044201508E0,-5.751340027E0,6.948550415E-1,9.120389822E0
3.581173750E-1,7.145241394E0,-5.671555939E0,6.743476868E-1,9.147445881E0
