"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.022166667E-3,7.961044922E0,-4.405937805E0,1.908231812E0,9.296874358E0
1.202916667E-2,8.669222260E0,-4.971461792E0,2.772833862E0,1.037108743E1
2.203716667E-2,8.772058411E0,-5.523663483E0,3.578757935E0,1.096664832E1
3.204516667E-2,8.483009491E0,-5.791905670E0,3.884571991E0,1.098169026E1
4.205316667E-2,7.884703674E0,-5.630092163E0,3.465443573E0,1.028959615E1
5.206116667E-2,7.491471405E0,-5.364544373E0,2.626887360E0,9.581284744E0
6.206916667E-2,6.908733215E0,-5.408702545E0,1.910177765E0,8.979612294E0
7.207616667E-2,6.362818451E0,-5.605094147E0,1.468596039E0,8.605772095E0
8.208416667E-2,5.647605743E0,-5.840554504E0,1.219663696E0,8.215540584E0
9.209216667E-2,5.051844635E0,-6.057303772E0,1.075214081E0,7.960411329E0
1.021001667E-1,4.521946564E0,-6.190377045E0,1.000220032E0,7.731054831E0
1.121081667E-1,4.177662506E0,-6.433770905E0,1.002914429E0,7.736414507E0
1.221151667E-1,3.942950592E0,-6.695576477E0,9.801617432E-1,7.831878496E0
1.321231667E-1,3.797303467E0,-6.941365356E0,1.031804352E0,7.979140734E0
1.421311667E-1,3.708238678E0,-7.176676025E0,1.153800659E0,8.160083874E0
1.521391667E-1,3.636986847E0,-7.417375488E0,1.302291870E0,8.363079371E0
1.621471667E-1,3.538791046E0,-7.625293121E0,1.376537476E0,8.518391437E0
1.721551667E-1,3.478316803E0,-7.942633209E0,1.253493347E0,8.761013392E0
1.821621667E-1,3.543730774E0,-8.123756561E0,1.016536102E0,8.921143094E0
1.921733333E-1,3.561394043E0,-8.116421814E0,7.638615417E-1,8.896252865E0
2.021813333E-1,3.684587860E0,-7.946225739E0,5.572911072E-1,8.776631732E0
2.121893333E-1,4.101470947E0,-7.751630402E0,4.441264343E-1,8.781064064E0
2.221973333E-1,4.589755554E0,-7.676636353E0,3.867956543E-1,8.952441712E0
2.322053333E-1,5.023553467E0,-7.729177094E0,3.498225403E-1,9.224892617E0
2.422123333E-1,5.429808655E0,-7.904462585E0,2.547702026E-1,9.593136017E0
2.522203333E-1,5.793103180E0,-8.028704224E0,1.425036621E-1,9.901537419E0
2.622283333E-1,6.148314514E0,-8.077502747E0,1.013392639E-1,1.015175313E1
2.722363333E-1,6.559060364E0,-8.164172516E0,8.232879639E-3,1.047258581E1
2.822443333E-1,6.969357147E0,-8.223449249E0,-9.490264893E-2,1.077989161E1
2.922523333E-1,7.409142609E0,-8.266260223E0,-1.713935852E-1,1.110206413E1
