"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.520750001E-3,2.036515045E0,9.619146881E0,8.547225952E-2,9.832735416E0
1.659875002E-2,2.374063110E0,9.633816376E0,-2.844085693E-3,9.922026089E0
2.667775005E-2,2.160008240E0,9.538614349E0,1.806742859E-1,9.781791375E0
3.675575007E-2,1.670975189E0,9.311237183E0,3.848497009E-1,9.467808894E0
4.683474998E-2,1.532213745E0,9.513167267E0,2.963836670E-1,9.640325393E0
5.691275001E-2,1.322948914E0,9.567803650E0,2.944377136E-1,9.663320034E0
6.699175003E-2,1.285526733E0,9.559870148E0,3.965254211E-1,9.654062804E0
7.707075006E-2,1.227297821E0,9.519154816E0,4.623884583E-1,9.609077554E0
8.714875008E-2,1.102607117E0,9.604327698E0,4.315525818E-1,9.677039352E0
9.722775000E-2,1.010398865E0,9.572144623E0,3.921844482E-1,9.633310292E0
1.073057500E-1,1.043480072E0,9.536219330E0,3.929328918E-1,9.601183574E0
1.173847500E-1,1.054856415E0,9.604178009E0,4.299060059E-1,9.671492980E0
1.274594167E-1,1.130000153E0,9.695787506E0,5.086422729E-1,9.774656652E0
1.375384167E-1,1.162931671E0,9.771979065E0,4.448748779E-1,9.850984650E0
1.476164167E-1,9.729766846E-1,9.795929260E0,3.656895447E-1,9.850920898E0
1.576954167E-1,8.613088989E-1,9.742640076E0,2.273771667E-1,9.783281098E0
1.677734167E-1,8.818162537E-1,9.711504822E0,2.742297363E-1,9.755312796E0
1.778524166E-1,1.067579956E0,9.770182800E0,3.945794678E-1,9.836253955E0
1.879304167E-1,1.307231598E0,9.921967163E0,5.313949585E-1,1.002180959E1
1.980094167E-1,1.300645294E0,9.980944519E0,6.059399414E-1,1.008355567E1
2.080874167E-1,1.337618408E0,9.823771362E0,5.526507568E-1,9.929810151E0
2.181664167E-1,1.311722260E0,9.602830811E0,2.894979858E-1,9.696328374E0
2.282444166E-1,1.156195679E0,9.389225006E0,1.787283325E-1,9.461832723E0
2.383234167E-1,1.377585297E0,9.770781555E0,-3.113525391E-2,9.867465878E0
2.484024167E-1,1.298849030E0,9.826016693E0,8.652008057E-2,9.911866554E0
2.584804167E-1,1.396595764E0,9.787397003E0,2.580633545E-1,9.889904778E0
2.685594168E-1,1.496737518E0,9.606423340E0,2.923420715E-1,9.726718690E0
2.786374167E-1,1.279988251E0,9.623338165E0,2.374063110E-1,9.710992180E0
2.887164167E-1,1.215771790E0,9.941127319E0,-5.957611084E-2,1.001537132E1
