"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.676999964E-3,-5.270240479E0,2.175126801E0,7.494165802E0,9.416428854E0
1.175599999E-2,-5.422922974E0,2.230062561E0,7.410040741E0,9.449337352E0
2.183500002E-2,-5.617218933E0,2.328857117E0,7.327113190E0,9.521728399E0
3.191299993E-2,-5.668711853E0,2.345771942E0,7.310797119E0,9.543830185E0
4.199199995E-2,-5.703589325E0,2.379152527E0,7.314389648E0,9.575572769E0
5.207099998E-2,-5.627397766E0,2.340981903E0,7.428153076E0,9.608603437E0
6.215000001E-2,-5.456004181E0,2.199376373E0,7.725734253E0,9.710417488E0
7.222899992E-2,-5.380710754E0,2.142344971E0,7.950417023E0,9.836199522E0
8.230799995E-2,-5.430108032E0,2.126477966E0,7.952812042E0,9.861805168E0
9.238599997E-2,-5.366340637E0,2.106569366E0,7.658673706E0,9.585954792E0
1.024650000E-1,-5.220543823E0,2.037263489E0,7.241191864E0,9.156384655E0
1.125439999E-1,-5.101391602E0,1.958976288E0,6.954238586E0,8.844389108E0
1.226229999E-1,-5.221441956E0,1.824406128E0,6.859485626E0,8.811609210E0
1.327020000E-1,-5.410199432E0,1.779349823E0,6.916966095E0,8.959953329E0
1.427800000E-1,-5.631888428E0,1.540147247E0,6.878645782E0,9.022526731E0
1.528590000E-1,-5.683980103E0,1.232087860E0,6.521787872E0,8.738385855E0
1.629379999E-1,-5.450615387E0,7.810757446E-1,5.902825012E0,8.072337365E0
1.730170000E-1,-5.058281250E0,3.318598938E-1,5.348827057E0,7.369280228E0
1.830960000E-1,-5.064568176E0,-2.011816406E-1,5.073399811E0,7.171451074E0
1.931740000E-1,-4.946463776E0,-1.043330383E0,5.453459473E0,7.436145668E0
2.032529999E-1,-4.544848938E0,-1.683399353E0,6.102809143E0,7.793187069E0
2.133320000E-1,-4.556225281E0,-2.434237976E0,5.826483765E0,7.786694831E0
2.234110000E-1,-4.694088593E0,-3.122955780E0,5.029391327E0,7.555269528E0
2.334900000E-1,-5.106780396E0,-3.591631165E0,4.066743164E0,7.451001301E0
2.435689999E-1,-5.653593292E0,-3.966751099E0,3.190166016E0,7.607587699E0
2.536469999E-1,-6.302344208E0,-4.112398224E0,2.311193848E0,7.872291831E0
2.637260000E-1,-6.877897339E0,-4.056863708E0,1.835632782E0,8.193482939E0
2.738050000E-1,-7.374863892E0,-3.998634796E0,1.395098877E0,8.504351741E0
2.838839999E-1,-7.969427490E0,-4.081712036E0,1.280886383E0,9.045043814E0
2.939629999E-1,-8.477321320E0,-4.178560638E0,1.342558136E0,9.546088629E0
3.040410000E-1,-8.611741791E0,-4.205504608E0,1.259031830E0,9.666101946E0
3.141200000E-1,-8.950337677E0,-4.299958191E0,9.095086670E-1,9.971228159E0
3.241990000E-1,-9.250613251E0,-4.220922546E0,3.776646423E-1,1.017510016E1
3.342779999E-1,-9.664053497E0,-4.084256744E0,4.056564331E-2,1.049174574E1
3.443570000E-1,-1.070214478E1,-3.994593201E0,-2.396516418E-1,1.142585273E1
3.544360000E-1,-1.205697739E1,-3.630999298E0,-5.011578369E-1,1.260182601E1
3.645140000E-1,-1.308474014E1,-3.117117920E0,-5.677693176E-1,1.346288271E1
3.745929999E-1,-1.384141663E1,-2.700085144E0,-7.087760925E-1,1.412011464E1
3.846720000E-1,-1.423524765E1,-2.438578949E0,-2.936892700E-1,1.444559436E1
3.947510000E-1,-1.457025101E1,-2.160457306E0,5.990542603E-1,1.474173179E1
4.048301249E-1,-1.518427414E1,-1.657503204E0,1.553918610E0,1.535331108E1
4.149081249E-1,-1.572480011E1,-1.078507233E0,2.595901794E0,1.597407971E1
4.249871250E-1,-1.669717804E1,-3.436853027E-1,3.796854401E0,1.712687880E1
4.350661250E-1,-1.758019180E1,6.390211487E-1,4.552782440E0,1.817138739E1
4.451451249E-1,-1.748049911E1,1.422192535E0,4.650379486E0,1.814432446E1
4.552241249E-1,-1.666095337E1,2.077080688E0,4.302652588E0,1.733246811E1
4.653021250E-1,-1.555325684E1,2.607876892E0,3.661086731E0,1.618976146E1
4.753811250E-1,-1.420066956E1,3.179837494E0,3.142565002E0,1.488778349E1
4.854601250E-1,-1.281754578E1,3.709136810E0,2.866239624E0,1.364780221E1
4.955391249E-1,-1.190130112E1,4.298161926E0,2.722688141E0,1.294326833E1
5.056181250E-1,-1.133083740E1,5.081483002E0,2.608176270E0,1.268904761E1
5.156971250E-1,-1.026834686E1,5.758375397E0,2.359543304E0,1.200688465E1
5.257751250E-1,-8.502469025E0,6.407425690E0,2.466421051E0,1.092841783E1
5.358541249E-1,-6.855144653E0,6.846612396E0,2.437531128E0,9.990528891E0
5.459331250E-1,-6.059848480E0,7.393574982E0,2.060315552E0,9.779141823E0
5.560121250E-1,-5.307662659E0,8.098459167E0,1.743574219E0,9.838514870E0
5.660911250E-1,-4.038751373E0,8.734636230E0,1.148112488E0,9.691416048E0
5.761691249E-1,-3.522175598E0,9.606123962E0,4.978646851E-1,1.024359350E1
5.862481249E-1,-2.977009277E0,1.025831772E1,-9.370513916E-2,1.068196833E1
5.963271250E-1,-2.588417358E0,1.096514786E1,-5.251080322E-1,1.127874596E1
6.064061250E-1,-2.654280396E0,1.152992340E1,-9.479786682E-1,1.186941454E1
6.164851249E-1,-3.084635468E0,1.182960022E1,-9.961784363E-1,1.226567523E1
6.265631249E-1,-3.698508911E0,1.225381805E1,-3.682342529E-1,1.280510139E1
6.366421250E-1,-4.199517059E0,1.267743713E1,2.297721863E-1,1.335687655E1
6.467211250E-1,-4.644691315E0,1.301543427E1,6.069877625E-1,1.383268306E1
6.568001250E-1,-4.844376068E0,1.333427124E1,8.644523621E-1,1.421330528E1
6.668791249E-1,-4.897066498E0,1.360700409E1,7.430548096E-1,1.448046791E1
6.769571250E-1,-5.221591644E0,1.388557480E1,-2.230361938E-2,1.483491504E1
6.870361250E-1,-6.358926544E0,1.435904022E1,-6.116281128E-1,1.571598142E1
6.971151250E-1,-8.149053955E0,1.492441452E1,-6.484515381E-1,1.701663065E1
7.071941249E-1,-9.943522339E0,1.552541473E1,7.457492065E-1,1.845178260E1
7.172731250E-1,-1.165835632E1,1.632954254E1,3.150498505E0,2.031001902E1
7.273521250E-1,-1.412223267E1,1.735221588E1,5.301375732E0,2.299220381E1
7.374301250E-1,-1.761851212E1,1.852981705E1,6.103108521E0,2.628714558E1
7.475091249E-1,-2.107093277E1,2.000993912E1,6.222111053E0,2.971694024E1
7.575881250E-1,-2.520832901E1,2.166594543E1,4.656816101E0,3.356425151E1
7.676671250E-1,-2.955798386E1,2.339919113E1,1.642684021E0,3.773453281E1
7.777461250E-1,-3.468961258E1,2.578552872E1,-1.287472687E0,4.324257506E1
7.878241250E-1,-4.035652817E1,2.848351822E1,-2.846331024E0,4.947789179E1
7.979031249E-1,-4.700285706E1,3.103840530E1,-1.734742584E0,5.635299910E1
8.079821250E-1,-5.565845764E1,3.385764267E1,9.328601074E-1,6.515423319E1
8.180611250E-1,-6.500442261E1,3.571318405E1,3.573069763E0,7.425478639E1
8.281401250E-1,-7.227570190E1,3.514331909E1,5.431305542E0,8.055016476E1
8.382181249E-1,-7.664511566E1,3.264980438E1,6.455026703E0,8.355926550E1
8.482971250E-1,-7.906303757E1,2.968746460E1,7.245981903E0,8.476328048E1
8.583761250E-1,-8.177599594E1,2.522284882E1,5.871091003E0,8.577864142E1
8.684551250E-1,-8.299610870E1,1.888547745E1,3.333867188E0,8.518292076E1
8.785341249E-1,-8.096243774E1,9.994865570E0,1.487157440E0,8.159059566E1
8.886121250E-1,-7.279063110E1,5.352868652E-1,-3.417393494E-1,7.279340145E1
8.986911250E-1,-6.176934998E1,-6.440806274E0,-9.931846619E-1,6.211218075E1
9.087701250E-1,-5.259148544E1,-1.209020828E1,-6.881190491E-1,5.396768464E1
9.188491249E-1,-4.338772476E1,-1.660511948E1,1.327140198E0,4.647564904E1
9.289281250E-1,-3.391242874E1,-2.073922256E1,4.021088104E0,3.995419033E1
9.390071250E-1,-2.398058212E1,-2.436737778E1,5.459147644E0,3.462137651E1
9.490851250E-1,-1.472562790E1,-2.643697403E1,4.134103088E0,3.054256900E1
9.591641249E-1,-7.555089111E0,-2.722897705E1,-7.379653931E-2,2.825777784E1
9.692431249E-1,-1.287622375E0,-2.639895309E1,-4.598587189E0,2.682740576E1
9.793221250E-1,3.801494751E0,-2.496029480E1,-8.293952637E0,2.657550243E1
9.894011250E-1,5.923931122E0,-2.367252274E1,-1.061158310E1,2.660990395E1
9.994791250E-1,5.465584259E0,-2.269475601E1,-1.045725403E1,2.557887260E1
1.009558125E0,4.105811920E0,-2.198927307E1,-8.277935944E0,2.385183526E1
1.019637125E0,3.180885315E0,-2.188748474E1,-5.852080536E0,2.287852413E1
