"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.265916624E-3,1.807790680E0,-1.076965439E1,6.146218872E-1,1.093761047E1
1.134491665E-2,3.162922668E0,-1.006042923E1,1.260079651E0,1.062092825E1
2.142391668E-2,3.837420044E0,-9.672585754E0,8.746311951E-1,1.044268584E1
3.150191659E-2,4.107159119E0,-9.343869324E0,3.442840576E-2,1.020675440E1
4.158091662E-2,3.189716949E0,-9.333840179E0,-5.830375671E-1,9.881032310E0
5.165991664E-2,2.230361938E0,-9.476194153E0,-6.738986206E-1,9.758427606E0
6.173791667E-2,1.798060913E0,-9.511221313E0,-1.922003174E-1,9.681595679E0
7.181691669E-2,7.914042664E-1,-9.524094543E0,4.948709106E-1,9.569722817E0
8.189591661E-2,-4.589456177E-1,-9.478439484E0,1.044228516E0,9.546824567E0
9.197391663E-2,-1.701212311E0,-9.219777374E0,1.620829468E0,9.514489283E0
1.020529167E-1,-2.933749237E0,-8.888067169E0,1.988464966E0,9.568626626E0
1.121319167E-1,-4.201912079E0,-8.862919464E0,2.019749908E0,1.001432955E1
1.222099166E-1,-5.584586792E0,-9.127269745E0,1.901346130E0,1.086783234E1
1.322889166E-1,-6.668183441E0,-9.560618591E0,2.063159637E0,1.183751350E1
1.423679166E-1,-7.310647430E0,-9.843081207E0,2.604733429E0,1.253461008E1
1.524459167E-1,-7.496560822E0,-9.658215637E0,3.137924652E0,1.262244527E1
1.625249166E-1,-6.888375549E0,-8.897048492E0,3.218756561E0,1.170331506E1
1.726039166E-1,-5.957910461E0,-8.109685822E0,2.854114838E0,1.045990787E1
1.826819166E-1,-5.277275848E0,-7.615114288E0,2.217788086E0,9.526709295E0
1.927609167E-1,-4.784799957E0,-7.994575195E0,1.527573395E0,9.441452413E0
2.028389167E-1,-4.154161377E0,-8.893006897E0,5.942642212E-1,9.833401160E0
2.129179166E-1,-3.399281158E0,-9.701176300E0,-3.004252625E-1,1.028388007E1
2.229969166E-1,-2.794838104E0,-1.005429199E1,-9.942324829E-1,1.048276708E1
2.330749166E-1,-2.157014465E0,-9.978848877E0,-1.272054749E0,1.028825834E1
2.431539167E-1,-1.352287903E0,-9.923464050E0,-1.307980042E0,1.010022936E1
2.532329166E-1,-5.435197449E-1,-9.898466034E0,-8.187973022E-1,9.947133887E0
2.633109166E-1,-1.670526123E-1,-9.826914825E0,-6.436614990E-2,9.828545394E0
2.733899166E-1,-5.291496277E-1,-9.806108093E0,8.508306885E-1,9.857163290E0
2.834689167E-1,-1.091679840E0,-9.834998016E0,1.552870789E0,1.001650431E1
2.935469167E-1,-1.541793823E0,-9.789342957E0,1.862127686E0,1.008344600E1
3.036259166E-1,-1.424587555E0,-9.774374084E0,1.708397369E0,1.002429349E1
3.137049166E-1,-1.130149841E0,-9.612710266E0,1.542542267E0,9.801064941E0
3.237829166E-1,-1.368454285E0,-9.393416290E0,1.571132813E0,9.621714766E0
3.338619167E-1,-1.929038544E0,-9.219627686E0,1.696871338E0,9.570898427E0
3.439409166E-1,-2.431543579E0,-9.143136749E0,1.746717682E0,9.620830341E0
3.540189166E-1,-2.505040741E0,-9.266779633E0,1.594633942E0,9.730945035E0
3.640979166E-1,-2.264940033E0,-9.519603882E0,1.348096619E0,9.877761685E0
3.741769167E-1,-2.198328552E0,-9.719887390E0,1.115779724E0,1.002765295E1
3.842549167E-1,-2.299518127E0,-9.867031403E0,1.120420074E0,1.019320526E1
3.943339166E-1,-2.586321716E0,-9.917027435E0,1.131646729E0,1.031101923E1
4.044129166E-1,-2.882406006E0,-9.787097626E0,1.083297272E0,1.026007199E1
4.144909166E-1,-3.059787140E0,-9.451495514E0,1.151405640E0,1.000093994E1
