"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.316666720E-3,-1.325942688E0,9.746681671E0,6.770420837E-1,9.859731923E0
1.139566675E-2,-1.486259308E0,9.327702942E0,4.224215698E-1,9.454810886E0
2.147466666E-2,-2.136058044E0,8.646619263E0,2.844085693E-1,8.911097400E0
3.155366669E-2,-2.008373566E0,8.348589020E0,3.450325012E-1,8.593692479E0
4.163266672E-2,-2.005828857E0,9.315129089E0,3.106040955E-1,9.533700974E0
5.171166675E-2,-1.629661102E0,9.766141205E0,-6.676116943E-2,9.901402244E0
6.179066666E-2,-2.177072754E0,8.433761902E0,-4.296066284E-2,8.710328996E0
7.186966669E-2,-2.121238861E0,9.048383789E0,-1.465452576E-1,9.294857665E0
8.194866672E-2,-2.122885437E0,9.729617157E0,-2.613565063E-1,9.961947592E0
9.202766675E-2,-1.151106262E0,1.004950195E1,-4.947212219E-1,1.012730390E1
1.021066667E-1,8.816665649E-2,1.082234482E1,5.391787720E-1,1.083612636E1
1.121856667E-1,-2.993774414E-3,1.092503128E1,7.008425903E-1,1.094748819E1
1.222646667E-1,-6.765930176E-2,1.035666321E1,5.929170227E-1,1.037384216E1
1.323436667E-1,5.083428955E-1,9.443711700E0,6.512956238E-1,9.479783182E0
1.424226667E-1,-5.655239868E-1,9.537566528E0,7.197033691E-1,9.581386413E0
1.525016667E-1,-1.470841370E0,9.576784973E0,2.808160400E-1,9.693144093E0
1.625806667E-1,-2.084714813E0,9.103618927E0,-3.436853027E-1,9.345588960E0
1.726596667E-1,-2.521356812E0,8.571176147E0,-8.750802612E-1,8.977085618E0
1.827386667E-1,-2.775378571E0,8.571026459E0,-1.001866608E0,9.064709453E0
1.928176667E-1,-2.753823395E0,8.693920898E0,-9.012757874E-1,9.164065797E0
2.028966667E-1,-2.780018921E0,8.471034393E0,-8.433462524E-1,8.955342640E0
2.129756667E-1,-2.366428986E0,8.686885529E0,-1.194965057E0,9.082395489E0
2.230537917E-1,-1.969454498E0,9.215286713E0,-9.029223633E-1,9.466547893E0
2.331337917E-1,-1.696122894E0,9.436376953E0,-3.953279114E-1,9.595745257E0
