"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.458749990E-3,-6.285130005E0,2.153721313E0,7.111561432E0,9.732198142E0
1.153875003E-2,-6.596482544E0,2.254761200E0,7.257208557E0,1.006303165E1
2.161774994E-2,-6.929839325E0,2.416574707E0,7.380552063E0,1.040841271E1
3.169774998E-2,-7.075187073E0,2.536026306E0,7.203320618E0,1.041045289E1
4.177775001E-2,-7.134912872E0,2.538121948E0,6.854994965E0,1.021469533E1
5.185674992E-2,-7.137607269E0,2.561623077E0,6.549779663E0,1.002032754E1
6.193674996E-2,-7.082671509E0,2.565814362E0,6.287974091E0,9.812556099E0
7.201574999E-2,-7.040159912E0,2.547702026E0,6.142476654E0,9.684247862E0
8.209575003E-2,-7.013814697E0,2.517015839E0,6.112389221E0,9.637959708E0
9.217474994E-2,-7.041207733E0,2.536325684E0,6.249953156E0,9.750562484E0
1.022547500E-1,-7.055877228E0,2.507136383E0,6.374045105E0,9.833594831E0
1.123337500E-1,-7.081473999E0,2.411485291E0,6.581663361E0,9.963976510E0
1.224137499E-1,-7.254963226E0,2.417772217E0,6.842271423E0,1.026142252E1
1.324927500E-1,-7.265142059E0,2.512225800E0,6.875951385E0,1.031369357E1
1.425727500E-1,-7.109615479E0,2.489772491E0,6.609056396E0,1.002123873E1
1.526517500E-1,-6.961124268E0,2.415077820E0,6.259383545E0,9.667974675E0
1.627317499E-1,-6.778204651E0,2.383044434E0,6.025719452E0,9.377219949E0
1.728107500E-1,-6.679709473E0,2.348616028E0,5.880521393E0,9.204077778E0
1.828907500E-1,-6.656657410E0,2.314786377E0,5.837111664E0,9.151021605E0
1.929697499E-1,-6.653813324E0,2.301763458E0,5.882467346E0,9.174680858E0
2.030497500E-1,-6.729256439E0,2.272424469E0,6.097420349E0,9.360840780E0
2.131287500E-1,-6.866371307E0,2.236349487E0,6.358028412E0,9.621478018E0
2.232087500E-1,-6.889872437E0,2.241588593E0,6.587052155E0,9.792053804E0
2.332877499E-1,-6.829697571E0,2.198627930E0,6.547833710E0,9.713540033E0
2.433677500E-1,-6.753206635E0,2.121538239E0,6.456373901E0,9.580787457E0
2.534467500E-1,-6.719227295E0,2.127974854E0,6.423442383E0,9.536084336E0
2.635267499E-1,-6.783593445E0,2.130669250E0,6.485862579E0,9.624100211E0
2.736057499E-1,-6.796017609E0,2.109563141E0,6.516099701E0,9.648609604E0
2.836857500E-1,-6.758745117E0,2.037862244E0,6.477629700E0,9.580877027E0
2.937647500E-1,-6.562652893E0,2.040406952E0,6.411167908E0,9.398656684E0
3.038447499E-1,-6.381828918E0,1.850601654E0,6.181994476E0,9.075765672E0
3.139237500E-1,-6.211034088E0,1.553170166E0,6.028563538E0,8.793910412E0
3.240037500E-1,-6.022426300E0,1.357976074E0,5.921685791E0,8.554535649E0
3.340827500E-1,-6.097420349E0,1.189576263E0,5.723497925E0,8.447014567E0
3.441627499E-1,-6.458619232E0,1.004411316E0,5.475014648E0,8.526335079E0
3.542417500E-1,-6.654112701E0,8.026309204E-1,5.182223511E0,8.472123273E0
3.643217500E-1,-6.772366791E0,3.787124634E-1,4.645439758E0,8.221221663E0
3.744017499E-1,-6.733896790E0,-2.276765442E-1,4.048181763E0,7.860342115E0
3.844807500E-1,-6.513255615E0,-7.824229431E-1,3.718417511E0,7.540644081E0
3.945597500E-1,-6.499484253E0,-1.452729034E0,3.650009766E0,7.594490667E0
4.046397500E-1,-6.497837677E0,-1.876048737E0,3.797303467E0,7.756350105E0
4.147197499E-1,-6.490652618E0,-2.052382050E0,3.902684326E0,7.846769300E0
4.247987500E-1,-6.848258972E0,-2.387235718E0,3.606300659E0,8.099564789E0
4.348787500E-1,-7.443121948E0,-2.696492615E0,3.087629242E0,8.497328468E0
4.449577499E-1,-7.873027954E0,-2.809357910E0,2.594853973E0,8.752732612E0
4.550377500E-1,-8.137078857E0,-3.049308929E0,1.748513947E0,8.863838802E0
4.651167500E-1,-8.371192017E0,-3.250340881E0,6.610253906E-1,9.004361509E0
4.751967500E-1,-8.474327545E0,-3.323987732E0,-2.817141724E-1,9.107276468E0
4.852757499E-1,-8.635691986E0,-3.287763062E0,-1.034049683E0,9.298054677E0
4.953557500E-1,-8.781638489E0,-3.143463135E0,-1.522334290E0,9.450716201E0
5.054347500E-1,-8.968000946E0,-3.048560486E0,-1.605860596E0,9.607161405E0
5.155147499E-1,-8.977131958E0,-2.875220947E0,-1.265767822E0,9.510939063E0
5.255937499E-1,-8.958271179E0,-2.714455261E0,-8.593629456E-1,9.399861412E0
