"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.235833275E-3,-1.386117554E-1,-9.829908600E0,5.399272156E-1,9.845701483E0
1.131483330E-2,-3.603007507E-1,-9.398655396E0,2.930905151E-1,9.410124437E0
2.139383333E-2,-2.776725769E-1,-9.147028656E0,2.139051819E-1,9.153741897E0
3.147283336E-2,1.282832336E-1,-9.090895386E0,3.132984924E-1,9.097196901E0
4.155183327E-2,6.327342224E-1,-9.173224182E0,4.189787292E-1,9.204560699E0
5.163183331E-2,1.077160034E0,-9.360933838E0,5.017565918E-1,9.436054034E0
6.171083334E-2,1.497485962E0,-9.593250732E0,5.718109131E-1,9.726247557E0
7.178983337E-2,1.823657684E0,-9.764195251E0,6.521937561E-1,9.954425797E0
8.186883328E-2,1.963466949E0,-9.837692413E0,7.351213074E-1,1.005861809E1
9.194783331E-2,2.129771118E0,-9.865235138E0,8.804690552E-1,1.013084474E1
1.020268333E-1,2.403701477E0,-9.691296844E0,9.529183960E-1,1.003030751E1
1.121058334E-1,2.777474213E0,-9.387129364E0,1.005010071E0,9.840864085E0
1.221858333E-1,3.219954071E0,-9.079069977E0,1.185235291E0,9.705792011E0
1.322648333E-1,3.527265015E0,-8.914262695E0,1.230740662E0,9.665422932E0
1.423438333E-1,3.725003815E0,-8.857680359E0,1.165027313E0,9.679434043E0
1.524228334E-1,3.850742340E0,-8.863667908E0,1.138981476E0,9.730884037E0
1.625018333E-1,3.866010590E0,-8.778345337E0,1.188678131E0,9.665316365E0
1.725808333E-1,3.761677551E0,-8.688083038E0,1.226998444E0,9.546650201E0
1.826608334E-1,3.624113617E0,-8.610993347E0,1.202898560E0,9.419679977E0
1.927398334E-1,3.305426331E0,-8.481811981E0,1.053808594E0,9.163923301E0
2.028188333E-1,2.970872040E0,-8.352031860E0,8.822653198E-1,8.908473998E0
2.128978333E-1,2.750829620E0,-8.385262756E0,4.881349182E-1,8.838437124E0
2.229766666E-1,2.511627045E0,-8.609496460E0,-3.805087280E-1,8.976440642E0
2.330556667E-1,2.000739441E0,-8.996441803E0,-1.834584961E0,9.397054081E0
2.431346667E-1,1.263372803E0,-9.404193878E0,-3.080893250E0,9.976315780E0
2.532146666E-1,5.646258545E-1,-9.585466919E0,-3.675157471E0,1.028137933E1
2.632936666E-1,2.454895020E-2,-9.650282135E0,-4.396208038E0,1.060448929E1
2.733726667E-1,-1.640588379E-1,-9.538165283E0,-4.724176025E0,1.064525018E1
2.834516667E-1,6.391708374E-2,-9.377249908E0,-4.114643555E0,1.024046839E1
2.935306666E-1,8.086184692E-1,-9.221124573E0,-3.307521973E0,9.829684828E0
3.036096666E-1,1.866169281E0,-9.008416901E0,-2.766696625E0,9.606704589E0
3.136886667E-1,3.381917267E0,-8.398585052E0,-2.842738495E0,9.489718512E0
3.237686667E-1,4.858147430E0,-7.139253845E0,-3.507206726E0,9.320463558E0
3.338476666E-1,5.162015533E0,-5.840255127E0,-4.580923920E0,9.041009251E0
3.439266667E-1,4.395010529E0,-5.614524536E0,-6.233936462E0,9.471059451E0
3.540056667E-1,3.339854736E0,-6.293811951E0,-7.038363647E0,1.001525144E1
3.640846667E-1,3.139421539E0,-6.539151764E0,-5.992039490E0,9.408560498E0
3.741636666E-1,4.895868988E0,-5.818999329E0,-4.089944916E0,8.634693726E0
3.842426667E-1,6.595584412E0,-5.107678528E0,-1.644779663E0,8.502670981E0
3.943226667E-1,6.391109619E0,-5.575455780E0,-1.570384369E0,8.625433113E0
4.044016667E-1,4.384981384E0,-7.687713318E0,-4.570595398E0,9.960890527E0
4.144806666E-1,2.336491241E0,-9.466165009E0,-6.630012817E0,1.179086686E1
4.245596667E-1,1.330882416E0,-9.553134155E0,-6.610852661E0,1.169345942E1
4.346386667E-1,5.044509888E-1,-9.000034332E0,-6.233038330E0,1.095928171E1
4.447176667E-1,-6.834786987E-1,-8.124654694E0,-5.869594116E0,1.004635716E1
4.547966666E-1,-1.157243500E0,-7.432344360E0,-5.602848816E0,9.379278760E0
4.648766667E-1,-9.237290955E-1,-6.692582703E0,-6.703060913E0,9.517088015E0
4.749556667E-1,-1.767823792E-1,-6.032904510E0,-7.102131042E0,9.320271143E0
4.850346666E-1,6.077362061E-1,-5.626499634E0,-5.981411591E0,8.234326083E0
4.951136666E-1,1.521286469E0,-5.766608276E0,-5.411097565E0,8.052829340E0
5.051926667E-1,3.026705933E0,-6.631360016E0,-5.696703644E0,9.251395401E0
5.152716667E-1,4.272864532E0,-7.692353668E0,-5.423821106E0,1.033670700E1
5.253506666E-1,4.431684265E0,-8.613088989E0,-4.935686188E0,1.087134424E1
5.354306666E-1,3.594774628E0,-9.539961548E0,-5.080884247E0,1.139072674E1
5.455096667E-1,2.427052917E0,-1.080902252E1,-6.620133362E0,1.290549183E1
5.555886667E-1,1.760638733E0,-1.223465790E1,-7.804769897E0,1.461852030E1
