"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.206749934E-3,1.535506897E0,9.207951965E0,2.255958710E0,9.603827910E0
1.128574996E-2,1.493144989E0,9.203610992E0,2.140399017E0,9.566464614E0
2.136374998E-2,1.497785339E0,9.197024689E0,2.142644348E0,9.561357061E0
3.144175000E-2,1.460213470E0,9.231004028E0,2.273322601E0,9.618297895E0
4.152075003E-2,1.321901093E0,9.314680023E0,2.395468597E0,9.708190163E0
5.159874994E-2,1.199605408E0,9.352401581E0,2.467468872E0,9.746531234E0
6.167674996E-2,1.081650696E0,9.391769714E0,2.411185913E0,9.756491383E0
7.175474998E-2,9.978250122E-1,9.431287537E0,2.319576416E0,9.763466295E0
8.183375001E-2,9.821076965E-1,9.502239990E0,2.269131317E0,9.818658630E0
9.191175003E-2,9.672885132E-1,9.547146606E0,2.298170929E0,9.867382886E0
1.019897499E-1,8.927435303E-1,9.585167542E0,2.341430969E0,9.907306738E0
1.120677500E-1,9.833052063E-1,9.585317230E0,2.333048401E0,9.914046115E0
1.221467500E-1,1.037642212E0,9.598938904E0,2.269730072E0,9.918064531E0
1.322247500E-1,9.395960999E-1,9.620045013E0,2.242786102E0,9.922610362E0
1.423027500E-1,7.508386230E-1,9.619296570E0,2.254611511E0,9.908476079E0
1.523807499E-1,6.063890076E-1,9.597442017E0,2.237696686E0,9.873494181E0
1.624597500E-1,5.367837524E-1,9.629026337E0,2.208208008E0,9.893556873E0
1.725377500E-1,5.075944519E-1,9.707612915E0,2.143542480E0,9.954404804E0
1.826157500E-1,5.276527405E-1,9.818083191E0,2.088606720E0,1.005163932E1
1.926947500E-1,5.457650757E-1,9.891280975E0,2.110610962E0,1.012867106E1
2.027727499E-1,5.852828979E-1,9.901459808E0,2.050735474E0,1.012852301E1
2.128507500E-1,7.099736023E-1,9.851912842E0,1.911225586E0,1.006066759E1
2.229287500E-1,8.855584717E-1,9.802964630E0,1.717079315E0,9.991530950E0
2.330077500E-1,9.626481628E-1,9.749974823E0,1.574126587E0,9.923032553E0
2.430857500E-1,1.057700500E0,9.703571320E0,1.510059814E0,9.877160895E0
2.531637499E-1,1.138831787E0,9.690997467E0,1.432970123E0,9.862341158E0
2.632417500E-1,1.250499573E0,9.539512482E0,1.421444092E0,9.725561725E0
2.733207500E-1,1.265169067E0,9.164242859E0,1.316512299E0,9.344367532E0
2.833987500E-1,1.338815918E0,8.534951477E0,1.255439301E0,8.730060287E0
2.934767500E-1,1.367107086E0,7.570656738E0,1.317859497E0,7.805163604E0
3.035547499E-1,1.334025879E0,6.514902191E0,1.404978333E0,6.796877204E0
3.136337500E-1,1.321152649E0,5.584736481E0,1.528172150E0,5.938858139E0
3.237117500E-1,1.158890076E0,4.884642334E0,1.698517914E0,5.299784905E0
3.337897500E-1,9.237290955E-1,4.322561188E0,1.882036285E0,4.804151459E0
3.438687500E-1,8.074209595E-1,3.740571442E0,2.129621429E0,4.379393879E0
3.539467499E-1,7.391629028E-1,3.283871155E0,2.379900970E0,4.122390106E0
3.640247500E-1,6.896159363E-1,2.805765381E0,2.477947083E0,3.806325164E0
3.741027500E-1,6.505471802E-1,2.349663849E0,2.390079803E0,3.414178276E0
3.841817500E-1,5.550457764E-1,1.940265198E0,2.202669525E0,2.987383117E0
3.942597500E-1,3.441343689E-1,1.516795807E0,2.000739441E0,2.534177637E0
4.043377499E-1,2.900967407E-1,1.531764679E0,1.748813324E0,2.342820350E0
4.144157500E-1,3.817062378E-1,1.931134186E0,1.539847870E0,2.499221950E0
4.244947500E-1,4.516108704E-1,2.302062836E0,1.503174133E0,2.786212151E0
4.345727500E-1,3.833528137E-1,2.718047791E0,1.723815308E0,3.241339597E0
