"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-2.231124905E-3,-6.489604797E0,3.381767578E0,7.044051819E0,1.015726284E1
7.846875000E-3,-6.534062347E0,3.427272949E0,7.200775909E0,1.030976936E1
1.792587503E-2,-6.543343048E0,3.421435089E0,7.235354004E0,1.033788682E1
2.800387505E-2,-6.584357758E0,3.492836609E0,7.263196106E0,1.040709817E1
3.808187507E-2,-6.535110168E0,3.505410461E0,7.278614044E0,1.039104373E1
4.816087510E-2,-6.554869080E0,3.480861511E0,7.390730896E0,1.047404452E1
5.823887500E-2,-6.550977173E0,3.477718048E0,7.503296814E0,1.055032169E1
6.831787503E-2,-6.434070282E0,3.475921783E0,7.550448761E0,1.051135430E1
7.839587505E-2,-6.266269226E0,3.370241547E0,7.549999695E0,1.037435075E1
8.847387508E-2,-6.125561829E0,3.322939911E0,7.549700317E0,1.027435702E1
9.855287510E-2,-5.928122406E0,3.265908508E0,7.382647705E0,1.001560187E1
1.086308750E-1,-5.666316833E0,3.117417297E0,7.197632446E0,9.676329361E0
1.187098750E-1,-5.472320251E0,3.015479279E0,7.106621704E0,9.462741477E0
1.287878751E-1,-5.407804413E0,2.891686707E0,7.116800537E0,9.394415919E0
1.388658751E-1,-5.497617645E0,2.836152191E0,7.212900696E0,9.502288960E0
1.489448751E-1,-5.730832672E0,2.829416199E0,7.347321167E0,9.738129567E0
1.590228750E-1,-5.872138824E0,2.759511566E0,7.364086304E0,9.814615914E0
1.691018750E-1,-5.999823303E0,2.719095612E0,7.285948792E0,9.822240600E0
1.791798751E-1,-6.142776031E0,2.677781525E0,7.218139801E0,9.849149885E0
1.892578751E-1,-6.141877899E0,2.602787476E0,7.050638123E0,9.706114810E0
1.993368750E-1,-6.251450043E0,2.629881134E0,6.802454224E0,9.605742339E0
2.094148750E-1,-6.234086151E0,2.633174286E0,6.634503479E0,9.477028721E0
2.194938750E-1,-6.176605682E0,2.534080353E0,6.615642700E0,9.398869577E0
2.295718751E-1,-6.155499573E0,2.370171204E0,6.717281342E0,9.414337743E0
2.396498751E-1,-6.133046265E0,2.279310150E0,6.900799713E0,9.509497775E0
2.497288750E-1,-6.020480347E0,2.130070496E0,6.916966095E0,9.414234110E0
2.598068750E-1,-6.027066650E0,1.944007416E0,6.720724182E0,9.234328929E0
2.698858751E-1,-5.957760773E0,1.829645233E0,6.398893433E0,8.932432606E0
2.799638751E-1,-5.941145325E0,1.658401337E0,6.011798401E0,8.613316596E0
2.900418751E-1,-6.004164276E0,1.393452301E0,5.663772125E0,8.370783276E0
3.001208750E-1,-5.897436218E0,1.115031281E0,5.393284607E0,8.069111943E0
3.101988750E-1,-5.747597809E0,7.640112305E-1,5.158722382E0,7.760864020E0
3.202778751E-1,-5.739215240E0,3.600013733E-1,4.858746185E0,7.528320334E0
3.303558751E-1,-5.516328735E0,-1.646575928E-3,4.669389954E0,7.227246223E0
3.404338751E-1,-4.955445099E0,-3.640429688E-1,4.722230072E0,6.854810009E0
3.505128750E-1,-4.290677490E0,-7.560777283E-1,4.884792023E0,6.545438103E0
3.605908750E-1,-3.622317352E0,-1.262474670E0,4.671036530E0,6.044303728E0
3.706698751E-1,-2.972668304E0,-1.802850952E0,3.980971527E0,5.285372523E0
3.807478751E-1,-2.383194122E0,-2.187251587E0,2.901266785E0,4.345231028E0
3.908258751E-1,-2.000140686E0,-2.639311523E0,1.731748810E0,3.737041881E0
4.009048750E-1,-1.954186249E0,-2.951113129E0,7.749385071E-1,3.623319236E0
4.109828750E-1,-2.211650848E0,-2.930156708E0,1.341210938E-1,3.673582213E0
4.210610834E-1,-2.680924988E0,-2.629581757E0,2.739303589E-2,3.755370738E0
4.311390833E-1,-2.906805267E0,-2.236948242E0,3.478765869E-1,3.684355089E0
4.412170834E-1,-3.093018036E0,-1.974244537E0,5.779481506E-1,3.714623282E0
4.512960834E-1,-3.320395203E0,-1.761836243E0,8.204438782E-1,3.847365255E0
4.613740834E-1,-3.290307770E0,-1.630858612E0,7.952961731E-1,3.757435433E0
4.714530833E-1,-3.250939636E0,-1.631157990E0,5.516029358E-1,3.678797454E0
4.815310834E-1,-3.483106842E0,-1.483115845E0,2.284249878E-1,3.792603836E0
4.916090834E-1,-3.835324402E0,-1.085692291E0,-1.181044006E-1,3.987780043E0
5.016880834E-1,-4.095483398E0,-6.619235229E-1,-6.158193970E-1,4.194086378E0
5.117660834E-1,-4.469256134E0,-6.466552734E-2,-1.172362061E0,4.620916016E0
5.218450833E-1,-4.515360260E0,4.272116089E-1,-1.575773163E0,4.801463225E0
5.319230834E-1,-4.907844086E0,8.869056702E-1,-1.551523590E0,5.223098763E0
5.420010834E-1,-5.708978119E0,1.476080475E0,-1.419348450E0,6.065129409E0
5.520800834E-1,-6.754703522E0,2.362088013E0,-1.042581940E0,7.231352332E0
5.621580834E-1,-8.839268646E0,3.472478943E0,-3.794609070E-1,9.504460573E0
5.722370833E-1,-1.186971680E1,4.849764862E0,7.267387390E-1,1.284284023E1
5.823150834E-1,-1.457309509E1,6.522386627E0,2.769840088E0,1.620458707E1
5.923930834E-1,-1.598271378E1,8.079748077E0,5.035079498E0,1.860326569E1
6.024720834E-1,-1.738574615E1,9.484576721E0,7.443720703E0,2.115727636E1
6.125500834E-1,-2.055166260E1,1.114926498E1,1.087099365E1,2.578479103E1
6.226280833E-1,-2.513782562E1,1.315105225E1,1.405307648E1,3.165990225E1
6.327070834E-1,-2.949750961E1,1.537407944E1,1.545281570E1,3.667771674E1
6.427850834E-1,-3.287778030E1,1.710657669E1,1.533620819E1,4.010963332E1
6.528640834E-1,-3.485636581E1,1.772359360E1,1.466051331E1,4.176149732E1
6.629420834E-1,-3.564058502E1,1.674971878E1,1.439376801E1,4.192833096E1
6.730200833E-1,-3.491713943E1,1.434002975E1,1.526196259E1,4.071572892E1
6.830990834E-1,-3.357877258E1,1.146495850E1,1.615844833E1,3.898813530E1
6.931770834E-1,-3.208877106E1,9.564360809E0,1.602926697E1,3.712281812E1
7.032560834E-1,-3.152279800E1,8.839867401E0,1.494132935E1,3.598712787E1
7.133340834E-1,-3.224564484E1,8.711584167E0,1.391057281E1,3.618255582E1
7.234120833E-1,-3.325918716E1,8.217761078E0,1.380998199E1,3.693806615E1
7.334910834E-1,-3.347219421E1,6.791676636E0,1.383093842E1,3.684846692E1
7.435690834E-1,-3.153088120E1,4.768783264E0,1.331570984E1,3.455786294E1
7.536480834E-1,-2.746802994E1,2.852917328E0,1.225830872E1,3.021420094E1
7.637260833E-1,-2.303425003E1,1.109941864E0,1.079390396E1,2.546206999E1
7.738040834E-1,-1.912587753E1,-3.077600098E-1,9.432185669E0,2.132744790E1
7.838830834E-1,-1.559966034E1,-1.478924561E0,7.833959198E0,1.751877671E1
7.939610834E-1,-1.247371078E1,-2.415676575E0,6.327491913E0,1.419387572E1
8.040400834E-1,-1.009126511E1,-3.288661194E0,5.125641174E0,1.178648045E1
8.141180833E-1,-8.343798981E0,-4.179309082E0,4.247118073E0,1.025298092E1
8.241960834E-1,-7.006330261E0,-4.963228912E0,3.704346771E0,9.351175860E0
8.342750834E-1,-6.211483154E0,-5.604046326E0,3.001558228E0,8.888037466E0
8.443530834E-1,-5.754932556E0,-6.141578522E0,1.733994141E0,8.593309673E0
8.544320834E-1,-5.554798737E0,-6.578220520E0,1.408570862E-1,8.610959002E0
8.645100833E-1,-5.379812622E0,-6.808292084E0,-1.119222565E0,8.749164766E0
8.745880834E-1,-4.821324005E0,-7.095993805E0,-1.943408661E0,8.796313459E0
8.846670834E-1,-3.988605652E0,-7.339537354E0,-2.484683075E0,8.715011967E0
8.947450834E-1,-2.923271027E0,-7.314239960E0,-3.015329590E0,8.434206081E0
9.048240834E-1,-1.865121460E0,-7.283104706E0,-3.591331787E0,8.331863910E0
9.149020833E-1,-9.328601074E-1,-7.344028015E0,-4.166884918E0,8.495169533E0
9.249800834E-1,1.947450256E-1,-7.308402100E0,-4.759352875E0,8.723652140E0
9.350590834E-1,1.365610199E0,-7.112609253E0,-5.539380798E0,9.118050298E0
9.451370834E-1,1.963916016E0,-6.838379517E0,-6.046226807E0,9.336876305E0
9.552160834E-1,1.931433563E0,-6.289021912E0,-6.058800659E0,8.943785420E0
9.652940833E-1,1.638642426E0,-5.573809204E0,-5.934559021E0,8.304907514E0
9.753720834E-1,1.349743195E0,-4.919819183E0,-5.862858124E0,7.771713638E0
9.854510834E-1,1.200653229E0,-4.288731537E0,-5.618416443E0,7.169476250E0
9.955290834E-1,1.394350433E0,-3.855981445E0,-5.586083679E0,6.929439870E0
1.005608083E0,1.968556366E0,-3.518882446E0,-5.557792511E0,6.866353139E0
1.015686083E0,2.962489471E0,-3.407514038E0,-5.471122742E0,7.093707059E0
1.025764083E0,4.038302307E0,-3.309018860E0,-5.390141144E0,7.504073087E0
1.035843083E0,4.837939453E0,-3.261717224E0,-5.508544922E0,8.024246043E0
1.045921083E0,5.256618805E0,-3.134781189E0,-5.572012939E0,8.276848589E0
1.056000083E0,5.167853394E0,-2.894381104E0,-5.240302734E0,7.908534846E0
1.066078083E0,4.832101593E0,-2.391277313E0,-4.426894226E0,6.976016448E0
1.076156083E0,4.466861115E0,-1.828597412E0,-3.563489685E0,5.999589607E0
1.086235083E0,4.299209747E0,-1.421144714E0,-2.869083710E0,5.360456891E0
1.096313083E0,4.332141266E0,-1.243464203E0,-2.383343811E0,5.098429061E0
1.106392083E0,3.912863159E0,-9.940827942E-1,-2.185754700E0,4.590884698E0
1.116470083E0,2.818339233E0,-7.223977661E-1,-1.817819824E0,3.430650591E0
1.126548083E0,1.542991333E0,-3.580554199E-1,-1.334175568E0,2.071002265E0
1.136627083E0,1.800755310E-1,3.293151855E-3,-9.145980835E-1,9.321629128E-1
1.146705083E0,-1.177451477E0,4.790039062E-1,-1.553768921E-1,1.280616532E0
1.156784083E0,-1.963466949E0,7.869136047E-1,8.782237244E-1,2.290352024E0
1.166862083E0,-3.307971039E0,1.050964508E0,1.711391144E0,3.869891270E0
1.176940083E0,-6.183940430E0,1.474882965E0,2.573448486E0,6.858501010E0
1.187019083E0,-1.119641693E1,2.640808411E0,2.158062286E0,1.170430921E1
1.197097083E0,-1.824046875E1,4.188440094E0,3.294648743E-1,1.871807356E1
1.207175083E0,-2.732223312E1,6.887627106E0,-3.293151855E-2,2.817702813E1
1.217254083E0,-3.818005417E1,1.098146393E1,1.025816803E0,3.974117998E1
1.227332083E0,-4.750955338E1,1.458521988E1,2.859353943E0,4.978013867E1
1.237411083E0,-5.279341553E1,1.595352448E1,6.266568604E0,5.550612172E1
1.247489083E0,-5.288098343E1,1.537722290E1,8.141569519E0,5.566994294E1
1.257567083E0,-4.722170197E1,1.318592972E1,1.071756271E1,5.018589473E1
1.267646083E0,-3.895154984E1,1.028062134E1,1.478535370E1,4.291294786E1
1.277724083E0,-3.092449219E1,7.115153961E0,1.671169785E1,3.586405551E1
1.287803083E0,-2.330503693E1,3.820355530E0,1.549652481E1,2.824645365E1
1.297881083E0,-1.561208450E1,1.078207855E0,1.189561295E1,1.965719517E1
