"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-4.242915893E-4,3.166664886E0,-9.201365662E0,-8.207432556E-1,9.765578121E0
9.653708432E-3,3.179837494E0,-9.063502350E0,-5.882766724E-2,9.605305931E0
1.973270834E-2,3.343147888E0,-8.998836823E0,4.990621948E-1,9.612739726E0
2.981070837E-2,3.630849609E0,-8.943152618E0,8.083190918E-1,9.685888054E0
3.988870839E-2,3.876488800E0,-8.798104248E0,8.128097534E-1,9.648547221E0
4.996770842E-2,3.998485107E0,-8.568182373E0,4.547543335E-1,9.466173136E0
6.004570844E-2,3.941004639E0,-8.307274933E0,-4.583468628E-1,9.206107550E0
7.012370834E-2,3.907923431E0,-8.143665161E0,-2.189796295E0,9.294426051E0
8.020170836E-2,3.877835999E0,-8.097111969E0,-4.552033997E0,1.006587541E1
9.028070839E-2,3.936214600E0,-7.932604065E0,-5.539530487E0,1.044540045E1
1.003587084E-1,4.014651489E0,-7.707921295E0,-6.911876678E0,1.110421166E1
1.104367084E-1,4.068090363E0,-7.459438019E0,-6.922055511E0,1.095935341E1
1.205157083E-1,4.103117523E0,-6.978338470E0,-3.306474152E0,8.744458390E0
1.305937084E-1,4.203708344E0,-6.438411255E0,4.011657715E-2,7.689337596E0
1.406717084E-1,3.990850983E0,-5.781128082E0,1.373394012E0,7.157830997E0
1.507507084E-1,2.675536194E0,-4.751119995E0,2.720143433E0,6.093506004E0
1.608287084E-1,8.217910767E-1,-4.146527252E0,3.059637451E0,5.218276551E0
1.709067083E-1,-5.798941040E-1,-4.653972015E0,1.538949738E0,4.936000303E0
1.809849584E-1,-7.309300232E-1,-5.866300964E0,-1.206491089E0,6.033520237E0
1.910629583E-1,1.092727661E-2,-7.713160400E0,-7.733667755E0,1.092257203E1
2.011409584E-1,2.717299347E0,-8.971743164E0,-1.162722107E1,1.493546655E1
2.112189584E-1,6.047873383E0,-8.499026184E0,-7.716752930E0,1.297530325E1
2.212979584E-1,6.890920258E0,-8.110134888E0,-2.050735474E0,1.083810804E1
2.313759584E-1,7.102879486E0,-8.390352173E0,1.292711792E0,1.106887575E1
2.414539583E-1,6.738537140E0,-9.793085175E0,3.194357300E-1,1.189178032E1
2.515329584E-1,4.137695618E0,-1.134281250E1,-3.140918427E0,1.247578811E1
2.616109584E-1,1.626817017E0,-1.211849945E1,-5.160219269E0,1.327148919E1
2.716889584E-1,1.181942139E0,-1.246263382E1,-4.814288635E0,1.341236758E1
2.817679584E-1,1.321751404E0,-1.284478912E1,-3.369792480E0,1.334507908E1
2.918459583E-1,1.873204651E0,-1.350955673E1,-2.746338959E0,1.391256254E1
3.019239584E-1,3.200494537E0,-1.437550598E1,-3.539240112E0,1.514676725E1
3.120029584E-1,5.106630707E0,-1.559876221E1,-4.156556396E0,1.693150970E1
3.220809584E-1,7.016359406E0,-1.695643890E1,-3.400478668E0,1.866315554E1
3.321589584E-1,8.390202484E0,-1.796414337E1,-1.411414948E0,1.987707315E1
3.422369583E-1,8.828790436E0,-1.865226242E1,1.075214081E0,2.066423285E1
3.523159584E-1,8.940607910E0,-1.935280563E1,2.915038147E0,2.151657508E1
3.623939584E-1,9.155111847E0,-2.094893646E1,3.810625763E0,2.317746493E1
3.724719584E-1,9.612560577E0,-2.322630066E1,4.097878418E0,2.546870571E1
3.825509584E-1,1.011461655E1,-2.538436295E1,3.906426544E0,2.760310704E1
3.926289583E-1,1.069765411E1,-2.714634888E1,3.032693481E0,2.933532496E1
4.027069584E-1,1.081216599E1,-2.796858902E1,6.140231323E-1,2.999203110E1
4.127859584E-1,9.100325775E0,-2.568793167E1,-4.168830872E0,2.756927481E1
4.228639584E-1,7.778574371E0,-1.927062653E1,-9.870174866E0,2.300616478E1
4.329419584E-1,8.351283417E0,-1.246981888E1,-1.285047729E1,1.975791194E1
4.430209583E-1,8.842262421E0,-7.703580322E0,-1.119013000E1,1.620955780E1
4.530989584E-1,8.938512268E0,-4.276906128E0,-8.735234985E0,1.320958962E1
4.631769584E-1,1.031939072E1,-1.423240356E0,-8.865613861E0,1.367898194E1
4.732559584E-1,1.226893661E1,7.406597900E-1,-1.078357544E1,1.635117371E1
4.833339584E-1,1.222133560E1,2.367925873E0,-1.117486176E1,1.672858787E1
4.934119583E-1,9.255253601E0,3.101550293E0,-6.845265198E0,1.192212184E1
5.034899584E-1,5.130580902E0,2.887495422E0,-6.448590088E-1,5.922527615E0
5.135689584E-1,1.634002075E0,2.290237427E0,2.444267120E0,3.726874295E0
5.236469584E-1,1.930984497E-2,1.231638794E0,3.774999847E0,3.970885397E0
5.337249584E-1,8.607101440E-2,-4.673281860E-1,4.770729218E0,4.794336359E0
5.438039583E-1,5.798941040E-1,-1.627565460E0,4.553530884E0,4.870306973E0
5.538819584E-1,7.403604126E-1,-1.568588104E0,2.975662079E0,3.444294846E0
5.639599584E-1,7.613168335E-1,-9.092092896E-1,1.739682312E0,2.105411931E0
5.740389584E-1,5.520520020E-1,-3.845503235E-1,1.131646729E0,1.316535105E0
5.841169584E-1,3.291654968E-1,7.664062500E-2,7.164102173E-1,7.921283413E-1
5.941949583E-1,1.682501221E-1,5.525010681E-1,3.089575195E-1,6.549963990E-1
6.042739584E-1,-4.191284180E-2,7.997868347E-1,1.541793823E-1,8.155899394E-1
6.143519584E-1,-2.049238586E-1,1.066681824E0,3.106040955E-1,1.129725102E0
6.244299584E-1,-1.492396545E-1,1.616189117E0,7.114704895E-1,1.772154055E0
6.345089584E-1,-1.898052979E-1,1.867366791E0,1.261426849E0,2.261477941E0
6.445869583E-1,-2.948867798E-1,1.841919708E0,1.646875305E0,2.488337737E0
6.546649584E-1,-4.529580688E-1,1.742676086E0,1.778302002E0,2.530701279E0
6.647429584E-1,-6.089337158E-1,1.615290985E0,1.896406403E0,2.564434144E0
6.748219584E-1,-6.953041077E-1,1.558708649E0,1.957030334E0,2.596726436E0
6.848999584E-1,-8.442443848E-1,1.480720825E0,1.833537140E0,2.503425890E0
6.949779583E-1,-9.370513916E-1,1.439406738E0,1.637744293E0,2.373217950E0
7.050569584E-1,-1.103954315E0,1.463506622E0,1.193468170E0,2.187448979E0
7.151349584E-1,-1.301094360E0,1.518292694E0,7.545808411E-1,2.137159677E0
7.252129584E-1,-1.333127747E0,1.473386078E0,4.189787292E-1,2.030674592E0
7.352919584E-1,-9.644444275E-1,1.119821320E0,3.098556519E-2,1.478212754E0
7.453699583E-1,-3.183879089E-1,4.481680298E-1,-1.094224548E-1,5.605343139E-1
7.554479584E-1,-0.000000000E0,-9.026229858E-2,-3.382965088E-2,9.639360884E-2
7.655269584E-1,-3.891906738E-3,-6.239025879E-1,1.264869690E-1,6.366070526E-1
7.756049584E-1,1.200503540E-1,-1.533860321E0,5.713618469E-1,1.641217211E0
7.856829584E-1,4.746030579E0,-8.410859528E0,1.349593506E0,9.751346926E0
7.957609583E-1,1.604393646E1,-2.156640244E1,2.729124756E0,2.701787803E1
8.058399584E-1,2.615600830E1,-3.427362762E1,-6.139183502E0,4.354891382E1
8.159179584E-1,3.602318939E1,-4.660169128E1,-3.235746231E1,6.720411573E1
8.259959584E-1,3.334915009E1,-4.457101410E1,-3.343073044E1,6.493346477E1
8.360749584E-1,2.472139160E1,-3.654560303E1,-1.663790131E1,4.715451265E1
8.461529583E-1,1.999182678E1,-3.018817337E1,2.995121613E0,3.633138730E1
8.562309584E-1,1.867112320E1,-2.569796082E1,2.531086578E0,3.186537982E1
8.663099584E-1,1.358185638E1,-1.792462555E1,1.894310760E0,2.256872697E1
8.763879584E-1,1.069211563E1,-1.169248535E1,6.073619843E0,1.696833546E1
8.864659584E-1,9.654623108E0,-7.080875244E0,6.490951996E0,1.361921435E1
8.965449583E-1,9.710906067E0,-3.816613312E0,3.745062103E0,1.108574418E1
9.066229584E-1,1.083222427E1,-2.947370911E-1,-2.601889343E0,1.114422634E1
9.167009584E-1,1.240859619E1,8.598120117E-1,-3.062182159E0,1.280974222E1
9.267799584E-1,1.213511490E1,-8.382568359E-3,-1.497186584E0,1.222712769E1
9.368579584E-1,9.519903259E0,-1.680555267E0,-1.728156281E0,9.820353772E0
9.469359583E-1,6.221362610E0,-4.062252502E0,-2.156415710E0,7.736754929E0
9.570139584E-1,3.320844269E0,-5.756130066E0,-2.411036224E0,7.069238691E0
9.670929584E-1,1.303639069E0,-6.863377533E0,-2.343825989E0,7.368781870E0
9.771709584E-1,3.676354980E-1,-7.577692108E0,-1.919159088E0,7.825582736E0
9.872489584E-1,-4.086502075E-1,-7.935747528E0,-1.650318146E0,8.115826132E0
9.973279584E-1,-9.389973450E-1,-8.123606873E0,-1.567091217E0,8.326492630E0
1.007405958E0,-1.127605133E0,-8.088579712E0,-1.923200684E0,8.390191652E0
1.017483958E0,-1.175655212E0,-7.586074677E0,-2.859803009E0,8.192018520E0
1.027562958E0,-1.480271759E0,-6.815626831E0,-4.103117523E0,8.091943338E0
1.037640958E0,-1.577569427E0,-5.755231934E0,-5.450765076E0,8.082218744E0
1.047718958E0,-8.951385498E-1,-4.536316681E0,-5.974525909E0,7.554760214E0
1.057797958E0,-4.730163574E-2,-3.337609406E0,-5.741610260E0,6.641382564E0
1.067875958E0,7.849676514E-1,-2.144739990E0,-5.358407135E0,5.824827110E0
1.077953958E0,1.709145813E0,-1.154848480E0,-4.826263733E0,5.248588005E0
1.088031958E0,2.330803070E0,-5.279521179E-1,-4.461622009E0,5.061368130E0
1.098110958E0,2.807112579E0,1.092727661E-2,-4.609364777E0,5.396873547E0
1.108188958E0,3.142415314E0,6.030958557E-1,-5.597310333E0,6.447354619E0
1.118266958E0,3.667223969E0,9.443861389E-1,-6.880741425E0,7.853979842E0
1.128345958E0,3.917204132E0,6.580316162E-1,-5.609285431E0,6.873250822E0
1.138423958E0,3.520379333E0,-6.008505249E-1,-1.416654053E0,3.842004777E0
1.148501958E0,3.762425995E0,-2.540816345E0,2.742297363E-1,4.548274290E0
1.158580958E0,5.237458649E0,-4.462819519E0,-5.957611084E-1,6.906711407E0
1.168658958E0,6.501879272E0,-6.314169617E0,-1.579515381E0,9.199893524E0
1.178736625E0,7.582332458E0,-9.073381805E0,-7.497159576E0,1.400090799E1
1.188815625E0,6.236780548E0,-1.504730896E1,-1.070918015E1,1.949372919E1
1.198893625E0,4.308041382E0,-2.070569229E1,-4.252656555E0,2.157243615E1
1.208971625E0,5.458548889E0,-2.386187897E1,3.500021667E0,2.472721528E1
1.219050625E0,6.649172974E0,-2.659055466E1,4.185745697E0,2.772705475E1
1.229128625E0,5.613327026E0,-2.781485870E1,1.382674713E0,2.840928711E1
1.239206625E0,3.015479279E0,-2.552686661E1,-3.683839417E-1,2.570699790E1
1.249284625E0,3.464695129E0,-2.279055679E1,2.409988403E-2,2.305242226E1
1.259363625E0,5.724994812E0,-2.220961487E1,1.468296661E0,2.298256847E1
1.269441625E0,8.100105743E0,-2.315924011E1,3.647165680E0,2.480451437E1
1.279519625E0,9.880653076E0,-2.390903091E1,5.098846893E0,2.636792188E1
1.289598625E0,1.056158707E1,-2.367686371E1,5.054688721E0,2.641383869E1
1.299676625E0,1.084479813E1,-2.222638000E1,4.030368805E0,2.505724421E1
1.309754625E0,1.077130096E1,-1.960083984E1,2.002236328E0,2.245490586E1
1.319833625E0,1.082009949E1,-1.681662964E1,-1.522933044E0,2.005474783E1
1.329911625E0,1.329804657E1,-1.387419846E1,-8.443042603E0,2.099086453E1
1.339989625E0,1.790771072E1,-1.057371185E1,-1.584664673E1,2.614585432E1
1.350068625E0,2.001353165E1,-8.420738983E0,-1.654958496E1,2.730089845E1
1.360146625E0,2.071063202E1,-7.020700378E0,-1.457129883E1,2.627818985E1
1.370224625E0,2.023791504E1,-5.706134033E0,-1.189456512E1,2.415810113E1
1.380302625E0,1.791220139E1,-4.050427094E0,-9.750573578E0,2.079246506E1
1.390381625E0,1.300794983E1,-2.637365570E0,-6.980733490E0,1.499643611E1
1.400459625E0,8.062384186E0,-3.092119904E0,-1.422491913E0,8.751384319E0
1.410537625E0,4.738246765E0,-3.321293335E0,4.403692474E0,7.271483977E0
1.420616625E0,1.601669312E0,-3.410208435E0,7.404202881E0,8.307652283E0
1.430694625E0,6.571334839E-1,-3.695664825E0,7.519612885E0,8.404423886E0
1.440772625E0,-1.083746338E-1,-3.603755951E0,5.863307190E0,6.883107817E0
1.450851625E0,-2.145039368E-1,-2.737806702E0,3.638034668E0,4.558167803E0
1.460929625E0,-1.543290710E-1,-1.772464142E0,1.941163330E0,2.633165713E0
1.471007625E0,-2.586621094E-1,-8.481362915E-1,9.674382019E-1,1.312317770E0
1.481086625E0,-2.745291138E-1,2.124082947E-1,3.146456909E-1,4.684927201E-1
1.491164625E0,-1.752854919E-1,1.119521942E0,-6.616241455E-2,1.135091119E0
1.501242625E0,-2.002835083E-1,1.672322388E0,-1.511856079E-1,1.691044866E0
1.511320625E0,-3.209326172E-1,1.929188232E0,-1.676513672E-1,1.962873394E0
1.521399625E0,-3.561094666E-1,2.029928741E0,-1.505868530E-1,2.066422282E0
1.531477625E0,-2.823129272E-1,2.151925049E0,3.188369751E-2,2.170598667E0
1.541555625E0,-2.131567383E-1,2.274969177E0,2.676434326E-1,2.300555055E0
1.551634625E0,-2.139051819E-1,2.380649414E0,6.553372192E-1,2.478449905E0
1.561712625E0,-3.164419556E-1,2.444416809E0,1.238524475E0,2.758487253E0
1.571790625E0,-4.532574463E-1,2.358046417E0,1.802850952E0,3.002681597E0
1.581869625E0,-2.134561157E-1,2.907254333E0,2.103425903E0,3.594731117E0
1.591947625E0,2.778222656E-1,3.845054169E0,2.307301941E0,4.492801912E0
1.602025625E0,4.373904419E-1,4.373754730E0,2.267634430E0,4.946029392E0
1.612104625E0,1.724414062E-1,4.193828888E0,1.771416321E0,4.555859146E0
1.622182625E0,-9.355545044E-2,3.783681793E0,9.779164124E-1,3.909133030E0
1.632260625E0,-3.103047180E-1,3.227139130E0,1.679507446E-1,3.246370809E0
1.642338625E0,-6.369255066E-1,2.479893036E0,-5.066963196E-1,2.610035389E0
1.652417625E0,-9.379495239E-1,1.667981415E0,-9.280700684E-1,2.126787568E0
1.662495625E0,-1.097966766E0,9.056167603E-1,-1.220861206E0,1.875146613E0
1.672573625E0,-1.188678131E0,-1.287322998E-2,-2.424957275E0,2.700655329E0
1.682652625E0,-8.890013123E-1,-1.081051941E0,-4.326153717E0,4.546933320E0
1.692730625E0,-9.026229858E-2,-2.299817505E0,-6.481970673E0,6.878462883E0
1.702808625E0,1.772763519E0,-4.523892517E0,-1.039812698E1,1.147734023E1
1.712887625E0,3.684438171E0,-7.200626221E0,-1.236743179E1,1.477760034E1
1.722965625E0,5.509143677E0,-1.237072495E1,-7.426207123E0,1.544454764E1
1.733043625E0,1.024349854E1,-1.876886993E1,3.973187714E0,2.174824042E1
1.743122625E0,1.878129410E1,-2.375559998E1,1.000639160E1,3.189346972E1
1.753200625E0,3.374432831E1,-3.139496384E1,1.105421265E1,4.739745842E1
