"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-1.637041685E-3,-1.472637634E0,9.434131622E0,5.462141418E-1,9.563987189E0
8.442958235E-3,-1.697919159E0,9.539362793E0,4.079017639E-1,9.697873778E0
1.852320833E-2,-1.802701263E0,9.695637817E0,5.219645691E-1,9.875604870E0
2.860320825E-2,-1.328487396E0,9.989626465E0,7.554789734E-1,1.010585296E1
3.868320829E-2,-5.152285767E-1,1.027972321E1,9.273216248E-1,1.033431638E1
4.876420833E-2,-4.400848389E-1,9.830058289E0,8.415499878E-1,9.875825383E0
5.884420825E-2,-5.450166321E-1,1.013617172E1,4.574487305E-1,1.016111606E1
6.892420829E-2,-1.369502106E0,9.747879181E0,2.610571289E-1,9.847072426E0
7.900420832E-2,-1.251547394E0,9.324110413E0,4.828958130E-1,9.420116466E0
8.908420824E-2,-1.176104279E0,9.419013062E0,3.766168213E-1,9.499624653E0
9.916420828E-2,-7.381150818E-1,9.976453857E0,5.001100159E-1,1.001621463E1
1.092452083E-1,-1.042581940E0,1.001881577E1,3.679348755E-1,1.007963405E1
1.193252082E-1,-1.354832611E0,1.025891647E1,4.546046448E-1,1.035797297E1
1.294052083E-1,-1.597777405E0,9.519454193E0,8.443940735E-1,9.689473779E0
1.394852083E-1,-1.674268341E0,9.075178070E0,9.337582397E-1,9.275448018E0
1.495652082E-1,-1.353335724E0,9.184001770E0,6.357279968E-1,9.304921073E0
1.596462083E-1,-6.673123169E-1,1.031355286E1,3.586541748E-1,1.034133991E1
1.697262083E-1,-8.264314270E-1,1.004905289E1,6.306385803E-1,1.010268073E1
1.798062082E-1,-9.205856323E-2,9.815538483E0,2.770738220E-1,9.819879856E0
1.898862083E-1,-4.519102478E-1,1.025023453E1,4.758604431E-1,1.027122066E1
1.999662083E-1,-1.350940704E0,9.778864746E0,6.218069458E-1,9.891303270E0
2.100462082E-1,-1.541943512E0,9.352401581E0,9.858499146E-1,9.529790406E0
2.201272083E-1,-2.300266571E0,8.669072571E0,1.108894043E0,9.037349807E0
2.302072083E-1,-1.788031769E0,9.184001770E0,5.366340637E-1,9.371815312E0
2.402872082E-1,-1.046473846E0,9.699679413E0,4.046086121E-1,9.764353350E0
2.503672083E-1,-2.640808411E0,7.963889008E0,1.257385254E-2,8.390325100E0
2.604472083E-1,-1.457668762E0,9.580826569E0,2.619552612E-2,9.691115630E0
2.705282082E-1,-8.211923218E-1,1.048359924E1,1.538800049E-1,1.051683835E1
2.806082083E-1,-2.139500885E0,8.867410126E0,8.650511169E-1,9.162791049E0
2.906882083E-1,-3.578757935E0,7.410938873E0,5.577401733E-1,8.248672465E0
3.007682083E-1,-1.010997620E0,1.011686188E1,3.577560425E-1,1.017354411E1
3.108482083E-1,-1.273851013E-1,1.031714539E1,9.656419373E-1,1.036301984E1
3.209282083E-1,-6.939569092E-1,1.049347870E1,7.011419678E-1,1.053974722E1
3.310092083E-1,-7.571255493E-1,1.044198578E1,3.766168213E-1,1.047617040E1
3.410892083E-1,-8.764274597E-1,1.081875229E1,2.715353394E-1,1.085758986E1
3.511692083E-1,-1.013392639E-1,1.229273712E1,1.146615601E-1,1.229368955E1
3.612492083E-1,-9.351054382E-1,1.196641571E1,-7.274871826E-2,1.200311707E1
3.713292083E-1,-1.539099426E0,1.147543671E1,2.891986084E-1,1.158180083E1
3.814092083E-1,-7.321275330E-1,7.388186188E0,1.191821594E0,7.519424485E0
3.914902083E-1,-1.004411316E0,8.114775238E0,1.253193970E0,8.272177125E0
4.015702083E-1,-6.861730957E-1,7.878716125E0,1.059197388E0,7.979154116E0
4.116502083E-1,2.695893860E-1,7.356601868E0,1.328936462E0,7.480530837E0
4.217302083E-1,4.951702881E-1,7.479645996E0,1.413360901E0,7.628098510E0
4.318102082E-1,3.900888062E-1,7.780819702E0,1.046473846E0,7.860561814E0
