"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.837915957E-4,-2.074236603E0,6.230343933E0,7.300169220E0,9.818967036E0
1.096479164E-2,-2.089953918E0,6.177653503E0,7.459587708E0,9.908418590E0
2.104479156E-2,-2.030228119E0,6.173611908E0,7.541766815E0,9.955579185E0
3.112579160E-2,-2.079026642E0,6.189029846E0,7.533234558E0,9.968754442E0
4.120679165E-2,-2.067350922E0,6.157146149E0,7.502997437E0,9.923676691E0
5.128779158E-2,-2.047442322E0,6.146518250E0,7.432044983E0,9.859360998E0
6.136879162E-2,-2.099833374E0,6.127208405E0,7.414980469E0,9.845502444E0
7.144879166E-2,-2.032323761E0,6.116580505E0,7.360942841E0,9.783985714E0
8.152979158E-2,-2.018702087E0,6.107150116E0,7.364834747E0,9.778201855E0
9.161079163E-2,-1.952839050E0,6.085894318E0,7.409891052E0,9.785610630E0
1.016917916E-1,-1.959425354E0,6.025719452E0,7.389533386E0,9.734158736E0
1.117717916E-1,-1.901645508E0,5.938151550E0,7.342082062E0,9.632448727E0
1.218527916E-1,-1.829944611E0,5.915548553E0,7.362140350E0,9.619954392E0
1.319337916E-1,-1.745969238E0,5.891448669E0,7.404951324E0,9.622415504E0
1.420147916E-1,-1.491797791E0,5.659580841E0,7.436685333E0,9.463646480E0
1.520947916E-1,-1.498234406E0,5.754633179E0,7.392976227E0,9.487708198E0
1.621757916E-1,-2.344724121E0,6.394851837E0,7.578739929E0,1.018965947E1
1.722567916E-1,-1.840871887E0,5.920039215E0,7.612569580E0,9.817682477E0
1.823377917E-1,-1.878443756E0,6.010451202E0,7.255262604E0,9.606919904E0
1.924177916E-1,-2.069596252E0,6.004912720E0,6.999145203E0,9.451467557E0
2.024987916E-1,-1.805994415E0,5.901328125E0,6.769373016E0,9.160332991E0
2.125797917E-1,-1.710942078E0,5.861361237E0,6.600673828E0,8.991761414E0
2.226607916E-1,-1.725761261E0,5.822591858E0,6.600374451E0,8.969156636E0
2.327417916E-1,-1.734143829E0,5.820196838E0,6.611451416E0,8.977373552E0
2.428217916E-1,-1.931583252E0,5.862109680E0,6.567442932E0,9.012582894E0
2.529027916E-1,-2.036215668E0,5.788762207E0,6.730603638E0,9.108071556E0
2.629837916E-1,-2.026036835E0,5.684728546E0,6.860832825E0,9.137395195E0
2.730647916E-1,-2.081870728E0,5.495971069E0,6.973099365E0,9.119429723E0
2.831447916E-1,-2.025737457E0,5.404211884E0,7.010970612E0,9.080904539E0
2.932257917E-1,-2.167043610E0,5.266049194E0,6.746320953E0,8.828374626E0
3.033067916E-1,-2.378254395E0,5.210065613E0,6.240223389E0,8.470021582E0
3.133877916E-1,-2.629581757E0,5.075495453E0,5.714666290E0,8.082868619E0
3.234677917E-1,-2.870730286E0,4.806804199E0,5.295687561E0,7.706540451E0
3.335487916E-1,-2.839145966E0,4.538562012E0,4.931045837E0,7.278358881E0
3.436297916E-1,-2.437231750E0,3.926335144E0,4.465364227E0,6.426171796E0
3.537107916E-1,-1.697021027E0,2.984942780E0,3.839815063E0,5.151110898E0
3.637907916E-1,-6.749464417E-1,1.858535156E0,3.313808899E0,3.858890390E0
3.738717916E-1,5.963598633E-1,8.698411560E-1,2.706671448E0,2.904881934E0
3.839527916E-1,1.337468719E0,-7.244934082E-2,1.658251648E0,2.131635525E0
3.940337916E-1,1.421144714E0,-1.019679565E0,4.264631653E-1,1.800352617E0
4.041137917E-1,1.037342834E0,-1.966460724E0,-8.355624390E-1,2.375123686E0
4.141947916E-1,3.423381042E-1,-2.826871490E0,-2.029629364E0,3.496826155E0
4.242757916E-1,-2.481838989E-1,-3.787424011E0,-3.197500763E0,4.962880919E0
4.343567917E-1,-8.264314270E-1,-4.742587738E0,-4.361180878E0,6.495769855E0
4.444367916E-1,-1.140178986E0,-5.419031067E0,-5.000351715E0,7.461194482E0
4.545177916E-1,-1.604513397E0,-5.934109955E0,-4.737348633E0,7.760837343E0
4.645987916E-1,-2.745291138E0,-6.204896851E0,-3.775448914E0,7.764752595E0
4.746797916E-1,-3.091670837E0,-6.572682037E0,-2.860102386E0,7.806328419E0
4.847597916E-1,-3.835623779E0,-6.985074463E0,-2.222727814E0,8.273076451E0
4.948407916E-1,-4.435875549E0,-7.291936340E0,-1.374142456E0,8.645090802E0
5.049217916E-1,-4.966072998E0,-7.273674316E0,-6.505471802E-1,8.831275713E0
5.150027917E-1,-5.794300690E0,-7.344327393E0,-1.197509766E-2,9.354849477E0
5.250837916E-1,-6.765032043E0,-7.380102997E0,7.412585449E-1,1.003897619E1
5.351637916E-1,-7.635771332E0,-7.237299957E0,1.653910675E0,1.064983263E1
5.452447917E-1,-8.478069763E0,-7.319329376E0,2.219584351E0,1.141826625E1
5.553257916E-1,-9.169781342E0,-7.681576080E0,2.141596527E0,1.215228113E1
5.654067916E-1,-9.840985565E0,-8.191415863E0,1.921404419E0,1.294743549E1
5.754867916E-1,-1.029319519E1,-8.786877594E0,1.945055237E0,1.367268536E1
5.855677916E-1,-1.051189041E1,-9.399703217E0,2.085612946E0,1.425496552E1
5.956487916E-1,-1.078926361E1,-9.923913116E0,2.546803894E0,1.487879266E1
6.057296250E-1,-1.163814835E1,-1.017104919E1,3.197500763E0,1.578355948E1
6.158096249E-1,-1.422402100E1,-1.001806732E1,4.039649506E0,1.786066108E1
6.258906249E-1,-1.802431824E1,-8.939709778E0,4.754562836E0,2.067366263E1
6.359716250E-1,-2.125220581E1,-7.340734863E0,5.150040436E0,2.306654627E1
6.460526249E-1,-2.267125488E1,-6.349047089E0,5.229525146E0,2.411729940E1
6.561326250E-1,-2.247471359E1,-6.255791016E0,5.448370056E0,2.395688645E1
6.662136250E-1,-2.193748077E1,-6.827601929E0,6.079158325E0,2.376605514E1
6.762946249E-1,-2.209719864E1,-7.648345184E0,7.196734314E0,2.446582017E1
6.863756250E-1,-2.240585678E1,-8.017327881E0,8.179590454E0,2.516357813E1
6.964556249E-1,-2.313678680E1,-7.735164642E0,8.592431946E0,2.586452324E1
7.065366249E-1,-2.469025635E1,-6.220015411E0,8.050259399E0,2.670400769E1
7.166176250E-1,-2.729109787E1,-4.148772583E0,7.029981079E0,2.848573276E1
7.266986249E-1,-3.073348938E1,-1.476978607E0,7.005731506E0,3.155644323E1
7.367786249E-1,-3.386692337E1,2.002984772E0,9.016350403E0,3.510377503E1
7.468596250E-1,-3.700469833E1,6.440656586E0,1.264720001E1,3.963308497E1
7.569406249E-1,-4.028482727E1,1.081022003E1,1.358993958E1,4.386815044E1
7.670216250E-1,-4.238735504E1,1.419423294E1,1.052087173E1,4.592224797E1
7.771016250E-1,-4.217359955E1,1.689626404E1,6.797664185E0,4.593805041E1
7.871826249E-1,-4.123999100E1,1.866917725E1,4.048630829E0,4.544960339E1
7.972636250E-1,-4.073943192E1,1.868788834E1,2.167792053E0,4.487357581E1
8.073446249E-1,-4.001898010E1,1.716166214E1,1.394051056E0,4.356586731E1
8.174246249E-1,-3.972843430E1,1.447834213E1,1.125509491E0,4.229938125E1
8.275056250E-1,-4.031117249E1,1.149459686E1,1.195414124E0,4.193501400E1
8.375866249E-1,-4.138982941E1,8.710087280E0,1.891316986E0,4.233864285E1
8.476676249E-1,-4.276651657E1,6.314768372E0,2.702480164E0,4.331460075E1
8.577476250E-1,-4.477054916E1,4.536915436E0,4.136348419E0,4.518954583E1
8.678286249E-1,-4.767331284E1,3.841611328E0,6.600973206E0,4.828121355E1
8.779096249E-1,-5.136313980E1,3.279829559E0,9.389374695E0,5.231720338E1
8.879906250E-1,-5.495102875E1,1.766626282E0,1.207000031E1,5.628873276E1
8.980706249E-1,-5.643429428E1,-6.292913818E-1,1.483849319E1,5.835586054E1
9.081516250E-1,-5.487004715E1,-3.412004700E0,1.679612228E1,5.748455074E1
9.182326249E-1,-5.154351471E1,-5.368286591E0,1.782208878E1,5.480127059E1
9.283136249E-1,-4.869299240E1,-6.427184601E0,1.748648666E1,5.213533760E1
9.383946250E-1,-4.556434845E1,-7.375762024E0,1.594604004E1,4.883429029E1
9.484746249E-1,-4.199457184E1,-8.525221710E0,1.330388443E1,4.486888465E1
9.585556249E-1,-3.768084229E1,-9.912536774E0,9.563312988E0,4.011933718E1
9.686366250E-1,-3.313015549E1,-1.157483002E1,6.356531525E0,3.566496019E1
9.787176249E-1,-2.806858109E1,-1.312141388E1,4.562063141E0,3.131819226E1
9.887976249E-1,-2.297527267E1,-1.398182465E1,4.287983093E0,2.723492930E1
9.988786250E-1,-1.975876144E1,-1.473909988E1,4.475243683E0,2.505349327E1
1.008959625E0,-1.866139343E1,-1.524998749E1,4.928650818E0,2.459880733E1
1.019040625E0,-1.831261871E1,-1.574081680E1,5.677393799E0,2.480641284E1
1.029120625E0,-1.764455795E1,-1.668999298E1,6.177803192E0,2.506095655E1
1.039201625E0,-1.646411270E1,-1.802042633E1,5.840105438E0,2.509799999E1
1.049282625E0,-1.576835953E1,-1.984872437E1,4.491260376E0,2.574460023E1
1.059363625E0,-1.522498947E1,-2.183464462E1,2.652484131E0,2.675047069E1
1.069443625E0,-1.240605148E1,-2.307122314E1,9.343569946E-1,2.621191473E1
1.079524625E0,-9.088949432E0,-2.349978195E1,-7.550299072E-1,2.520751522E1
1.089605625E0,-7.006180573E0,-2.316956863E1,-1.918111267E0,2.428156971E1
1.099686625E0,-5.497018890E0,-2.240346176E1,-2.455942841E0,2.319836138E1
1.109766625E0,-3.937861176E0,-2.164633621E1,-2.577639771E0,2.215208453E1
1.119847625E0,-2.344574432E0,-2.095492401E1,-2.323767700E0,2.121333934E1
1.129928625E0,-6.783892822E-1,-2.006951523E1,-1.574425964E0,2.014260337E1
1.140009625E0,4.017645264E-1,-1.933154984E1,-5.622308350E-1,1.934389664E1
1.150089625E0,9.264234924E-1,-1.849523895E1,2.986289978E-1,1.852083431E1
1.160170625E0,1.428629150E0,-1.747840347E1,9.800120544E-1,1.756405400E1
1.170251625E0,1.908531189E0,-1.651485718E1,1.267264709E0,1.667300089E1
1.180332625E0,2.653531952E0,-1.565309921E1,1.227148132E0,1.592377591E1
1.190412625E0,3.676055603E0,-1.474748245E1,8.577163696E-1,1.522292025E1
1.200493625E0,4.653073883E0,-1.377690079E1,3.981719971E-2,1.454151565E1
1.210574625E0,5.468877411E0,-1.276081375E1,-6.755451965E-1,1.389976075E1
1.220655625E0,6.041885834E0,-1.165910477E1,-1.254541168E0,1.319139803E1
1.230735625E0,6.004164276E0,-1.069076843E1,-1.766027527E0,1.238795268E1
1.240816625E0,5.474415894E0,-9.766590271E0,-1.895807648E0,1.135559781E1
1.250897625E0,4.655917969E0,-8.905131683E0,-1.660946045E0,1.018516982E1
1.260978625E0,3.664978638E0,-8.105045471E0,-1.178948364E0,8.972945433E0
1.271058625E0,2.863245850E0,-7.360044708E0,-7.807763672E-1,7.935870881E0
1.281139625E0,2.356100464E0,-6.673721924E0,-3.787124634E-1,7.087538137E0
1.291220625E0,1.936972046E0,-6.047723694E0,-7.484436035E-4,6.350340396E0
1.301301625E0,1.593735809E0,-5.566324768E0,1.612147522E-1,5.792232337E0
1.311381625E0,1.270108795E0,-5.230123901E0,1.371148682E-1,5.383880837E0
1.321462625E0,9.618997192E-1,-4.893024902E0,-5.134323120E-2,4.986940935E0
1.331543625E0,1.133143616E-1,-4.442761230E0,-3.942800903E-1,4.461661606E0
1.341624625E0,-1.146166534E0,-3.909719696E0,-7.261399841E-1,4.138464099E0
1.351704625E0,-2.297721863E0,-3.350033569E0,-8.710386658E-1,4.154631034E0
1.361785625E0,-3.189118195E0,-2.778971100E0,-9.154962158E-1,4.327965868E0
1.371866625E0,-3.305875397E0,-2.176473999E0,-7.122189331E-1,4.021580164E0
1.381947625E0,-2.785557404E0,-1.926493835E0,-4.221221924E-1,3.413047860E0
1.392027625E0,-2.340532837E0,-1.884730682E0,8.652008057E-2,3.006291641E0
1.402108625E0,-1.946103058E0,-1.254241791E0,7.848179626E-1,2.444663334E0
1.412189625E0,-7.090754700E-1,-5.610333252E-1,1.163829803E0,1.473786357E0
1.422270625E0,7.384144592E-1,1.889071655E-1,1.312770081E0,1.517994438E0
1.432350625E0,2.477498016E0,9.309141541E-1,7.349716187E-2,2.647640349E0
1.442431625E0,2.942880249E0,1.542841644E0,-2.772384796E0,4.327472930E0
1.452512625E0,7.780819702E-1,3.016078033E0,-5.586832123E0,6.396470232E0
1.462593625E0,-4.279151459E0,5.557942200E0,-7.094197540E0,9.976447135E0
1.472673625E0,-1.243254639E1,9.102870483E0,-4.647086334E0,1.609428073E1
1.482754625E0,-2.323887451E1,1.293475204E1,3.118315430E0,2.677829326E1
1.492835625E0,-3.039683945E1,1.812041840E1,1.206745560E1,3.738904781E1
1.502916625E0,-3.309003891E1,2.300670731E1,1.929143326E1,4.468130094E1
1.512996625E0,-3.345438126E1,2.712673965E1,2.583552475E1,5.022479436E1
1.523077625E0,-3.320634705E1,3.060834961E1,3.130051025E1,5.494774328E1
1.533158625E0,-3.455279709E1,3.283841217E1,3.424099548E1,5.869159115E1
1.543239625E0,-3.576797012E1,3.530213882E1,3.361978729E1,6.046386350E1
1.553319625E0,-3.632181839E1,3.646207672E1,2.966635849E1,5.940412743E1
1.563400625E0,-3.565615265E1,3.630909485E1,2.368958725E1,5.613295052E1
1.573481625E0,-3.271387115E1,3.564208191E1,1.776969772E1,5.153947541E1
1.583562625E0,-2.791889236E1,3.314871689E1,1.261831009E1,4.513893809E1
1.593642625E0,-2.239193573E1,2.924618225E1,8.372688904E0,3.777353414E1
1.603724042E0,-1.705238937E1,2.500909332E1,4.897665253E0,3.066310254E1
1.613805042E0,-1.297022827E1,2.115894974E1,2.044598236E0,2.490197497E1
1.623886042E0,-1.004306534E1,1.760758484E1,-8.786727905E-2,2.027061730E1
1.633966042E0,-7.898924103E0,1.439721085E1,-1.594184875E0,1.649891231E1
1.644047042E0,-6.324947205E0,1.165536255E1,-2.685415649E0,1.353011051E1
1.654128042E0,-5.262306976E0,9.301058350E0,-3.618724823E0,1.128258527E1
1.664208042E0,-4.439168701E0,7.142846375E0,-4.266278229E0,9.430143319E0
1.674289042E0,-3.856729889E0,5.218148804E0,-4.395160217E0,7.837147166E0
1.684370042E0,-3.498225403E0,3.459755402E0,-4.081262970E0,6.392510918E0
1.694451042E0,-3.208278351E0,1.888622589E0,-3.654500427E0,5.216830324E0
1.704531042E0,-2.936593323E0,4.525090027E-1,-3.178639984E0,4.351102951E0
1.714612042E0,-2.477947083E0,-8.849597168E-1,-2.544408875E0,3.660244796E0
1.724693042E0,-1.614841919E0,-2.039808197E0,-2.085014191E0,3.334039004E0
1.734774042E0,-4.852908325E-1,-3.154240723E0,-2.070344696E0,3.804085815E0
1.744854042E0,4.923262024E-1,-4.325854340E0,-2.150877228E0,4.856096550E0
1.754935042E0,1.604064331E0,-5.552104340E0,-2.107467499E0,6.151447328E0
1.765016042E0,2.899021454E0,-6.720574493E0,-2.236349487E0,7.653215399E0
1.775097042E0,3.864813080E0,-7.838000793E0,-2.662812653E0,9.135732472E0
1.785177042E0,4.706063690E0,-9.069938965E0,-3.470532990E0,1.079145159E1
1.795258042E0,5.458548889E0,-1.033076706E1,-4.239783325E0,1.242965272E1
1.805339042E0,6.045628052E0,-1.150103348E1,-4.425547028E0,1.372621055E1
1.815420042E0,6.380930786E0,-1.250349884E1,-3.882476349E0,1.456459349E1
1.825500042E0,6.355483704E0,-1.332573898E1,-2.728376312E0,1.501371140E1
1.835581042E0,5.789061584E0,-1.417088150E1,-1.555415497E0,1.538656667E1
1.845662042E0,4.762945404E0,-1.491917542E1,-5.267546082E-1,1.566987283E1
1.855743042E0,3.113375702E0,-1.546000076E1,7.113208008E-1,1.578640900E1
1.865823042E0,1.291514282E0,-1.570070023E1,1.904489594E0,1.586843021E1
1.875904042E0,-7.283853149E-1,-1.595397354E1,2.974015503E0,1.624514035E1
1.885985042E0,-2.896476746E0,-1.600292175E1,3.902834015E0,1.672468820E1
1.896066042E0,-4.888384552E0,-1.584694611E1,4.222718811E0,1.711295879E1
1.906146042E0,-6.400240631E0,-1.559472061E1,4.078119507E0,1.734328256E1
1.916227042E0,-7.705526276E0,-1.563004715E1,3.726500702E0,1.782022212E1
1.926308042E0,-9.232800293E0,-1.563663345E1,3.397933960E0,1.847416743E1
1.936389042E0,-1.114806747E1,-1.525148438E1,3.160377960E0,1.915398582E1
1.946469042E0,-1.285212387E1,-1.452414688E1,2.828368378E0,1.959917341E1
1.956550042E0,-1.399379974E1,-1.359562775E1,2.411784668E0,1.965920218E1
1.966631042E0,-1.456605972E1,-1.291499313E1,2.112706604E0,1.958138587E1
1.976712042E0,-1.461261292E1,-1.267549118E1,2.161954193E0,1.946459809E1
1.986792042E0,-1.466799774E1,-1.269704636E1,2.391726379E0,1.954700742E1
1.996873042E0,-1.560953979E1,-1.287981628E1,2.713557129E0,2.041839348E1
2.006954042E0,-1.814796112E1,-1.289628204E1,3.240012360E0,2.249800577E1
2.017035042E0,-2.201127731E1,-1.207987976E1,3.992796936E0,2.542365535E1
2.027115042E0,-2.504935959E1,-1.048509613E1,4.549489288E0,2.753371587E1
2.037196042E0,-2.598700974E1,-8.668922882E0,3.444187775E0,2.761045687E1
2.047277042E0,-2.572445572E1,-7.437134399E0,1.430724792E0,2.681614371E1
2.057358042E0,-2.619013733E1,-7.286397858E0,1.149609375E-1,2.718507133E1
2.067438042E0,-2.888917465E1,-7.846233673E0,8.235873413E-1,2.994705480E1
2.077519042E0,-3.499812103E1,-7.880512390E0,4.766837311E0,3.618969037E1
2.087600042E0,-4.071114075E1,-6.387068024E0,1.288041504E1,4.317518628E1
2.097681042E0,-4.340404083E1,-2.184706879E0,2.350861359E1,4.940990404E1
2.107761042E0,-4.675826569E1,5.235063629E0,3.183804245E1,5.681023014E1
2.117842042E0,-5.730144104E1,1.501991592E1,3.413995560E1,6.837097036E1
2.127923042E0,-6.967471069E1,2.449341568E1,2.132630173E1,7.687199664E1
2.138004042E0,-6.981931000E1,3.050042404E1,-2.142644348E0,7.622075072E1
2.148084042E0,-6.095100174E1,3.318015152E1,-1.753723114E1,7.157863888E1
2.158165042E0,-5.462051605E1,2.933809113E1,-1.679731979E1,6.423608267E1
2.168246042E0,-5.270435074E1,2.278935928E1,-7.550598450E0,5.791472196E1
2.178327042E0,-5.176071304E1,1.760354324E1,1.201251984E0,5.468545653E1
2.188407042E0,-5.234135559E1,1.215442474E1,6.134094086E0,5.408303483E1
2.198488042E0,-5.328110138E1,7.319179688E0,6.332281952E0,5.415296806E1
2.208569042E0,-5.448759247E1,3.255130920E0,4.983436890E0,5.481175288E1
2.218650042E0,-5.744918381E1,-3.113525391E-2,4.634063416E0,5.763578952E1
2.228730042E0,-6.242872879E1,-1.928888855E0,5.625451813E0,6.271134266E1
2.238811042E0,-6.823919586E1,-3.392844543E0,7.149282990E0,6.869651733E1
2.248892042E0,-7.128296631E1,-5.539680176E0,9.571246490E0,7.213569229E1
