"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.398124965E-3,3.025059357E0,-1.045860123E1,8.711883545E-1,1.092210112E1
1.147912501E-2,3.687881012E0,-1.026310776E1,1.179696808E0,1.096920835E1
2.155912493E-2,4.151766357E0,-9.980345764E0,1.196761322E0,1.087550933E1
3.164012497E-2,4.376598816E0,-9.553283844E0,1.241817627E0,1.058120789E1
4.172012501E-2,4.612807617E0,-9.044042816E0,-3.480262756E-1,1.015843624E1
5.180012493E-2,5.092410278E0,-8.665929108E0,-7.752378845E-1,1.008126795E1
6.188112497E-2,5.147495728E0,-8.562643890E0,-9.235794067E-1,1.003337339E1
7.196112501E-2,4.474345551E0,-8.578211517E0,-4.397854614E-1,9.684982818E0
8.204212494E-2,3.984114990E0,-8.968000946E0,2.092648315E-1,9.815396324E0
9.212212497E-2,4.073030090E0,-9.376351776E0,1.722917175E-1,1.022424722E1
1.022031249E-1,4.490661621E0,-9.207502899E0,-3.876937866E-2,1.024429863E1
1.122831249E-1,4.796176300E0,-8.555458832E0,-3.080593872E-1,9.812954882E0
1.223641250E-1,4.822970581E0,-8.118367767E0,-5.834866333E-1,9.460940602E0
1.324441249E-1,4.706812134E0,-8.092770996E0,-7.442523193E-1,9.391535251E0
1.425241249E-1,4.346661072E0,-8.354127502E0,-8.530760193E-1,9.455826114E0
1.526051250E-1,4.184398499E0,-8.846154327E0,-7.839198303E-1,9.817238282E0
1.626851249E-1,4.324207764E0,-9.137897644E0,-5.486091614E-1,1.012427371E1
1.727661249E-1,4.508773956E0,-9.401649170E0,-3.212319946E-1,1.043183779E1
1.828461250E-1,3.946393433E0,-9.510472870E0,-2.445913696E-1,1.029965729E1
1.929261249E-1,4.093238068E0,-9.636810150E0,-3.098556519E-1,1.047467032E1
2.030071249E-1,2.971321106E0,-1.002615051E1,-6.324348450E-1,1.047627878E1
2.130871250E-1,8.783734131E-1,-1.021999741E1,1.597178650E0,1.038127480E1
2.231681249E-1,-1.121617584E0,-1.075214081E1,3.473975830E0,1.135495777E1
