"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.087166766E-3,2.078876953E0,9.019194489E0,-6.965016174E-1,9.281848583E0
1.216716669E-2,2.628983002E0,9.497300262E0,2.877017212E-1,9.858652858E0
2.224616671E-2,2.925067291E0,9.974507904E0,7.875123596E-1,1.042434661E1
3.232616675E-2,2.923869781E0,1.017419266E1,9.375004578E-1,1.062742292E1
4.240616667E-2,2.879262543E0,1.000788849E1,7.934999084E-1,1.044402350E1
5.248516670E-2,2.911295929E0,9.752519531E0,5.465135193E-1,1.019244614E1
6.256516674E-2,2.948718109E0,9.311237183E0,3.448828125E-1,9.773076308E0
7.264516677E-2,2.292632446E0,9.424252167E0,2.965333557E-1,9.703639754E0
8.272416668E-2,1.760039978E0,9.314380646E0,4.064048767E-1,9.487918236E0
9.280416672E-2,2.493514709E0,8.784781952E0,8.472381592E-2,9.132206068E0
1.028831667E-1,1.969604187E0,1.033840118E1,1.468446350E0,1.062629824E1
1.129631667E-1,1.104553070E0,1.010428802E1,2.295177155E0,1.042038925E1
1.230431667E-1,1.756896515E0,9.795180817E0,1.283880157E0,1.003397234E1
1.331221667E-1,1.524878998E0,9.699080658E0,4.334985352E-1,9.827784214E0
1.432021668E-1,1.102008362E0,9.328152008E0,-1.329235840E-1,9.393961411E0
1.532821667E-1,8.800199890E-1,9.002728729E0,-1.974394226E-1,9.047792111E0
1.633611667E-1,8.842112732E-1,9.041947174E0,1.062789917E-1,9.085699395E0
1.734411668E-1,1.938468933E-1,8.888665924E0,1.770069122E0,9.065269065E0
1.835201667E-1,3.902384949E-1,9.094787292E0,2.441722412E0,9.424937682E0
1.936001667E-1,1.901944885E0,9.660760345E0,1.989812164E0,1.004524949E1
2.036801667E-1,2.624791718E0,9.710457001E0,1.525777130E0,1.017401113E1
2.137591668E-1,2.340083771E0,9.735604706E0,4.656816101E-1,1.002371440E1
2.238391667E-1,2.158810730E0,9.409582672E0,-1.236428833E-1,9.654843209E0
2.339191667E-1,1.151705017E0,8.997339935E0,5.167254639E-1,9.085458467E0
2.439981668E-1,1.222208405E0,9.311835938E0,8.904981995E-1,9.433825786E0
2.540785833E-1,2.449955292E0,1.007509872E1,1.117276611E0,1.042872007E1
2.641575834E-1,2.714305573E0,1.014051270E1,4.474195862E-1,1.050702797E1
2.742375834E-1,2.261048126E0,1.006147705E1,-1.857637024E-1,1.031407617E1
2.843175834E-1,2.260000305E0,1.024319916E1,-7.405101013E-1,1.051565907E1
2.943965833E-1,1.698068848E0,9.523346100E0,3.305126953E-1,9.679194047E0
3.044765834E-1,1.816173248E0,1.011671219E1,5.159770203E-1,1.029138392E1
3.145565834E-1,1.655108185E0,9.857002258E0,1.215771790E0,1.006866315E1
3.246355834E-1,1.386267242E0,9.347910919E0,1.380878448E0,9.550497406E0
3.347155834E-1,1.138532410E0,9.579928436E0,1.719324646E0,9.799355190E0
3.447945834E-1,3.270698547E-1,9.002429352E0,-8.382568359E-2,9.008758831E0
3.548745834E-1,-2.885848846E0,5.931265869E0,-2.087708588E0,6.918566725E0
3.649545833E-1,-5.014572144E-2,9.330397339E0,-4.370910645E0,1.030357651E1
3.750335834E-1,2.325563965E0,1.128997238E1,-6.436614990E-3,1.152700159E1
3.851135834E-1,1.246607666E0,9.855355682E0,9.418414307E-1,9.978433323E0
3.951935833E-1,3.071313171E0,1.066771637E1,3.468287659E-1,1.110645881E1
4.052725834E-1,4.322860565E0,1.120914047E1,-4.200265503E-1,1.202116367E1
4.153525834E-1,2.762505341E0,1.011746063E1,-1.242416382E-1,1.048855955E1
4.254315834E-1,1.004710693E0,7.805069275E0,2.694396973E-1,7.874080754E0
4.355115833E-1,9.773176575E-1,7.047644348E0,2.838098145E-1,7.120743548E0
4.455915834E-1,2.182760925E0,8.285570068E0,4.894821167E-2,8.568401983E0
4.556705834E-1,3.273243256E0,9.099577332E0,-5.303471375E-1,9.684921120E0
4.657505833E-1,3.753444672E0,9.194030914E0,-1.149459686E0,9.996989993E0
4.758305834E-1,3.684887238E0,9.561367035E0,-1.342109070E0,1.033437905E1
4.859095834E-1,3.352129211E0,1.005728577E1,2.412982178E-1,1.060396115E1
4.959895834E-1,9.530680847E-1,9.808503113E0,2.728526001E0,1.022545482E1
5.060685833E-1,3.052153015E-1,8.868607635E0,4.170627136E0,9.805074629E0
5.161485834E-1,4.421804810E-1,9.078471222E0,-7.625143433E-1,9.121161737E0
5.262285834E-1,1.668729858E0,8.719817047E0,-2.007325745E0,9.102154982E0
5.363075833E-1,1.847607880E0,8.305478668E0,7.667056274E-1,8.542977719E0
5.463875834E-1,1.789378967E0,8.064928894E0,5.769003296E-1,8.281169552E0
5.564675834E-1,1.919907532E0,8.211324463E0,3.730242920E-1,8.441033200E0
5.665465834E-1,2.217189331E0,8.433761902E0,3.192860413E-1,8.726179687E0
5.766265834E-1,2.436333618E0,8.471483459E0,-3.472778320E-2,8.814928220E0
5.867055834E-1,2.596949615E0,8.344098358E0,-5.113366699E-1,8.753832869E0
5.967855834E-1,2.907254333E0,8.040529633E0,-7.499404907E-1,8.582811618E0
6.068655833E-1,2.805466003E0,7.974516907E0,-7.514373779E-1,8.486943945E0
6.169445834E-1,2.527044983E0,8.226443024E0,-7.858657837E-1,8.641637935E0
6.270245834E-1,2.555186462E0,8.570427704E0,-8.635542297E-1,8.984816904E0
6.371045834E-1,2.473606110E0,9.028325500E0,-6.484515381E-1,9.383489645E0
6.471835834E-1,2.386786652E0,9.557475128E0,-3.387455750E-1,9.856816419E0
6.572635834E-1,2.439028015E0,9.825867004E0,-9.834548950E-2,1.012453416E1
6.673425834E-1,2.636168060E0,9.964778137E0,4.011657715E-2,1.030765709E1
6.774225833E-1,2.602488098E0,9.890233154E0,2.222877502E-1,1.022932393E1
6.875025834E-1,2.368973694E0,9.692793732E0,5.144801331E-1,9.991345079E0
6.975815834E-1,2.076931000E0,9.547595673E0,7.177574158E-1,9.797213952E0
7.076615834E-1,1.613345032E0,9.314081268E0,6.774911499E-1,9.477024128E0
7.177415834E-1,1.358874207E0,8.822503510E0,7.414082336E-1,8.957276006E0
7.278205834E-1,1.101708984E0,7.957751770E0,1.017583923E0,8.097842488E0
7.379005834E-1,1.265169067E0,7.509434052E0,1.039887543E0,7.685936420E0
7.479795833E-1,1.605261841E0,7.276518402E0,6.599775696E-1,7.480652112E0
7.580595834E-1,1.732497253E0,7.113507385E0,5.902226257E-1,7.345195491E0
7.681395834E-1,1.918111267E0,6.714736633E0,6.110293579E-1,7.010006831E0
7.782185834E-1,2.248474274E0,6.157445526E0,-9.205856323E-2,6.555779644E0
7.882985834E-1,2.336790619E0,5.250182190E0,-1.018332367E0,5.836266292E0
7.983785834E-1,2.088906097E0,3.917353821E0,-1.272204437E0,4.618191613E0
8.084575834E-1,1.818418579E0,2.768792267E0,-1.109792175E0,3.493493297E0
8.185375833E-1,2.006577301E0,1.973346405E0,-9.380992126E-1,2.966560067E0
8.286165834E-1,2.073787537E0,1.814676361E0,-2.938389587E-1,2.771278834E0
8.386965834E-1,2.022144928E0,2.277064819E0,7.761360168E-1,3.142686974E0
8.487765833E-1,1.624122620E0,2.648143158E0,2.088756409E0,3.743439569E0
8.588555834E-1,1.322350159E0,2.992127838E0,3.126099243E0,4.524813302E0
8.689355834E-1,5.619314575E-1,3.969146118E0,3.196752319E0,5.127291026E0
8.790155834E-1,-2.110610962E-2,4.506977692E0,2.952460327E0,5.387978783E0
8.890945833E-1,-2.915936279E-1,4.859195251E0,2.934347992E0,5.683942599E0
8.991745834E-1,-4.076023865E-1,5.403613129E0,3.269950104E0,6.329119072E0
9.092545834E-1,1.847158813E-1,6.451134796E0,3.897744598E0,7.539474323E0
9.193335834E-1,1.037642212E0,7.873327332E0,4.523443451E0,9.139339434E0
9.294135834E-1,1.590742035E0,9.381291504E0,5.047952728E0,1.077130063E1
9.394925834E-1,2.321522369E0,1.072355026E1,5.279670868E0,1.217616199E1
9.495725834E-1,3.072959747E0,1.187645279E1,5.025050354E0,1.325686024E1
9.596525833E-1,3.945644989E0,1.272997787E1,4.376449127E0,1.402760700E1
9.697315834E-1,5.050497437E0,1.299717224E1,3.815565491E0,1.445657465E1
9.798115834E-1,5.219795380E0,1.336286179E1,3.536994781E0,1.477574604E1
9.898915833E-1,4.312232666E0,1.317979248E1,3.972439270E0,1.442506687E1
9.999705834E-1,3.244652710E0,1.324176361E1,4.886139221E0,1.448262515E1
1.010050583E0,2.948718109E0,1.389186172E1,5.954168243E0,1.539905452E1
1.020129583E0,3.167712708E0,1.501946686E1,6.665638733E0,1.673468040E1
1.030209583E0,3.658092957E0,1.630170044E1,7.073241119E0,1.814270711E1
1.040289583E0,4.293970642E0,1.742227020E1,7.401658173E0,1.941026086E1
1.050368583E0,4.903503113E0,1.823103836E1,7.499704285E0,2.031405097E1
1.060448583E0,5.256469116E0,1.893741943E1,7.390581207E0,2.099707153E1
1.070528583E0,5.718258820E0,1.959365479E1,7.264842682E0,2.166535785E1
1.080607583E0,5.924829254E0,2.012325348E1,7.233108673E0,2.218933963E1
1.090687583E0,5.622158661E0,2.041454773E1,6.896309052E0,2.226929513E1
1.100766583E0,5.246439972E0,2.040242294E1,6.368207245E0,2.200768179E1
1.110846583E0,5.143903198E0,2.029015640E1,5.952821045E0,2.176203725E1
1.120926583E0,5.204227753E0,2.027922913E1,5.581293640E0,2.166753237E1
1.131005583E0,5.245392151E0,2.042532532E1,5.450914764E0,2.178119659E1
1.141085583E0,5.479954376E0,2.074880264E1,5.688171387E0,2.220130638E1
1.151165583E0,6.237978058E0,2.090702362E1,5.790857849E0,2.257321514E1
1.161244583E0,7.168742523E0,2.070584198E1,5.609135742E0,2.261824850E1
1.171324583E0,8.012687531E0,2.056064392E1,5.360203400E0,2.270847904E1
1.181403583E0,8.984766083E0,2.015977753E1,4.983885956E0,2.262701418E1
1.191483583E0,9.693991241E0,1.968092331E1,4.542902985E0,2.240424460E1
1.201563583E0,1.001956421E1,1.905761948E1,3.968547363E0,2.189369533E1
1.211642583E0,9.567354584E0,1.787627609E1,3.244652710E0,2.053346760E1
1.221722583E0,8.663534088E0,1.623598709E1,2.396366730E0,1.855819693E1
1.231802583E0,7.811805267E0,1.425725189E1,1.634600830E0,1.633907748E1
1.241881583E0,6.750661926E0,1.222552689E1,1.073268127E0,1.400667157E1
1.251962042E0,5.702840881E0,1.023646317E1,5.150788879E-1,1.172914654E1
1.262041042E0,4.804858246E0,8.253985748E0,1.942959595E-1,9.552627618E0
1.272121042E0,3.953578491E0,6.335425415E0,2.814147949E-2,7.467877210E0
1.282201042E0,3.122656403E0,4.445455627E0,-8.322692871E-2,5.433229745E0
1.292280042E0,2.302212524E0,2.636766815E0,-9.475296021E-2,3.501671011E0
1.302360042E0,1.419498138E0,1.219813385E0,-1.577719116E-1,1.878246958E0
1.312440042E0,5.837860107E-1,1.133143616E-1,-1.451980591E-1,6.121509023E-1
1.322519042E0,-3.158432007E-2,-6.222560120E-1,4.340972900E-2,6.245674649E-1
1.332599042E0,-3.550616455E-1,-9.141490173E-1,2.757266235E-1,1.018706223E0
1.342678042E0,-7.604187012E-1,-1.105002136E0,5.266049194E-1,1.441034026E0
1.352758042E0,-1.174906769E0,-1.225950623E0,6.945556641E-1,1.834603067E0
1.362838042E0,-1.349892883E0,-1.331780548E0,6.015989685E-1,1.989414875E0
1.372917042E0,-1.340312805E0,-1.401984558E0,4.607418823E-1,1.993560182E0
1.382997042E0,-1.375938721E0,-1.458267517E0,3.330574036E-1,2.032407132E0
1.393077042E0,-1.475332031E0,-1.487157440E0,2.860551453E-1,2.114253864E0
1.403156042E0,-1.734443207E0,-1.506467285E0,2.917433167E-1,2.315783039E0
1.413236042E0,-1.935774536E0,-1.546284485E0,4.225712585E-1,2.513321554E0
1.423315042E0,-2.003284149E0,-1.595831451E0,4.369413757E-1,2.598219230E0
1.433395042E0,-2.117047577E0,-1.662293243E0,3.071612549E-1,2.709143279E0
1.443475042E0,-2.149080963E0,-1.739382935E0,3.382965088E-2,2.764985791E0
1.453554042E0,-2.043101349E0,-1.827998657E0,-2.636018372E-1,2.754147444E0
1.463634042E0,-1.820963287E0,-1.887874146E0,-6.355783081E-1,2.698876779E0
