"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-2.916669473E-6,-1.175206146E0,4.090543671E0,8.737031250E0,9.718506679E0
1.007708337E-2,-1.140927429E0,4.039350128E0,8.880732422E0,9.822701930E0
2.015708340E-2,-1.146914978E0,4.022135925E0,8.889863434E0,9.824594813E0
3.023708332E-2,-1.208886108E0,4.062252502E0,8.764124908E0,9.735152101E0
4.031708336E-2,-1.255439301E0,4.115242310E0,8.661438446E0,9.671187262E0
5.039708340E-2,-1.282383270E0,4.133953400E0,8.623417511E0,9.648699764E0
6.047708332E-2,-1.355281677E0,4.109853516E0,8.709338837E0,9.725238677E0
7.055708335E-2,-1.351838837E0,4.075275421E0,8.812324677E0,9.802673319E0
8.063708339E-2,-1.351090393E0,4.070784760E0,8.879684601E0,9.861314944E0
9.071708343E-2,-1.347797241E0,4.054618378E0,8.926836548E0,9.896711491E0
1.007970833E-1,-1.314566345E0,4.049528961E0,8.997789001E0,9.954244140E0
1.108770834E-1,-1.314266968E0,4.047732697E0,9.080716553E0,1.002850192E1
1.209570834E-1,-1.272653503E0,4.008065186E0,9.196875000E0,1.011270207E1
1.310370833E-1,-1.272354126E0,4.002377014E0,9.318272552E0,1.022096425E1
1.411170834E-1,-1.296004944E0,3.986210632E0,9.389075317E0,1.028222930E1
1.511970834E-1,-1.322350159E0,3.998485107E0,9.332043915E0,1.023833662E1
1.612770833E-1,-1.342258759E0,4.045038300E0,9.124275970E0,1.007057126E1
1.713560834E-1,-1.343306580E0,4.064647522E0,8.946445770E0,9.917899171E0
1.814360834E-1,-1.329385529E0,4.077820129E0,8.850644989E0,9.835130889E0
1.915160833E-1,-1.375938721E0,4.067042542E0,8.784781952E0,9.777854383E0
2.015960834E-1,-1.465153198E0,4.067641296E0,8.834478607E0,9.835669366E0
2.116760834E-1,-1.475332031E0,4.065695343E0,8.948391724E0,9.938822750E0
2.217560834E-1,-1.432970123E0,4.022435303E0,9.005872192E0,9.966901378E0
2.318360833E-1,-1.373244324E0,3.966601410E0,8.947044525E0,9.882779591E0
2.419160834E-1,-1.300645294E0,3.999233551E0,8.793763275E0,9.747605845E0
2.519960834E-1,-1.261127472E0,3.983665924E0,8.619226227E0,9.578679316E0
