"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-1.624666620E-3,1.357227631E0,-9.181007996E0,2.708467712E0,9.667924907E0
8.454333409E-3,1.548829193E0,-9.459728394E0,2.417772217E0,9.885896805E0
1.853433333E-2,1.766626282E0,-9.646539917E0,1.945055237E0,9.997996833E0
2.861333336E-2,1.935026093E0,-9.743538208E0,1.283730469E0,1.001642784E1
3.869333339E-2,1.864672394E0,-9.725425873E0,2.668949890E-1,9.906166992E0
4.877333331E-2,1.311422882E0,-9.696086884E0,-1.099912720E0,9.846001159E0
5.885233334E-2,3.817062378E-1,-9.880503387E0,-2.202968903E0,1.013030695E1
6.893233338E-2,-5.620811462E-1,-1.020457947E1,-2.453996887E0,1.051054128E1
7.901233342E-2,-1.091081085E0,-1.045665527E1,-1.755100250E0,1.065891525E1
8.909133333E-2,-1.044228516E0,-1.053284683E1,-5.839356995E-1,1.060057812E1
9.917133336E-2,-8.649014282E-1,-1.036774017E1,5.230123901E-1,1.041689170E1
1.092503334E-1,-8.924441528E-1,-9.950408020E0,1.361119537E0,1.008264463E1
1.193303334E-1,-9.630972290E-1,-9.475296021E0,1.934277649E0,9.718550353E0
1.294103333E-1,-8.132588196E-1,-9.113049316E0,2.307451630E0,9.435750674E0
1.394893334E-1,-5.138813782E-1,-8.881181488E0,2.498604126E0,9.240264134E0
1.495693334E-1,-1.880090332E-1,-8.816216583E0,2.529290314E0,9.173785027E0
1.596493333E-1,1.013392639E-1,-9.108708344E0,2.406844940E0,9.421875604E0
1.697283334E-1,3.806584167E-1,-9.525591431E0,2.131118317E0,9.768493139E0
1.798083334E-1,6.069877625E-1,-9.894125061E0,1.731748810E0,1.006285739E1
1.898883333E-1,8.116122437E-1,-1.025547363E1,1.260379028E0,1.036445894E1
1.999673333E-1,9.717791748E-1,-1.060784088E1,6.189628601E-1,1.067022764E1
2.100473334E-1,1.062640228E0,-1.083372116E1,-2.856060791E-1,1.088945771E1
2.201263334E-1,1.110690308E0,-1.095766342E1,-1.234782257E0,1.108281137E1
2.302063333E-1,1.143172760E0,-1.093535980E1,-1.700164490E0,1.112562345E1
2.402863334E-1,1.039288788E0,-1.059152481E1,-1.265468445E0,1.071736579E1
2.503653334E-1,7.833210754E-1,-1.014305740E1,-2.329156494E-1,1.017592527E1
2.604453333E-1,5.336402893E-1,-9.813442841E0,7.879614258E-1,9.859478462E0
2.705253334E-1,2.921923828E-1,-9.608219604E0,1.428329773E0,9.718198717E0
2.806043334E-1,1.017883301E-1,-9.523645477E0,1.700912933E0,9.674879268E0
2.906843334E-1,-6.466552734E-2,-9.576934662E0,1.686842194E0,9.724571751E0
3.007633333E-1,-1.505868530E-1,-9.587263184E0,1.422491913E0,9.693388210E0
3.108433334E-1,-1.607656860E-1,-9.605974274E0,1.010249176E0,9.660289372E0
3.209233334E-1,-1.703457642E-1,-9.689949646E0,6.018983459E-1,9.710119641E0
3.310023333E-1,-1.312770081E-1,-9.760602722E0,3.379971313E-1,9.767335420E0
3.410823334E-1,-2.035766602E-2,-9.768386536E0,3.990701294E-1,9.776555984E0
3.511623334E-1,1.225950623E-1,-9.750573578E0,6.730004883E-1,9.774540619E0
3.612413334E-1,1.823208618E-1,-9.803563385E0,1.040935364E0,9.860357112E0
3.713213333E-1,2.160008240E-1,-9.872719574E0,1.362317047E0,9.968608523E0
3.814003334E-1,2.694396973E-1,-9.932894440E0,1.582209778E0,1.006172835E1
3.914803334E-1,3.543132019E-1,-9.909542999E0,1.705253906E0,1.006143485E1
4.015603333E-1,4.837939453E-1,-9.840386810E0,1.704954529E0,9.998706872E0
4.116393334E-1,6.517446899E-1,-9.678124237E0,1.581611023E0,9.828140888E0
4.217193334E-1,8.427474976E-1,-9.542506256E0,1.382974091E0,9.678959982E0
4.317993334E-1,1.025068359E0,-9.492510223E0,1.242715759E0,9.628232337E0
4.418783333E-1,1.165925446E0,-9.579778748E0,1.217418365E0,9.726954841E0
4.519583334E-1,1.267414398E0,-9.649683380E0,1.257684631E0,9.813485580E0
4.620383334E-1,1.257534943E0,-9.676028595E0,1.323547668E0,9.846760987E0
4.721173333E-1,1.212628326E0,-9.697733459E0,1.416803741E0,9.875415665E0
4.821973334E-1,1.010099487E0,-9.736951904E0,1.425785065E0,9.892491921E0
4.922763334E-1,6.981481934E-1,-9.792336731E0,1.387464752E0,9.914753047E0
5.023563334E-1,3.749702454E-1,-9.805060272E0,1.316961365E0,9.900211961E0
5.124363333E-1,1.219963074E-1,-9.777816925E0,1.198557587E0,9.851757569E0
5.225153334E-1,-2.619552612E-2,-9.753567352E0,1.112636261E0,9.816859057E0
5.325953334E-1,-1.345701599E-1,-9.704020386E0,1.040486298E0,9.760570296E0
5.426753333E-1,-2.143542480E-1,-9.678124237E0,1.060993652E0,9.738467232E0
5.527543334E-1,-3.074606323E-1,-9.679471436E0,1.134041748E0,9.750525627E0
5.628343334E-1,-3.688330078E-1,-9.710756378E0,1.191073151E0,9.790479175E0
5.729133334E-1,-4.390370178E-1,-9.774224396E0,1.199455719E0,9.857327734E0
5.829933333E-1,-4.950205994E-1,-9.786199493E0,1.163979492E0,9.867603264E0
5.930733334E-1,-5.520520020E-1,-9.814490662E0,1.069076843E0,9.887968126E0
6.031523334E-1,-5.502557373E-1,-9.818532257E0,9.346563721E-1,9.878255898E0
6.132323333E-1,-5.239105225E-1,-9.795031128E0,6.798861694E-1,9.832566411E0
6.233123334E-1,-4.182302856E-1,-9.787546692E0,1.922003174E-1,9.798363526E0
6.333913334E-1,-2.628533936E-1,-9.808503113E0,-4.974156189E-1,9.824624548E0
6.434713333E-1,4.191284180E-3,-9.803264008E0,-1.214274902E0,9.878181326E0
6.535503333E-1,3.089575195E-1,-9.751771088E0,-1.513502655E0,9.873357300E0
6.636303334E-1,4.704716492E-1,-9.602381744E0,-1.068029022E0,9.673043199E0
6.737103334E-1,3.568579102E-1,-9.356443176E0,-3.173400879E-1,9.368622162E0
6.837893333E-1,8.307723999E-2,-9.126820679E0,1.832189941E-1,9.129037558E0
6.938693334E-1,-3.143463135E-3,-8.938362579E0,1.404080200E-1,8.939465862E0
7.039493334E-1,-3.203338623E-2,-8.723259888E0,-1.104702759E-1,8.724018162E0
7.140283334E-1,-4.565505981E-2,-8.507558441E0,-4.855902100E-1,8.521527613E0
7.241083334E-1,-1.344204712E-1,-8.289911041E0,-7.355703735E-1,8.323566406E0
7.341883334E-1,-3.317102051E-1,-8.132588196E0,-8.381071472E-1,8.182386328E0
7.442673334E-1,-5.360353088E-1,-8.103548584E0,-9.419911194E-1,8.175706745E0
7.543473333E-1,-6.750961304E-1,-8.133636017E0,-1.279838562E0,8.261342287E0
7.644263334E-1,-7.948471069E-1,-8.150101776E0,-1.492995300E0,8.323759718E0
7.745063334E-1,-1.133143616E0,-8.136629791E0,-1.495240631E0,8.350119961E0
7.845863333E-1,-1.419348450E0,-7.996670837E0,-1.907483368E0,8.342648698E0
7.946653333E-1,-1.745071106E0,-7.688761139E0,-1.775757294E0,8.081808893E0
8.047453334E-1,-1.688039703E0,-7.384294281E0,-1.586251373E0,7.739087381E0
8.148253334E-1,-1.003513184E0,-7.262148285E0,-1.936522980E0,7.582608896E0
8.249043333E-1,-1.228944397E-1,-7.241491241E0,-2.265239410E0,7.588518171E0
8.349843334E-1,9.020242310E-1,-7.288942566E0,-1.257385254E0,7.451399138E0
8.450630000E-1,1.841470642E0,-7.433841248E0,6.328839111E-1,7.684630887E0
8.551430000E-1,2.400558014E0,-7.841743011E0,1.385967865E0,8.317242281E0
8.652230001E-1,2.710563354E0,-8.805738373E0,-1.865121460E-1,9.215365905E0
8.753020001E-1,2.779719543E0,-1.032822235E1,-4.390519867E0,1.156182003E1
8.853820000E-1,2.216889954E0,-1.183004929E1,-7.252717896E0,1.405228039E1
8.954620000E-1,4.869374084E-1,-1.273506729E1,-5.235512695E0,1.377786776E1
