"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.509374939E-3,-1.222058716E0,9.286388855E0,1.061592407E0,9.426421586E0
1.158837497E-2,-1.044976959E0,9.112600250E0,1.200503540E0,9.250549655E0
2.166737500E-2,-1.030457153E0,9.057215424E0,1.179547119E0,9.191644281E0
3.174637503E-2,-1.098415833E0,9.170679474E0,1.100511475E0,9.301559270E0
4.182537494E-2,-1.156345367E0,9.445358276E0,9.877958679E-1,9.567009368E0
5.190437497E-2,-1.237476654E0,9.608818359E0,9.610015869E-1,9.735720969E0
6.198337500E-2,-1.453627167E0,9.514215088E0,9.857002258E-1,9.674963856E0
7.206237502E-2,-1.112486572E0,9.581275635E0,9.755213928E-1,9.694849723E0
8.214137494E-2,-1.051413574E0,9.646390228E0,9.360035706E-1,9.748559772E0
9.222037497E-2,-9.611512756E-1,9.484127655E0,7.711962891E-1,9.563850316E0
1.022993750E-1,-8.753796387E-1,9.413474579E0,6.863227844E-1,9.478967883E0
1.123783750E-1,-9.321116638E-1,9.368268585E0,6.135740662E-1,9.434498480E0
1.224573749E-1,-9.451345825E-1,9.377249908E0,6.012995911E-1,9.443921665E0
1.325363750E-1,-1.144370270E0,9.702972565E0,6.158193970E-1,9.789611506E0
1.426153750E-1,-1.478924561E0,1.000175125E1,7.209008789E-1,1.013617009E1
1.526943750E-1,-1.743424530E0,1.032343231E1,7.289840698E-1,1.049496077E1
1.627733749E-1,-1.904190216E0,1.074540482E1,5.602848816E-1,1.092719471E1
1.728523750E-1,-1.862576752E0,1.115525253E1,5.415737915E-1,1.132263898E1
1.829313750E-1,-1.679806824E0,1.106873245E1,5.285508728E-1,1.120794161E1
1.930103750E-1,-1.409468994E0,1.068537964E1,5.833369446E-1,1.079371219E1
2.030893749E-1,-1.334175568E0,1.030187714E1,6.134243774E-1,1.040600723E1
2.131683750E-1,-1.402283936E0,9.875863037E0,4.749623108E-1,9.986223518E0
2.232483750E-1,-1.744322662E0,9.503138123E0,2.448907471E-1,9.665002183E0
2.333273750E-1,-2.153122559E0,9.111702118E0,2.203417969E-1,9.365233726E0
2.434063749E-1,-2.411934357E0,8.845705261E0,4.713697815E-1,9.180747158E0
2.534853750E-1,-2.249372406E0,9.031918030E0,7.652087402E-1,9.339205744E0
2.635643750E-1,-1.983674927E0,9.322613525E0,9.758207703E-1,9.581143738E0
2.736433750E-1,-1.949096832E0,9.695937195E0,1.158590698E0,9.957535285E0
2.837223749E-1,-1.909579010E0,9.871522064E0,1.168021088E0,1.012213975E1
2.938013750E-1,-1.865420837E0,9.770033112E0,1.005459137E0,9.997214111E0
3.038803750E-1,-1.956880646E0,9.675579529E0,7.994874573E-1,9.903807413E0
3.139593750E-1,-1.933529205E0,9.684411163E0,5.185217285E-1,9.889146553E0
3.240383749E-1,-2.010020142E0,9.714947662E0,4.390370178E-1,9.930415024E0
