"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-2.122541773E-3,-8.428822174E0,1.823358307E0,7.415878601E0,1.137387068E1
7.956458256E-3,-8.241860962E0,1.628613281E0,7.307503967E0,1.113464268E1
1.803545828E-2,-8.064180450E0,1.439257050E0,7.348818054E0,1.100488955E1
2.811445831E-2,-7.956703949E0,1.301393738E0,7.632478180E0,1.110213883E1
3.819245833E-2,-7.958949280E0,1.103205872E0,8.027506714E0,1.135793999E1
4.827145825E-2,-7.991282043E0,9.785151672E-1,8.173004150E0,1.147240504E1
5.835045828E-2,-7.810757446E0,9.918374634E-1,8.175848236E0,1.135060209E1
6.842945830E-2,-7.689060516E0,9.288185120E-1,8.081095276E0,1.119323261E1
7.850845833E-2,-7.614515533E0,8.599617004E-1,7.883805542E0,1.099430629E1
8.858745825E-2,-7.640860748E0,7.933502197E-1,7.749385071E0,1.091169678E1
9.866645827E-2,-7.735464020E0,8.156538391E-1,7.676935730E0,1.092877106E1
1.087454583E-1,-7.778424683E0,8.725355530E-1,7.679630127E0,1.096548803E1
1.188244583E-1,-7.777227173E0,9.598040771E-1,7.620952148E0,1.093093765E1
1.289034582E-1,-7.665110321E0,1.028660889E0,7.461533661E0,1.074646658E1
1.389824583E-1,-7.578889618E0,1.086141357E0,7.425758057E0,1.066588738E1
1.490614583E-1,-7.424261169E0,1.080153809E0,7.488777008E0,1.060038524E1
1.591404583E-1,-7.337890778E0,1.071172485E0,7.463030548E0,1.052087812E1
1.692194582E-1,-7.204518127E0,9.945318604E-1,7.297025757E0,1.030246378E1
1.792984583E-1,-7.066056061E0,8.782237244E-1,7.101083221E0,1.005613286E1
1.893774583E-1,-6.874005432E0,7.475454712E-1,6.868616638E0,9.746213082E0
1.994564583E-1,-6.769971771E0,5.929170227E-1,6.705605621E0,9.547209809E0
2.095354582E-1,-6.697672119E0,4.688250732E-1,6.681056671E0,9.471806956E0
2.196144583E-1,-6.663543091E0,3.372486877E-1,6.758745117E0,9.497219528E0
2.296934583E-1,-6.583759003E0,3.210823059E-1,6.759343872E0,9.441276716E0
2.397724583E-1,-6.504423981E0,2.653981018E-1,6.687642975E0,9.332873943E0
2.498514582E-1,-6.567742310E0,1.739382935E-1,6.621330872E0,9.327781949E0
2.599294583E-1,-6.507268066E0,2.112107849E-1,6.444099426E0,9.160543930E0
2.700084583E-1,-6.404581604E0,2.311193848E-1,6.313720551E0,8.996396439E0
2.800874583E-1,-6.373146973E0,1.531315613E-1,6.180796967E0,8.879341347E0
2.901658333E-1,-6.297703857E0,3.547622681E-2,6.038143616E0,8.724764224E0
3.002448332E-1,-6.206244049E0,-1.953437805E-1,5.797593842E0,8.495158547E0
3.103238333E-1,-6.130800934E0,-3.237767029E-1,5.677244110E0,8.361976568E0
3.204028333E-1,-6.092779999E0,-3.385958862E-1,5.985453186E0,8.547646760E0
3.304818333E-1,-6.219865723E0,-5.439688110E-1,5.852379913E0,8.557627143E0
3.405608332E-1,-6.328689423E0,-6.866221619E-1,5.814808044E0,8.621818393E0
3.506398333E-1,-6.384223938E0,-8.913963318E-1,5.677094421E0,8.589662612E0
3.607188333E-1,-6.294261017E0,-9.958790588E-1,5.478457489E0,8.403748765E0
3.707978333E-1,-6.403683472E0,-1.180445251E0,5.545368347E0,8.552878060E0
3.808768332E-1,-6.664590912E0,-1.383872223E0,5.797743530E0,8.941236178E0
3.909558333E-1,-6.656657410E0,-1.462608490E0,5.968388672E0,9.059358410E0
4.010348333E-1,-6.745123444E0,-1.489702148E0,6.036197662E0,9.173417301E0
4.111138333E-1,-6.953639832E0,-1.442400513E0,5.714815979E0,9.115522356E0
4.211928333E-1,-7.256909180E0,-1.481469269E0,5.283712463E0,9.098082184E0
4.312718333E-1,-7.546257477E0,-1.540147247E0,4.921765137E0,9.140121854E0
4.413508333E-1,-7.865393829E0,-1.676663361E0,4.641248474E0,9.285300615E0
4.514298333E-1,-8.109386444E0,-1.825903015E0,4.600084076E0,9.500360195E0
4.615088333E-1,-8.267457733E0,-1.946103058E0,4.721481628E0,9.717538950E0
4.715878332E-1,-8.357270966E0,-2.039359131E0,4.895719299E0,9.898031679E0
4.816668333E-1,-8.391100616E0,-2.175575867E0,5.113366699E0,1.006430419E1
4.917448333E-1,-8.354726257E0,-2.227966919E0,5.334456940E0,1.015980897E1
5.018238333E-1,-8.362360382E0,-2.175126801E0,5.422324219E0,1.020107091E1
5.119028332E-1,-8.476273499E0,-2.178270264E0,5.407954102E0,1.028776173E1
5.219818333E-1,-8.515791321E0,-2.204465790E0,5.190905457E0,1.021390575E1
5.320608333E-1,-8.525970154E0,-2.301164703E0,4.992118835E0,1.014439631E1
5.421398333E-1,-8.503816223E0,-2.498005371E0,4.859045563E0,1.010768247E1
5.522188332E-1,-8.514893188E0,-2.605182495E0,4.996759186E0,1.021067991E1
5.622978333E-1,-8.618777161E0,-2.641706543E0,5.441634064E0,1.052963981E1
5.723768333E-1,-8.819360046E0,-2.528990936E0,6.012247467E0,1.096923089E1
5.824558333E-1,-8.826844482E0,-2.255359955E0,6.354136505E0,1.110742467E1
5.925348332E-1,-8.821306000E0,-1.961670685E0,6.357279968E0,1.104891850E1
6.026138333E-1,-8.694819031E0,-1.640738068E0,6.094576263E0,1.074410346E1
6.126928333E-1,-8.571924591E0,-1.412612457E0,5.557792511E0,1.031321593E1
6.227718333E-1,-8.442144470E0,-1.300196228E0,5.006788330E0,9.900921314E0
6.328508332E-1,-8.513845367E0,-1.259031830E0,4.624034271E0,9.769975283E0
6.429298333E-1,-8.619824982E0,-1.361568604E0,4.532424774E0,9.833520535E0
6.530088333E-1,-8.656648407E0,-1.545835419E0,4.625082092E0,9.935721068E0
6.630878333E-1,-8.772058411E0,-1.714684296E0,4.766987000E0,1.012982310E1
6.731668332E-1,-8.910370789E0,-1.948947144E0,4.976251831E0,1.039019657E1
6.832458333E-1,-9.025481415E0,-2.144141235E0,5.169050903E0,1.061959244E1
6.933248333E-1,-9.141490173E0,-2.280657349E0,5.253625031E0,1.078743790E1
7.034038333E-1,-9.104367371E0,-2.298769684E0,5.007087708E0,1.064165281E1
7.134828332E-1,-8.993597717E0,-2.300865326E0,4.562512207E0,1.034385319E1
7.235608333E-1,-8.747509460E0,-2.120640106E0,4.245770874E0,9.952015200E0
7.336398333E-1,-8.580157471E0,-2.053429871E0,4.021986237E0,9.695981113E0
7.437188333E-1,-8.517288208E0,-1.897603912E0,3.991449738E0,9.595664127E0
7.537978332E-1,-8.471184082E0,-1.741328888E0,4.055815887E0,9.552111210E0
7.638768333E-1,-8.171806641E0,-1.902393951E0,4.468358002E0,9.505984944E0
7.739558333E-1,-8.109386444E0,-1.738933868E0,4.788841553E0,9.577005947E0
7.840348333E-1,-8.053552551E0,-1.700314178E0,4.788542175E0,9.522652633E0
7.941138332E-1,-7.895780640E0,-1.587897949E0,4.656217346E0,9.302963602E0
8.041928333E-1,-7.850874023E0,-1.446591797E0,4.505480804E0,9.166690135E0
8.142718333E-1,-7.845036163E0,-1.338815918E0,4.292174377E0,9.042111554E0
8.243508333E-1,-7.994724884E0,-1.275946655E0,4.213737488E0,9.126842250E0
8.344298332E-1,-8.151299286E0,-1.140029297E0,4.156556396E0,9.220645743E0
8.445088333E-1,-8.279881897E0,-1.050814819E0,4.230203247E0,9.357097601E0
8.545878333E-1,-8.377778320E0,-9.686357117E-1,4.289779358E0,9.461904230E0
8.646668333E-1,-8.503965912E0,-8.996292114E-1,4.449946289E0,9.639958035E0
