"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.110833397E-4,-3.398233337E0,-8.975784760E0,1.253343658E0,9.679027440E0
1.049008337E-2,-3.395988007E0,-9.085207214E0,1.403331757E0,9.800156360E0
2.056908328E-2,-3.438798981E0,-9.235794067E0,1.436412964E0,9.959342985E0
3.064808331E-2,-3.486250305E0,-9.292526093E0,1.335971832E0,1.001447967E1
4.072708334E-2,-3.498075714E0,-9.240883484E0,1.150657196E0,9.947586303E0
5.080608337E-2,-3.434308319E0,-9.151818695E0,9.250762939E-1,9.818656996E0
6.088508328E-2,-3.351680145E0,-9.078620911E0,6.848258972E-1,9.701757776E0
7.096408331E-2,-3.233276367E0,-9.109756165E0,5.797444153E-1,9.683895757E0
8.104308334E-2,-3.109633484E0,-9.216035156E0,6.704557800E-1,9.749596677E0
9.112208337E-2,-3.058140564E0,-9.348659363E0,8.647517395E-1,9.874079763E0
1.012005000E-1,-3.044967957E0,-9.406439209E0,1.078207855E0,9.945625200E0
1.112794999E-1,-3.033142548E0,-9.416468353E0,1.197958832E0,9.965186166E0
1.213585000E-1,-3.013233948E0,-9.352102203E0,1.155746613E0,9.893287860E0
1.314365000E-1,-3.084036713E0,-9.231153717E0,1.025218048E0,9.786549619E0
1.415155000E-1,-3.129991150E0,-9.147926788E0,9.942324829E-1,9.719563126E0
1.515944999E-1,-3.088976440E0,-9.133406982E0,1.057251434E0,9.699416434E0
1.616735000E-1,-3.045566711E0,-9.160650330E0,1.110390930E0,9.717302047E0
1.717525000E-1,-2.995870056E0,-9.252708893E0,1.214274902E0,9.801138852E0
1.818315000E-1,-2.899919586E0,-9.387728119E0,1.249601440E0,9.904568471E0
1.919104999E-1,-2.808010712E0,-9.482481079E0,1.151854706E0,9.956361827E0
2.019895000E-1,-2.782713318E0,-9.514215088E0,9.361532593E-1,9.956915440E0
2.120685000E-1,-2.802621918E0,-9.447603607E0,8.804690552E-1,9.893792462E0
2.221475000E-1,-2.786305847E0,-9.289532318E0,9.372010803E-1,9.743575156E0
2.322264999E-1,-2.759212189E0,-9.161398773E0,1.054107971E0,9.625779085E0
2.423055000E-1,-2.790946198E0,-9.056466980E0,1.156495056E0,9.547065290E0
2.523845000E-1,-2.958747253E0,-9.073531494E0,1.103205872E0,9.607300468E0
