"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.672333339E-3,5.414241028E-1,9.901759186E0,3.119512939E-1,9.921455974E0
1.175033336E-2,9.006770325E-1,9.603728943E0,2.740800476E-1,9.649764173E0
2.182933339E-2,1.314566345E0,9.593250732E0,2.258802795E-1,9.685533862E0
3.190833330E-2,1.123862915E0,9.780211945E0,1.224453735E-1,9.845334245E0
4.198733333E-2,6.771917725E-1,9.536369019E0,1.062789917E-2,9.560388889E0
5.206533335E-2,1.119072876E0,9.417965240E0,-1.963916016E-1,9.486251263E0
6.214433338E-2,1.543739777E0,9.322164459E0,-1.577719116E-1,9.450437804E0
7.222333329E-2,1.538650360E0,9.252259827E0,-2.769241333E-2,9.379366914E0
8.230233332E-2,1.699865112E0,9.307944031E0,4.086502075E-2,9.461978304E0
9.238033334E-2,1.891616364E0,9.249266052E0,6.945556641E-2,9.440972357E0
1.024593334E-1,1.909579010E0,9.033115540E0,1.359173584E-1,9.233750152E0
1.125383333E-1,1.858834534E0,8.785680084E0,1.736389160E-1,8.981847852E0
1.226173333E-1,1.873504028E0,8.598718872E0,2.347119141E-1,8.803582979E0
1.326953333E-1,2.036215668E0,8.489446106E0,2.893482971E-1,8.735021000E0
1.427743334E-1,2.283501434E0,8.392148438E0,2.918930054E-1,8.702168450E0
1.528533334E-1,2.505489807E0,8.262817383E0,2.432441711E-1,8.637754222E0
1.629323333E-1,2.559976501E0,8.055797882E0,2.562670898E-1,8.456656078E0
1.730103333E-1,2.400258636E0,7.921227722E0,3.698808289E-1,8.285161554E0
1.830893334E-1,2.334395599E0,7.968529358E0,5.601351929E-1,8.322296220E0
1.931683334E-1,2.240540771E0,8.276738434E0,8.455915833E-1,8.616231611E0
2.032473333E-1,2.227218475E0,8.906029816E0,1.256936188E0,9.265946136E0
2.133253333E-1,2.104174347E0,9.755363617E0,1.786983948E0,1.013844074E1
2.234043333E-1,1.961221619E0,1.073702225E1,2.337089996E0,1.116207985E1
2.334828334E-1,1.815724182E0,1.173335037E1,2.974314880E0,1.223989029E1
2.435618333E-1,1.640887756E0,1.252310806E1,3.506907349E0,1.310798029E1
2.536398333E-1,1.343007202E0,1.292202850E1,3.874692535E0,1.355712843E1
2.637188333E-1,9.098080444E-1,1.275677216E1,3.981121216E0,1.339448814E1
2.737978334E-1,5.863307190E-1,1.222537720E1,3.798500977E0,1.281531275E1
2.838768334E-1,3.764671326E-1,1.157258469E1,3.521127777E0,1.210226362E1
2.939548333E-1,3.486250305E-1,1.104972198E1,3.218157806E0,1.151409723E1
3.040338333E-1,4.355941772E-1,1.052311707E1,2.958597565E0,1.093979134E1
3.141128334E-1,5.605842590E-1,1.004321503E1,2.776875458E0,1.043510710E1
3.241918334E-1,6.351292419E-1,9.708660736E0,2.690954132E0,1.009468754E1
3.342698333E-1,5.807922363E-1,9.577383728E0,2.658471680E0,9.956458726E0
3.443488333E-1,5.340893555E-1,9.595496063E0,2.688559113E0,9.979335962E0
3.544278333E-1,5.611830139E-1,9.657317505E0,2.612816620E0,1.002025541E1
3.645068334E-1,7.406597900E-1,9.699080658E0,2.384092255E0,1.001522034E1
3.745848334E-1,1.059646454E0,9.734107819E0,2.166594543E0,1.002845140E1
3.846638333E-1,1.457818451E0,9.766440582E0,1.918859711E0,1.005935479E1
3.947428333E-1,1.955383759E0,9.722132721E0,1.560953979E0,1.003892263E1
4.048208334E-1,2.440375214E0,9.567504272E0,1.261277161E0,9.954063957E0
4.148998334E-1,2.797981567E0,9.477840729E0,1.084644470E0,9.941560207E0
4.249788333E-1,2.909649353E0,9.515562286E0,1.062490540E0,1.000704108E1
4.350578333E-1,3.056493988E0,9.760752411E0,1.151705017E0,1.029275802E1
4.451358333E-1,2.906356201E0,9.955946503E0,1.369502106E0,1.046151582E1
4.552148334E-1,2.534529419E0,9.846973114E0,1.742825775E0,1.031620863E1
4.652938333E-1,2.221081238E0,9.857301636E0,2.065404968E0,1.031336488E1
4.753728333E-1,2.040257263E0,9.779463501E0,2.447260895E0,1.028540918E1
4.854508333E-1,1.803749084E0,9.464668121E0,2.739902344E0,1.001701144E1
4.955298334E-1,1.643432465E0,9.276659088E0,2.665357361E0,9.790883717E0
5.056088334E-1,1.641935577E0,9.003177795E0,2.731968842E0,9.550749531E0
5.156878333E-1,1.216520233E0,8.764424286E0,2.892285461E0,9.309155157E0
5.257658333E-1,3.885919189E-1,8.621321869E0,3.143912201E0,9.184899475E0
5.358448334E-1,-2.543211365E-1,8.679850159E0,3.283721466E0,9.283711795E0
5.459238334E-1,-2.079176331E-1,8.288863220E0,3.133433990E0,8.863796692E0
5.560028333E-1,1.230441284E-1,7.654931488E0,2.957549744E0,8.207326997E0
5.660808333E-1,5.292993164E-1,7.130871277E0,2.302661591E0,7.512105786E0
5.761598333E-1,1.260379028E0,6.959627380E0,1.660646667E0,7.265171431E0
5.862388334E-1,2.155367889E0,6.958729248E0,1.423090668E0,7.422581123E0
5.963178333E-1,3.049608307E0,7.114255829E0,1.418300629E0,7.869200944E0
6.063958333E-1,3.503913574E0,7.550448761E0,1.387464752E0,8.438705189E0
6.164748333E-1,3.448379059E0,8.339008942E0,1.265318756E0,9.112157802E0
6.265538334E-1,2.959046631E0,8.927135925E0,1.031205597E0,9.461136178E0
6.366328333E-1,2.249971161E0,9.222771149E0,9.259744263E-1,9.538307320E0
6.467108333E-1,1.763333130E0,9.408085785E0,8.882528687E-1,9.613033601E0
6.567898333E-1,1.389560394E0,1.007809250E1,7.132667542E-1,1.019841046E1
6.668688334E-1,8.852590942E-1,1.084449875E1,4.522096252E-1,1.088996466E1
6.769478334E-1,6.451583862E-1,1.166464325E1,3.089575195E-1,1.168655579E1
6.870258333E-1,4.513114929E-1,1.232836304E1,1.142124939E-1,1.233714966E1
6.971048333E-1,3.255729675E-1,1.276216095E1,-3.053649902E-1,1.276996467E1
7.071838334E-1,2.444416809E-1,1.300510574E1,-7.945477295E-1,1.303164737E1
7.172628334E-1,9.265731812E-2,1.328053299E1,-1.204694824E0,1.333538269E1
7.273408333E-1,2.628533936E-1,1.336929840E1,-1.275497589E0,1.343257703E1
7.374198333E-1,6.646179199E-1,1.315389633E1,-1.029559021E0,1.321085529E1
7.474988333E-1,8.672964478E-1,1.281694702E1,-7.593708801E-1,1.286868207E1
7.575778334E-1,1.130299530E0,1.246637604E1,-6.890171814E-1,1.253646095E1
7.676558334E-1,1.475631409E0,1.243748611E1,-6.731501770E-1,1.254279395E1
7.777348333E-1,1.596579895E0,1.229034210E1,-6.004014587E-1,1.240814484E1
7.878138333E-1,1.752256165E0,1.191626999E1,-5.590873718E-1,1.205738242E1
7.978928334E-1,1.651365967E0,1.146825165E1,-5.861810303E-1,1.160135396E1
8.079708334E-1,1.486259308E0,1.102083206E1,-6.306385803E-1,1.113846538E1
8.180498333E-1,1.483864288E0,1.054182816E1,-9.545649719E-1,1.068846052E1
8.281288333E-1,1.485810242E0,9.921667786E0,-1.293460236E0,1.011534296E1
8.382078334E-1,1.624871063E0,9.352551270E0,-1.295256500E0,9.580611182E0
8.482858334E-1,1.888772278E0,8.946894836E0,-1.253643036E0,9.229626688E0
8.583648333E-1,2.007176056E0,8.623567200E0,-1.228345642E0,8.938875767E0
8.684438333E-1,2.137105865E0,8.438701630E0,-1.133742371E0,8.778626227E0
8.785228333E-1,2.194436646E0,8.346643066E0,-8.834628296E-1,8.675396777E0
8.886008334E-1,2.042203217E0,8.159681854E0,-5.399272156E-1,8.428672691E0
8.986798334E-1,1.889820099E0,7.919880524E0,-9.280700684E-2,8.142760015E0
9.087588333E-1,1.770667877E0,7.742798767E0,3.483256531E-1,7.950316235E0
9.188378333E-1,1.669627991E0,7.910300446E0,7.015910339E-1,8.114970163E0
9.289158334E-1,1.567240906E0,8.083340607E0,7.759863281E-1,8.270356353E0
9.389948334E-1,1.410666504E0,8.261021118E0,6.348298645E-1,8.404609382E0
9.490738333E-1,1.360071716E0,8.183182983E0,6.394702148E-1,8.320048135E0
9.591528333E-1,1.410816193E0,8.068371735E0,8.843609619E-1,8.238392992E0
9.692308333E-1,1.618584137E0,8.123157806E0,1.026714935E0,8.346235733E0
9.793098334E-1,1.803898773E0,8.076604614E0,8.602610779E-1,8.320194830E0
9.893888333E-1,1.890269165E0,8.150401154E0,5.529501343E-1,8.384981236E0
9.994668333E-1,1.748813324E0,8.243507538E0,2.700384521E-1,8.431292032E0
1.009545833E0,1.461410980E0,8.153394928E0,2.077679443E-1,8.285936183E0
1.019624833E0,1.406325531E0,8.032296753E0,4.469705200E-1,8.166720595E0
1.029703833E0,1.330732727E0,8.155490570E0,7.622149658E-1,8.298424410E0
1.039782833E0,1.061143341E0,8.417595520E0,1.070573730E0,8.551495053E0
1.049860833E0,5.566923523E-1,8.720116425E0,1.428030396E0,8.853790581E0
1.059939833E0,3.022215271E-1,8.983119507E0,1.772015076E0,9.161212330E0
1.070018833E0,5.748046875E-2,9.282197571E0,2.126477966E0,9.522835937E0
1.080097833E0,-2.770738220E-1,9.580676880E0,2.248324585E0,9.844851589E0
1.090175833E0,-4.321513367E-1,9.716743927E0,2.095941467E0,9.949614965E0
1.100254833E0,-4.442761230E-1,9.630074158E0,1.877395935E0,9.821421743E0
1.110333833E0,-3.514691162E-1,9.450747070E0,1.713337097E0,9.611226495E0
1.120411833E0,-3.345542908E-1,9.245823212E0,1.600621490E0,9.389311082E0
1.130490833E0,-3.975732422E-1,9.248966675E0,1.344354401E0,9.354610510E0
1.140569833E0,-5.016069031E-1,9.721084900E0,1.345102844E0,9.826515292E0
1.150648833E0,-6.667135620E-1,1.012434631E1,1.710493011E0,1.028944515E1
1.160726833E0,-5.758525085E-1,1.045949936E1,1.902094574E0,1.064662842E1
1.170805833E0,-3.237767029E-1,1.067430267E1,1.816023560E0,1.083252097E1
1.180884833E0,2.896476746E-1,1.079360458E1,1.524130554E0,1.090452978E1
1.190963833E0,5.704637146E-1,1.038375687E1,9.839039612E-1,1.044585576E1
1.201041833E0,1.024918671E0,1.007854156E1,4.504133606E-1,1.014052911E1
1.211120833E0,1.585802307E0,9.831106110E0,9.056167603E-2,9.958595168E0
1.221199833E0,1.987417145E0,9.793234863E0,-3.652404785E-2,9.992927999E0
1.231279708E0,2.309846649E0,1.014934433E1,-4.939727783E-3,1.040887152E1
1.241357708E0,2.571652222E0,1.092413315E1,1.082249451E-1,1.122327015E1
1.251436708E0,2.690654755E0,1.166269730E1,2.186952209E-1,1.197104669E1
1.261515708E0,2.664608917E0,1.238314911E1,2.992277527E-1,1.267012469E1
1.271594708E0,2.580932922E0,1.313114365E1,2.549198914E-1,1.338480976E1
1.281672708E0,2.830314331E0,1.391641068E1,2.453398132E-1,1.420342765E1
1.291751708E0,3.275787964E0,1.473191483E1,1.441502380E-1,1.509241135E1
1.301830708E0,3.702101440E0,1.497949997E1,-2.761756897E-1,1.543266819E1
1.311909708E0,3.724255371E0,1.456112000E1,-1.265019379E0,1.508298935E1
1.321987708E0,2.977907410E0,1.381552048E1,-2.510579224E0,1.435407770E1
1.332066708E0,3.035238190E0,1.269629791E1,-3.455414429E0,1.350364915E1
