"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.663750038E-3,-7.006779327E0,1.378034363E0,7.204967194E0,1.014423420E1
1.174175006E-2,-6.917564850E0,1.334624634E0,7.086862793E0,9.992874992E0
2.182074997E-2,-6.862778778E0,1.296154633E0,6.911726990E0,9.825971676E0
3.189975000E-2,-6.836583252E0,1.332079926E0,6.714437256E0,9.674552969E0
4.197775002E-2,-6.851552124E0,1.410516815E0,6.527026978E0,9.567413724E0
5.205675005E-2,-6.898105316E0,1.464404755E0,6.383924561E0,9.512246372E0
6.213574996E-2,-6.854545898E0,1.452279968E0,6.276148682E0,9.406591245E0
7.221374998E-2,-6.846013641E0,1.409918060E0,6.298003235E0,9.408539550E0
8.229275001E-2,-6.974745941E0,1.345402222E0,6.419700165E0,9.574431486E0
9.237175004E-2,-7.039261780E0,1.278191986E0,6.523434448E0,9.681951155E0
1.024497501E-1,-7.030579834E0,1.317410431E0,6.580914917E0,9.719725520E0
1.125287500E-1,-7.106771393E0,1.467997284E0,6.627318420E0,9.827642907E0
1.226077500E-1,-7.131919098E0,1.624421997E0,6.716083832E0,9.930196316E0
1.326857500E-1,-7.074588318E0,1.762584686E0,6.835236053E0,9.993845934E0
1.427647501E-1,-6.947053528E0,1.796863403E0,6.897805939E0,9.953391260E0
1.528437500E-1,-6.997348938E0,1.643133087E0,7.015760651E0,1.004408662E1
1.629217500E-1,-7.255561981E0,1.411115570E0,7.068151703E0,1.022708147E1
1.730007500E-1,-7.368427277E0,1.129102020E0,6.924450531E0,1.017431113E1
1.830797500E-1,-7.498656464E0,9.812095642E-1,6.774761810E0,1.015332549E1
1.931577501E-1,-7.311695251E0,8.346643066E-1,6.487658844E0,9.810569261E0
2.032367500E-1,-6.968309326E0,7.002438354E-1,6.390510864E0,9.480838855E0
2.133157500E-1,-6.614295502E0,6.062393188E-1,6.502927094E0,9.295401652E0
2.233937500E-1,-6.494245148E0,4.742138672E-1,6.755601654E0,9.382870165E0
2.334727501E-1,-6.508315887E0,1.878593445E-1,6.832391968E0,9.437957768E0
2.435507500E-1,-6.566694489E0,-3.483256531E-1,6.558611298E0,9.287528704E0
2.536297500E-1,-6.644083557E0,-1.011296997E0,6.284830627E0,9.201394674E0
2.637087500E-1,-6.605014801E0,-1.657054138E0,6.095474396E0,9.139302875E0
2.737867500E-1,-6.455625458E0,-2.059118042E0,6.041736145E0,9.078416316E0
