"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.787916111E-4,3.376528473E0,-9.332193604E0,1.113085327E0,9.986477904E0
1.085779164E-2,3.114872589E0,-9.244026947E0,1.086740112E0,9.815063398E0
2.093579166E-2,2.944526825E0,-9.204958191E0,1.028660889E0,9.719034764E0
3.101479169E-2,2.847079468E0,-9.252409515E0,9.349557495E-1,9.725589216E0
4.109379160E-2,2.789149933E0,-9.285341034E0,8.574169922E-1,9.733040602E0
5.117179162E-2,2.712060242E0,-9.308243408E0,8.520281982E-1,9.732657302E0
6.125079165E-2,2.695145416E0,-9.281149750E0,9.141490173E-1,9.707688598E0
7.132979168E-2,2.747686157E0,-9.264534302E0,1.031355286E0,9.718285279E0
8.140933327E-2,2.893632660E0,-9.281149750E0,1.143023071E0,9.788735995E0
9.148733329E-2,3.109932861E0,-9.255852356E0,1.258133698E0,9.845069103E0
1.015663333E-1,3.284020844E0,-9.228010254E0,1.310375061E0,9.882208708E0
1.116453334E-1,3.375480652E0,-9.183253326E0,1.328936462E0,9.873807949E0
1.217233333E-1,3.439098358E0,-9.150621185E0,1.269959106E0,9.857690486E0
1.318023333E-1,3.438499603E0,-9.138346710E0,1.182091827E0,9.835141138E0
1.418813333E-1,3.404520264E0,-9.144783325E0,1.073866882E0,9.816873758E0
1.519603333E-1,3.356320496E0,-9.152567139E0,9.942324829E-1,9.799126019E0
1.620383334E-1,3.265309753E0,-9.172475739E0,9.060658264E-1,9.778420846E0
1.721173333E-1,3.173550568E0,-9.184001770E0,7.985893250E-1,9.749618281E0
1.821963333E-1,3.127446442E0,-9.183552704E0,7.328759766E-1,9.729114487E0
1.922743333E-1,3.094963989E0,-9.212292938E0,6.801855469E-1,9.742063213E0
2.023533334E-1,3.053649902E0,-9.266480255E0,6.713539124E-1,9.779731598E0
2.124323333E-1,3.016377411E0,-9.297765198E0,7.294331360E-1,9.801991790E0
2.225103333E-1,2.970123596E0,-9.313482513E0,8.535250854E-1,9.812802646E0
2.325893333E-1,2.938090210E0,-9.340576172E0,9.583071899E-1,9.838551213E0
2.426683333E-1,2.898871765E0,-9.347461853E0,1.041683807E0,9.841930997E0
2.527473333E-1,2.880609741E0,-9.332343292E0,1.072220306E0,9.825487275E0
2.628253333E-1,2.846630402E0,-9.273815002E0,1.063688049E0,9.759015402E0
2.729043333E-1,2.857108612E0,-9.242080994E0,1.005159760E0,9.725712152E0
2.829833333E-1,2.880909119E0,-9.234446869E0,9.312135315E-1,9.718117357E0
2.930613334E-1,2.907553711E0,-9.258995819E0,8.316705322E-1,9.740356669E0
3.031403333E-1,2.980601807E0,-9.283844147E0,7.855664063E-1,9.782170713E0
3.132193333E-1,3.023562469E0,-9.294771423E0,7.521858215E-1,9.803085704E0
3.232973333E-1,3.052901459E0,-9.286688232E0,7.381150818E-1,9.803448348E0
3.333763334E-1,3.088527374E0,-9.296717377E0,7.379653931E-1,9.824080020E0
3.434553333E-1,3.069067841E0,-9.327403564E0,7.150630188E-1,9.845351684E0
3.535343333E-1,3.095712433E0,-9.340426483E0,7.080276489E-1,9.865510910E0
3.636123333E-1,3.143463135E0,-9.375753021E0,7.331753540E-1,9.915828321E0
3.736913333E-1,3.209625549E0,-9.373358002E0,7.441026306E-1,9.935553589E0
3.837703333E-1,3.302582245E0,-9.341623993E0,7.593708801E-1,9.937284963E0
3.938483333E-1,3.330274658E0,-9.303153992E0,7.310797119E-1,9.908273363E0
4.039273333E-1,3.328777771E0,-9.236692200E0,6.839277649E-1,9.842001901E0
4.140063333E-1,3.343447266E0,-9.181606750E0,6.339317322E-1,9.791956474E0
4.240843334E-1,3.377725983E0,-9.127120056E0,6.524931335E-1,9.753927446E0
4.341633333E-1,3.420387268E0,-9.052425385E0,7.209008789E-1,9.703873066E0
4.442423333E-1,3.453618164E0,-8.979976044E0,7.801776123E-1,9.652778112E0
4.543213333E-1,3.381318512E0,-8.956624603E0,7.605683899E-1,9.603796303E0
4.643993333E-1,3.104993134E0,-8.968749390E0,6.905140686E-1,9.516105172E0
4.744783333E-1,2.772085419E0,-8.968150635E0,6.167175293E-1,9.407046502E0
4.845573333E-1,2.528841248E0,-9.057215424E0,5.956114197E-1,9.422470071E0
4.946353333E-1,2.377505951E0,-9.265133057E0,5.984555054E-1,9.584016595E0
5.047143333E-1,2.261946259E0,-9.411977692E0,6.897656250E-1,9.704509342E0
5.147933334E-1,2.164349213E0,-9.444460144E0,8.321195984E-1,9.724950280E0
5.248713333E-1,2.133064270E0,-9.481582947E0,1.015637970E0,9.771483963E0
5.349503333E-1,2.184407501E0,-9.466165009E0,1.166673889E0,9.784735258E0
5.450293333E-1,2.439477081E0,-9.411378937E0,1.255738678E0,9.803161814E0
5.551083334E-1,2.858156433E0,-9.303153992E0,1.226848755E0,9.809326697E0
5.651863333E-1,3.212020569E0,-9.274114380E0,1.018781433E0,9.867329389E0
5.752653333E-1,3.493285675E0,-9.373208313E0,7.457492065E-1,1.003076372E1
5.853443333E-1,3.769461365E0,-9.561367035E0,5.721102905E-1,1.029348769E1
5.954223333E-1,3.943100281E0,-9.652078400E0,4.587959290E-1,1.043652964E1
6.055013334E-1,4.012406158E0,-9.555229797E0,4.528083801E-1,1.037337241E1
6.155803333E-1,4.005670166E0,-9.387877808E0,4.640350342E-1,1.021728788E1
6.256583333E-1,3.943699036E0,-9.280251617E0,4.188290405E-1,1.009213803E1
6.357373333E-1,3.861968994E0,-9.266330566E0,3.498225403E-1,1.004500187E1
6.458163334E-1,3.830384674E0,-9.343420258E0,2.894979858E-1,1.010223529E1
6.558953333E-1,3.739523621E0,-9.436975708E0,1.898052979E-1,1.015266337E1
6.659733333E-1,3.521427155E0,-9.488318939E0,4.046086121E-1,1.012878836E1
6.760523333E-1,3.388503571E0,-9.503138123E0,8.228388977E-1,1.012268020E1
6.861313334E-1,3.370540924E0,-9.397906952E0,1.179247742E0,1.005344848E1
6.962093333E-1,3.278033295E0,-9.260193329E0,1.321002960E0,9.911696706E0
7.062883333E-1,3.012934570E0,-9.177714844E0,1.272653503E0,9.743093524E0
7.163673333E-1,2.858156433E0,-9.092092896E0,1.212478638E0,9.607565553E0
7.264453333E-1,2.884501648E0,-9.052275696E0,1.200353851E0,9.576267248E0
7.365243334E-1,3.071762238E0,-9.045390015E0,1.208886108E0,9.628925661E0
7.466033333E-1,3.250041504E0,-9.055868225E0,1.264869690E0,9.704195712E0
7.566823333E-1,3.331771545E0,-9.029223633E0,1.308279419E0,9.712835635E0
7.667603333E-1,3.320544891E0,-8.929231567E0,1.404379578E0,9.629614570E0
