"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.741667166E-4,-2.064207458E0,9.577982483E0,8.894503784E-1,9.838181887E0
1.075316675E-2,-2.108665009E0,9.892927551E0,6.619235229E-1,1.013679567E1
2.083216666E-2,-2.042951660E0,9.911039886E0,3.294648743E-1,1.012476717E1
3.091116669E-2,-2.155218201E0,9.675280151E0,1.962419128E-1,9.914359404E0
4.099016672E-2,-2.143841858E0,9.560917969E0,2.240840149E-1,9.800888937E0
5.106916674E-2,-2.329605560E0,9.511221313E0,3.995191956E-1,9.800510626E0
6.114916666E-2,-2.363435211E0,9.356892242E0,4.956193542E-1,9.663482653E0
7.122816669E-2,-1.048719177E0,1.000908600E1,2.905458069E-1,1.006806989E1
8.130716672E-2,-1.256487122E0,9.986033936E0,4.656816101E-1,1.007553934E1
9.138616675E-2,-1.661544800E0,9.771529999E0,5.545967102E-1,9.927291028E0
1.014651667E-1,-1.855541382E0,9.674831085E0,5.478607178E-1,9.866384430E0
1.115441667E-1,-2.019749908E0,9.632918243E0,5.848338318E-1,9.859743110E0
1.216231667E-1,-2.219434662E0,9.680818634E0,6.315367126E-1,9.952033876E0
1.317021667E-1,-2.317331085E0,9.674681396E0,4.782554626E-1,9.959829907E0
1.417821667E-1,-1.865720215E0,9.809850311E0,1.535806274E-1,9.986874489E0
1.518611667E-1,-1.462159424E0,9.832602997E0,-1.538800049E-1,9.941914852E0
1.619401667E-1,-1.501826935E0,9.756261749E0,-1.184037781E-1,9.871886695E0
1.720191666E-1,-1.705553284E0,9.798024902E0,2.871029663E-1,9.949504113E0
1.820981667E-1,-2.099234619E0,9.749076691E0,4.002676392E-1,9.980555921E0
1.921771667E-1,-2.254761200E0,9.751172333E0,2.109114075E-1,1.001068397E1
2.022561667E-1,-2.392325134E0,9.439969482E0,1.869612122E-1,9.740184694E0
2.123361666E-1,-2.432591400E0,9.134903870E0,3.535647583E-1,9.459861398E0
2.224151667E-1,-2.401755524E0,9.142987061E0,6.203100586E-1,9.473511838E0
2.324941667E-1,-2.498005371E0,8.970845032E0,4.230203247E-1,9.321750780E0
2.425731667E-1,-2.480192413E0,9.338031464E0,-6.960525513E-2,9.662040722E0
2.526521666E-1,-3.178789673E0,9.345665588E0,-3.333567810E-1,9.877109689E0
2.627311667E-1,-2.957849121E0,8.937614136E0,-6.363267517E-1,9.435821618E0
2.728101667E-1,-2.305206299E0,9.257947998E0,-6.923103333E-1,9.565713293E0
2.828891667E-1,-2.297123108E0,1.000699036E1,-4.989125061E-1,1.027937470E1
2.929691667E-1,-2.157762909E0,1.000848724E1,-3.004252625E-1,1.024285180E1
3.030481667E-1,-2.449655914E0,9.784852295E0,-1.511856079E-2,1.008684178E1
3.131271667E-1,-2.481539612E0,9.621092834E0,3.761677551E-1,9.943086460E0
3.232061667E-1,-2.204765167E0,9.438322906E0,8.903485107E-1,9.733223988E0
3.332851666E-1,-1.892813873E0,9.416168976E0,1.010847931E0,9.657577133E0
3.433641667E-1,-1.735940094E0,9.685608673E0,7.899073792E-1,9.871598505E0
3.534431667E-1,-1.952389984E0,9.985884247E0,8.249345398E-1,1.020834109E1
3.635231667E-1,-2.051932983E0,9.862091675E0,1.012045441E0,1.012400697E1
