"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-1.352291671E-3,-7.445966034E0,-1.058448944E0,6.420747986E0,9.888818385E0
8.726708358E-3,-7.443271637E0,-1.032103729E0,6.295608215E0,9.803173648E0
1.880570827E-2,-7.358996887E0,-1.006057892E0,6.207142181E0,9.679648843E0
2.888470830E-2,-7.266638947E0,-1.035845947E0,6.271508331E0,9.654472288E0
3.896370833E-2,-7.169640656E0,-1.084494781E0,6.364764404E0,9.648321200E0
4.904270836E-2,-7.088958435E0,-1.173260193E0,6.409521332E0,9.628698504E0
5.912170827E-2,-7.087311859E0,-1.278042297E0,6.538253632E0,9.726877302E0
6.920070830E-2,-7.113657074E0,-1.338366852E0,6.568640442E0,9.774578254E0
7.928070833E-2,-7.150630188E0,-1.346599731E0,6.573879547E0,9.806158026E0
8.935970836E-2,-7.187154236E0,-1.328936462E0,6.584208069E0,9.837329619E0
9.943870828E-2,-7.259154510E0,-1.258582764E0,6.580016785E0,9.878055257E0
1.095177083E-1,-7.353159027E0,-1.138083344E0,6.505322113E0,9.883491143E0
1.195967083E-1,-7.438331909E0,-1.121318207E0,6.454427948E0,9.911900738E0
1.296757084E-1,-7.523804169E0,-1.147663422E0,6.397546234E0,9.942502618E0
1.397547083E-1,-7.585775299E0,-1.150507507E0,6.430178375E0,1.001073665E1
1.498337083E-1,-7.543563080E0,-1.157393188E0,6.605314178E0,1.009331850E1
1.599127083E-1,-7.491621094E0,-1.185684357E0,6.906338196E0,1.025805738E1
1.699917084E-1,-7.338938599E0,-1.240769806E0,7.058122559E0,1.025751547E1
1.800707083E-1,-7.177873535E0,-1.292113037E0,6.978188782E0,1.009388643E1
1.901497083E-1,-7.076384583E0,-1.321152649E0,6.777755585E0,9.887296589E0
2.002287083E-1,-7.001390533E0,-1.290316772E0,6.560108185E0,9.680878378E0
2.103077084E-1,-7.025490417E0,-1.280287628E0,6.475534058E0,9.639978908E0
2.203867083E-1,-7.027586060E0,-1.254541168E0,6.498137054E0,9.653321944E0
2.304646249E-1,-7.072492676E0,-1.265917511E0,6.471193085E0,9.669490149E0
2.405436250E-1,-7.192093964E0,-1.268761597E0,6.474635925E0,9.759963214E0
2.506226250E-1,-7.315886536E0,-1.232985992E0,6.435567169E0,9.821353015E0
2.607016250E-1,-7.357949066E0,-1.236129456E0,6.386169891E0,9.820926452E0
2.707806249E-1,-7.346273346E0,-1.232985992E0,6.389912109E0,9.814222501E0
2.808596250E-1,-7.254364471E0,-1.289867706E0,6.435417480E0,9.782850338E0
2.909386250E-1,-7.175777893E0,-1.346300354E0,6.467750244E0,9.753773948E0
3.010176250E-1,-7.042405243E0,-1.355581055E0,6.406377869E0,9.616379204E0
3.110966249E-1,-6.896009674E0,-1.349892883E0,6.311624908E0,9.445304082E0
