"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-6.150833797E-4,2.689906311E-1,-9.843230896E0,1.224753113E0,9.922780388E0
9.464916657E-3,3.032693481E-1,-9.812395020E0,1.229992218E0,9.893833897E0
1.954391669E-2,3.671864319E-1,-9.790839844E0,1.153800659E0,9.865425824E0
2.962291660E-2,4.754113770E-1,-9.826316071E0,1.093326416E0,9.898376945E0
3.970191663E-2,5.466632080E-1,-9.842332764E0,1.021625519E0,9.910301388E0
4.978091666E-2,5.746549988E-1,-9.816735992E0,9.496252441E-1,9.879287526E0
5.985991668E-2,5.929170227E-1,-9.725575562E0,9.062155151E-1,9.785683275E0
6.993891660E-2,6.141728210E-1,-9.651928711E0,9.404942322E-1,9.717070829E0
8.001891663E-2,6.065386963E-1,-9.621691589E0,1.075064392E0,9.700546463E0
9.009791666E-2,5.406756592E-1,-9.613159332E0,1.184935913E0,9.700991477E0
1.001769166E-1,5.195695496E-1,-9.641600189E0,1.271455994E0,9.738942811E0
1.102559166E-1,4.960684204E-1,-9.700876923E0,1.339714050E0,9.805505121E0
1.203349166E-1,4.957690430E-1,-9.749825134E0,1.384920044E0,9.860166359E0
1.304139167E-1,4.483177185E-1,-9.745783539E0,1.395248566E0,9.855354084E0
1.404929166E-1,3.836521912E-1,-9.726024628E0,1.301543427E0,9.820221960E0
1.505719166E-1,3.399430847E-1,-9.711804199E0,1.172511749E0,9.788232011E0
1.606519166E-1,3.423381042E-1,-9.722581787E0,1.100212097E0,9.790620953E0
1.707309167E-1,4.082011414E-1,-9.750872955E0,1.068627777E0,9.817745000E0
1.808099166E-1,4.882846069E-1,-9.785600739E0,1.004561005E0,9.849139378E0
1.908889166E-1,5.897735596E-1,-9.776020660E0,9.358538818E-1,9.838406136E0
2.009679166E-1,6.480024719E-1,-9.742490387E0,8.334667969E-1,9.799525144E0
2.110460416E-1,6.466552734E-1,-9.708061981E0,7.665559387E-1,9.759725328E0
2.211250416E-1,6.053411865E-1,-9.719737701E0,7.051835632E-1,9.764067943E0
2.312050416E-1,5.275030518E-1,-9.778265991E0,7.009922791E-1,9.817542230E0
2.412840417E-1,4.391867065E-1,-9.804461517E0,7.084767151E-1,9.839831801E0
2.513630416E-1,3.088078308E-1,-9.768386536E0,7.628137207E-1,9.802990491E0
2.614420416E-1,2.442919922E-1,-9.720336456E0,8.331674194E-1,9.759036190E0
2.715210416E-1,1.595681763E-1,-9.691895599E0,8.741821289E-1,9.732548315E0
2.816000417E-1,1.332229614E-1,-9.747130737E0,8.912466431E-1,9.788698920E0
2.916790416E-1,2.180964661E-1,-9.833201752E0,8.762777710E-1,9.874577737E0
3.017590416E-1,3.366499329E-1,-9.986782379E0,9.529183960E-1,1.003778905E1
3.118380416E-1,4.921765137E-1,-1.005893234E1,1.014290771E0,1.012191402E1
3.219170417E-1,5.643264771E-1,-9.966424713E0,9.930349731E-1,1.003166010E1
3.319960416E-1,5.821394348E-1,-9.744586029E0,8.779243469E-1,9.801356761E0
3.420750416E-1,5.571414185E-1,-9.522298279E0,7.457492065E-1,9.567691098E0
3.521540416E-1,5.483097839E-1,-9.402996368E0,6.721023560E-1,9.442918294E0
3.622330417E-1,4.962181091E-1,-9.336833954E0,6.752458191E-1,9.374361717E0
3.723120416E-1,4.010160828E-1,-9.370364227E0,7.005432129E-1,9.405067806E0
3.823920416E-1,3.525169373E-1,-9.414372711E0,8.062234497E-1,9.455404697E0
3.924710416E-1,3.496728516E-1,-9.491462402E0,9.942324829E-1,9.549797268E0
4.025500417E-1,4.025129700E-1,-9.597741394E0,1.204545135E0,9.681404110E0
4.126290416E-1,4.179309082E-1,-9.679471436E0,1.332379303E0,9.779676279E0
4.227080416E-1,4.487667847E-1,-9.787846069E0,1.370100861E0,9.893457367E0
4.327870416E-1,5.322930908E-1,-9.806257782E0,1.326840820E0,9.909920998E0
4.428660417E-1,5.559439087E-1,-9.678273926E0,1.170715485E0,9.764662542E0
4.529460416E-1,5.328918457E-1,-9.525890808E0,9.818083191E-1,9.591168697E0
4.630250416E-1,5.022056580E-1,-9.495653687E0,9.002279663E-1,9.551442815E0
4.731040417E-1,4.646337891E-1,-9.582772522E0,8.804690552E-1,9.634346865E0
4.831830417E-1,4.453239441E-1,-9.732461243E0,9.011260986E-1,9.784229326E0
4.932620416E-1,4.589456177E-1,-9.784852295E0,1.010099487E0,9.847551294E0
5.033410416E-1,5.340893555E-1,-9.743837585E0,1.231489105E0,9.835862329E0
5.134200417E-1,6.011499023E-1,-9.692045288E0,1.448388062E0,9.818093045E0
5.235000417E-1,7.033872986E-1,-9.613458710E0,1.566043396E0,9.765543199E0
5.335790416E-1,7.815248108E-1,-9.516909485E0,1.548380127E0,9.673666740E0
5.436580416E-1,8.282276917E-1,-9.541608124E0,1.423090668E0,9.682635682E0
5.537370417E-1,8.273295593E-1,-9.613159332E0,1.218166809E0,9.725288526E0
5.638160417E-1,7.438032532E-1,-9.695787506E0,1.033899994E0,9.779084203E0
5.738950416E-1,6.207591248E-1,-9.744436340E0,8.896000671E-1,9.804630017E0
5.839740416E-1,5.360353088E-1,-9.761051788E0,8.158035278E-1,9.809740122E0
5.940530417E-1,4.869374084E-1,-9.783355408E0,8.262817383E-1,9.830253943E0
6.041330416E-1,4.402345276E-1,-9.808054047E0,8.816665649E-1,9.857437119E0
6.142120416E-1,4.152365112E-1,-9.805359650E0,9.457333374E-1,9.859610072E0
6.242910416E-1,3.864962769E-1,-9.810898132E0,9.473799133E-1,9.864108182E0
6.343700417E-1,3.323089600E-1,-9.862540741E0,9.503736877E-1,9.913795906E0
6.444490416E-1,4.167333984E-1,-1.006626709E1,9.475296021E-1,1.011934841E1
6.545280416E-1,5.846841431E-1,-1.030202682E1,9.526190186E-1,1.036248499E1
6.646070416E-1,6.689588928E-1,-1.025068359E1,9.313632202E-1,1.031462348E1
6.746870417E-1,6.738986206E-1,-9.965975647E0,7.803273010E-1,1.001916766E1
6.847660416E-1,6.677613831E-1,-9.707163849E0,5.388793945E-1,9.745015457E0
6.948450416E-1,6.572831726E-1,-9.583221588E0,3.291654968E-1,9.611373840E0
7.049240416E-1,5.688171387E-1,-9.641749878E0,2.085163879E-1,9.660764604E0
7.150030417E-1,3.890409851E-1,-9.817783813E0,1.811233521E-1,9.827158163E0
7.250820416E-1,2.782713318E-1,-9.930649109E0,2.594105530E-1,9.937933412E0
7.351610416E-1,1.523831177E-1,-9.929451599E0,3.966751099E-1,9.938540175E0
7.452400416E-1,-6.855743408E-2,-9.835596771E0,5.257067871E-1,9.849874699E0
7.553200417E-1,-2.903961182E-1,-9.566456451E0,6.042933655E-1,9.589921241E0
7.653990416E-1,-4.596940613E-1,-9.281898193E0,7.288343811E-1,9.321810568E0
7.754780416E-1,-5.026547241E-1,-8.970994720E0,8.830137634E-1,9.028350976E0
7.855570416E-1,-4.245172119E-1,-8.607550507E0,1.126407623E0,8.691313751E0
7.956360417E-1,-2.839595032E-1,-8.201295319E0,1.294208679E0,8.307638293E0
8.057150416E-1,-1.794767761E-1,-8.008795624E0,1.566193085E0,8.162473892E0
8.157940416E-1,7.349716187E-2,-8.420140228E0,2.003134460E0,8.655444007E0
8.258740416E-1,2.821632385E-1,-8.880882111E0,2.298021240E0,9.177722200E0
8.359530417E-1,5.682183838E-1,-9.343420258E0,2.237996063E0,9.624500019E0
8.460320416E-1,7.518864441E-1,-9.818532257E0,1.888921967E0,1.002681081E1
8.561110416E-1,6.854246521E-1,-1.011117371E1,1.447340240E0,1.023720833E1
8.661900416E-1,4.147874451E-1,-1.025233017E1,8.631051636E-1,1.029695455E1
8.762690417E-1,2.245330811E-3,-1.049452652E1,1.200503540E-1,1.049521339E1
8.863480416E-1,-6.336323547E-1,-1.089808731E1,-7.033872986E-1,1.093912934E1
8.964280416E-1,-1.368903351E0,-1.120360199E1,-1.328487396E0,1.136483492E1
9.065070417E-1,-1.880090332E0,-1.132529892E1,-1.710792389E0,1.160706448E1
9.165860417E-1,-1.948498077E0,-1.119866226E1,-1.844464417E0,1.151558640E1
9.266650416E-1,-1.677262115E0,-1.086156326E1,-1.831142120E0,1.114180624E1
9.367440416E-1,-1.232536926E0,-1.043210632E1,-1.769320679E0,1.065262809E1
9.468230417E-1,-6.688092041E-1,-9.987081757E0,-1.527872772E0,1.012538903E1
9.569020417E-1,-1.529818726E-1,-9.579778748E0,-1.154399414E0,9.650295452E0
9.669810416E-1,2.186952209E-1,-9.274713135E0,-7.295828247E-1,9.305934796E0
9.770610416E-1,3.447331238E-1,-9.165440369E0,-2.324665833E-1,9.174866691E0
9.871400417E-1,2.893482971E-1,-9.209897919E0,3.207829285E-1,9.220024067E0
9.972190416E-1,1.633103943E-1,-9.385632477E0,8.934919739E-1,9.429480112E0
1.007298042E0,-9.026229858E-2,-9.478289795E0,1.378184052E0,9.578387965E0
1.017377042E0,-6.018983459E-1,-9.305549011E0,1.635049896E0,9.467254733E0
1.027456042E0,-1.047072601E0,-8.950487366E0,1.774859161E0,9.184645347E0
1.037535042E0,-9.961784363E-1,-8.659342804E0,1.847757568E0,8.910151363E0
1.047615042E0,-1.220412140E0,-8.643326111E0,1.444645844E0,8.847795978E0
1.057694042E0,-1.483714600E0,-9.014853516E0,9.325607300E-1,9.183608356E0
1.067773042E0,-1.495839386E0,-9.374555511E0,3.869453430E-1,9.501029060E0
1.077852042E0,-1.337019653E0,-9.685458984E0,-2.387535095E-1,9.780221906E0
1.087931042E0,-1.259780273E0,-9.927954712E0,-9.508227539E-1,1.005263125E1
1.098010042E0,-1.233285370E0,-1.001627106E1,-1.704804840E0,1.023489317E1
1.108089042E0,-1.197809143E0,-9.889634399E0,-2.434986420E0,1.025518280E1
1.118168042E0,-1.057550812E0,-9.544601898E0,-2.974913635E0,1.005325570E1
1.128248042E0,-8.454418945E-1,-9.060508575E0,-3.343297577E0,9.694597791E0
1.138327042E0,-5.825885010E-1,-8.496032410E0,-3.534001007E0,9.220148545E0
1.148406042E0,-3.010240173E-1,-7.898475037E0,-3.525468750E0,8.654793658E0
1.158485042E0,1.760339355E-1,-7.293732605E0,-3.273392944E0,7.996538290E0
1.168564042E0,8.261320496E-1,-6.663842468E0,-3.002456360E0,7.355544494E0
1.178643042E0,1.493893433E0,-6.218368835E0,-1.878144379E0,6.665377324E0
1.188722042E0,1.875899048E0,-6.028413849E0,-6.846762085E-1,6.350555273E0
1.198802042E0,2.020797729E0,-5.868246918E0,1.616638184E-2,6.206464912E0
1.208881458E0,2.063758392E0,-5.772895203E0,3.001258850E-1,6.138036597E0
1.218960458E0,1.961820374E0,-5.883215790E0,7.391629028E-1,6.245584761E0
1.229039458E0,1.755249939E0,-6.377188568E0,1.430724792E0,6.767304472E0
1.239118458E0,1.673819275E0,-7.250173187E0,1.626068573E0,7.616480894E0
1.249197458E0,1.088237000E0,-8.235873413E0,1.047671356E0,8.373260172E0
1.259276458E0,-3.577560425E-2,-8.685538330E0,4.093986511E-1,8.695255214E0
1.269356458E0,-8.491841125E-1,-8.482261047E0,1.052311707E-1,8.525311709E0
1.279435458E0,-1.575024719E0,-7.883206787E0,-2.317181396E-1,8.042347009E0
1.289514458E0,-2.399061127E0,-7.378306732E0,-2.734812927E-1,7.763356010E0
1.299593458E0,-3.074007568E0,-7.317233734E0,1.953437805E-1,7.939117787E0
1.309672458E0,-3.628604279E0,-7.690258026E0,2.186952209E-1,8.506154544E0
1.319751458E0,-4.164040833E0,-8.463699646E0,-1.004561005E0,9.485915378E0
1.329830458E0,-3.880979462E0,-9.751322021E0,-2.490221558E0,1.078663461E1
1.339909458E0,-2.204316101E0,-1.082204544E1,-2.085163879E0,1.123937656E1
1.349989458E0,-7.740403748E-1,-1.091515182E1,-1.649569702E-1,1.094380595E1
1.360068458E0,-4.008663940E-1,-1.027867538E1,1.491498413E0,1.039405739E1
1.370147458E0,-4.917274475E-1,-9.572743378E0,2.098186798E0,9.812318763E0
1.380226458E0,-7.547305298E-1,-9.300459595E0,1.028810577E0,9.387577859E0
1.390305458E0,-1.212927704E0,-1.061397812E1,-1.790426788E0,1.083205212E1
1.400384458E0,-2.502795410E0,-1.375729156E1,-6.777755585E0,1.553914498E1
1.410463458E0,-4.509522400E0,-1.720162903E1,-1.315195038E1,2.211799340E1
1.420543458E0,-5.577850800E0,-1.914743271E1,-1.518547165E1,2.506661421E1
1.430622458E0,-3.792812805E0,-2.010903305E1,-1.280976196E1,2.414225840E1
1.440701458E0,1.972897339E-1,-2.015364029E1,-8.677305450E0,2.194319416E1
1.450780458E0,3.955524445E0,-1.940624451E1,-4.196223907E0,2.024492022E1
1.460859458E0,6.866371307E0,-1.837473953E1,-9.322613525E-1,1.963790261E1
