"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.624583431E-4,1.308429108E0,8.541837158E0,1.365909576E0,8.748752925E0
1.034045836E-2,2.292931824E0,1.025786865E1,1.350940704E0,1.059747359E1
2.041945839E-2,2.510130157E0,1.132185608E1,8.795709229E-1,1.163008269E1
3.049745841E-2,3.005599823E0,1.164278870E1,1.271006927E0,1.209146879E1
4.057645844E-2,3.313210144E0,1.156016052E1,7.930508423E-1,1.205170537E1
5.065545836E-2,2.841990051E0,1.151585266E1,5.972579956E-1,1.187638359E1
6.073345838E-2,2.011067963E0,1.124192230E1,4.110452271E-1,1.142778061E1
7.081245841E-2,1.426683197E0,9.450298004E0,7.945477295E-1,9.590352622E0
8.089045843E-2,1.506916351E0,9.290879517E0,5.152285767E-1,9.426383165E0
9.096945834E-2,1.266067200E0,8.177345123E0,1.696571960E0,8.446908064E0
1.010484584E-1,2.151775360E0,9.503886566E0,1.098116455E0,9.806113237E0
1.111264584E-1,9.148974609E-1,7.390730896E0,2.321672058E0,7.800647517E0
1.212054584E-1,1.899849243E0,9.512718201E0,2.440225525E0,1.000279638E1
1.312834584E-1,1.357826385E0,8.910520477E0,1.761836243E0,9.183960726E0
1.413624584E-1,1.525178375E0,1.025352768E1,1.324146423E0,1.045056758E1
1.514414584E-1,1.614692230E0,1.103175934E1,1.209484863E0,1.121471349E1
1.615194584E-1,1.939217377E0,1.082863174E1,7.337741089E-1,1.102534598E1
1.715984584E-1,2.856210480E0,1.112067444E1,3.071612549E-1,1.148571662E1
1.816764583E-1,1.726809082E0,9.812095642E0,2.981799316E-1,9.967346777E0
1.917554584E-1,1.507664795E0,8.963959351E0,-8.472381592E-2,9.090258440E0
2.018344584E-1,1.143322449E0,7.934849396E0,1.379531250E0,8.134625230E0
2.119124584E-1,1.894759827E0,8.416547699E0,1.897154846E0,8.833322505E0
2.219914584E-1,2.315834198E0,8.072263641E0,1.495090942E0,8.529937002E0
2.320694583E-1,2.082170105E0,7.946674805E0,1.644779663E0,8.377969500E0
2.421484584E-1,2.160906372E0,8.951684875E0,1.445693665E0,9.321599038E0
2.522274584E-1,2.024090881E0,1.035741165E1,1.384620667E0,1.064378196E1
2.623054584E-1,2.028581543E0,1.275542496E1,5.369334412E-1,1.292688309E1
2.723844583E-1,9.107061768E-1,1.081950073E1,3.296145630E-1,1.086276335E1
2.824624584E-1,1.322799225E0,1.093610825E1,3.936813354E-1,1.102285110E1
2.925414584E-1,1.701362000E0,1.097427887E1,7.708969116E-1,1.113210274E1
3.026204584E-1,1.670825500E0,9.765991516E0,1.000070343E0,9.958232214E0
3.126984584E-1,7.622149658E-1,7.323370972E0,1.284478912E0,7.474130058E0
3.227774584E-1,-6.580316162E-1,5.354664917E0,2.019899597E0,5.760680200E0
3.328554584E-1,-2.090852051E0,4.261039124E0,2.848875732E0,5.535721240E0
3.429344584E-1,-1.905238037E0,4.266876984E0,1.438807983E0,4.889410965E0
3.530134584E-1,-2.223176880E0,5.120551758E0,7.352709961E-1,5.630558514E0
3.630914583E-1,-2.384391632E0,6.192622375E0,1.017134857E0,6.713304600E0
3.731704584E-1,-2.293979645E0,5.993686066E0,-1.097218323E-1,6.418617775E0
3.832484584E-1,-2.627635803E0,6.731950836E0,1.999841309E-1,7.229358590E0
3.933274584E-1,2.423909454E0,9.730365601E0,2.731370087E0,1.039306184E1
4.034064584E-1,8.119864655E0,1.171523804E1,1.604513397E0,1.434410916E1
4.134844583E-1,1.087937622E1,1.358050919E1,-6.426136780E-1,1.741275421E1
4.235634584E-1,1.174113419E1,1.652892792E1,-2.011816406E-1,2.027560515E1
4.336414584E-1,7.897277527E0,1.628598312E1,1.694326630E0,1.817886084E1
4.437204584E-1,2.877466278E0,1.056996964E1,1.725611572E0,1.108971621E1
4.537994583E-1,1.483864288E0,9.073082428E0,5.495072937E-1,9.210029112E0
4.638774584E-1,1.223106537E0,8.999734955E0,4.053570557E-1,9.091508852E0
4.739564584E-1,1.652862854E0,8.797355804E0,1.691931610E0,9.109778117E0
4.840354584E-1,2.628234558E0,9.574389954E0,9.913883972E-1,9.977946223E0
4.941134584E-1,2.706970825E0,1.024679169E1,2.297721863E-1,1.060081252E1
5.041924583E-1,2.602039032E0,1.035995636E1,1.216969299E-1,1.068242075E1
5.142704584E-1,2.348466339E0,1.020921982E1,-3.697311401E-2,1.047591669E1
5.243494584E-1,1.955982513E0,1.017928207E1,8.692424011E-1,1.040188605E1
5.344284584E-1,2.438728638E0,9.875713348E0,1.703307953E0,1.031398902E1
5.445064583E-1,3.024460602E0,1.029888336E1,1.961820374E0,1.091160390E1
5.545854584E-1,3.245101776E0,1.018107834E1,2.264341278E0,1.092301621E1
5.646634584E-1,3.823349304E0,9.708810425E0,2.147733765E0,1.065325115E1
5.747424584E-1,3.614234161E0,9.353599091E0,2.173629913E0,1.026046644E1
5.848214584E-1,1.859133911E-1,8.592731323E0,-6.405180359E-1,8.618576375E0
5.948994583E-1,-1.706900482E0,7.388186188E0,-2.086511078E0,7.864625413E0
6.049784584E-1,-3.799099731E-1,7.398514709E0,6.632707214E-1,7.437894833E0
6.150564584E-1,3.901037750E0,1.139385635E1,1.000220032E0,1.208463894E1
6.251354584E-1,9.444310455E0,1.889999725E1,7.896080017E-1,2.114304559E1
6.352144583E-1,8.388555908E-1,9.223070526E0,-3.198847961E-1,9.266662555E0
6.452924584E-1,-2.033521271E0,6.677913208E0,2.681074677E0,7.477826890E0
6.553714584E-1,2.900218964E0,1.045875092E1,2.455493774E0,1.112772171E1
6.654494584E-1,1.177601166E0,7.830366669E0,9.876461792E-1,7.979776416E0
6.755282501E-1,1.150956573E0,6.832391968E0,1.004111938E0,7.001037196E0
6.856072501E-1,1.440454559E0,6.591093750E0,1.800306244E0,6.982730750E0
6.956852501E-1,1.172212372E0,6.643035736E0,1.535506897E0,6.918221380E0
7.057642500E-1,1.612297211E0,6.903643799E0,9.654922485E-1,7.154856762E0
7.158422500E-1,2.276615753E0,7.583829346E0,6.474037170E-1,7.944594288E0
7.259212501E-1,3.200793915E0,8.655151520E0,3.183879089E-1,9.233531306E0
