"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.572916267E-4,-6.962471466E0,3.981719971E-2,5.730383606E0,9.017476953E0
1.093529165E-2,-6.990612946E0,6.586303711E-2,5.560037842E0,8.932358485E0
2.101429168E-2,-6.920109558E0,1.245410156E-1,5.447172546E0,8.807673672E0
3.109229170E-2,-6.841373291E0,1.487905884E-1,5.562881927E0,8.818853808E0
4.117129161E-2,-6.829996948E0,1.447489929E-1,5.948180695E0,9.058182166E0
5.124929163E-2,-6.929689636E0,2.550695801E-1,6.357729034E0,9.407782811E0
6.132829166E-2,-7.079228668E0,5.117857361E-1,6.552174683E0,9.659627128E0
7.140729169E-2,-7.025939484E0,8.479866028E-1,6.498286743E0,9.607842500E0
8.148529171E-2,-6.991960144E0,1.223405914E0,6.389762421E0,9.550565035E0
9.156429162E-2,-6.827601929E0,1.659000092E0,6.443650360E0,9.533575371E0
1.016422916E-1,-6.539900208E0,2.136507111E0,6.732848969E0,9.626329134E0
1.117212917E-1,-6.453978882E0,2.452500000E0,7.001240845E0,9.832902574E0
1.217992917E-1,-6.607709198E0,2.638862457E0,7.114854584E0,1.006213554E1
1.318782916E-1,-6.706204376E0,2.698288879E0,7.210954742E0,1.021037748E1
1.419562916E-1,-6.808591461E0,2.675985260E0,7.341782684E0,1.036434213E1
1.520352917E-1,-7.050937500E0,2.752476196E0,7.732320557E0,1.082038012E1
1.621142917E-1,-7.616012421E0,2.971919861E0,8.415050812E0,1.173239247E1
1.721922917E-1,-8.240962830E0,3.325484619E0,9.086105347E0,1.270943062E1
1.822712916E-1,-8.630303192E0,3.670517120E0,9.556876373E0,1.338987360E1
1.923492916E-1,-8.946894836E0,3.962559814E0,1.003812561E1,1.401830137E1
2.024282917E-1,-9.207652588E0,4.271367645E0,1.037896683E1,1.451717604E1
2.125062917E-1,-9.496701508E0,4.530029755E0,1.045695465E1,1.483429842E1
2.225852917E-1,-9.588311005E0,4.849465485E0,1.042881317E1,1.497374928E1
2.326642916E-1,-9.649683380E0,5.253175964E0,1.037327866E1,1.511016734E1
2.427422917E-1,-9.727671204E0,5.688620453E0,1.051159103E1,1.541043594E1
2.528212917E-1,-9.698930969E0,6.118227081E0,1.057490936E1,1.559905999E1
2.628992917E-1,-9.676627350E0,6.580016785E0,1.066247726E1,1.583105048E1
2.729782916E-1,-9.737850037E0,7.059170380E0,1.083207458E1,1.618614993E1
2.830562916E-1,-9.857750702E0,7.527696075E0,1.067819458E1,1.636659087E1
2.931352917E-1,-1.011371841E1,8.014034729E0,1.042926224E1,1.659161124E1
3.032132917E-1,-1.026834686E1,8.384065247E0,1.019395157E1,1.672268357E1
3.132922917E-1,-1.024619293E1,8.557255096E0,1.007449997E1,1.672443225E1
3.233712916E-1,-1.033675461E1,8.651259613E0,1.063149170E1,1.716745189E1
3.334492916E-1,-1.045006897E1,8.519084473E0,1.137035522E1,1.763699860E1
3.435282917E-1,-1.026819717E1,8.086484070E0,1.168889282E1,1.753446073E1
3.536062917E-1,-1.006506958E1,7.797884216E0,1.178304703E1,1.734799185E1
3.636852916E-1,-9.966424713E0,7.501650238E0,1.132275421E1,1.684663589E1
3.737632916E-1,-9.555379486E0,6.948999481E0,1.032507889E1,1.569079746E1
3.838422917E-1,-9.397757263E0,6.093977509E0,9.682914276E0,1.480585129E1
3.939212917E-1,-9.063352661E0,4.914879456E0,9.432934113E0,1.397428522E1
4.039992917E-1,-8.758436737E0,3.457360382E0,9.527088318E0,1.339510981E1
4.140782916E-1,-8.317304077E0,1.922751617E0,9.463470612E0,1.274487336E1
4.241562916E-1,-7.322472839E0,2.965333557E-1,8.549920349E0,1.126089155E1
4.342352917E-1,-6.153104553E0,-1.284478912E0,7.221432953E0,9.573905975E0
4.443132917E-1,-4.824018402E0,-2.515369263E0,5.505700836E0,7.740218199E0
4.543922916E-1,-3.705244904E0,-3.230881348E0,3.681594086E0,6.141788753E0
4.644702916E-1,-3.015329590E0,-3.580554199E0,2.154170380E0,5.152963316E0
4.745492917E-1,-3.113226013E0,-3.705693970E0,1.356179810E0,5.026287664E0
4.846282917E-1,-3.777544556E0,-3.705693970E0,1.200204163E0,5.426094424E0
4.947062917E-1,-4.865781555E0,-3.795956268E0,1.485959930E0,6.347691789E0
5.047852916E-1,-5.500611420E0,-4.200415192E0,1.423539734E0,7.065881343E0
5.148632916E-1,-5.294190674E0,-4.939129028E0,1.096918945E0,7.323024076E0
5.249422917E-1,-4.709356842E0,-5.713319092E0,8.533753967E-1,7.453073626E0
5.350202917E-1,-4.299509125E0,-6.232738953E0,9.743238831E-1,7.634272761E0
5.450992917E-1,-4.118984528E0,-6.564748535E0,1.441053314E0,7.882803532E0
5.551782916E-1,-4.453538818E0,-6.605014801E0,2.301613770E0,8.292023545E0
5.652562917E-1,-4.545148315E0,-7.166497192E0,3.262016602E0,9.091633931E0
