"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-1.183833345E-3,2.792293396E0,-9.478140106E0,1.207838287E0,9.954442004E0
8.895166684E-3,2.427501984E0,-9.509425049E0,1.208437042E0,9.888490821E0
1.897316671E-2,2.188598785E0,-9.572593689E0,1.167721710E0,9.888786001E0
2.905216673E-2,2.095941467E0,-9.622440033E0,1.110091553E0,9.910430166E0
3.913016664E-2,2.080972595E0,-9.571545868E0,1.036145325E0,9.849798697E0
4.920916667E-2,2.074685669E0,-9.479786682E0,9.771679688E-1,9.753231947E0
5.928716669E-2,2.140548706E0,-9.372310181E0,9.934840393E-1,9.664841304E0
6.936616672E-2,2.294728088E0,-9.304800568E0,1.095571747E0,9.646002698E0
7.944416674E-2,2.440524902E0,-9.236392822E0,1.237326965E0,9.633176640E0
8.952316665E-2,2.506986694E0,-9.179361420E0,1.417701874E0,9.620578827E0
9.960116667E-2,2.608325958E0,-9.160949707E0,1.599573669E0,9.658416007E0
1.096801667E-1,2.706821136E0,-9.195378113E0,1.693428497E0,9.733938534E0
1.197581667E-1,2.789898376E0,-9.195378113E0,1.725312195E0,9.762951078E0
1.298371668E-1,2.735711060E0,-9.094787292E0,1.700613556E0,9.648386257E0
1.399151667E-1,2.543810120E0,-8.924740906E0,1.589245148E0,9.415289178E0
1.499941667E-1,2.401156769E0,-8.726403351E0,1.457369385E0,9.167311208E0
1.600731667E-1,2.245031433E0,-8.633895721E0,1.345102844E0,9.021841449E0
1.701511667E-1,2.066901855E0,-8.763675842E0,1.298998718E0,9.097334512E0
1.802301666E-1,1.889969788E0,-9.121282196E0,1.298849030E0,9.405146650E0
1.903081667E-1,1.791175232E0,-9.655670929E0,1.297801208E0,9.905785066E0
2.003871667E-1,1.750908966E0,-1.024484573E1,1.229842529E0,1.046589982E1
2.104651667E-1,1.687440948E0,-1.071741302E1,1.037642212E0,1.089894950E1
2.205441667E-1,1.687590637E0,-1.081950073E1,7.538323975E-1,1.097623895E1
2.306221667E-1,1.768422546E0,-1.040980270E1,4.878355408E-1,1.057020786E1
2.407011667E-1,1.933828583E0,-9.642198944E0,2.716850281E-1,9.837962503E0
2.507791667E-1,2.328707428E0,-8.871751099E0,1.848655701E-1,9.174149613E0
2.608581667E-1,2.791694641E0,-8.425978088E0,1.788780212E-1,8.878212830E0
2.709361668E-1,3.154240723E0,-8.427624664E0,2.291734314E-1,9.001478350E0
2.810151667E-1,3.203787689E0,-8.832832031E0,2.414479065E-1,9.399014541E0
2.910931667E-1,2.930306396E0,-9.232500916E0,2.841091919E-1,9.690535938E0
3.011721667E-1,2.517764282E0,-9.469607849E0,4.090992737E-1,9.807138829E0
3.112501667E-1,2.106419678E0,-9.645043030E0,5.146298218E-1,9.885782860E0
3.213291666E-1,1.701212311E0,-9.816137238E0,5.596861267E-1,9.978172285E0
3.314081667E-1,1.359622650E0,-9.997110901E0,5.049000549E-1,1.010176837E1
3.414859583E-1,1.079704742E0,-1.019484970E1,2.923420715E-1,1.025603172E1
3.515649583E-1,8.415499878E-1,-1.036205200E1,-1.709445190E-1,1.039757424E1
3.616429584E-1,6.511459351E-1,-1.055230637E1,-8.599617004E-1,1.060729441E1
3.717219584E-1,5.507048035E-1,-1.073043594E1,-1.667532349E0,1.087318700E1
3.817999584E-1,5.530998230E-1,-1.089150101E1,-2.391127625E0,1.116459605E1
3.918789583E-1,6.846762085E-1,-1.094838272E1,-2.884202271E0,1.134259620E1
4.019569583E-1,9.857002258E-1,-1.087428680E1,-3.128045197E0,1.135809778E1
4.120359584E-1,1.346899109E0,-1.051548294E1,-3.291954346E0,1.110074241E1
4.221139584E-1,1.535057831E0,-9.905351715E0,-3.652255096E0,1.066824083E1
4.321929583E-1,1.423539734E0,-9.299561462E0,-4.495152283E0,1.042663430E1
4.422709583E-1,1.089434509E0,-8.917406158E0,-5.860163727E0,1.072606727E1
4.523499584E-1,6.544390869E-1,-8.866961060E0,-7.030579834E0,1.133491693E1
4.624279584E-1,4.773573303E-1,-9.163644104E0,-7.059918823E0,1.157768099E1
4.725069584E-1,8.039781189E-1,-1.007270370E1,-6.538103943E0,1.203547024E1
