"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-1.238374971E-3,1.647474060E0,1.067879333E1,-8.686436462E-1,1.083998799E1
8.839624934E-3,1.742376709E0,1.062894699E1,-1.186283112E0,1.083594289E1
1.891862496E-2,1.775607605E0,1.076576248E1,-1.586401062E0,1.102592819E1
2.899662498E-2,1.877695312E0,1.107052872E1,-2.114951935E0,1.142608277E1
3.907562501E-2,1.784588928E0,1.132005981E1,-2.441872101E0,1.171713494E1
4.915462504E-2,1.721869354E0,1.133667526E1,-2.292482758E0,1.169361010E1
5.923262495E-2,1.731748810E0,1.103071152E1,-1.842817841E0,1.131686918E1
6.931162497E-2,1.716929626E0,1.065125061E1,-1.305435333E0,1.086743522E1
7.939062500E-2,1.662293243E0,1.030756531E1,-6.960525513E-1,1.046391946E1
8.946862502E-2,1.449286194E0,9.894274750E0,-3.966751099E-2,9.999933840E0
9.954762494E-2,1.272653503E0,9.710307312E0,5.367837524E-1,9.808050358E0
1.096256250E-1,1.200802917E0,9.999954987E0,9.410929871E-1,1.011566525E1
1.197046250E-1,8.298742676E-1,1.033840118E1,1.309327240E0,1.045397380E1
1.297836250E-1,3.239263916E-1,1.064675995E1,1.808389435E0,1.080410561E1
1.398616250E-1,-2.062710571E-1,1.078582077E1,2.392923889E0,1.105000281E1
1.499406249E-1,-8.837622070E-1,1.067864365E1,3.008443909E0,1.112947440E1
1.600186250E-1,-1.464404755E0,1.053030212E1,3.496728516E0,1.119191022E1
1.700976250E-1,-1.570683746E0,1.044737457E1,3.585942993E0,1.115677687E1
1.801766250E-1,-1.331481171E0,1.044857208E1,3.144960022E0,1.099255540E1
1.902546249E-1,-1.230291595E0,1.066337540E1,2.499352570E0,1.102125018E1
2.003336250E-1,-1.201551361E0,1.088177124E1,1.922003174E0,1.111533927E1
2.104116250E-1,-1.216819611E0,1.093416229E1,1.496887207E0,1.110302780E1
2.204906250E-1,-1.127006378E0,1.088775879E1,1.193917236E0,1.101085252E1
2.305696250E-1,-9.027726746E-1,1.080767532E1,1.166524200E0,1.090786978E1
2.406476249E-1,-9.389973450E-1,1.064675995E1,1.190773773E0,1.075421571E1
2.507266250E-1,-8.640032959E-1,1.042926224E1,1.030457153E0,1.051560053E1
2.608046250E-1,-7.905061340E-1,9.943821716E0,9.675878906E-1,1.002201160E1
2.708836250E-1,-4.650828552E-1,9.530980225E0,8.089178467E-1,9.576546047E0
2.809626249E-1,-2.221380615E-1,9.308542786E0,6.981481934E-1,9.337329651E0
2.910406250E-1,3.805087280E-1,8.909622345E0,5.941145325E-1,8.937512478E0
3.011196250E-1,1.359323273E0,8.979676666E0,2.986289978E-1,9.086887920E0
3.111976250E-1,1.404229889E0,8.870104523E0,-2.170486450E-2,8.980595021E0
3.212766250E-1,1.055155792E0,8.468938751E0,-2.808160400E-1,8.539035951E0
3.313556249E-1,1.115779724E0,8.047265625E0,-5.147795105E-1,8.140543371E0
3.414336250E-1,1.462458801E0,7.633675690E0,-7.906558228E-1,7.812613321E0
3.515126250E-1,1.738035736E0,7.387587433E0,-1.210532684E0,7.685219950E0
3.615906250E-1,1.907932434E0,7.320975952E0,-1.491049347E0,7.711039049E0
3.716696249E-1,2.072889404E0,7.227719879E0,-1.507964172E0,7.668817450E0
3.817486250E-1,2.285597076E0,7.039710846E0,-1.605710907E0,7.573624648E0
3.918266250E-1,1.772164764E0,6.891069946E0,-1.816921692E0,7.343610651E0
4.019056250E-1,1.189426575E0,6.435267792E0,-2.052681427E0,6.858637486E0
4.119836250E-1,8.598120117E-1,5.805826721E0,-2.161804504E0,6.254622237E0
4.220626249E-1,5.207670593E-1,5.377716980E0,-2.005978546E0,5.763244587E0
4.321416250E-1,2.600093079E-1,5.212909698E0,-1.560504913E0,5.447679134E0
4.422196250E-1,9.295669556E-2,5.508844299E0,-1.052162018E0,5.609193469E0
4.522986250E-1,-1.639091492E-1,6.297254791E0,-5.168751526E-1,6.320557257E0
4.623766250E-1,-5.959107971E-1,7.383246460E0,-6.212081909E-2,7.407516248E0
