"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.591250231E-4,-7.625891876E0,-6.008505249E-1,6.159690857E0,9.821254488E0
1.033712504E-2,-7.654781799E0,-6.536906433E-1,6.097270660E0,9.808144848E0
2.041612507E-2,-7.680827637E0,-6.080355835E-1,6.039191437E0,9.789619690E0
3.049412509E-2,-7.754324799E0,-5.647755432E-1,6.016139374E0,9.830689572E0
4.057312501E-2,-7.815397797E0,-5.210664368E-1,5.936804352E0,9.828407748E0
5.065212504E-2,-7.829019470E0,-4.742138672E-1,5.877527618E0,9.801211944E0
6.073012506E-2,-7.838150482E0,-4.355941772E-1,5.857319641E0,9.794617841E0
7.080925000E-2,-7.861651611E0,-3.827540588E-1,5.896687775E0,9.834784870E0
8.088825003E-2,-7.793243866E0,-3.689826965E-1,5.798042908E0,9.720498945E0
9.096625005E-2,-7.806566162E0,-4.183799744E-1,5.714516602E0,9.683657214E0
1.010452501E-1,-7.834408264E0,-4.052073669E-1,5.759722595E0,9.732242816E0
1.111242501E-1,-7.733518066E0,-4.315525818E-1,5.834417267E0,9.697111124E0
1.212022500E-1,-7.745044098E0,-4.962181091E-1,6.066734161E0,9.850746361E0
1.312812500E-1,-7.704179077E0,-4.971162415E-1,6.250402222E0,9.933228465E0
1.413592501E-1,-7.590864716E0,-4.781057739E-1,6.215674438E0,9.822648369E0
1.514382501E-1,-7.540718994E0,-4.707710266E-1,6.121071167E0,9.723763702E0
1.615172500E-1,-7.603139191E0,-4.526586914E-1,6.056106262E0,9.730829795E0
1.715952500E-1,-7.625592499E0,-3.942800903E-1,5.983357544E0,9.700808484E0
1.816742501E-1,-7.784861298E0,-3.689826965E-1,5.860912170E0,9.751436054E0
1.917532501E-1,-7.936046906E0,-3.225791931E-1,5.699697418E0,9.776065082E0
2.018312501E-1,-7.949967957E0,-3.043171692E-1,5.564079437E0,9.708428268E0
2.119102500E-1,-7.943082275E0,-3.121009827E-1,5.637426910E0,9.745283230E0
2.219882500E-1,-7.842042389E0,-3.372486877E-1,5.783672791E0,9.749986485E0
2.320672501E-1,-7.792345734E0,-4.019142151E-1,5.897436218E0,9.780692257E0
2.421462501E-1,-7.777077484E0,-4.245172119E-1,5.923182678E0,9.785051972E0
2.522242500E-1,-7.652686157E0,-4.583468628E-1,5.869743805E0,9.655443004E0
2.623032500E-1,-7.574848022E0,-5.346881104E-1,5.875282288E0,9.601205961E0
2.723822501E-1,-7.526498566E0,-5.384303284E-1,5.960904236E0,9.616156570E0
2.824602501E-1,-7.458390198E0,-5.715115356E-1,5.975274353E0,9.573824386E0
2.925392501E-1,-7.410789185E0,-5.634283447E-1,6.020330658E0,9.564602923E0
3.026172500E-1,-7.505991211E0,-5.507048035E-1,5.993835754E0,9.621291332E0
3.126962500E-1,-7.604785767E0,-4.899311829E-1,5.882766724E0,9.627031913E0
3.227752501E-1,-7.650740204E0,-4.453239441E-1,5.778283997E0,9.597953169E0
3.328532501E-1,-7.638166351E0,-4.161346436E-1,5.732778625E0,9.559262734E0
3.429322500E-1,-7.662116547E0,-3.707789612E-1,5.775888977E0,9.602416388E0
3.530102500E-1,-7.791597290E0,-3.083587646E-1,5.881269836E0,9.766954917E0
3.630892501E-1,-7.999963989E0,-1.763333130E-1,5.999523926E0,1.000124015E1
3.731682501E-1,-8.075856171E0,7.439529419E-2,6.026916962E0,1.007713826E1
3.832462501E-1,-7.940387878E0,3.252735901E-1,5.856870575E0,9.872106943E0
3.933252500E-1,-7.823031921E0,5.504054260E-1,5.686524811E0,9.687070713E0
4.034042500E-1,-7.850724335E0,8.675958252E-1,5.799240417E0,9.798866491E0
4.134822501E-1,-7.859256592E0,1.285227356E0,6.047574005E0,9.999643738E0
4.235612501E-1,-8.061635742E0,1.679058380E0,6.383625183E0,1.041920718E1
4.336402500E-1,-8.177345123E0,2.082619171E0,6.696175232E0,1.077242028E1
4.437182500E-1,-8.168363800E0,2.510429535E0,7.075187073E0,1.109426409E1
4.537972501E-1,-8.362510071E0,2.932102661E0,7.421716461E0,1.155900843E1
4.638752501E-1,-8.735534363E0,3.391946411E0,7.575746155E0,1.205017804E1
4.739542501E-1,-9.108708344E0,3.904181213E0,7.551496582E0,1.245938599E1
4.840332500E-1,-9.271419983E0,4.336931305E0,7.454049225E0,1.266218984E1
4.941112500E-1,-9.243727570E0,4.669240265E0,7.241191864E0,1.263658038E1
5.041902501E-1,-9.275910645E0,4.907095642E0,7.294630737E0,1.278020906E1
5.142692501E-1,-9.465266876E0,5.253625031E0,7.804320831E0,1.334538409E1
5.243472500E-1,-9.454339600E0,5.125042419E0,8.252937927E0,1.355586889E1
5.344262500E-1,-9.537267151E0,4.895419922E0,8.484207001E0,1.367137043E1
5.445042501E-1,-9.459578705E0,4.577331390E0,8.418942719E0,1.346529571E1
5.545832501E-1,-9.272318115E0,4.102518768E0,8.100704498E0,1.297797969E1
5.646622501E-1,-9.157955933E0,3.807332611E0,7.912695465E0,1.268758007E1
5.747402500E-1,-8.876690826E0,3.574117584E0,8.047714691E0,1.250342626E1
5.848192500E-1,-8.720715179E0,3.475921783E0,8.294701080E0,1.252736890E1
