"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.311333315E-3,1.034798126E0,9.643546143E0,9.542655945E-1,9.745738155E0
1.238933334E-2,1.398092651E0,9.447004852E0,7.241940308E-1,9.577318035E0
2.246833337E-2,1.647024994E0,9.215885468E0,9.613009644E-1,9.411128297E0
3.254633339E-2,1.817370758E0,9.263785858E0,1.612446899E0,9.577084624E0
4.262533330E-2,2.062111816E0,9.474248199E0,2.232607269E0,9.949784887E0
5.270333332E-2,2.222578125E0,9.653874664E0,2.571652222E0,1.023477136E1
6.278233335E-2,2.237696686E0,9.646240540E0,2.479144592E0,1.020800671E1
7.286133338E-2,2.193688202E0,9.483079834E0,2.130070496E0,9.963848222E0
8.293933328E-2,2.113155670E0,9.287286987E0,1.840871887E0,9.700924480E0
9.301833331E-2,2.080373840E0,9.241182861E0,1.667232971E0,9.618060188E0
1.030963333E-1,2.006277924E0,9.374705200E0,1.543141022E0,9.710382738E0
1.131753334E-1,1.607357483E0,9.642198944E0,1.389410706E0,9.873502958E0
1.232533334E-1,1.439257050E0,9.967472534E0,1.451830902E0,1.017495860E1
1.333323333E-1,1.119072876E0,1.038989410E1,1.475182343E0,1.055359591E1
1.434113333E-1,6.376739502E-1,1.041968216E1,1.449286194E0,1.053929954E1
1.534893333E-1,1.398092651E-1,1.000534378E1,1.449286194E0,1.011073100E1
1.635683334E-1,3.712280273E-2,9.464518433E0,1.468745728E0,9.577875614E0
1.736463333E-1,3.399430847E-1,9.023385773E0,1.494492188E0,9.152625798E0
1.837253333E-1,7.062313843E-1,8.681047668E0,1.715582428E0,8.877081415E0
1.938043333E-1,1.193917236E0,8.738228760E0,2.145189056E0,9.076558616E0
2.038823334E-1,1.504970398E0,8.761280823E0,2.242486725E0,9.168081820E0
2.139613334E-1,1.749112701E0,8.914861450E0,2.056723022E0,9.314733464E0
2.240392501E-1,1.979783020E0,9.135502625E0,1.754501495E0,9.510795156E0
2.341182500E-1,2.172881470E0,9.282496948E0,1.240171051E0,9.613749930E0
2.441962500E-1,2.252815247E0,9.437275085E0,7.093748474E-1,9.728337486E0
2.542752500E-1,2.150877228E0,9.478738861E0,4.538562012E-1,9.730300545E0
2.643542500E-1,1.839824066E0,9.596992950E0,5.981561279E-1,9.790046835E0
2.744322499E-1,1.435215454E0,9.554032288E0,1.007854156E0,9.713657723E0
2.845112500E-1,1.360670471E0,9.363777924E0,1.181642761E0,9.535619579E0
2.945892500E-1,1.387015686E0,9.200168152E0,1.376088409E0,9.405345600E0
3.046682500E-1,1.479972382E0,9.038803711E0,1.329385529E0,9.255136771E0
3.147462500E-1,1.711540833E0,9.011111298E0,1.032702484E0,9.230166481E0
3.248252500E-1,1.833986206E0,9.080716553E0,6.788383484E-1,9.288904134E0
3.349042500E-1,1.874252472E0,9.284592590E0,3.540138245E-1,9.478491847E0
3.449822500E-1,1.830094299E0,9.435478821E0,4.011657715E-2,9.611405468E0
3.550612500E-1,1.709295502E0,9.502988434E0,8.891510010E-2,9.655899035E0
3.651392499E-1,1.707948303E0,9.712702332E0,6.092330933E-1,9.880528273E0
3.752182500E-1,2.076931000E0,1.001088226E1,8.646020508E-1,1.026055275E1
3.852962500E-1,2.415077820E0,1.038480469E1,1.140178986E0,1.072272248E1
3.953752500E-1,2.405348053E0,1.086770050E1,1.501826935E0,1.123156701E1
4.054542501E-1,2.169588318E0,1.122380997E1,1.752256165E0,1.156509513E1
4.155322500E-1,2.061213684E0,1.148127457E1,1.625020752E0,1.177747681E1
4.256112500E-1,2.060764618E0,1.149250122E1,1.227297821E0,1.174012756E1
4.356892500E-1,2.294279022E0,1.140223892E1,7.542814636E-1,1.165520095E1
4.457682500E-1,3.010240173E0,1.128069168E1,5.843847656E-1,1.169004090E1
4.558462499E-1,3.738475800E0,1.112351852E1,6.596781921E-1,1.175346932E1
4.659252500E-1,4.162244568E0,1.101978424E1,6.741979980E-1,1.179891806E1
4.760042500E-1,4.399351501E0,1.094239517E1,5.421725464E-1,1.180611099E1
4.860822500E-1,4.700076141E0,1.105241638E1,5.263055420E-1,1.202179775E1
4.961612500E-1,5.069358215E0,1.133502869E1,6.752458191E-1,1.243532167E1
5.062392500E-1,5.372178497E0,1.176598251E1,6.596781921E-1,1.295120927E1
5.163182500E-1,5.526208191E0,1.232147736E1,2.779719543E-1,1.350685195E1
5.263962500E-1,5.591921539E0,1.267698807E1,-1.663041687E-1,1.385652446E1
5.364752500E-1,5.646258545E0,1.265648071E1,-2.131567383E-1,1.386045365E1
5.465542499E-1,5.519472198E0,1.257340347E1,2.300715637E-1,1.373346210E1
5.566322500E-1,5.171595612E0,1.251727020E1,5.580395508E-1,1.355503090E1
5.667112500E-1,4.672982483E0,1.219169724E1,5.046006775E-1,1.306632575E1
5.767892500E-1,3.930227051E0,1.128428421E1,3.507206726E-1,1.195427789E1
5.868682500E-1,3.027154999E0,1.033406021E1,1.233435059E-1,1.076901488E1
5.969462499E-1,1.888173523E0,9.870474243E0,-1.176553345E-1,1.005013949E1
6.070252500E-1,8.339158630E-1,9.948462067E0,-1.267863464E-1,9.984156847E0
6.171042500E-1,2.891986084E-1,1.014470398E1,1.070124664E0,1.020508802E1
6.271822500E-1,3.493734741E-1,1.009021729E1,2.548300781E0,1.041289506E1
6.372612499E-1,7.641609192E-1,1.021266266E1,3.525618439E0,1.083108517E1
6.473392500E-1,1.051114197E0,1.043060944E1,4.019740906E0,1.122767880E1
6.574182500E-1,1.042731628E0,1.080093933E1,4.166735229E0,1.162365098E1
6.674962500E-1,9.280700684E-1,1.115630035E1,4.078119507E0,1.191450420E1
6.775752500E-1,5.960604858E-1,1.128503265E1,3.583098907E0,1.185520341E1
6.876542500E-1,1.833686829E-1,1.133592682E1,2.912942505E0,1.170564372E1
6.977322500E-1,-6.750961304E-2,1.162033539E1,2.045047302E0,1.179910889E1
7.078112500E-1,5.330415344E-1,1.266396515E1,-1.996248779E0,1.283141285E1
7.178892500E-1,9.101074219E-1,1.344354401E1,-3.863016815E0,1.401713487E1
7.279682501E-1,7.442523193E-1,1.303863602E1,-2.806064758E0,1.335791676E1
7.380462500E-1,9.433383179E-1,1.270692581E1,-2.646496582E0,1.301383091E1
7.481252500E-1,1.100511475E0,1.226669128E1,-2.187700653E0,1.250875192E1
7.582042500E-1,9.463320923E-1,1.149190247E1,-1.811233521E0,1.167218632E1
7.682822500E-1,4.746629333E-1,1.025247986E1,-1.270557861E0,1.034180668E1
7.783612499E-1,4.412823486E-1,9.128018188E0,-5.155279541E-1,9.153207920E0
7.884392500E-1,8.018824768E-1,8.112230530E0,8.711883545E-1,8.198186923E0
7.985182500E-1,1.363963623E0,7.139253845E0,1.556912384E0,7.433257590E0
8.085962500E-1,2.287692719E0,6.093528442E0,1.102158051E0,6.601467960E0
8.186752500E-1,2.501747589E0,5.272934875E0,1.484912109E0,6.022254327E0
8.287542500E-1,2.888094177E0,4.708309021E0,1.635798340E0,5.760650833E0
8.388322500E-1,3.348237305E0,4.175866241E0,2.417472839E-1,5.357890785E0
8.489112500E-1,3.719165955E0,3.731590118E0,-1.269809418E0,5.419352006E0
8.589892500E-1,2.129172363E0,3.301684113E0,-6.348298645E-1,3.979635899E0
8.690682499E-1,4.269122314E-1,3.125051422E0,6.481521606E-1,3.219984731E0
8.791462500E-1,4.924758911E-1,2.913541260E0,3.168910217E-1,2.971813435E0
8.892252500E-1,-8.479866028E-1,2.668650513E0,1.191671906E0,3.043165912E0
8.993042500E-1,-2.152224426E0,2.352657623E0,1.823358307E0,3.673105415E0
9.093822500E-1,-2.529889069E0,2.324366455E0,1.924098816E0,3.937661028E0
9.194612500E-1,-2.620001678E0,2.577490082E0,1.424437866E0,3.941685826E0
9.295392500E-1,-2.338736572E0,3.072510681E0,2.803669739E-1,3.871513435E0
9.396182500E-1,-1.626068573E0,3.873495026E0,-9.641450500E-1,4.310178464E0
9.496962500E-1,-1.276545410E0,4.762646027E0,-2.483335876E0,5.520808132E0
9.597752499E-1,-1.498384094E0,6.114484863E0,-4.154760132E0,7.542818557E0
9.698542500E-1,-1.493743744E0,8.663384399E0,-5.574407959E0,1.040958807E1
9.799322500E-1,-7.267387390E-1,1.290526337E1,-8.193511505E0,1.530384274E1
9.900112500E-1,8.099656677E-1,1.931792816E1,-1.413660278E1,2.395165821E1
1.000089250E0,1.685045929E0,2.426020065E1,-2.175066925E1,3.262649734E1
1.010168250E0,7.779322815E-1,2.458322891E1,-2.077020813E1,3.219226410E1
1.020246250E0,-6.036946106E-1,2.087154739E1,-1.291514282E1,2.455171790E1
1.030325250E0,-3.646417236E-1,1.564830917E1,-6.865024109E0,1.709184307E1
1.040404250E0,1.306183777E0,1.162258072E1,-3.103795624E0,1.210058040E1
1.050482250E0,2.950963440E0,9.652826843E0,-7.390132141E-1,1.012083948E1
1.060561250E0,4.065994720E0,8.775800629E0,6.524931335E-1,9.693953633E0
1.070639250E0,4.199816437E0,8.730145569E0,5.620811462E-1,9.704114332E0
1.080718250E0,3.262315979E0,9.438173218E0,-5.463638306E-2,9.986230739E0
1.090797250E0,2.501747589E0,9.432485046E0,-1.149309998E0,9.826058651E0
1.100875250E0,1.100960541E0,8.924441528E0,-1.633103943E0,9.139190292E0
1.110954250E0,6.122268677E-2,8.549171906E0,1.004860382E0,8.608242148E0
1.121032250E0,-2.029779053E-1,8.614286499E0,4.653822327E0,9.793119736E0
1.131111250E0,-2.942880249E-1,9.100475464E0,5.307662659E0,1.053928565E1
1.141189250E0,-1.007704468E0,9.476194153E0,3.877686310E0,1.028835142E1
1.151268250E0,-1.844314728E0,9.667795715E0,3.203188934E0,1.035027488E1
1.161347250E0,-2.204765167E0,9.774523773E0,3.283272400E0,1.054429619E1
1.171425250E0,-2.310295715E0,9.744586029E0,2.759062500E0,1.038782215E1
1.181504250E0,-2.407144318E0,9.643695831E0,1.556463318E0,1.006070530E1
1.191582250E0,-2.205513611E0,9.296867065E0,-1.368154907E-1,9.555874947E0
