"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-7.236666279E-4,1.744172974E0,9.234147491E0,1.582808533E0,9.529790245E0
9.355333284E-3,1.811532898E0,9.223070526E0,1.628463593E0,9.539317326E0
1.943433331E-2,1.864522705E0,9.223818970E0,1.738484802E0,9.569619152E0
2.951333334E-2,1.906884613E0,9.249565430E0,1.891167297E0,9.631572214E0
3.959233337E-2,1.951192474E0,9.309889984E0,1.998943176E0,9.719926821E0
4.967133328E-2,2.022593994E0,9.309740295E0,2.067500610E0,9.748677326E0
5.975033331E-2,2.103126526E0,9.342671814E0,2.115101624E0,9.807258163E0
6.982933334E-2,2.166893921E0,9.370214539E0,2.119143219E0,9.848203783E0
7.990833337E-2,2.159110107E0,9.361831970E0,2.095492401E0,9.833450193E0
8.998733328E-2,2.073039093E0,9.332642670E0,2.007026367E0,9.768513967E0
1.000663333E-1,2.044598236E0,9.322164459E0,1.895059204E0,9.730076132E0
1.101453333E-1,2.009421387E0,9.386979675E0,1.787582703E0,9.764661471E0
1.202243334E-1,2.038610687E0,9.478738861E0,1.737287292E0,9.849903099E0
1.303043333E-1,2.078577576E0,9.531578979E0,1.670376434E0,9.897557275E0
1.403833333E-1,2.119891663E0,9.455387421E0,1.586101685E0,9.819063626E0
1.504623333E-1,2.155966644E0,9.305698700E0,1.437460785E0,9.659736745E0
1.605413334E-1,2.165696411E0,9.193881226E0,1.244512024E0,9.527145591E0
1.706203333E-1,2.051783295E0,9.179810486E0,1.146465912E0,9.475923139E0
1.806993333E-1,1.947450256E0,9.212292938E0,1.199006653E0,9.491918701E0
1.907783333E-1,1.895657959E0,9.308991852E0,1.292861481E0,9.587613843E0
2.008573334E-1,1.711989899E0,9.343120880E0,1.415157166E0,9.603514305E0
2.109363333E-1,1.509161682E0,9.238039398E0,1.462009735E0,9.473986139E0
2.210153333E-1,1.469494171E0,9.127868500E0,1.373394012E0,9.346850142E0
2.310943333E-1,1.633852386E0,9.020691376E0,1.226100311E0,9.249090144E0
2.411733334E-1,1.862876129E0,8.987460480E0,1.164428558E0,9.252061782E0
2.512523333E-1,2.111658783E0,8.983867950E0,1.127754822E0,9.297355382E0
2.613313333E-1,2.243983612E0,8.952732697E0,1.098266144E0,9.294787448E0
2.714103333E-1,2.259551239E0,8.934171295E0,1.038690033E0,9.273826908E0
2.814893334E-1,2.263143768E0,8.996890869E0,9.925859070E-1,9.330117460E0
2.915683333E-1,2.319576416E0,9.154064026E0,9.765692139E-1,9.493735322E0
3.016473333E-1,2.403402100E0,9.372759247E0,1.002465363E0,9.727789798E0
3.117263333E-1,2.454745331E0,9.452094269E0,1.036744080E0,9.820524375E0
3.218053334E-1,2.255210266E0,9.433682556E0,9.831555176E-1,9.749201746E0
3.318843333E-1,2.117496643E0,9.363179169E0,8.833131409E-1,9.640184557E0
3.419633333E-1,2.039957886E0,9.274413757E0,7.601193237E-1,9.526487291E0
3.520423333E-1,2.061662750E0,9.149124298E0,7.149133301E-1,9.405744510E0
3.621213334E-1,2.105820923E0,9.074429626E0,7.598199463E-1,9.346501011E0
3.722003333E-1,1.952240295E0,8.955576782E0,8.726852417E-1,9.207343656E0
3.822793333E-1,1.919608154E0,8.741222534E0,9.385482788E-1,8.998596542E0
3.923583333E-1,1.940115509E0,8.415499878E0,9.231303406E-1,8.685439310E0
4.024373334E-1,2.125579834E0,8.154293060E0,8.803193665E-1,8.472635194E0
4.125163333E-1,2.435435486E0,8.000562744E0,9.177415466E-1,8.413239553E0
4.225953333E-1,2.778072968E0,8.017477570E0,1.019679565E0,8.546191105E0
