"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-1.332416665E-3,-2.113005981E0,4.595593414E0,8.146060181E0,9.588668811E0
8.745583356E-3,-2.256407776E0,4.591402130E0,8.349038086E0,9.791771368E0
1.882458339E-2,-2.404150543E0,4.607568512E0,8.686586151E0,1.012256916E1
2.890358341E-2,-2.407593384E0,4.661456451E0,8.839717712E0,1.027941104E1
3.898258333E-2,-2.261197815E0,4.586612091E0,8.810678101E0,1.018715243E1
4.906058335E-2,-2.127076721E0,4.512516174E0,8.758436737E0,1.007955712E1
5.913958338E-2,-2.011067963E0,4.512815552E0,8.603059845E0,9.920813336E0
6.921858341E-2,-1.921105042E0,4.493954773E0,8.484207001E0,9.791222728E0
7.929758332E-2,-1.914818115E0,4.486620026E0,8.440348206E0,9.748628904E0
8.937670838E-2,-2.132016449E0,4.602479095E0,8.386160889E0,9.800816416E0
9.945470840E-2,-2.428699493E0,4.694387970E0,8.425978088E0,9.946505235E0
1.095337083E-1,-2.545007629E0,4.726720734E0,8.544082489E0,1.009060446E1
1.196127083E-1,-2.607427826E0,4.666096802E0,8.620723114E0,1.014337253E1
1.296917084E-1,-2.563868408E0,4.598886566E0,8.789272614E0,1.024570602E1
1.397707084E-1,-2.493664398E0,4.511468353E0,8.972641296E0,1.034794669E1
1.498487084E-1,-2.486179962E0,4.427343292E0,9.115144958E0,1.043399861E1
1.599277083E-1,-2.261497192E0,4.426445160E0,9.071884918E0,1.034441309E1
1.700067084E-1,-2.146685944E0,4.359085236E0,8.803343353E0,1.005528412E1
1.800857084E-1,-1.975292358E0,4.275259552E0,8.321645050E0,9.561872227E0
1.901647084E-1,-1.776805115E0,4.252057800E0,7.816445618E0,9.073800419E0
2.002427083E-1,-1.785636749E0,4.184997253E0,7.438481598E0,8.719731022E0
2.103217083E-1,-1.948498077E0,4.107907562E0,7.281907196E0,8.584737719E0
2.204007084E-1,-2.272723846E0,4.004921722E0,7.388036499E0,8.705616290E0
2.304797084E-1,-2.325863342E0,3.774999847E0,7.562274170E0,8.766313636E0
2.405587083E-1,-2.101479950E0,3.470233612E0,7.446864166E0,8.480243228E0
2.506367083E-1,-2.153122559E0,3.241060181E0,7.207960968E0,8.191160428E0
2.607157084E-1,-2.072290649E0,3.194656677E0,6.655160522E0,7.667553808E0
2.707947084E-1,-1.908680878E0,3.006947021E0,5.706433411E0,6.726676397E0
2.808737083E-1,-1.717079315E0,2.715353394E0,4.785099335E0,5.763564962E0
2.909527083E-1,-1.633553009E0,2.456242218E0,4.089346161E0,5.042258749E0
3.010307084E-1,-1.471290436E0,2.246827698E0,3.580105133E0,4.475498074E0
3.111097084E-1,-1.365909576E0,1.953737183E0,3.398682404E0,4.151366044E0
3.211887084E-1,-1.181044006E0,1.623074799E0,3.457959137E0,3.998339423E0
3.312677083E-1,-1.289867706E0,1.160386963E0,3.690575409E0,4.078063689E0
3.413467084E-1,-1.453776855E0,7.297325134E-1,3.810027008E0,4.142738525E0
3.514247084E-1,-1.246158600E0,5.129832458E-1,3.633544006E0,3.875397414E0
3.615037084E-1,-1.839524689E0,1.621128845E-1,3.302731934E0,3.783935768E0
3.715827083E-1,-2.811004486E0,1.781295776E-1,3.171305237E0,4.241539022E0
3.816617084E-1,-3.429518280E0,3.623963928E-1,3.118914185E0,4.649790583E0
3.917407084E-1,-3.957171021E0,5.249583435E-1,2.811453552E0,4.882525456E0
4.018187084E-1,-4.324956207E0,6.944059753E-1,2.374661865E0,4.982616263E0
4.118977083E-1,-4.566853180E0,7.608677673E-1,1.948348389E0,5.023059742E0
4.219767083E-1,-5.189109192E0,1.047371979E0,1.355431366E0,5.464525273E0
4.320557084E-1,-6.512956238E0,1.283580780E0,6.376739502E-1,6.668793492E0
