"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.632499974E-3,-3.994742889E0,-9.104666748E0,7.340734863E-1,9.969543181E0
1.171150000E-2,-3.860921173E0,-9.066196747E0,7.376660156E-1,9.881638878E0
2.179050003E-2,-3.767365723E0,-8.969647522E0,6.985972595E-1,9.753751037E0
3.186950006E-2,-3.794758759E0,-8.948541412E0,5.818400574E-1,9.737305854E0
4.194849997E-2,-3.935316467E0,-8.970994720E0,4.285588074E-1,9.805566002E0
5.202750000E-2,-4.110302582E0,-9.044791260E0,2.821632385E-1,9.938936177E0
6.210650003E-2,-4.233646088E0,-9.073681183E0,2.357597351E-1,1.001553953E1
7.218550006E-2,-4.296215973E0,-8.997190247E0,2.278262329E-1,9.972903730E0
8.226449997E-2,-4.338278503E0,-8.814719696E0,1.460961914E-1,9.825542621E0
9.234350000E-2,-4.364773407E0,-8.647966461E0,3.113525391E-2,9.687081099E0
1.024225000E-1,-4.368066559E0,-8.470884705E0,-8.547225952E-2,9.531169847E0
1.125015001E-1,-4.307143250E0,-8.316256256E0,-1.288819885E-1,9.366333950E0
1.225805000E-1,-4.173171844E0,-8.243507538E0,-9.924362183E-2,9.240163909E0
1.326595000E-1,-3.928430786E0,-8.211174774E0,3.532653809E-2,9.102593453E0
1.427385000E-1,-3.668870544E0,-8.319549408E0,3.227288818E-1,9.098333218E0
1.528175001E-1,-3.396137695E0,-8.516839142E0,6.936575317E-1,9.195186838E0
1.628965000E-1,-3.214265900E0,-8.696465607E0,1.007704468E0,9.326064959E0
1.729755000E-1,-3.146456909E0,-8.753347321E0,1.166973267E0,9.374599031E0
1.830545000E-1,-3.072211304E0,-8.793314209E0,1.237177277E0,9.396353797E0
1.931335001E-1,-2.971919861E0,-8.847950592E0,1.170416107E0,9.406827903E0
2.032125000E-1,-2.867586823E0,-8.986562347E0,9.184899902E-1,9.477604174E0
2.132915000E-1,-2.885399780E0,-9.182055817E0,5.150788879E-1,9.638515818E0
2.233705000E-1,-2.975961456E0,-9.338031464E0,1.124162292E-1,9.801419061E0
2.334495001E-1,-3.053200836E0,-9.370214539E0,-1.999841309E-1,9.857126838E0
2.435285000E-1,-3.173999634E0,-9.292825470E0,-3.402424622E-1,9.825815173E0
2.536085000E-1,-3.342848511E0,-9.285939789E0,-3.329077148E-1,9.874924884E0
2.636875000E-1,-3.414399719E0,-9.172775116E0,-2.924917603E-1,9.792011040E0
2.737665001E-1,-3.437152405E0,-8.720415802E0,-1.845661926E-1,9.375165763E0
2.838455000E-1,-3.516487427E0,-8.131839752E0,2.559677124E-2,8.859636379E0
2.939245000E-1,-3.760330353E0,-7.951315155E0,3.616479492E-1,8.803083908E0
3.040035000E-1,-4.055067444E0,-8.080945587E0,7.897576904E-1,9.075735274E0
3.140825001E-1,-4.330045624E0,-8.265362091E0,1.323098602E0,9.424229173E0
3.241615000E-1,-4.618196411E0,-8.434360657E0,1.994153137E0,9.820530765E0
3.342405000E-1,-4.898264008E0,-8.826395416E0,2.792293396E0,1.047354518E1
3.443195000E-1,-5.187462616E0,-9.223669281E0,3.553759918E0,1.116311126E1
3.543985001E-1,-5.490282898E0,-9.275162201E0,3.740421753E0,1.140888229E1
3.644775000E-1,-5.758974152E0,-9.027726746E0,3.573668518E0,1.128878825E1
3.745565000E-1,-5.917045441E0,-8.695417786E0,3.165467377E0,1.098371071E1
3.846355000E-1,-5.954467621E0,-8.416248322E0,2.690954132E0,1.065505301E1
3.947145001E-1,-5.951024780E0,-8.260122986E0,2.645897827E0,1.051879760E1
4.047935000E-1,-6.059399414E0,-8.135432281E0,2.910846863E0,1.055341694E1
4.148725000E-1,-6.234535217E0,-8.045918427E0,2.571203156E0,1.049844362E1
4.249515000E-1,-6.188431091E0,-7.993527374E0,1.810485077E0,1.026990825E1
4.350305001E-1,-5.872288513E0,-8.288414154E0,6.997947693E-1,1.018191015E1
4.451095000E-1,-5.365292816E0,-8.824150085E0,-1.824705505E-1,1.032885701E1
4.551885000E-1,-4.768783264E0,-8.980874176E0,-4.587959290E-1,1.017879602E1
4.652675000E-1,-4.272265778E0,-8.818461914E0,-6.894662476E-1,9.823079411E0
4.753465001E-1,-4.096231842E0,-8.924291840E0,-1.019380188E0,9.872245748E0
4.854255000E-1,-4.012106781E0,-8.774902496E0,-3.906875610E-1,9.656528953E0
4.955045000E-1,-4.057911530E0,-8.734187164E0,5.548960876E-1,9.646791232E0
5.055835000E-1,-4.185596008E0,-8.678652649E0,1.212328949E0,9.711228925E0
5.156625001E-1,-4.342769165E0,-8.698860626E0,1.562600555E0,9.847412894E0
5.257415000E-1,-4.433031464E0,-8.545579376E0,2.040556641E0,9.840862068E0
