Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),Action,Placement
0.301,-0.341685231133413,0.7482083236843954,-0.8618685620307713,-1.1925205876160239,1.0,0.0
0.311,-0.3319314675053567,0.7357603622761865,-0.822623694428019,-1.1750437819741333,1.0,0.0
0.321,-0.32475344002967377,0.7260302032970464,-0.7817664488041894,-1.1592502172778636,1.0,0.0
0.331,-0.31889422040377946,0.7170584316453685,-0.7468212559243089,-1.145038352310078,1.0,0.0
0.341,-0.3144106604616678,0.7102626863777166,-0.709314862572487,-1.130236767196611,1.0,0.0
0.351,-0.315334715475011,0.7041014089395754,-0.6642654340938573,-1.113681643371812,1.0,0.0
0.362,-0.31988286219451706,0.7025796775047327,-0.6107882297281367,-1.0964352581841943,1.0,0.0
0.372,-0.3287200350296116,0.7027035970026841,-0.5663651480961562,-1.082391326767828,1.0,0.0
0.382,-0.33884507594089286,0.7036999097662129,-0.5357816444784199,-1.0698392701570936,1.0,0.0
0.392,-0.3466341639452169,0.7066764561070045,-0.5115939070109559,-1.0600171101147795,1.0,0.0
0.402,-0.354334300100435,0.7108798054775143,-0.4852532314550921,-1.0498122177924867,1.0,0.0
0.412,-0.3623825087086765,0.7163768744066362,-0.45164135116956383,-1.0382599516274114,1.0,0.0
0.422,-0.3714053201853836,0.7239161366619964,-0.40968851535192563,-1.0258797339995247,1.0,0.0
0.432,-0.3802502279638787,0.7324665820206395,-0.3693790648250005,-1.0171706219142918,1.0,0.0
0.442,-0.3883448462325233,0.7403230781907552,-0.3391986557125336,-1.0128355930288173,1.0,0.0
0.452,-0.39485766857576154,0.7505588287215368,-0.31981911218997344,-1.0108828773146394,1.0,0.0
0.462,-0.4015251897870101,0.7655778718732403,-0.3095040271576987,-1.0085786727719097,1.0,0.0
0.472,-0.41272152035926346,0.7863963475290673,-0.3075402334140793,-1.0005725383437811,1.0,0.0
0.482,-0.42889915448145194,0.8125681454963924,-0.31704912943581554,-0.9867082567731192,1.0,0.0
0.492,-0.4460707288306072,0.8435975877834108,-0.3384441454847219,-0.9710474767454139,1.0,0.0
0.502,-0.46486277382217156,0.8782454794106084,-0.36552382763357927,-0.9542541216034853,1.0,0.0
0.512,-0.48597916930559243,0.9166109559763466,-0.3912598614315391,-0.9376950923472581,1.0,0.0
0.522,-0.5062060462979532,0.9576530936978338,-0.41017429590955784,-0.9246900056908346,1.0,0.0
0.532,-0.5217919572500019,0.996018570263572,-0.41730596792585994,-0.9176992834340784,1.0,0.0
0.542,-0.5303003949905744,1.0289315889194508,-0.4062467084223189,-0.916488599691288,1.0,0.0
0.552,-0.5336724435660313,1.0592670820179415,-0.37772002035711044,-0.9192614560054204,1.0,0.0
0.562,-0.534573564472192,1.0864302359688776,-0.3496997843626248,-0.9208626828910461,1.0,0.0
0.572,-0.5385493253800594,1.1146838815017854,-0.33423749257075813,-0.9180507722626303,1.0,0.0
0.582,-0.5468025099884147,1.1467046797724143,-0.33480595918075323,-0.9159418392913182,1.0,0.0
0.593,-0.5597198654672838,1.1784280712479602,-0.3496997843626248,-0.9189880758054355,1.0,0.0
0.603,-0.5726449558895534,1.2094575135349783,-0.37426787767095837,-0.9247681143194016,1.0,0.0
0.613,-0.5832224909897651,1.2389007862482193,-0.4088409833152057,-0.932461814233262,1.0,0.0
0.623,-0.590980639220487,1.2634864146417673,-0.46341377787473503,-0.9396087537471525,1.0,0.0
0.633,-0.5933011222406432,1.2377111590678862,-0.7091980685235244,-0.8731383108365424,1.0,0.0
0.643,-0.5630574935446084,1.2278967348301393,-0.894208110685565,-0.8184622708395659,1.0,0.0
