Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),Action,Placement
0.304,0.11073985678696346,-1.0850093952466944,-0.052700142250500764,-0.3776574536023664,1.0,0.0
0.314,0.0976801216854953,-1.0805588199728524,-0.04365173853903642,-0.3840390577896877,1.0,0.0
0.324,0.07755746862098817,-1.0779034347254344,-0.04061930053843756,-0.38972448697475615,1.0,0.0
0.334,0.05192662796266456,-1.0762204440756622,-0.03254910263361803,-0.39453969740700756,1.0,0.0
0.344,0.022875380492051664,-1.075472448231319,-0.015767003814820005,-0.3979045432512317,1.0,0.0
0.354,-0.002444514092427501,-1.075248049478016,0.005489408363571233,-0.39877476200404843,1.0,0.0
0.364,-0.022389483686166292,-1.0753976486468846,0.02528829389006195,-0.39807858700179516,1.0,0.0
0.374,-0.040157830762993806,-1.076183044283445,0.03812235407324154,-0.3962221203291199,1.0,0.0
0.384,-0.0538883209666122,-1.0774920370110455,0.04423614036477152,-0.3925672015672905,1.0,0.0
0.394,-0.06335440787179203,-1.0791376278686005,0.04511652559075184,-0.3882161078032076,1.0,0.0
0.404,-0.06859607025945615,-1.0812694160249787,0.03983421423486999,-0.3836329557050404,1.0,0.0
0.414,-0.069173541539453,-1.0833638043891398,0.031617285459053734,-0.38113832861363267,1.0,0.0
0.425,-0.06388745828409687,-1.084186599817917,0.02447638307054672,-0.38316883903687166,1.0,0.0
0.435,-0.051893824007238284,-1.0830646060514022,0.020270098101974103,-0.3918130119815156,1.0,0.0
0.445,-0.034614106475023575,-1.0799978230895952,0.01528124848808569,-0.4063166578617917,1.0,0.0
0.455,-0.014580295145900606,-1.0760708449067935,0.00432534345366402,-0.4246492662544604,1.0,0.0
0.465,0.0057200413893747784,-1.0734528594515924,-0.013967105130593582,-0.44257577256248176,1.0,0.0
0.475,0.022599971112360867,-1.0749114513480615,-0.036534313089888956,-0.45342449968092785,1.0,0.0
0.485,0.034726867992295594,-1.080222221842898,-0.058974354294320463,-0.45574508302177213,1.0,0.0
0.495,0.0433445163245569,-1.0879265790396329,-0.07763852108510308,-0.4518581059258579,1.0,0.0
0.505,0.04960785866913864,-1.0945837420542872,-0.09068778654574464,-0.446868851743043,1.0,0.0
0.515,0.0533836324229644,-1.097800124184963,-0.09491363563045008,-0.4441421663175514,1.0,0.0
0.525,0.054627416718342356,-1.0976879248083113,-0.08988565778429589,-0.44472231215276253,1.0,0.0
0.535,0.0540499454383455,-1.0956683360285848,-0.07706137965918264,-0.44762304132881764,1.0,0.0
0.546,0.05102932643528482,-1.0936861470410753,-0.06027536801715802,-0.45005965383670404,1.0,0.0
0.556,0.04441061714916656,-1.091703958053566,-0.04245245822008995,-0.4516840621752947,1.0,0.0
0.566,0.03434484853014373,-1.0896469694816222,-0.02915864130778724,-0.4527283246786746,1.0,0.0
0.576,0.02335956794989515,-1.0877769798707644,-0.02349091686408731,-0.45342449968092785,1.0,0.0
0.586,0.0147818983985568,-1.0861313890132092,-0.02710049629060657,-0.45435273301726564,1.0,0.0
0.596,0.009673498613968842,-1.0844857981556544,-0.03774337546690191,-0.45632522885698296,1.0,0.0
0.606,0.007630138700133706,-1.083176805428054,-0.051526295282527,-0.4588778705319114,1.0,0.0
0.616,0.0057200413893747784,-1.0819426122848874,-0.06460490691736788,-0.46102441012219253,1.0,0.0
0.626,0.0024773180478537193,-1.0813068158171957,-0.07757591591347784,-0.46206867262557244,1.0,0.0
0.636,-0.0003656174844385969,-1.0815312145704985,-0.09334361531078525,-0.46177859970796686,1.0,0.0
0.646,-0.0018759269859690256,-1.0825784087525792,-0.11291751350174752,-0.46056029345402383,1.0,0.0
0.656,-0.002053610456737261,-1.083924801272397,-0.1341641436220724,-0.4594000017836012,1.0,0.0
0.666,-0.002320135662889614,-1.08467279711674,-0.15375760592916757,-0.4588778705319114,1.0,0.0
0.677,-0.0036971825613438354,-1.0842987991945685,-0.16935998854515202,-0.4595740455341647,1.0,0.0
0.687,-0.005296333798258321,-1.0828028075058822,-0.18037302079868173,-0.46154654137388235,1.0,0.0
0.697,-0.006584538961328241,-1.0803344212195498,-0.1891866551165513,-0.46520146013571173,1.0,0.0
0.707,-0.006806643299788566,-1.0773798376343942,-0.19527109523388186,-0.46972659765035785,1.0,0.0
0.717,-0.005962646813639295,-1.07479925197141,-0.19847961027967684,-0.4742517351650043,1.0,0.0
0.727,-0.004896545989029638,-1.0737894575815468,-0.20101316331888686,-0.47628224558824267,1.0,0.0
0.737,-0.004763283385953431,-1.0745748532181074,-0.20316521609350538,-0.4752959976683838,1.0,0.0
0.747,-0.0060959094167155016,-1.076856240543354,-0.2058063717714463,-0.47187313724063895,1.0,0.0
0.757,-0.008761161478239644,-1.0802596216351152,-0.20883880977204516,-0.46607167888852846,1.0,0.0
0.767,-0.012048305687452732,-1.0844483983634372,-0.21128432428865715,-0.4587618413648693,1.0,0.0
0.777,-0.015113345558205434,-1.0887119746761935,-0.21226253009530197,-0.4512779600906471,1.0,0.0
0.787,-0.01760091414896128,-1.0921153557679548,-0.21210601716623878,-0.44507039965388884,1.0,0.0
0.797,-0.01942216972433609,-1.0942471439243329,-0.2122136198049697,-0.44100937880741176,1.0,0.0
0.808,-0.021065741828942663,-1.0946211418465044,-0.21532568375822944,-0.43926894130177896,1.0,0.0
0.818,-0.026929296364295776,-1.0858695904676892,-0.24600221785461013,-0.445244443404452,1.0,0.0
0.828,-0.05065003971186039,-1.0568099519149565,-0.2941495076576668,-0.4464047350748743,1.0,0.0
0.838,-0.08254422271476568,-1.0374368595464682,-0.3142418549261508,-0.4394429850523418,1.0,0.0
0.848,-0.10746432949001622,-1.0428224296257391,-0.3128136744484494,-0.4168172974791115,1.0,0.0
0.858,-0.1294526589975902,-1.0572213496293454,-0.3136158032098981,-0.38479324737546206,1.0,0.0
0.868,-0.14855363210517972,-1.0725926642305976,-0.31891670047610626,-0.35300125560589773,1.0,0.0
0.878,-0.15717128043744102,-1.0881135780007187,-0.3042436133764344,-0.32556035760041574,1.0,0.0
0.888,-0.15885927340973963,-1.1014653038222442,-0.2942170038583252,-0.3047331221163393,1.0,0.0
0.898,-0.1598809533666572,-1.11429343255273,-0.2991383572715552,-0.2850081637191638,1.0,0.0
0.908,-0.15646054655436797,-1.1240547783214083,-0.3022588337947521,-0.27085260534001493,1.0,0.0
0.918,-0.15091682226639774,-1.1280191562964272,-0.30559451559541084,-0.2659793803242422,1.0,0.0
0.929,-0.14214370089721415,-1.1265979641921753,-0.30801068393782344,-0.2692862115849453,1.0,0.0
0.939,-0.129834678459742,-1.1204269984763442,-0.30222948762055274,-0.27938074911761707,1.0,0.0
0.949,-0.11628631381366109,-1.1104786537465796,-0.28088601512537004,-0.2937683658308508,1.0,0.0
0.959,-0.0950531390568522,-1.0962667327040596,-0.24047633325287368,-0.3080979679605635,1.0,0.0
0.969,-0.06249264303856588,-1.0808206185183726,-0.19115519648184326,-0.31523376173365913,1.0,0.0
0.979,-0.022691545586472354,-1.0638785126439996,-0.13908530139414102,-0.31732228674041885,1.0,0.0
0.989,0.015776925834859103,-1.043233827340128,-0.0896369978682468,-0.32352984717717675,1.0,0.0
