Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),Action,Placement
0.00167,0.541,9.9,0.312,9.92,0.0,0.0
0.0118,0.901,9.6,0.274,9.65,0.0,0.0
0.0218,1.31,9.59,0.226,9.69,0.0,0.0
0.0319,1.12,9.78,0.122,9.85,0.0,0.0
0.042,0.677,9.54,0.0106,9.56,0.0,0.0
0.0521,1.12,9.42,-0.196,9.49,0.0,0.0
0.0621,1.54,9.32,-0.158,9.45,0.0,0.0
0.0722,1.54,9.25,-0.0277,9.38,0.0,0.0
0.0823,1.7,9.31,0.0409,9.46,0.0,0.0
0.0924,1.89,9.25,0.0695,9.44,0.0,0.0
0.102,1.91,9.03,0.136,9.23,0.0,0.0
0.113,1.86,8.79,0.174,8.98,0.0,0.0
0.123,1.87,8.6,0.235,8.8,0.0,0.0
0.133,2.04,8.49,0.289,8.74,0.0,0.0
0.143,2.28,8.39,0.292,8.7,0.0,0.0
0.153,2.51,8.26,0.243,8.64,0.0,0.0
0.163,2.56,8.06,0.256,8.46,0.0,0.0
0.173,2.4,7.92,0.37,8.29,0.0,0.0
0.183,2.33,7.97,0.56,8.32,0.0,0.0
0.193,2.24,8.28,0.846,8.62,0.0,0.0
0.203,2.23,8.91,1.26,9.27,0.0,0.0
0.213,2.1,9.76,1.79,10.1,0.0,0.0
0.223,1.96,10.7,2.34,11.2,0.0,0.0
0.233,1.82,11.7,2.97,12.2,0.0,0.0
0.244,1.64,12.5,3.51,13.1,0.0,0.0
0.254,1.34,12.9,3.87,13.6,0.0,0.0
0.264,0.91,12.8,3.98,13.4,0.0,0.0
0.274,0.586,12.2,3.8,12.8,0.0,0.0
0.284,0.376,11.6,3.52,12.1,0.0,0.0
0.294,0.349,11.0,3.22,11.5,0.0,0.0
0.304,0.436,10.5,2.96,10.9,0.0,0.0
0.314,0.561,10.0,2.78,10.4,0.0,0.0
0.324,0.635,9.71,2.69,10.1,0.0,0.0
0.334,0.581,9.58,2.66,9.96,0.0,0.0
0.344,0.534,9.6,2.69,9.98,0.0,0.0
